Company,MSE,MAE,R2,MAPE
UTRN.TA,52.11647228,5.844217651,0.997888415,0.011396193
VRDS.TA,827.6329918,25.46865534,0.898395472,0.010531523
VCTR.TA,3219.862159,45.59910748,0.976691454,0.008651963
VILR.TA,12239.37127,90.57784039,0.99138745,0.005263372
VISN.TA,60644.52328,122.4388185,0.988678422,0.474429431
VTNA.TA,85.33981972,7.398563004,0.99772654,0.00316766
WATR.TA,180.0542676,7.74960423,-0.01652145,0.14315206
WESR.TA,194.7657445,13.05163039,0.906952402,0.026247285
WILK.TA,7.135118656,1.721583846,0.935852702,0.064259433
WLFD.TA,1386.464499,21.86438306,0.991166353,0.009009998
WILC.TA,5610.743035,64.34642283,0.989588748,0.011840373
WNBZ.TA,5.430739075,1.127658235,0.652468689,0.05372135
XTLB.TA,0.031297819,0.092227744,0.980793315,0.014520866
YBRD.TA,175679.706,248.5632903,-0.006915084,4.359664305
YAAC.TA,68.77687631,3.539593365,0.790713115,6.114732329
YBOX.TA,6.026899869,1.84147734,0.99163677,0.014831151
YHNF.TA,14577.01826,84.89055527,0.991055641,0.003538298
ZNKL.TA,6894.574497,65.54027259,0.92018365,0.015656445
ZPRS.TA,3262.997449,48.91397353,0.534922406,0.034597088
ZMH.TA,3141.149962,45.38292524,0.986698369,0.012026976
ZOOZ.TA,3899.351527,52.77084135,0.811928987,0.065780661
ZUR.TA,82.77831807,7.804426055,0.99404816,0.009508708
