Company,Model,MSE,MAE,R2,MAPE,Final_Score,,,,
CPTP.TA,XGBoost,86.20345139,4.17914455,0.647469727,4.661722788,-1,,,,
CRML.TA,GRU,825.6229619,22.66289064,0.978113908,0.011120752,-1,,,,
CRMT.TA,LSTM,974.127488,18.45847615,0.988039588,0.270417544,-1,,,,
CRSM.TA,LSTM,2195.662132,23.19458962,0.990612437,0.007897394,-1.275238601,,,,
CRSR.TA,GRU,1034.098587,25.45197032,0.985486694,0.006377212,-1.032284341,,,,
CTPL1.TA,LightGBM,200589182,6208.513485,-0.237847558,0.2256256949,-1,,,,
CTPL5.TA,LightGBM,3175312787,34394.42775,-0.584638096,0.4651581041,-1,,,,
DANE.TA,GRU,86747.68005,237.8744644,0.993997807,0.006169891,-1,,,,
DANH.TA,GRU,13182.00154,86.8610864,-0.463320391,0.03744452,-1.032774548,,,,
DELG.TA,GRU,44640.59024,106.1698774,0.984740196,0.00551705,-1.072078265,,,,
DIFI.TA,LSTM,54643.41783,182.2837693,0.997026491,0.003204532,-1.134804573,,,,
DIMRI.TA,GRU,1270092.017,402.8593916,0.642774621,0.011705764,-1.061007069,,,,
DIPL.TA,LSTM,1320.598402,25.04411394,0.99728332,0.005378708,-1.225236979,,,,
DISI.TA,LightGBM,49.00165892,5.461001065,0.977982001,0.01499308079,-1,,,,
DLEA.TA,GRU,689.894711,21.06203751,0.995879759,0.008381945,-1,,,,
DLEKG.TA,LightGBM,308864.0527,426.7793555,0.963994805,0.01029006095,-1,,,,
DLTI.TA,LSTM,6570.32555,43.77505476,0.966226784,0.00633214,-0.9616844751,,,,
DNA.TA,GRU,1.041998098,0.790495604,0.992954835,0.008701642,-1.258724573,,,,
DNYA.TA,GRU,41153.99876,163.4316194,0.964123463,0.013680577,-1,,,,
DORL.TA,LSTM,39.85754282,4.710573552,0.994620171,0.003453547,-0.9740421843,,,,
DRAL.TA,GRU,2311.98655,36.42349492,0.998601384,0.003891402,-1.286723332,,,,
DRSH.TA,XGBoost,5016.800798,40.75498296,0.539032952,0.03011966031,-1,,,,
DSCT.TA,LSTM,3436.523296,43.73526201,0.955583716,0.016630574,-1.275635528,,,,
DUNI.TA,GRU,415295.6919,545.8039885,0.943374774,0.021228657,-1,,,,
ECNR.TA,LSTM,2199.412615,40.22501733,0.946262029,0.014970006,-0.9871714136,,,,
ECP.TA,GRU,9492.889833,77.03105938,0.997481062,0.008519069,-1,,,,
ECPA-M.TA,LightGBM,111.5699979,1.325907524,0.025632622,0.08102940362,-0.6,,,,
EFCP.TA,GRU,16667.05381,92.72005461,-0.556716625,0.057698049,-0.001733532819,,,,
ELAL.TA,GRU,5889.816329,51.79246076,0.768982282,0.053368914,-1.299729199,,,,
ELCO.TA,GRU,11240.04215,64.90149071,0.997927784,0.004727781,-1.109507152,,,,
ELCP.TA,LSTM,46261.40619,49.35419441,0.518632205,0.022216264,-0.9847257298,,,,
ELCRE.TA,LSTM,563.0201717,19.00349851,0.995043463,0.004182218,-1.680459439,,,,
ELDAV-M.TA,XGBoost,0.085611513,0.215836377,-0.683783739,0.08944908231,-0.4479567236,,,,
ELLO.TA,LSTM,466.6157767,17.38781345,0.987992465,0.002980157,-0.9950855575,,,,
ELMR.TA,LSTM,254.2711045,11.34211428,0.997370673,0.007723775,-1.567980182,,,,
ELRN.TA,LSTM,38.80313884,3.954759736,0.975325623,0.009620958,-1.013505135,,,,
ELSPC.TA,GRU,296.6263244,10.49968597,0.982789253,0.012568184,-1.010489521,,,,
ELTR.TA,LightGBM,5721048.498,1820.786063,0.987440985,0.01270317383,-1,,,,
ELWS.TA,LSTM,21511.81292,111.3123155,0.992168905,0.005493509,-1.023904207,,,,
EMCO.TA,LSTM,77.15297482,7.308544225,0.988053013,0.008249585,-0.6629283941,,,,
EMDV.TA,GRU,396.2255489,16.2543073,0.996353815,0.006297416,-1.385056204,,,,
EMITF-M.TA,XGBoost,0.008770091,0.064814487,0.967085666,0.01541716747,-1,,,,
EMTC-M.TA,LSTM,1.127062973,0.80911641,0.892828971,0.039974258,-0.6735025712,,,,
ENDY.TA,XGBoost,64.6094407,5.973214784,0.954491681,0.02235933239,-0.664757503,,,,
ENLT.TA,GRU,588.4118594,19.39661558,0.982037215,0.0031949,-0.6,,,,
ENLV.TA,LSTM,452.760199,15.86229717,0.910542858,0.035585431,-0.7067908841,,,,
ENOG.TA,LSTM,452.7360329,15.66694902,0.987726505,0.003378039,-1.19831431,,,,
ENRG.TA,GRU,5.217659925,1.667034795,0.999014121,0.001387952,-1.122397313,,,,
EPIT.TA,LSTM,587.3362209,12.11526152,0.833513354,0.012033449,-0.9812734219,,,,
EQTL.TA,GRU,25951.14595,111.2203774,0.982901261,0.007694416,-0.924060591,,,,
ESLT.TA,XGBoost,18740803.47,2136.541454,0.600720716,0.02485210752,-1,,,,
ETGA.TA,LSTM,413.4011673,12.58259634,0.990236003,0.007028953,-0.988446346,,,,
EVGN.TA,LSTM,40114.34751,52.64657305,0.005146803,0.072570588,-0.9996271918,,,,
EXPO.TA,GRU,293211.9083,417.2250411,0.646896657,0.061617486,-0.6170027359,,,,
FBRT.TA,LSTM,22157.85905,81.81472634,0.990000756,0.005438833,-1,,,,
FEAT.TA,LSTM,94.95246068,7.801263563,0.966691959,0.746213566,-1.174653143,,,,
