Company,MSE,MAE,R2,MAPE
DELG.TA,28582.51366,122.5211192,0.99022944,0.006520053
DIMRI.TA,1663554.256,594.3438111,0.532109649,0.017263451
DIPL.TA,1320.598402,25.04411394,0.99728332,0.005378708
DIFI.TA,54643.41783,182.2837693,0.997026491,0.003204532
DSCT.TA,3436.523296,43.73526201,0.955583716,0.016630574
DISI.TA,46.35958077,5.730856237,0.988496882,0.012922472
DNA.TA,0.991626167,0.891481081,0.99329541,0.009623636
DRAL.TA,7252.124403,64.43461906,0.995612891,0.006595714
DORL.TA,39.85754282,4.710573552,0.994620171,0.003453547
DRSH.TA,1730.066316,33.22620984,0.794447942,0.020015757
DUNI.TA,435990.3173,562.8986046,0.940553079,0.021862479
ECNR.TA,2199.412615,40.22501733,0.946262029,0.014970006
EFCP.TA,16539.54753,93.17670978,-0.544807433,0.057923217
ELAL.TA,7711.754989,62.6187799,0.697519932,0.065553959
EMITF-M.TA,8.558085451,2.25325103,0.999464719,0.003682887
EMTC-M.TA,1.127062973,0.80911641,0.892828971,0.039974258
ESLT.TA,12147262.48,2347.034248,0.943619411,0.021752557
ELCO.TA,52878.52941,173.3127572,0.990251307,0.012429165
ELDAV-M.TA,4.434961506,1.567763585,0.97900705,0.006057597
ECP.TA,15280.52467,100.5891922,0.995945313,0.011667169
ELCP.TA,46261.40619,49.35419441,0.518632205,0.022216264
ELCRE.TA,563.0201717,19.00349851,0.995043463,0.004182218
ELWS.TA,21511.81292,111.3123155,0.992168905,0.005493509
ELLO.TA,466.6157767,17.38781345,0.987992465,0.002980157
ELMR.TA,254.2711045,11.34211428,0.997370673,0.007723775
ELRN.TA,38.80313884,3.954759736,0.975325623,0.009620958
ELSPC.TA,377.8072201,11.25227183,0.978079004,0.013444889
EMCO.TA,77.15297482,7.308544225,0.988053013,0.008249585
EMDV.TA,851.1388757,22.75718074,0.992167568,0.00857436
ENDY.TA,472.8624855,5.856665115,0.857876349,1.037449674
ENOG.TA,452.7360329,15.66694902,0.987726505,0.003378039
ENRG.TA,18.13892089,3.622118514,0.996572645,0.003027235
ENLT.TA,578.01908,19.76316899,0.982354481,0.003256728
ENLV.TA,452.760199,15.86229717,0.910542858,0.035585431
EPIT.TA,587.3362209,12.11526152,0.833513354,0.012033449
EQTL.TA,38202.36707,155.2184615,0.974829154,0.010532939
EFNC-M.TA,4812.062415,60.68133534,-0.441434933,0.253214476
BCUR.TA,0.938721947,0.606770978,0.803438556,0.027712984
ETGA.TA,413.4011673,12.58259634,0.990236003,0.007028953
EVGN.TA,40114.34751,52.64657305,0.005146803,0.072570588
