,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Dividends Paid,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares
RAVD.TA,"[3.37, 2.9, -10.09]","[3.37, 2.9, -10.09]","[None, None, None]","[3.37, 2.9, -10.09]","[3.37, 2.9, -10.09]","[3.37, 2.9, -10.09]","[3.37, 2.9, -10.09]","[3.37, 2.9, -10.09]","[3.37, 2.9, -10.09]","[3.37, 2.9, -10.09]","[3.37, 2.9, -10.09]","[None, None, None]","[3.37, 2.9, -10.09]","[3.37, 2.9, -10.09]","[None, None, None]"
RIMO.TA,"[0.13, 5.85, 27.88]","[0.13, 5.85, 27.88]","[0.13, 5.85, 27.88]","[0.13, 5.85, 27.88]","[0.13, 5.85, 27.88]","[0.13, 5.85, 27.88]","[0.13, 5.85, 27.88]","[0.13, 5.85, 27.88]","[0.13, 5.85, 27.88]","[0.13, 5.85, 27.88]","[None, None, None]","[None, None, None]","[0.13, 5.85, 27.88]","[None, None, None]","[0.13, 5.85, 27.88]"
SHAN.TA,"[-1.43, 3.96, 5.83]","[-1.43, 3.96, 5.83]","[-1.43, 3.96, 5.83]","[-1.43, 3.96, 5.83]","[-1.43, 3.96, 5.83]","[-1.43, 3.96, 5.83]","[-1.43, 3.96, 5.83]","[-1.43, 3.96, 5.83]","[-1.43, 3.96, 5.83]","[-1.43, 3.96, 5.83]","[None, None, None]","[-1.43, 3.96, 5.83]","[None, None, None]","[None, None, None]","[None, None, None]"
SMT.TA,"[4.2, 13.86, -6.78]","[4.2, 13.86, -6.78]","[4.2, 13.86, -6.78]","[4.2, 13.86, -6.78]","[4.2, 13.86, -6.78]","[4.2, 13.86, -6.78]","[4.2, 13.86, -6.78]","[4.2, 13.86, -6.78]","[4.2, 13.86, -6.78]","[4.2, 13.86, -6.78]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[4.2, 13.86, -6.78]"
SNCM.TA,"[-0.73, 8.29, -4.12]","[-0.73, 8.29, -4.12]","[-0.73, 8.29, -4.12]","[-0.73, 8.29, -4.12]","[-0.73, 8.29, -4.12]","[-0.73, 8.29, -4.12]","[-0.73, 8.29, -4.12]","[-0.73, 8.29, -4.12]","[-0.73, 8.29, -4.12]","[-0.73, 8.29, -4.12]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.73, 8.29, -4.12]"
TMRP.TA,"[8.28, 22.61, 2.19]","[8.28, 22.61, 2.19]","[None, None, None]","[None, None, None]","[8.28, 22.61, 2.19]","[8.28, 22.61, 2.19]","[8.28, 22.61, 2.19]","[8.28, 22.61, 2.19]","[8.28, 22.61, 2.19]","[8.28, 22.61, 2.19]","[None, None, None]","[None, None, None]","[8.28, 22.61, 2.19]","[8.28, 22.61, 2.19]","[8.28, 22.61, 2.19]"
TFRLF.TA,"[None, None, None]","[2.48, -10.07, 28.82]","[2.48, -10.07, 28.82]","[2.48, -10.07, 28.82]","[2.48, -10.07, 28.82]","[2.48, -10.07, 28.82]","[2.48, -10.07, 28.82]","[2.48, -10.07, 28.82]","[2.48, -10.07, 28.82]","[2.48, -10.07, 28.82]","[None, None, None]","[None, None, None]","[2.48, -10.07, 28.82]","[2.48, -10.07, 28.82]","[None, None, None]"
TTAM.TA,"[-0.53, 14.48, 75.08]","[-0.53, 14.48, 75.08]","[-0.53, 14.48, 75.08]","[-0.53, 14.48, 75.08]","[-0.53, 14.48, 75.08]","[-0.53, 14.48, 75.08]","[-0.53, 14.48, 75.08]","[-0.53, 14.48, 75.08]","[-0.53, 14.48, 75.08]","[-0.53, 14.48, 75.08]","[None, None, None]","[-0.53, 14.48, 75.08]","[-0.53, 14.48, 75.08]","[-0.53, 14.48, 75.08]","[None, None, None]"
VCTR.TA,"[3.03, 10.8, 19.0]","[3.03, 10.8, 19.0]","[3.03, 10.8, 19.0]","[3.03, 10.8, 19.0]","[None, None, None]","[3.03, 10.8, 19.0]","[3.03, 10.8, 19.0]","[3.03, 10.8, 19.0]","[3.03, 10.8, 19.0]","[3.03, 10.8, 19.0]","[None, None, None]","[3.03, 10.8, 19.0]","[None, None, None]","[None, None, None]","[3.03, 10.8, 19.0]"
VILR.TA,"[None, None, None]","[None, None, None]","[-0.08, 4.88, -2.92]","[None, None, None]","[None, None, None]","[-0.08, 4.88, -2.92]","[-0.08, 4.88, -2.92]","[-0.08, 4.88, -2.92]","[-0.08, 4.88, -2.92]","[-0.08, 4.88, -2.92]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.08, 4.88, -2.92]","[None, None, None]"
VTNA.TA,"[3.44, 12.97, -8.04]","[3.44, 12.97, -8.04]","[3.44, 12.97, -8.04]","[3.44, 12.97, -8.04]","[None, None, None]","[3.44, 12.97, -8.04]","[3.44, 12.97, -8.04]","[3.44, 12.97, -8.04]","[3.44, 12.97, -8.04]","[3.44, 12.97, -8.04]","[3.44, 12.97, -8.04]","[3.44, 12.97, -8.04]","[3.44, 12.97, -8.04]","[3.44, 12.97, -8.04]","[None, None, None]"
XTLB.TA,"[None, None, None]","[-0.94, 9.41, 23.82]","[None, None, None]","[None, None, None]","[-0.94, 9.41, 23.82]","[None, None, None]","[None, None, None]","[-0.94, 9.41, 23.82]","[-0.94, 9.41, 23.82]","[-0.94, 9.41, 23.82]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.94, 9.41, 23.82]"
YHNF.TA,"[1.22, 10.64, 14.55]","[1.22, 10.64, 14.55]","[1.22, 10.64, 14.55]","[1.22, 10.64, 14.55]","[1.22, 10.64, 14.55]","[1.22, 10.64, 14.55]","[1.22, 10.64, 14.55]","[1.22, 10.64, 14.55]","[1.22, 10.64, 14.55]","[1.22, 10.64, 14.55]","[1.22, 10.64, 14.55]","[1.22, 10.64, 14.55]","[1.22, 10.64, 14.55]","[1.22, 10.64, 14.55]","[None, None, None]"
