,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Dividends Paid,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares,Earnings Per Share (EPS)
PCBT.TA,"[0.0, 6.1, 21.65]","[0.0, 6.1, 21.65]","[0.0, 6.1, 21.65]","[0.0, 6.1, 21.65]","[0.0, 6.1, 21.65]","[0.0, 6.1, 21.65]","[0.0, 6.1, 21.65]","[0.0, 6.1, 21.65]","[0.0, 6.1, 21.65]","[None, None, None]","[0.0, 6.1, 21.65]","[0.0, 6.1, 21.65]","[None, None, None]","[None, None, None]","[None, None, None]"
PLSN.TA,"[0.0, 2.53, 5.32]","[0.0, 2.53, 5.32]","[0.0, 2.53, 5.32]","[0.0, 2.53, 5.32]","[0.0, 2.53, 5.32]","[0.0, 2.53, 5.32]","[0.0, 2.53, 5.32]","[0.0, 2.53, 5.32]","[0.0, 2.53, 5.32]","[None, None, None]","[None, None, None]","[0.0, 2.53, 5.32]","[0.0, 2.53, 5.32]","[None, None, None]","[0.0, 2.53, 5.32]"
PPIL.TA,"[0.0, -0.57, 4.12]","[0.0, -0.57, 4.12]","[0.0, -0.57, 4.12]","[0.0, -0.57, 4.12]","[0.0, -0.57, 4.12]","[0.0, -0.57, 4.12]","[0.0, -0.57, 4.12]","[0.0, -0.57, 4.12]","[0.0, -0.57, 4.12]","[None, None, None]","[0.0, -0.57, 4.12]","[0.0, -0.57, 4.12]","[0.0, -0.57, 4.12]","[0.0, -0.57, 4.12]","[0.0, -0.57, 4.12]"
POLI.TA,"[None, None, None]","[0.0, 5.18, 5.98]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 5.18, 5.98]","[0.0, 5.18, 5.98]","[0.0, 5.18, 5.98]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PMVM.TA,"[0.0, -6.31, -18.99]","[0.0, -6.31, -18.99]","[0.0, -6.31, -18.99]","[0.0, -6.31, -18.99]","[0.0, -6.31, -18.99]","[0.0, -6.31, -18.99]","[0.0, -6.31, -18.99]","[0.0, -6.31, -18.99]","[0.0, -6.31, -18.99]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -6.31, -18.99]","[None, None, None]","[None, None, None]"
PRTC.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 3.45, 30.13]","[0.0, 3.45, 30.13]","[0.0, 3.45, 30.13]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 3.45, 30.13]","[None, None, None]","[None, None, None]"
RMN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 3.34, 1.67]","[0.0, 3.34, 1.67]","[0.0, 3.34, 1.67]","[0.0, 3.34, 1.67]","[None, None, None]","[None, None, None]","[0.0, 3.34, 1.67]","[None, None, None]","[None, None, None]"
RIT1.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -2.02, 0.91]","[0.0, -2.02, 0.91]","[0.0, -2.02, 0.91]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -2.02, 0.91]","[0.0, -2.02, 0.91]"
AZRT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -16.31, -10.73]","[0.0, -16.31, -10.73]","[0.0, -16.31, -10.73]","[None, None, None]","[None, None, None]","[0.0, -16.31, -10.73]","[0.0, -16.31, -10.73]","[0.0, -16.31, -10.73]","[None, None, None]"
RTEN.TA,"[None, 1.58, 20.73]","[None, 1.58, 20.73]","[None, 1.58, 20.73]","[None, 1.58, 20.73]","[None, 1.58, 20.73]","[None, 1.58, 20.73]","[None, 1.58, 20.73]","[None, 1.58, 20.73]","[None, 1.58, 20.73]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, 1.58, 20.73]"
