,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Number of Outstanding Shares,Dividends Paid
CLIS.TA,"[1.43, 2.74, 12.95]","[1.43, 2.74, 12.95]","[None, None, None]","[None, None, None]","[1.43, 2.74, 12.95]","[1.43, 2.74, 12.95]","[None, None, None]","[None, None, None]","[1.43, 2.74, 12.95]","[None, None, None]","[None, None, None]","[1.43, 2.74, 12.95]","[1.43, 2.74, 12.95]","[None, None, None]","[None, None, None]"
CGEN.TA,"[None, None, None]","[2.35, -2.46, -11.65]","[2.35, -2.46, -11.65]","[None, None, None]","[2.35, -2.46, -11.65]","[2.35, -2.46, -11.65]","[None, None, None]","[None, None, None]","[2.35, -2.46, -11.65]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[2.35, -2.46, -11.65]","[None, None, None]"
DANH.TA,"[0.0, -0.32, -1.6]","[0.0, -0.32, -1.6]","[0.0, -0.32, -1.6]","[None, None, None]","[0.0, -0.32, -1.6]","[0.0, -0.32, -1.6]","[0.0, -0.32, -1.6]","[0.0, -0.32, -1.6]","[0.0, -0.32, -1.6]","[0.0, -0.32, -1.6]","[0.0, -0.32, -1.6]","[0.0, -0.32, -1.6]","[0.0, -0.32, -1.6]","[None, None, None]","[None, None, None]"
DNYA.TA,"[2.08, 4.4, 12.78]","[2.08, 4.4, 12.78]","[2.08, 4.4, 12.78]","[2.08, 4.4, 12.78]","[2.08, 4.4, 12.78]","[2.08, 4.4, 12.78]","[None, None, None]","[None, None, None]","[2.08, 4.4, 12.78]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DLEA.TA,"[0.15, -3.04, 0.82]","[0.15, -3.04, 0.82]","[None, None, None]","[0.15, -3.04, 0.82]","[0.15, -3.04, 0.82]","[0.15, -3.04, 0.82]","[0.15, -3.04, 0.82]","[0.15, -3.04, 0.82]","[0.15, -3.04, 0.82]","[0.15, -3.04, 0.82]","[0.15, -3.04, 0.82]","[0.15, -3.04, 0.82]","[0.15, -3.04, 0.82]","[None, None, None]","[0.15, -3.04, 0.82]"
DLEKG.TA,"[None, None, None]","[-0.85, -12.38, 10.29]","[None, None, None]","[None, None, None]","[-0.85, -12.38, 10.29]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.85, -12.38, 10.29]","[None, None, None]"
DELG.TA,"[-0.41, 4.75, 42.94]","[-0.41, 4.75, 42.94]","[-0.41, 4.75, 42.94]","[-0.41, 4.75, 42.94]","[-0.41, 4.75, 42.94]","[-0.41, 4.75, 42.94]","[None, None, None]","[None, None, None]","[-0.41, 4.75, 42.94]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DIPL.TA,"[-0.36, -4.87, -5.09]","[-0.36, -4.87, -5.09]","[-0.36, -4.87, -5.09]","[-0.36, -4.87, -5.09]","[-0.36, -4.87, -5.09]","[-0.36, -4.87, -5.09]","[None, None, None]","[None, None, None]","[-0.36, -4.87, -5.09]","[-0.36, -4.87, -5.09]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DSCT.TA,"[None, None, None]","[0.68, 1.81, 11.67]","[0.68, 1.81, 11.67]","[None, None, None]","[0.68, 1.81, 11.67]","[0.68, 1.81, 11.67]","[None, None, None]","[None, None, None]","[0.68, 1.81, 11.67]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DISI.TA,"[None, None, None]","[-0.41, 6.53, 2.99]","[None, None, None]","[None, None, None]","[-0.41, 6.53, 2.99]","[-0.41, 6.53, 2.99]","[-0.41, 6.53, 2.99]","[-0.41, 6.53, 2.99]","[-0.41, 6.53, 2.99]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DRAL.TA,"[0.21, 0.98, 9.35]","[0.21, 0.98, 9.35]","[None, None, None]","[None, None, None]","[0.21, 0.98, 9.35]","[0.21, 0.98, 9.35]","[0.21, 0.98, 9.35]","[None, None, None]","[0.21, 0.98, 9.35]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ELAL.TA,"[-0.69, -4.92, -11.07]","[None, None, None]","[None, None, None]","[-0.69, -4.92, -11.07]","[-0.69, -4.92, -11.07]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.69, -4.92, -11.07]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ESLT.TA,"[0.53, -2.02, 1.0]","[0.53, -2.02, 1.0]","[0.53, -2.02, 1.0]","[0.53, -2.02, 1.0]","[0.53, -2.02, 1.0]","[0.53, -2.02, 1.0]","[0.53, -2.02, 1.0]","[0.53, -2.02, 1.0]","[0.53, -2.02, 1.0]","[0.53, -2.02, 1.0]","[0.53, -2.02, 1.0]","[0.53, -2.02, 1.0]","[0.53, -2.02, 1.0]","[0.53, -2.02, 1.0]","[0.53, -2.02, 1.0]"
ELCO.TA,"[0.05, 1.18, 9.91]","[0.05, 1.18, 9.91]","[0.05, 1.18, 9.91]","[None, None, None]","[0.05, 1.18, 9.91]","[None, None, None]","[None, None, None]","[None, None, None]","[0.05, 1.18, 9.91]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.05, 1.18, 9.91]"
ELTR.TA,"[-0.87, 0.94, 6.03]","[-0.87, 0.94, 6.03]","[None, None, None]","[-0.87, 0.94, 6.03]","[-0.87, 0.94, 6.03]","[-0.87, 0.94, 6.03]","[None, None, None]","[None, None, None]","[-0.87, 0.94, 6.03]","[-0.87, 0.94, 6.03]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ECP.TA,"[-1.28, -1.77, 6.09]","[-1.28, -1.77, 6.09]","[-1.28, -1.77, 6.09]","[-1.28, -1.77, 6.09]","[-1.28, -1.77, 6.09]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.28, -1.77, 6.09]","[-1.28, -1.77, 6.09]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.28, -1.77, 6.09]"
ELCP.TA,"[-1.14, 2.12, -0.41]","[-1.14, 2.12, -0.41]","[None, None, None]","[None, None, None]","[-1.14, 2.12, -0.41]","[-1.14, 2.12, -0.41]","[None, None, None]","[None, None, None]","[-1.14, 2.12, -0.41]","[None, None, None]","[-1.14, 2.12, -0.41]","[-1.14, 2.12, -0.41]","[-1.14, 2.12, -0.41]","[None, None, None]","[None, None, None]"
ELCRE.TA,"[None, None, None]","[1.51, 7.24, 36.08]","[None, None, None]","[None, None, None]","[1.51, 7.24, 36.08]","[None, None, None]","[None, None, None]","[None, None, None]","[1.51, 7.24, 36.08]","[None, None, None]","[1.51, 7.24, 36.08]","[1.51, 7.24, 36.08]","[1.51, 7.24, 36.08]","[None, None, None]","[1.51, 7.24, 36.08]"
ELWS.TA,"[None, None, None]","[2.12, 0.78, -12.46]","[2.12, 0.78, -12.46]","[None, None, None]","[2.12, 0.78, -12.46]","[2.12, 0.78, -12.46]","[None, None, None]","[None, None, None]","[2.12, 0.78, -12.46]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENOG.TA,"[3.18, -6.09, -1.71]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENLT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENLV.TA,"[None, None, None]","[3.96, -2.46, 3.06]","[3.96, -2.46, 3.06]","[None, None, None]","[3.96, -2.46, 3.06]","[3.96, -2.46, 3.06]","[None, None, None]","[None, None, None]","[3.96, -2.46, 3.06]","[3.96, -2.46, 3.06]","[3.96, -2.46, 3.06]","[3.96, -2.46, 3.06]","[3.96, -2.46, 3.06]","[3.96, -2.46, 3.06]","[None, None, None]"
EQTL.TA,"[-1.7, 0.95, 4.74]","[-1.7, 0.95, 4.74]","[None, None, None]","[None, None, None]","[-1.7, 0.95, 4.74]","[-1.7, 0.95, 4.74]","[None, None, None]","[None, None, None]","[-1.7, 0.95, 4.74]","[-1.7, 0.95, 4.74]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
EVGN.TA,"[6.91, -10.2, -21.75]","[6.91, -10.2, -21.75]","[6.91, -10.2, -21.75]","[6.91, -10.2, -21.75]","[6.91, -10.2, -21.75]","[6.91, -10.2, -21.75]","[None, None, None]","[None, None, None]","[6.91, -10.2, -21.75]","[6.91, -10.2, -21.75]","[None, None, None]","[6.91, -10.2, -21.75]","[6.91, -10.2, -21.75]","[6.91, -10.2, -21.75]","[None, None, None]"
FTAL.TA,"[-1.22, -7.52, -10.21]","[-1.22, -7.52, -10.21]","[None, None, None]","[None, None, None]","[-1.22, -7.52, -10.21]","[-1.22, -7.52, -10.21]","[None, None, None]","[-1.22, -7.52, -10.21]","[-1.22, -7.52, -10.21]","[-1.22, -7.52, -10.21]","[-1.22, -7.52, -10.21]","[-1.22, -7.52, -10.21]","[-1.22, -7.52, -10.21]","[None, None, None]","[None, None, None]"
FRSX.TA,"[None, None, None]","[2.88, -19.99, -26.76]","[2.88, -19.99, -26.76]","[None, None, None]","[2.88, -19.99, -26.76]","[2.88, -19.99, -26.76]","[None, None, None]","[None, None, None]","[2.88, -19.99, -26.76]","[2.88, -19.99, -26.76]","[2.88, -19.99, -26.76]","[2.88, -19.99, -26.76]","[2.88, -19.99, -26.76]","[None, None, None]","[None, None, None]"
FORTY.TA,"[-0.77, 1.53, 2.75]","[-0.77, 1.53, 2.75]","[-0.77, 1.53, 2.75]","[-0.77, 1.53, 2.75]","[-0.77, 1.53, 2.75]","[-0.77, 1.53, 2.75]","[-0.77, 1.53, 2.75]","[-0.77, 1.53, 2.75]","[-0.77, 1.53, 2.75]","[-0.77, 1.53, 2.75]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.77, 1.53, 2.75]","[None, None, None]"
FOX.TA,"[0.75, 0.77, 4.15]","[0.75, 0.77, 4.15]","[0.75, 0.77, 4.15]","[0.75, 0.77, 4.15]","[0.75, 0.77, 4.15]","[0.75, 0.77, 4.15]","[0.75, 0.77, 4.15]","[0.75, 0.77, 4.15]","[0.75, 0.77, 4.15]","[0.75, 0.77, 4.15]","[0.75, 0.77, 4.15]","[0.75, 0.77, 4.15]","[0.75, 0.77, 4.15]","[None, None, None]","[None, None, None]"
GSFI.TA,"[0.9, -0.77, 3.44]","[0.9, -0.77, 3.44]","[0.9, -0.77, 3.44]","[0.9, -0.77, 3.44]","[0.9, -0.77, 3.44]","[0.9, -0.77, 3.44]","[None, None, None]","[None, None, None]","[0.9, -0.77, 3.44]","[0.9, -0.77, 3.44]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GAGR.TA,"[1.55, 4.63, -2.05]","[1.55, 4.63, -2.05]","[1.55, 4.63, -2.05]","[1.55, 4.63, -2.05]","[1.55, 4.63, -2.05]","[1.55, 4.63, -2.05]","[1.55, 4.63, -2.05]","[1.55, 4.63, -2.05]","[1.55, 4.63, -2.05]","[1.55, 4.63, -2.05]","[1.55, 4.63, -2.05]","[1.55, 4.63, -2.05]","[1.55, 4.63, -2.05]","[None, None, None]","[None, None, None]"
GVYM.TA,"[-1.96, 4.95, 11.88]","[-1.96, 4.95, 11.88]","[None, None, None]","[None, None, None]","[-1.96, 4.95, 11.88]","[-1.96, 4.95, 11.88]","[None, None, None]","[None, None, None]","[-1.96, 4.95, 11.88]","[-1.96, 4.95, 11.88]","[-1.96, 4.95, 11.88]","[None, None, None]","[-1.96, 4.95, 11.88]","[None, None, None]","[-1.96, 4.95, 11.88]"
GNRS.TA,"[None, None, None]","[-0.71, -5.64, -6.51]","[None, None, None]","[None, None, None]","[-0.71, -5.64, -6.51]","[-0.71, -5.64, -6.51]","[None, None, None]","[None, None, None]","[-0.71, -5.64, -6.51]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.71, -5.64, -6.51]"
GILT.TA,"[1.09, -0.18, -7.16]","[1.09, -0.18, -7.16]","[1.09, -0.18, -7.16]","[1.09, -0.18, -7.16]","[1.09, -0.18, -7.16]","[1.09, -0.18, -7.16]","[None, None, None]","[None, None, None]","[1.09, -0.18, -7.16]","[1.09, -0.18, -7.16]","[1.09, -0.18, -7.16]","[1.09, -0.18, -7.16]","[None, None, None]","[1.09, -0.18, -7.16]","[1.09, -0.18, -7.16]"
GRIN.TA,"[-1.14, 5.31, 15.52]","[-1.14, 5.31, 15.52]","[-1.14, 5.31, 15.52]","[-1.14, 5.31, 15.52]","[-1.14, 5.31, 15.52]","[-1.14, 5.31, 15.52]","[-1.14, 5.31, 15.52]","[-1.14, 5.31, 15.52]","[-1.14, 5.31, 15.52]","[-1.14, 5.31, 15.52]","[-1.14, 5.31, 15.52]","[-1.14, 5.31, 15.52]","[-1.14, 5.31, 15.52]","[None, None, None]","[None, None, None]"
GOLD.TA,"[-0.08, 9.04, 7.09]","[-0.08, 9.04, 7.09]","[-0.08, 9.04, 7.09]","[-0.08, 9.04, 7.09]","[-0.08, 9.04, 7.09]","[-0.08, 9.04, 7.09]","[-0.08, 9.04, 7.09]","[-0.08, 9.04, 7.09]","[-0.08, 9.04, 7.09]","[None, None, None]","[-0.08, 9.04, 7.09]","[-0.08, 9.04, 7.09]","[-0.08, 9.04, 7.09]","[-0.08, 9.04, 7.09]","[None, None, None]"
GOHO.TA,"[2.25, -1.76, 3.97]","[2.25, -1.76, 3.97]","[None, None, None]","[2.25, -1.76, 3.97]","[2.25, -1.76, 3.97]","[2.25, -1.76, 3.97]","[None, None, None]","[None, None, None]","[2.25, -1.76, 3.97]","[2.25, -1.76, 3.97]","[2.25, -1.76, 3.97]","[2.25, -1.76, 3.97]","[2.25, -1.76, 3.97]","[2.25, -1.76, 3.97]","[None, None, None]"
HAMAT.TA,"[0.15, 10.84, 14.49]","[0.15, 10.84, 14.49]","[0.15, 10.84, 14.49]","[0.15, 10.84, 14.49]","[0.15, 10.84, 14.49]","[0.15, 10.84, 14.49]","[None, None, None]","[None, None, None]","[0.15, 10.84, 14.49]","[0.15, 10.84, 14.49]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HARL.TA,"[-0.42, -1.84, -0.07]","[-0.42, -1.84, -0.07]","[None, None, None]","[None, None, None]","[-0.42, -1.84, -0.07]","[-0.42, -1.84, -0.07]","[None, None, None]","[None, None, None]","[-0.42, -1.84, -0.07]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HLAN.TA,"[2.0, 6.69, 7.1]","[2.0, 6.69, 7.1]","[None, None, None]","[2.0, 6.69, 7.1]","[2.0, 6.69, 7.1]","[2.0, 6.69, 7.1]","[2.0, 6.69, 7.1]","[2.0, 6.69, 7.1]","[2.0, 6.69, 7.1]","[2.0, 6.69, 7.1]","[2.0, 6.69, 7.1]","[2.0, 6.69, 7.1]","[2.0, 6.69, 7.1]","[None, None, None]","[None, None, None]"
HRON.TA,"[None, None, None]","[-0.52, 5.81, 8.11]","[-0.52, 5.81, 8.11]","[-0.52, 5.81, 8.11]","[-0.52, 5.81, 8.11]","[-0.52, 5.81, 8.11]","[-0.52, 5.81, 8.11]","[-0.52, 5.81, 8.11]","[-0.52, 5.81, 8.11]","[None, None, None]","[-0.52, 5.81, 8.11]","[-0.52, 5.81, 8.11]","[-0.52, 5.81, 8.11]","[None, None, None]","[None, None, None]"
HLMS.TA,"[-0.94, -2.7, 1.07]","[-0.94, -2.7, 1.07]","[-0.94, -2.7, 1.07]","[-0.94, -2.7, 1.07]","[-0.94, -2.7, 1.07]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.94, -2.7, 1.07]","[None, None, None]","[-0.94, -2.7, 1.07]","[-0.94, -2.7, 1.07]","[-0.94, -2.7, 1.07]","[None, None, None]","[None, None, None]"
INRM.TA,"[-0.21, 7.27, -0.39]","[-0.21, 7.27, -0.39]","[-0.21, 7.27, -0.39]","[-0.21, 7.27, -0.39]","[-0.21, 7.27, -0.39]","[-0.21, 7.27, -0.39]","[None, None, None]","[None, None, None]","[-0.21, 7.27, -0.39]","[-0.21, 7.27, -0.39]","[-0.21, 7.27, -0.39]","[-0.21, 7.27, -0.39]","[-0.21, 7.27, -0.39]","[None, None, None]","[-0.21, 7.27, -0.39]"
INCR.TA,"[3.92, -5.19, -2.81]","[3.92, -5.19, -2.81]","[3.92, -5.19, -2.81]","[3.92, -5.19, -2.81]","[3.92, -5.19, -2.81]","[3.92, -5.19, -2.81]","[3.92, -5.19, -2.81]","[3.92, -5.19, -2.81]","[3.92, -5.19, -2.81]","[3.92, -5.19, -2.81]","[3.92, -5.19, -2.81]","[3.92, -5.19, -2.81]","[3.92, -5.19, -2.81]","[3.92, -5.19, -2.81]","[None, None, None]"
ISCN.TA,"[1.77, 16.83, 24.44]","[1.77, 16.83, 24.44]","[None, None, None]","[None, None, None]","[1.77, 16.83, 24.44]","[1.77, 16.83, 24.44]","[None, None, None]","[None, None, None]","[1.77, 16.83, 24.44]","[1.77, 16.83, 24.44]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ISRA.TA,"[-0.07, 6.25, 6.67]","[-0.07, 6.25, 6.67]","[-0.07, 6.25, 6.67]","[None, None, None]","[-0.07, 6.25, 6.67]","[-0.07, 6.25, 6.67]","[None, None, None]","[None, None, None]","[-0.07, 6.25, 6.67]","[-0.07, 6.25, 6.67]","[-0.07, 6.25, 6.67]","[-0.07, 6.25, 6.67]","[-0.07, 6.25, 6.67]","[-0.07, 6.25, 6.67]","[None, None, None]"
ISTA.TA,"[0.84, 9.63, 5.48]","[0.84, 9.63, 5.48]","[0.84, 9.63, 5.48]","[0.84, 9.63, 5.48]","[0.84, 9.63, 5.48]","[0.84, 9.63, 5.48]","[None, None, None]","[None, None, None]","[0.84, 9.63, 5.48]","[0.84, 9.63, 5.48]","[None, None, None]","[0.84, 9.63, 5.48]","[0.84, 9.63, 5.48]","[0.84, 9.63, 5.48]","[None, None, None]"
JBNK.TA,"[None, None, None]","[-0.37, 6.04, 10.86]","[None, None, None]","[None, None, None]","[-0.37, 6.04, 10.86]","[-0.37, 6.04, 10.86]","[None, None, None]","[None, None, None]","[-0.37, 6.04, 10.86]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KAFR.TA,"[-0.63, 0.31, 12.95]","[-0.63, 0.31, 12.95]","[None, None, None]","[-0.63, 0.31, 12.95]","[-0.63, 0.31, 12.95]","[-0.63, 0.31, 12.95]","[-0.63, 0.31, 12.95]","[-0.63, 0.31, 12.95]","[-0.63, 0.31, 12.95]","[-0.63, 0.31, 12.95]","[-0.63, 0.31, 12.95]","[-0.63, 0.31, 12.95]","[-0.63, 0.31, 12.95]","[None, None, None]","[None, None, None]"
KMDA.TA,"[0.44, -4.8, -8.49]","[0.44, -4.8, -8.49]","[0.44, -4.8, -8.49]","[0.44, -4.8, -8.49]","[0.44, -4.8, -8.49]","[0.44, -4.8, -8.49]","[0.44, -4.8, -8.49]","[0.44, -4.8, -8.49]","[0.44, -4.8, -8.49]","[0.44, -4.8, -8.49]","[0.44, -4.8, -8.49]","[0.44, -4.8, -8.49]","[0.44, -4.8, -8.49]","[None, None, None]","[None, None, None]"
KRDI.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.16, 40.98, 26.32]","[1.16, 40.98, 26.32]","[None, None, None]","[None, None, None]","[1.16, 40.98, 26.32]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KEN.TA,"[None, None, None]","[-0.22, 1.84, 19.21]","[-0.22, 1.84, 19.21]","[-0.22, 1.84, 19.21]","[-0.22, 1.84, 19.21]","[-0.22, 1.84, 19.21]","[-0.22, 1.84, 19.21]","[-0.22, 1.84, 19.21]","[-0.22, 1.84, 19.21]","[-0.22, 1.84, 19.21]","[-0.22, 1.84, 19.21]","[-0.22, 1.84, 19.21]","[-0.22, 1.84, 19.21]","[None, None, None]","[None, None, None]"
KRUR.TA,"[-0.31, -3.75, 0.25]","[-0.31, -3.75, 0.25]","[-0.31, -3.75, 0.25]","[-0.31, -3.75, 0.25]","[-0.31, -3.75, 0.25]","[-0.31, -3.75, 0.25]","[None, None, None]","[None, None, None]","[-0.31, -3.75, 0.25]","[-0.31, -3.75, 0.25]","[-0.31, -3.75, 0.25]","[-0.31, -3.75, 0.25]","[-0.31, -3.75, 0.25]","[None, None, None]","[-0.31, -3.75, 0.25]"
LAHAV.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LPHL.TA,"[-1.61, -2.66, -2.01]","[None, None, None]","[-1.61, -2.66, -2.01]","[None, None, None]","[-1.61, -2.66, -2.01]","[-1.61, -2.66, -2.01]","[None, None, None]","[None, None, None]","[-1.61, -2.66, -2.01]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LSCO.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.7, 11.88, 8.28]","[-1.7, 11.88, 8.28]","[None, None, None]","[None, None, None]","[-1.7, 11.88, 8.28]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LEOF.TA,"[-1.11, 5.69, 43.74]","[-1.11, 5.69, 43.74]","[-1.11, 5.69, 43.74]","[-1.11, 5.69, 43.74]","[-1.11, 5.69, 43.74]","[-1.11, 5.69, 43.74]","[None, None, None]","[None, None, None]","[-1.11, 5.69, 43.74]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LCTX.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LPSN.TA,"[-0.75, 0.67, 7.64]","[-0.75, 0.67, 7.64]","[-0.75, 0.67, 7.64]","[None, None, None]","[-0.75, 0.67, 7.64]","[-0.75, 0.67, 7.64]","[None, None, None]","[-0.75, 0.67, 7.64]","[-0.75, 0.67, 7.64]","[-0.75, 0.67, 7.64]","[-0.75, 0.67, 7.64]","[-0.75, 0.67, 7.64]","[-0.75, 0.67, 7.64]","[-0.75, 0.67, 7.64]","[None, None, None]"
MLTM.TA,"[0.99, 4.23, 7.13]","[0.99, 4.23, 7.13]","[0.99, 4.23, 7.13]","[0.99, 4.23, 7.13]","[0.99, 4.23, 7.13]","[0.99, 4.23, 7.13]","[0.99, 4.23, 7.13]","[0.99, 4.23, 7.13]","[0.99, 4.23, 7.13]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.99, 4.23, 7.13]","[None, None, None]"
MTRX.TA,"[0.62, 3.91, 4.29]","[0.62, 3.91, 4.29]","[0.62, 3.91, 4.29]","[0.62, 3.91, 4.29]","[0.62, 3.91, 4.29]","[0.62, 3.91, 4.29]","[0.62, 3.91, 4.29]","[0.62, 3.91, 4.29]","[0.62, 3.91, 4.29]","[0.62, 3.91, 4.29]","[None, None, None]","[0.62, 3.91, 4.29]","[0.62, 3.91, 4.29]","[None, None, None]","[0.62, 3.91, 4.29]"
MAXO.TA,"[0.32, -4.53, -7.59]","[0.32, -4.53, -7.59]","[0.32, -4.53, -7.59]","[0.32, -4.53, -7.59]","[0.32, -4.53, -7.59]","[0.32, -4.53, -7.59]","[0.32, -4.53, -7.59]","[0.32, -4.53, -7.59]","[0.32, -4.53, -7.59]","[0.32, -4.53, -7.59]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MTRN.TA,"[0.23, 6.54, 14.5]","[0.23, 6.54, 14.5]","[0.23, 6.54, 14.5]","[0.23, 6.54, 14.5]","[0.23, 6.54, 14.5]","[0.23, 6.54, 14.5]","[0.23, 6.54, 14.5]","[0.23, 6.54, 14.5]","[0.23, 6.54, 14.5]","[0.23, 6.54, 14.5]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.23, 6.54, 14.5]"
MDPR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.33, 2.66, 3.88]","[None, None, None]"
MNIN.TA,"[1.89, 3.08, 19.28]","[1.89, 3.08, 19.28]","[1.89, 3.08, 19.28]","[1.89, 3.08, 19.28]","[1.89, 3.08, 19.28]","[1.89, 3.08, 19.28]","[1.89, 3.08, 19.28]","[1.89, 3.08, 19.28]","[1.89, 3.08, 19.28]","[1.89, 3.08, 19.28]","[1.89, 3.08, 19.28]","[1.89, 3.08, 19.28]","[1.89, 3.08, 19.28]","[None, None, None]","[1.89, 3.08, 19.28]"
MNRT.TA,"[None, None, None]","[-0.07, 9.4, 9.34]","[-0.07, 9.4, 9.34]","[None, None, None]","[-0.07, 9.4, 9.34]","[-0.07, 9.4, 9.34]","[None, None, None]","[-0.07, 9.4, 9.34]","[-0.07, 9.4, 9.34]","[None, None, None]","[-0.07, 9.4, 9.34]","[-0.07, 9.4, 9.34]","[-0.07, 9.4, 9.34]","[None, None, None]","[-0.07, 9.4, 9.34]"
MGRT.TA,"[None, None, None]","[1.93, 11.61, 5.67]","[1.93, 11.61, 5.67]","[None, None, None]","[1.93, 11.61, 5.67]","[None, None, None]","[None, None, None]","[None, None, None]","[1.93, 11.61, 5.67]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MCRNT.TA,"[-1.02, 10.76, 18.49]","[-1.02, 10.76, 18.49]","[None, None, None]","[-1.02, 10.76, 18.49]","[-1.02, 10.76, 18.49]","[-1.02, 10.76, 18.49]","[-1.02, 10.76, 18.49]","[None, None, None]","[-1.02, 10.76, 18.49]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MLD.TA,"[1.91, -5.83, -3.24]","[1.91, -5.83, -3.24]","[None, None, None]","[1.91, -5.83, -3.24]","[1.91, -5.83, -3.24]","[1.91, -5.83, -3.24]","[None, None, None]","[None, None, None]","[1.91, -5.83, -3.24]","[1.91, -5.83, -3.24]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MZTF.TA,"[None, None, None]","[-1.1, 1.38, 12.17]","[None, None, None]","[None, None, None]","[-1.1, 1.38, 12.17]","[-1.1, 1.38, 12.17]","[None, None, None]","[-1.1, 1.38, 12.17]","[-1.1, 1.38, 12.17]","[None, None, None]","[-1.1, 1.38, 12.17]","[-1.1, 1.38, 12.17]","[-1.1, 1.38, 12.17]","[None, None, None]","[None, None, None]"
