,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Total Assets,Total Liabilities,Shareholders’ Equity,Dividends Paid,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares
DANH.TA,"[0.0, 1.76, -8.11]","[0.0, 1.76, -8.11]","[0.0, 1.76, -8.11]","[0.0, 1.76, -8.11]","[0.0, 1.76, -8.11]","[0.0, 1.76, -8.11]","[0.0, 1.76, -8.11]","[0.0, 1.76, -8.11]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 1.76, -8.11]","[0.0, 1.76, -8.11]","[None, None, None]"
DLEA.TA,"[0.0, 3.48, 9.39]","[0.0, 3.48, 9.39]","[None, None, None]","[0.0, 3.48, 9.39]","[0.0, 3.48, 9.39]","[0.0, 3.48, 9.39]","[0.0, 3.48, 9.39]","[0.0, 3.48, 9.39]","[0.0, 3.48, 9.39]","[0.0, 3.48, 9.39]","[0.0, 3.48, 9.39]","[0.0, 3.48, 9.39]","[0.0, 3.48, 9.39]","[0.0, 3.48, 9.39]","[None, None, None]"
DLEKG.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DIMRI.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -1.61, -9.96]","[None, None, None]","[0.0, -1.61, -9.96]","[0.0, -1.61, -9.96]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DSCT.TA,"[None, None, None]","[0.0, 7.41, 1.55]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 7.41, 1.55]","[0.0, 7.41, 1.55]","[0.0, 7.41, 1.55]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 7.41, 1.55]","[None, None, None]"
DISI.TA,"[None, None, None]","[0.0, -10.06, -20.49]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -10.06, -20.49]","[0.0, -10.06, -20.49]","[0.0, -10.06, -20.49]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DRAL.TA,"[0.0, 2.0, -14.18]","[0.0, 2.0, -14.18]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 2.0, -14.18]","[0.0, 2.0, -14.18]","[0.0, 2.0, -14.18]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ELAL.TA,"[0.0, 5.19, -1.87]","[0.0, 5.19, -1.87]","[None, None, None]","[0.0, 5.19, -1.87]","[None, None, None]","[0.0, 5.19, -1.87]","[0.0, 5.19, -1.87]","[0.0, 5.19, -1.87]","[None, None, None]","[0.0, 5.19, -1.87]","[None, None, None]","[0.0, 5.19, -1.87]","[0.0, 5.19, -1.87]","[None, None, None]","[None, None, None]"
ECP.TA,"[0.0, 1.9, -15.03]","[0.0, 1.9, -15.03]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 1.9, -15.03]","[None, None, None]","[0.0, 1.9, -15.03]","[0.0, 1.9, -15.03]","[0.0, 1.9, -15.03]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ELCP.TA,"[0.0, 2.75, -4.05]","[0.0, 2.75, -4.05]","[None, None, None]","[None, None, None]","[0.0, 2.75, -4.05]","[0.0, 2.75, -4.05]","[0.0, 2.75, -4.05]","[0.0, 2.75, -4.05]","[None, None, None]","[0.0, 2.75, -4.05]","[0.0, 2.75, -4.05]","[0.0, 2.75, -4.05]","[None, None, None]","[0.0, 2.75, -4.05]","[None, None, None]"
