,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
ISCN.TA,"[4.53, 19.3, 53.49]","[4.53, 19.3, 53.49]","[4.53, 19.3, 53.49]","[4.53, 19.3, 53.49]","[4.53, 19.3, 53.49]","[4.53, 19.3, 53.49]","[4.53, 19.3, 53.49]","[4.53, 19.3, 53.49]","[4.53, 19.3, 53.49]","[4.53, 19.3, 53.49]","[4.53, 19.3, 53.49]","[4.53, 19.3, 53.49]","[4.53, 19.3, 53.49]","[None, None, None]","[None, None, None]"
ISRA.TA,"[1.17, 9.41, 9.05]","[1.17, 9.41, 9.05]","[1.17, 9.41, 9.05]","[None, None, None]","[1.17, 9.41, 9.05]","[1.17, 9.41, 9.05]","[1.17, 9.41, 9.05]","[1.17, 9.41, 9.05]","[1.17, 9.41, 9.05]","[1.17, 9.41, 9.05]","[None, None, None]","[1.17, 9.41, 9.05]","[1.17, 9.41, 9.05]","[1.17, 9.41, 9.05]","[1.17, 9.41, 9.05]"
ISRO.TA,"[1.34, 10.97, 13.09]","[1.34, 10.97, 13.09]","[None, None, None]","[1.34, 10.97, 13.09]","[1.34, 10.97, 13.09]","[None, None, None]","[None, None, None]","[1.34, 10.97, 13.09]","[1.34, 10.97, 13.09]","[1.34, 10.97, 13.09]","[None, None, None]","[1.34, 10.97, 13.09]","[1.34, 10.97, 13.09]","[None, None, None]","[None, None, None]"
JBNK.TA,"[-0.51, 1.18, 2.46]","[-0.51, 1.18, 2.46]","[-0.51, 1.18, 2.46]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.51, 1.18, 2.46]","[-0.51, 1.18, 2.46]","[-0.51, 1.18, 2.46]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KAFR.TA,"[-1.32, -0.05, 27.31]","[-1.32, -0.05, 27.31]","[-1.32, -0.05, 27.31]","[-1.32, -0.05, 27.31]","[-1.32, -0.05, 27.31]","[-1.32, -0.05, 27.31]","[-1.32, -0.05, 27.31]","[-1.32, -0.05, 27.31]","[-1.32, -0.05, 27.31]","[-1.32, -0.05, 27.31]","[None, None, None]","[-1.32, -0.05, 27.31]","[-1.32, -0.05, 27.31]","[-1.32, -0.05, 27.31]","[None, None, None]"
KMDA.TA,"[-0.66, -3.55, -10.2]","[-0.66, -3.55, -10.2]","[-0.66, -3.55, -10.2]","[-0.66, -3.55, -10.2]","[-0.66, -3.55, -10.2]","[-0.66, -3.55, -10.2]","[-0.66, -3.55, -10.2]","[-0.66, -3.55, -10.2]","[-0.66, -3.55, -10.2]","[-0.66, -3.55, -10.2]","[-0.66, -3.55, -10.2]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KRDI.TA,"[0.67, -9.83, 19.07]","[0.67, -9.83, 19.07]","[0.67, -9.83, 19.07]","[0.67, -9.83, 19.07]","[0.67, -9.83, 19.07]","[0.67, -9.83, 19.07]","[0.67, -9.83, 19.07]","[0.67, -9.83, 19.07]","[0.67, -9.83, 19.07]","[0.67, -9.83, 19.07]","[0.67, -9.83, 19.07]","[0.67, -9.83, 19.07]","[None, None, None]","[None, None, None]","[0.67, -9.83, 19.07]"
KEN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KRUR.TA,"[0.18, 6.59, -1.17]","[0.18, 6.59, -1.17]","[None, None, None]","[0.18, 6.59, -1.17]","[0.18, 6.59, -1.17]","[0.18, 6.59, -1.17]","[0.18, 6.59, -1.17]","[0.18, 6.59, -1.17]","[0.18, 6.59, -1.17]","[0.18, 6.59, -1.17]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KLIL.TA,"[0.77, -0.11, 6.76]","[0.77, -0.11, 6.76]","[None, None, None]","[0.77, -0.11, 6.76]","[0.77, -0.11, 6.76]","[None, None, None]","[None, None, None]","[0.77, -0.11, 6.76]","[None, None, None]","[0.77, -0.11, 6.76]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KNFM.TA,"[None, None, None]","[-4.88, -2.4, 35.3]","[None, None, None]","[None, None, None]","[-4.88, -2.4, 35.3]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-4.88, -2.4, 35.3]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LAHAV.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LUMI.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LEVI.TA,"[-3.07, 10.4, 31.55]","[-3.07, 10.4, 31.55]","[-3.07, 10.4, 31.55]","[-3.07, 10.4, 31.55]","[-3.07, 10.4, 31.55]","[-3.07, 10.4, 31.55]","[-3.07, 10.4, 31.55]","[-3.07, 10.4, 31.55]","[-3.07, 10.4, 31.55]","[-3.07, 10.4, 31.55]","[None, None, None]","[-3.07, 10.4, 31.55]","[-3.07, 10.4, 31.55]","[-3.07, 10.4, 31.55]","[None, None, None]"
LCTX.TA,"[-4.38, 10.73, 33.56]","[-4.38, 10.73, 33.56]","[-4.38, 10.73, 33.56]","[-4.38, 10.73, 33.56]","[-4.38, 10.73, 33.56]","[-4.38, 10.73, 33.56]","[-4.38, 10.73, 33.56]","[-4.38, 10.73, 33.56]","[-4.38, 10.73, 33.56]","[-4.38, 10.73, 33.56]","[-4.38, 10.73, 33.56]","[None, None, None]","[None, None, None]","[None, None, None]","[-4.38, 10.73, 33.56]"
