,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
ACCL.TA,"[7.47, 22.56, 57.04]","[7.47, 22.56, 57.04]","[7.47, 22.56, 57.04]","[7.47, 22.56, 57.04]","[7.47, 22.56, 57.04]","[7.47, 22.56, 57.04]","[7.47, 22.56, 57.04]","[7.47, 22.56, 57.04]","[7.47, 22.56, 57.04]","[7.47, 22.56, 57.04]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ADGR.TA,"[2.87, -2.88, 19.1]","[2.87, -2.88, 19.1]","[2.87, -2.88, 19.1]","[None, None, None]","[2.87, -2.88, 19.1]","[2.87, -2.88, 19.1]","[2.87, -2.88, 19.1]","[2.87, -2.88, 19.1]","[2.87, -2.88, 19.1]","[2.87, -2.88, 19.1]","[2.87, -2.88, 19.1]","[2.87, -2.88, 19.1]","[2.87, -2.88, 19.1]","[2.87, -2.88, 19.1]","[None, None, None]"
AFRE.TA,"[2.91, 7.05, 16.95]","[2.91, 7.05, 16.95]","[None, None, None]","[2.91, 7.05, 16.95]","[2.91, 7.05, 16.95]","[None, None, None]","[None, None, None]","[2.91, 7.05, 16.95]","[2.91, 7.05, 16.95]","[2.91, 7.05, 16.95]","[None, None, None]","[2.91, 7.05, 16.95]","[2.91, 7.05, 16.95]","[2.91, 7.05, 16.95]","[None, None, None]"
ARPT.TA,"[4.16, 4.37, 12.33]","[4.16, 4.37, 12.33]","[4.16, 4.37, 12.33]","[None, None, None]","[4.16, 4.37, 12.33]","[None, None, None]","[None, None, None]","[4.16, 4.37, 12.33]","[4.16, 4.37, 12.33]","[4.16, 4.37, 12.33]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALBA.TA,"[-2.14, 4.25, 19.64]","[-2.14, 4.25, 19.64]","[-2.14, 4.25, 19.64]","[-2.14, 4.25, 19.64]","[-2.14, 4.25, 19.64]","[-2.14, 4.25, 19.64]","[-2.14, 4.25, 19.64]","[-2.14, 4.25, 19.64]","[-2.14, 4.25, 19.64]","[-2.14, 4.25, 19.64]","[-2.14, 4.25, 19.64]","[None, None, None]","[-2.14, 4.25, 19.64]","[None, None, None]","[None, None, None]"
ALLT.TA,"[-1.35, 6.96, -4.43]","[-1.35, 6.96, -4.43]","[-1.35, 6.96, -4.43]","[-1.35, 6.96, -4.43]","[-1.35, 6.96, -4.43]","[-1.35, 6.96, -4.43]","[-1.35, 6.96, -4.43]","[-1.35, 6.96, -4.43]","[-1.35, 6.96, -4.43]","[-1.35, 6.96, -4.43]","[-1.35, 6.96, -4.43]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.35, 6.96, -4.43]"
ALMA.TA,"[0.65, 4.98, 14.87]","[0.65, 4.98, 14.87]","[0.65, 4.98, 14.87]","[0.65, 4.98, 14.87]","[0.65, 4.98, 14.87]","[0.65, 4.98, 14.87]","[0.65, 4.98, 14.87]","[0.65, 4.98, 14.87]","[0.65, 4.98, 14.87]","[0.65, 4.98, 14.87]","[None, None, None]","[0.65, 4.98, 14.87]","[0.65, 4.98, 14.87]","[None, None, None]","[None, None, None]"
ALHE.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[1.88, 2.48, 2.89]","[1.88, 2.48, 2.89]","[1.88, 2.48, 2.89]","[1.88, 2.48, 2.89]","[1.88, 2.48, 2.89]","[1.88, 2.48, 2.89]","[1.88, 2.48, 2.89]","[1.88, 2.48, 2.89]","[1.88, 2.48, 2.89]","[1.88, 2.48, 2.89]","[None, None, None]","[1.88, 2.48, 2.89]","[1.88, 2.48, 2.89]","[None, None, None]","[None, None, None]"
AMOT.TA,"[2.17, 2.33, 1.93]","[2.17, 2.33, 1.93]","[2.17, 2.33, 1.93]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[2.17, 2.33, 1.93]","[2.17, 2.33, 1.93]","[2.17, 2.33, 1.93]","[None, None, None]","[None, None, None]","[None, None, None]","[2.17, 2.33, 1.93]","[None, None, None]"
ASHO.TA,"[-1.91, -0.04, 0.4]","[-1.91, -0.04, 0.4]","[-1.91, -0.04, 0.4]","[-1.91, -0.04, 0.4]","[-1.91, -0.04, 0.4]","[-1.91, -0.04, 0.4]","[-1.91, -0.04, 0.4]","[-1.91, -0.04, 0.4]","[-1.91, -0.04, 0.4]","[-1.91, -0.04, 0.4]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ASGR.TA,"[-0.86, -5.25, 21.43]","[-0.86, -5.25, 21.43]","[None, None, None]","[-0.86, -5.25, 21.43]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.86, -5.25, 21.43]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AURA.TA,"[2.13, 7.33, 47.93]","[2.13, 7.33, 47.93]","[2.13, 7.33, 47.93]","[None, None, None]","[None, None, None]","[2.13, 7.33, 47.93]","[2.13, 7.33, 47.93]","[2.13, 7.33, 47.93]","[2.13, 7.33, 47.93]","[2.13, 7.33, 47.93]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AVIV.TA,"[None, None, None]","[-0.4, 9.26, 29.03]","[None, None, None]","[-0.4, 9.26, 29.03]","[-0.4, 9.26, 29.03]","[-0.4, 9.26, 29.03]","[-0.4, 9.26, 29.03]","[-0.4, 9.26, 29.03]","[-0.4, 9.26, 29.03]","[-0.4, 9.26, 29.03]","[-0.4, 9.26, 29.03]","[None, None, None]","[-0.4, 9.26, 29.03]","[-0.4, 9.26, 29.03]","[None, None, None]"
AVRT.TA,"[-1.24, -5.75, 45.49]","[-1.24, -5.75, 45.49]","[-1.24, -5.75, 45.49]","[-1.24, -5.75, 45.49]","[-1.24, -5.75, 45.49]","[-1.24, -5.75, 45.49]","[-1.24, -5.75, 45.49]","[-1.24, -5.75, 45.49]","[-1.24, -5.75, 45.49]","[-1.24, -5.75, 45.49]","[-1.24, -5.75, 45.49]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AYAL.TA,"[None, None, None]","[-0.59, 18.25, 22.05]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.59, 18.25, 22.05]","[-0.59, 18.25, 22.05]","[-0.59, 18.25, 22.05]","[-0.59, 18.25, 22.05]","[-0.59, 18.25, 22.05]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AZRG.TA,"[None, None, None]","[2.13, 4.59, 15.1]","[2.13, 4.59, 15.1]","[None, None, None]","[None, None, None]","[2.13, 4.59, 15.1]","[None, None, None]","[2.13, 4.59, 15.1]","[2.13, 4.59, 15.1]","[2.13, 4.59, 15.1]","[None, None, None]","[2.13, 4.59, 15.1]","[2.13, 4.59, 15.1]","[2.13, 4.59, 15.1]","[2.13, 4.59, 15.1]"
BSEN.TA,"[1.29, -2.46, 11.03]","[1.29, -2.46, 11.03]","[1.29, -2.46, 11.03]","[1.29, -2.46, 11.03]","[1.29, -2.46, 11.03]","[1.29, -2.46, 11.03]","[1.29, -2.46, 11.03]","[1.29, -2.46, 11.03]","[1.29, -2.46, 11.03]","[1.29, -2.46, 11.03]","[None, None, None]","[1.29, -2.46, 11.03]","[1.29, -2.46, 11.03]","[None, None, None]","[None, None, None]"
BIOV.TA,"[-0.5, 7.95, 33.31]","[-0.5, 7.95, 33.31]","[-0.5, 7.95, 33.31]","[-0.5, 7.95, 33.31]","[-0.5, 7.95, 33.31]","[-0.5, 7.95, 33.31]","[-0.5, 7.95, 33.31]","[-0.5, 7.95, 33.31]","[-0.5, 7.95, 33.31]","[-0.5, 7.95, 33.31]","[None, None, None]","[None, None, None]","[-0.5, 7.95, 33.31]","[None, None, None]","[None, None, None]"
BOLT.TA,"[None, None, None]","[1.59, 4.13, -1.62]","[1.59, 4.13, -1.62]","[1.59, 4.13, -1.62]","[1.59, 4.13, -1.62]","[1.59, 4.13, -1.62]","[1.59, 4.13, -1.62]","[1.59, 4.13, -1.62]","[1.59, 4.13, -1.62]","[1.59, 4.13, -1.62]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.59, 4.13, -1.62]"
BONS.TA,"[None, None, None]","[-2.1, -0.78, 13.4]","[-2.1, -0.78, 13.4]","[-2.1, -0.78, 13.4]","[-2.1, -0.78, 13.4]","[-2.1, -0.78, 13.4]","[-2.1, -0.78, 13.4]","[-2.1, -0.78, 13.4]","[-2.1, -0.78, 13.4]","[-2.1, -0.78, 13.4]","[-2.1, -0.78, 13.4]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BCNV-M.TA,"[2.01, 4.12, 12.09]","[2.01, 4.12, 12.09]","[2.01, 4.12, 12.09]","[None, None, None]","[None, None, None]","[2.01, 4.12, 12.09]","[2.01, 4.12, 12.09]","[2.01, 4.12, 12.09]","[2.01, 4.12, 12.09]","[2.01, 4.12, 12.09]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BRIL.TA,"[0.0, -1.36, 13.95]","[0.0, -1.36, 13.95]","[None, None, None]","[None, None, None]","[0.0, -1.36, 13.95]","[0.0, -1.36, 13.95]","[0.0, -1.36, 13.95]","[0.0, -1.36, 13.95]","[0.0, -1.36, 13.95]","[0.0, -1.36, 13.95]","[None, None, None]","[0.0, -1.36, 13.95]","[0.0, -1.36, 13.95]","[None, None, None]","[None, None, None]"
