,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
CAST.TA,"[3.42, 8.47, 22.95]","[3.42, 8.47, 22.95]","[3.42, 8.47, 22.95]","[3.42, 8.47, 22.95]","[3.42, 8.47, 22.95]","[3.42, 8.47, 22.95]","[3.42, 8.47, 22.95]","[3.42, 8.47, 22.95]"
CEL.TA,"[2.67, 1.29, -5.49]","[2.67, 1.29, -5.49]","[2.67, 1.29, -5.49]","[2.67, 1.29, -5.49]","[2.67, 1.29, -5.49]","[2.67, 1.29, -5.49]","[2.67, 1.29, -5.49]","[2.67, 1.29, -5.49]"
CPIA.TA,"[None, None, None]","[-0.39, -8.61, -17.21]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CFX.TA,"[1.29, -1.96, 12.38]","[1.29, -1.96, 12.38]","[1.29, -1.96, 12.38]","[1.29, -1.96, 12.38]","[1.29, -1.96, 12.38]","[1.29, -1.96, 12.38]","[1.29, -1.96, 12.38]","[1.29, -1.96, 12.38]"
CGEN.TA,"[0.97, 10.09, 2.64]","[0.97, 10.09, 2.64]","[0.97, 10.09, 2.64]","[0.97, 10.09, 2.64]","[0.97, 10.09, 2.64]","[0.97, 10.09, 2.64]","[0.97, 10.09, 2.64]","[None, None, None]"
DANH.TA,"[0.69, -1.54, 5451.77]","[0.69, -1.54, 5451.77]","[0.69, -1.54, 5451.77]","[0.69, -1.54, 5451.77]","[0.69, -1.54, 5451.77]","[0.69, -1.54, 5451.77]","[0.69, -1.54, 5451.77]","[0.69, -1.54, 5451.77]"
DLEKG.TA,"[1.03, -5.35, -7.11]","[1.03, -5.35, -7.11]","[1.03, -5.35, -7.11]","[1.03, -5.35, -7.11]","[1.03, -5.35, -7.11]","[1.03, -5.35, -7.11]","[1.03, -5.35, -7.11]","[1.03, -5.35, -7.11]"
DELG.TA,"[0.79, 2.28, -2.34]","[0.79, 2.28, -2.34]","[0.79, 2.28, -2.34]","[0.79, 2.28, -2.34]","[0.79, 2.28, -2.34]","[0.79, 2.28, -2.34]","[0.79, 2.28, -2.34]","[0.79, 2.28, -2.34]"
DIPL.TA,"[2.38, 5.89, 1.73]","[2.38, 5.89, 1.73]","[2.38, 5.89, 1.73]","[2.38, 5.89, 1.73]","[2.38, 5.89, 1.73]","[2.38, 5.89, 1.73]","[2.38, 5.89, 1.73]","[2.38, 5.89, 1.73]"
DISI.TA,"[7.06, 9.97, -6.96]","[7.06, 9.97, -6.96]","[7.06, 9.97, -6.96]","[7.06, 9.97, -6.96]","[7.06, 9.97, -6.96]","[7.06, 9.97, -6.96]","[7.06, 9.97, -6.96]","[7.06, 9.97, -6.96]"
DRSH.TA,"[1.79, -1.25, 1.95]","[1.79, -1.25, 1.95]","[1.79, -1.25, 1.95]","[1.79, -1.25, 1.95]","[None, None, None]","[1.79, -1.25, 1.95]","[1.79, -1.25, 1.95]","[1.79, -1.25, 1.95]"
ELAL.TA,"[0.59, 8.74, 13.77]","[0.59, 8.74, 13.77]","[0.59, 8.74, 13.77]","[0.59, 8.74, 13.77]","[0.59, 8.74, 13.77]","[0.59, 8.74, 13.77]","[0.59, 8.74, 13.77]","[0.59, 8.74, 13.77]"
EMITF-M.TA,"[5.79, -0.9, -2.75]","[5.79, -0.9, -2.75]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ESLT.TA,"[-0.08, -2.0, -7.95]","[-0.08, -2.0, -7.95]","[-0.08, -2.0, -7.95]","[-0.08, -2.0, -7.95]","[-0.08, -2.0, -7.95]","[-0.08, -2.0, -7.95]","[-0.08, -2.0, -7.95]","[-0.08, -2.0, -7.95]"
ELCO.TA,"[0.5, -9.07, -8.78]","[0.5, -9.07, -8.78]","[0.5, -9.07, -8.78]","[0.5, -9.07, -8.78]","[0.5, -9.07, -8.78]","[0.5, -9.07, -8.78]","[0.5, -9.07, -8.78]","[0.5, -9.07, -8.78]"
ECP.TA,"[1.93, 1.51, 1.45]","[1.93, 1.51, 1.45]","[1.93, 1.51, 1.45]","[1.93, 1.51, 1.45]","[1.93, 1.51, 1.45]","[1.93, 1.51, 1.45]","[1.93, 1.51, 1.45]","[1.93, 1.51, 1.45]"
ELCRE.TA,"[0.08, -7.89, -11.17]","[0.08, -7.89, -11.17]","[0.08, -7.89, -11.17]","[0.08, -7.89, -11.17]","[0.08, -7.89, -11.17]","[0.08, -7.89, -11.17]","[0.08, -7.89, -11.17]","[0.08, -7.89, -11.17]"
ELWS.TA,"[0.38, 13.48, 33.18]","[0.38, 13.48, 33.18]","[0.38, 13.48, 33.18]","[0.38, 13.48, 33.18]","[0.38, 13.48, 33.18]","[0.38, 13.48, 33.18]","[0.38, 13.48, 33.18]","[None, None, None]"
ELLO.TA,"[3.39, 2.24, -7.69]","[3.39, 2.24, -7.69]","[3.39, 2.24, -7.69]","[3.39, 2.24, -7.69]","[3.39, 2.24, -7.69]","[3.39, 2.24, -7.69]","[3.39, 2.24, -7.69]","[3.39, 2.24, -7.69]"
ELSPC.TA,"[2.12, 2.09, -8.9]","[2.12, 2.09, -8.9]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENOG.TA,"[1.62, -1.42, -0.7]","[1.62, -1.42, -0.7]","[1.62, -1.42, -0.7]","[1.62, -1.42, -0.7]","[1.62, -1.42, -0.7]","[1.62, -1.42, -0.7]","[1.62, -1.42, -0.7]","[1.62, -1.42, -0.7]"
ENLV.TA,"[6.07, -25.06, -7.49]","[6.07, -25.06, -7.49]","[None, None, None]","[6.07, -25.06, -7.49]","[None, None, None]","[6.07, -25.06, -7.49]","[6.07, -25.06, -7.49]","[None, None, None]"
EQTL.TA,"[3.49, -9.56, -1.6]","[3.49, -9.56, -1.6]","[3.49, -9.56, -1.6]","[3.49, -9.56, -1.6]","[3.49, -9.56, -1.6]","[3.49, -9.56, -1.6]","[3.49, -9.56, -1.6]","[3.49, -9.56, -1.6]"
EVGN.TA,"[1.36, -8.74, -11.94]","[1.36, -8.74, -11.94]","[1.36, -8.74, -11.94]","[1.36, -8.74, -11.94]","[1.36, -8.74, -11.94]","[1.36, -8.74, -11.94]","[1.36, -8.74, -11.94]","[1.36, -8.74, -11.94]"
FTAL.TA,"[2.96, -0.23, -0.63]","[2.96, -0.23, -0.63]","[2.96, -0.23, -0.63]","[2.96, -0.23, -0.63]","[2.96, -0.23, -0.63]","[2.96, -0.23, -0.63]","[2.96, -0.23, -0.63]","[2.96, -0.23, -0.63]"
FLYS.TA,"[-2.25, -28.04, -30.45]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
FBRT.TA,"[0.8, 4.25, 9.72]","[0.8, 4.25, 9.72]","[0.8, 4.25, 9.72]","[0.8, 4.25, 9.72]","[0.8, 4.25, 9.72]","[0.8, 4.25, 9.72]","[0.8, 4.25, 9.72]","[None, None, None]"
FRSX.TA,"[0.0, 13.7, -5.19]","[0.0, 13.7, -5.19]","[0.0, 13.7, -5.19]","[0.0, 13.7, -5.19]","[0.0, 13.7, -5.19]","[0.0, 13.7, -5.19]","[0.0, 13.7, -5.19]","[None, None, None]"
FORTY.TA,"[1.77, -3.81, 5.32]","[1.77, -3.81, 5.32]","[1.77, -3.81, 5.32]","[1.77, -3.81, 5.32]","[1.77, -3.81, 5.32]","[1.77, -3.81, 5.32]","[1.77, -3.81, 5.32]","[1.77, -3.81, 5.32]"
GCT.TA,"[3.16, -5.52, -15.15]","[3.16, -5.52, -15.15]","[3.16, -5.52, -15.15]","[3.16, -5.52, -15.15]","[3.16, -5.52, -15.15]","[3.16, -5.52, -15.15]","[3.16, -5.52, -15.15]","[3.16, -5.52, -15.15]"
GVYM.TA,"[0.38, -3.1, -8.77]","[0.38, -3.1, -8.77]","[0.38, -3.1, -8.77]","[0.38, -3.1, -8.77]","[0.38, -3.1, -8.77]","[0.38, -3.1, -8.77]","[0.38, -3.1, -8.77]","[0.38, -3.1, -8.77]"
GEFR.TA,"[4.65, 9.12, -0.21]","[4.65, 9.12, -0.21]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GNCL.TA,"[3.23, -19.25, -24.79]","[3.23, -19.25, -24.79]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GNRS.TA,"[3.57, -3.27, -10.46]","[3.57, -3.27, -10.46]","[3.57, -3.27, -10.46]","[3.57, -3.27, -10.46]","[3.57, -3.27, -10.46]","[3.57, -3.27, -10.46]","[3.57, -3.27, -10.46]","[3.57, -3.27, -10.46]"
GILT.TA,"[2.21, -0.16, -13.07]","[2.21, -0.16, -13.07]","[2.21, -0.16, -13.07]","[2.21, -0.16, -13.07]","[2.21, -0.16, -13.07]","[2.21, -0.16, -13.07]","[2.21, -0.16, -13.07]","[2.21, -0.16, -13.07]"
GLTL.TA,"[6.06, 0.83, 17.17]","[6.06, 0.83, 17.17]","[6.06, 0.83, 17.17]","[6.06, 0.83, 17.17]","[6.06, 0.83, 17.17]","[6.06, 0.83, 17.17]","[6.06, 0.83, 17.17]","[6.06, 0.83, 17.17]"
GKL.TA,"[0.19, 4.7, 1.14]","[0.19, 4.7, 1.14]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GLRS.TA,"[1.3, 0.06, -3.18]","[1.3, 0.06, -3.18]","[1.3, 0.06, -3.18]","[1.3, 0.06, -3.18]","[1.3, 0.06, -3.18]","[1.3, 0.06, -3.18]","[1.3, 0.06, -3.18]","[1.3, 0.06, -3.18]"
GOHO.TA,"[-1.51, 21.13, 9.6]","[-1.51, 21.13, 9.6]","[-1.51, 21.13, 9.6]","[-1.51, 21.13, 9.6]","[-1.51, 21.13, 9.6]","[-1.51, 21.13, 9.6]","[-1.51, 21.13, 9.6]","[-1.51, 21.13, 9.6]"
GRAC.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
G107.TA,"[0.71, -17.37, 27.1]","[0.71, -17.37, 27.1]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HGG.TA,"[8.65, 3.04, 4.06]","[8.65, 3.04, 4.06]","[8.65, 3.04, 4.06]","[8.65, 3.04, 4.06]","[8.65, 3.04, 4.06]","[8.65, 3.04, 4.06]","[8.65, 3.04, 4.06]","[8.65, 3.04, 4.06]"
MSBI.TA,"[-0.15, -1.73, 5.33]","[-0.15, -1.73, 5.33]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HLAN.TA,"[1.02, -2.15, 2.37]","[1.02, -2.15, 2.37]","[1.02, -2.15, 2.37]","[1.02, -2.15, 2.37]","[1.02, -2.15, 2.37]","[1.02, -2.15, 2.37]","[1.02, -2.15, 2.37]","[1.02, -2.15, 2.37]"
HIPR.TA,"[0.55, -3.01, 13.51]","[0.55, -3.01, 13.51]","[0.55, -3.01, 13.51]","[0.55, -3.01, 13.51]","[0.55, -3.01, 13.51]","[0.55, -3.01, 13.51]","[0.55, -3.01, 13.51]","[0.55, -3.01, 13.51]"
HIVE.TA,"[None, None, None]","[0.0, 0.0, 0.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HLMS.TA,"[0.5, 2.22, 2.84]","[0.5, 2.22, 2.84]","[0.5, 2.22, 2.84]","[0.5, 2.22, 2.84]","[0.5, 2.22, 2.84]","[0.5, 2.22, 2.84]","[0.5, 2.22, 2.84]","[0.5, 2.22, 2.84]"
HMGS.TA,"[-0.65, -5.82, -26.8]","[-0.65, -5.82, -26.8]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HUMX.TA,"[-0.85, -24.35, -48.6]","[-0.85, -24.35, -48.6]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ICON.TA,"[1.67, -3.55, -8.21]","[1.67, -3.55, -8.21]","[1.67, -3.55, -8.21]","[1.67, -3.55, -8.21]","[1.67, -3.55, -8.21]","[1.67, -3.55, -8.21]","[1.67, -3.55, -8.21]","[None, None, None]"
IDNT.TA,"[-6.99, -14.15, -35.57]","[-6.99, -14.15, -35.57]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
IDMO.TA,"[4.34, 3.38, -7.79]","[4.34, 3.38, -7.79]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ILX.TA,"[3.41, 2.92, 3.47]","[3.41, 2.92, 3.47]","[3.41, 2.92, 3.47]","[3.41, 2.92, 3.47]","[3.41, 2.92, 3.47]","[3.41, 2.92, 3.47]","[3.41, 2.92, 3.47]","[3.41, 2.92, 3.47]"
INRM.TA,"[0.82, 6.21, -3.5]","[0.82, 6.21, -3.5]","[0.82, 6.21, -3.5]","[0.82, 6.21, -3.5]","[0.82, 6.21, -3.5]","[0.82, 6.21, -3.5]","[0.82, 6.21, -3.5]","[0.82, 6.21, -3.5]"
INCR.TA,"[1.45, -0.21, 43.27]","[1.45, -0.21, 43.27]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ISHI.TA,"[1.33, -6.48, -14.98]","[1.33, -6.48, -14.98]","[1.33, -6.48, -14.98]","[1.33, -6.48, -14.98]","[1.33, -6.48, -14.98]","[1.33, -6.48, -14.98]","[1.33, -6.48, -14.98]","[1.33, -6.48, -14.98]"
ISRG.TA,"[0.66, 3.51, -6.81]","[0.66, 3.51, -6.81]","[0.66, 3.51, -6.81]","[0.66, 3.51, -6.81]","[0.66, 3.51, -6.81]","[0.66, 3.51, -6.81]","[0.66, 3.51, -6.81]","[0.66, 3.51, -6.81]"
ISRO.TA,"[0.3, -1.62, 7.57]","[0.3, -1.62, 7.57]","[0.3, -1.62, 7.57]","[0.3, -1.62, 7.57]","[0.3, -1.62, 7.57]","[0.3, -1.62, 7.57]","[0.3, -1.62, 7.57]","[0.3, -1.62, 7.57]"
ISTA.TA,"[1.97, 0.36, -1.22]","[1.97, 0.36, -1.22]","[1.97, 0.36, -1.22]","[1.97, 0.36, -1.22]","[1.97, 0.36, -1.22]","[1.97, 0.36, -1.22]","[1.97, 0.36, -1.22]","[1.97, 0.36, -1.22]"
JNGO.TA,"[None, None, None]","[-7.08, -21.1, -16.01]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KDST.TA,"[2.03, -3.46, -7.92]","[2.03, -3.46, -7.92]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KEN.TA,"[3.48, -5.54, 2.9]","[3.48, -5.54, 2.9]","[3.48, -5.54, 2.9]","[3.48, -5.54, 2.9]","[3.48, -5.54, 2.9]","[3.48, -5.54, 2.9]","[3.48, -5.54, 2.9]","[3.48, -5.54, 2.9]"
KSTN.TA,"[2.32, 5.8, 1.6]","[2.32, 5.8, 1.6]","[2.32, 5.8, 1.6]","[2.32, 5.8, 1.6]","[2.32, 5.8, 1.6]","[2.32, 5.8, 1.6]","[2.32, 5.8, 1.6]","[2.32, 5.8, 1.6]"
KLIL.TA,"[-0.34, -2.74, -1.79]","[-0.34, -2.74, -1.79]","[-0.34, -2.74, -1.79]","[-0.34, -2.74, -1.79]","[-0.34, -2.74, -1.79]","[-0.34, -2.74, -1.79]","[-0.34, -2.74, -1.79]","[None, None, None]"
LSCO.TA,"[4.04, 13.89, 3.64]","[4.04, 13.89, 3.64]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LBRA.TA,"[3.28, 0.1, 15.45]","[3.28, 0.1, 15.45]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LCTX.TA,"[3.12, -8.82, 2.74]","[3.12, -8.82, 2.74]","[3.12, -8.82, 2.74]","[3.12, -8.82, 2.74]","[3.12, -8.82, 2.74]","[3.12, -8.82, 2.74]","[3.12, -8.82, 2.74]","[None, None, None]"
LPSN.TA,"[-1.32, -33.73, -55.07]","[-1.32, -33.73, -55.07]","[-1.32, -33.73, -55.07]","[-1.32, -33.73, -55.07]","[-1.32, -33.73, -55.07]","[-1.32, -33.73, -55.07]","[-1.32, -33.73, -55.07]","[-1.32, -33.73, -55.07]"
MGIC.TA,"[1.02, 3.67, 2.06]","[1.02, 3.67, 2.06]","[1.02, 3.67, 2.06]","[1.02, 3.67, 2.06]","[1.02, 3.67, 2.06]","[1.02, 3.67, 2.06]","[1.02, 3.67, 2.06]","[1.02, 3.67, 2.06]"
MTLF.TA,"[None, None, None]","[-0.68, -5.5, -0.16]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MTRX.TA,"[3.41, -2.32, 1.42]","[3.41, -2.32, 1.42]","[3.41, -2.32, 1.42]","[3.41, -2.32, 1.42]","[3.41, -2.32, 1.42]","[3.41, -2.32, 1.42]","[3.41, -2.32, 1.42]","[3.41, -2.32, 1.42]"
