,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Earnings Per Share (EPS),Dividends Paid,Number of Outstanding Shares,Short-Term Debt,Long-Term Debt
HUMX.TA,"[0.0, -9.2, -46.12]","[0.0, -9.2, -46.12]","[0.0, -9.2, -46.12]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -9.2, -46.12]","[0.0, -9.2, -46.12]","[0.0, -9.2, -46.12]","[0.0, -9.2, -46.12]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ICL.TA,"[0.0, -3.22, 6.63]","[0.0, -3.22, 6.63]","[0.0, -3.22, 6.63]","[0.0, -3.22, 6.63]","[0.0, -3.22, 6.63]","[0.0, -3.22, 6.63]","[0.0, -3.22, 6.63]","[0.0, -3.22, 6.63]","[0.0, -3.22, 6.63]","[0.0, -3.22, 6.63]","[0.0, -3.22, 6.63]","[None, None, None]","[0.0, -3.22, 6.63]","[0.0, -3.22, 6.63]","[0.0, -3.22, 6.63]"
ICON.TA,"[0.0, 15.77, -12.51]","[0.0, 15.77, -12.51]","[0.0, 15.77, -12.51]","[0.0, 15.77, -12.51]","[None, None, None]","[0.0, 15.77, -12.51]","[0.0, 15.77, -12.51]","[0.0, 15.77, -12.51]","[0.0, 15.77, -12.51]","[0.0, 15.77, -12.51]","[0.0, 15.77, -12.51]","[0.0, 15.77, -12.51]","[None, None, None]","[0.0, 15.77, -12.51]","[None, None, None]"
ILX.TA,"[0.0, -4.22, -11.58]","[0.0, -4.22, -11.58]","[0.0, -4.22, -11.58]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -4.22, -11.58]","[0.0, -4.22, -11.58]","[0.0, -4.22, -11.58]","[0.0, -4.22, -11.58]","[0.0, -4.22, -11.58]","[None, None, None]","[0.0, -4.22, -11.58]","[None, None, None]"
INCR.TA,"[0.0, -9.1, 0.22]","[0.0, -9.1, 0.22]","[0.0, -9.1, 0.22]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ISCN.TA,"[0.0, -5.56, -16.16]","[0.0, -5.56, -16.16]","[None, None, None]","[0.0, -5.56, -16.16]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -5.56, -16.16]","[0.0, -5.56, -16.16]","[0.0, -5.56, -16.16]","[0.0, -5.56, -16.16]","[None, None, None]","[0.0, -5.56, -16.16]","[None, None, None]","[None, None, None]"
ISHI.TA,"[0.0, 0.5, 17.42]","[0.0, 0.5, 17.42]","[0.0, 0.5, 17.42]","[0.0, 0.5, 17.42]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 0.5, 17.42]","[0.0, 0.5, 17.42]","[0.0, 0.5, 17.42]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 0.5, 17.42]"
ISRA.TA,"[0.0, 0.62, 11.35]","[0.0, 0.62, 11.35]","[None, None, None]","[0.0, 0.62, 11.35]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 0.62, 11.35]","[0.0, 0.62, 11.35]","[0.0, 0.62, 11.35]","[0.0, 0.62, 11.35]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ISRO.TA,"[0.0, -0.67, -1.54]","[0.0, -0.67, -1.54]","[0.0, -0.67, -1.54]","[0.0, -0.67, -1.54]","[None, None, None]","[0.0, -0.67, -1.54]","[None, None, None]","[0.0, -0.67, -1.54]","[0.0, -0.67, -1.54]","[None, None, None]","[0.0, -0.67, -1.54]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
JBNK.TA,"[0.0, -5.51, -4.81]","[0.0, -5.51, -4.81]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -5.51, -4.81]","[0.0, -5.51, -4.81]","[0.0, -5.51, -4.81]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -5.51, -4.81]"
