,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
ISTA.TA,"[-1.82, -4.97, -8.35]","[-1.82, -4.97, -8.35]","[-1.82, -4.97, -8.35]","[-1.82, -4.97, -8.35]","[-1.82, -4.97, -8.35]","[-1.82, -4.97, -8.35]","[-1.82, -4.97, -8.35]","[-1.82, -4.97, -8.35]"
JNGO.TA,"[None, None, None]","[-9.0, -6.09, -12.2]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KAFR.TA,"[-0.28, 8.97, 14.69]","[-0.28, 8.97, 14.69]","[-0.28, 8.97, 14.69]","[-0.28, 8.97, 14.69]","[-0.28, 8.97, 14.69]","[-0.28, 8.97, 14.69]","[-0.28, 8.97, 14.69]","[-0.28, 8.97, 14.69]"
KMDA.TA,"[-0.26, 5.6, -1.42]","[-0.26, 5.6, -1.42]","[-0.26, 5.6, -1.42]","[-0.26, 5.6, -1.42]","[-0.26, 5.6, -1.42]","[-0.26, 5.6, -1.42]","[-0.26, 5.6, -1.42]","[None, None, None]"
KEN.TA,"[-1.08, -9.16, 1.85]","[-1.08, -9.16, 1.85]","[-1.08, -9.16, 1.85]","[-1.08, -9.16, 1.85]","[-1.08, -9.16, 1.85]","[-1.08, -9.16, 1.85]","[-1.08, -9.16, 1.85]","[-1.08, -9.16, 1.85]"
KSTN.TA,"[0.6, 0.48, -1.85]","[0.6, 0.48, -1.85]","[0.6, 0.48, -1.85]","[0.6, 0.48, -1.85]","[0.6, 0.48, -1.85]","[0.6, 0.48, -1.85]","[0.6, 0.48, -1.85]","[0.6, 0.48, -1.85]"
KLIL.TA,"[-1.02, 1.9, 2.62]","[-1.02, 1.9, 2.62]","[-1.02, 1.9, 2.62]","[-1.02, 1.9, 2.62]","[-1.02, 1.9, 2.62]","[-1.02, 1.9, 2.62]","[-1.02, 1.9, 2.62]","[None, None, None]"
LAHAV.TA,"[-0.31, 3.07, 3.82]","[-0.31, 3.07, 3.82]","[-0.31, 3.07, 3.82]","[-0.31, 3.07, 3.82]","[-0.31, 3.07, 3.82]","[-0.31, 3.07, 3.82]","[-0.31, 3.07, 3.82]","[-0.31, 3.07, 3.82]"
LSCO.TA,"[1.26, 8.4, -0.93]","[1.26, 8.4, -0.93]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LBRA.TA,"[2.17, 1.24, 20.58]","[2.17, 1.24, 20.58]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LCTX.TA,"[1.01, -6.81, -22.12]","[1.01, -6.81, -22.12]","[1.01, -6.81, -22.12]","[1.01, -6.81, -22.12]","[1.01, -6.81, -22.12]","[1.01, -6.81, -22.12]","[1.01, -6.81, -22.12]","[None, None, None]"
LPSN.TA,"[-2.71, 43.73, 21.9]","[-2.71, 43.73, 21.9]","[-2.71, 43.73, 21.9]","[-2.71, 43.73, 21.9]","[-2.71, 43.73, 21.9]","[-2.71, 43.73, 21.9]","[-2.71, 43.73, 21.9]","[-2.71, 43.73, 21.9]"
MGIC.TA,"[1.45, 6.46, 1.0]","[1.45, 6.46, 1.0]","[1.45, 6.46, 1.0]","[1.45, 6.46, 1.0]","[1.45, 6.46, 1.0]","[1.45, 6.46, 1.0]","[1.45, 6.46, 1.0]","[1.45, 6.46, 1.0]"
MTLF.TA,"[None, None, None]","[-1.17, -11.7, -17.6]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MTRX.TA,"[-1.21, -0.68, -6.4]","[-1.21, -0.68, -6.4]","[-1.21, -0.68, -6.4]","[-1.21, -0.68, -6.4]","[-1.21, -0.68, -6.4]","[-1.21, -0.68, -6.4]","[-1.21, -0.68, -6.4]","[-1.21, -0.68, -6.4]"
MAXO.TA,"[-0.87, 0.12, 9.28]","[-0.87, 0.12, 9.28]","[-0.87, 0.12, 9.28]","[-0.87, 0.12, 9.28]","[-0.87, 0.12, 9.28]","[-0.87, 0.12, 9.28]","[-0.87, 0.12, 9.28]","[-0.87, 0.12, 9.28]"
MTRN.TA,"[1.79, -0.92, -49.38]","[1.79, -0.92, -49.38]","[1.79, -0.92, -49.38]","[1.79, -0.92, -49.38]","[1.79, -0.92, -49.38]","[1.79, -0.92, -49.38]","[1.79, -0.92, -49.38]","[1.79, -0.92, -49.38]"
MEDN.TA,"[0.64, 1.52, 1.82]","[0.64, 1.52, 1.82]","[0.64, 1.52, 1.82]","[0.64, 1.52, 1.82]","[0.64, 1.52, 1.82]","[0.64, 1.52, 1.82]","[0.64, 1.52, 1.82]","[0.64, 1.52, 1.82]"
MLSR.TA,"[-0.66, 1.83, 1.59]","[-0.66, 1.83, 1.59]","[-0.66, 1.83, 1.59]","[-0.66, 1.83, 1.59]","[-0.66, 1.83, 1.59]","[-0.66, 1.83, 1.59]","[-0.66, 1.83, 1.59]","[-0.66, 1.83, 1.59]"
MNIN.TA,"[1.07, 5.2, 4.47]","[1.07, 5.2, 4.47]","[1.07, 5.2, 4.47]","[1.07, 5.2, 4.47]","[1.07, 5.2, 4.47]","[1.07, 5.2, 4.47]","[1.07, 5.2, 4.47]","[1.07, 5.2, 4.47]"
MCRNT.TA,"[0.3, 3.74, 4.11]","[0.3, 3.74, 4.11]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MLD.TA,"[None, None, None]","[6.67, 35.56, 21.67]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MZTF.TA,"[-1.28, 0.81, -0.78]","[-1.28, 0.81, -0.78]","[-1.28, 0.81, -0.78]","[-1.28, 0.81, -0.78]","[None, None, None]","[None, None, None]","[-1.28, 0.81, -0.78]","[None, None, None]"
MLRN.TA,"[-0.9, 10.93, 3.4]","[-0.9, 10.93, 3.4]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NFTA.TA,"[-2.31, -1.18, 1.74]","[-2.31, -1.18, 1.74]","[-2.31, -1.18, 1.74]","[-2.31, -1.18, 1.74]","[-2.31, -1.18, 1.74]","[-2.31, -1.18, 1.74]","[-2.31, -1.18, 1.74]","[-2.31, -1.18, 1.74]"
NYAX.TA,"[-2.29, 1.99, 0.95]","[-2.29, 1.99, 0.95]","[-2.29, 1.99, 0.95]","[-2.29, 1.99, 0.95]","[-2.29, 1.99, 0.95]","[-2.29, 1.99, 0.95]","[-2.29, 1.99, 0.95]","[-2.29, 1.99, 0.95]"
NTGR.TA,"[0.08, 1.23, -3.29]","[0.08, 1.23, -3.29]","[0.08, 1.23, -3.29]","[0.08, 1.23, -3.29]","[0.08, 1.23, -3.29]","[0.08, 1.23, -3.29]","[0.08, 1.23, -3.29]","[0.08, 1.23, -3.29]"
NTNB.TA,"[None, None, None]","[-1.03, -2.35, -10.37]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NXTG.TA,"[3.66, 56.32, 35.12]","[3.66, 56.32, 35.12]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NXTM.TA,"[-2.22, -1.94, -13.1]","[-2.22, -1.94, -13.1]","[-2.22, -1.94, -13.1]","[-2.22, -1.94, -13.1]","[-2.22, -1.94, -13.1]","[-2.22, -1.94, -13.1]","[-2.22, -1.94, -13.1]","[-2.22, -1.94, -13.1]"
NXFR.TA,"[2.11, -4.62, -26.91]","[2.11, -4.62, -26.91]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NXGN.TA,"[10.34, -8.48, -19.33]","[10.34, -8.48, -19.33]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NICE.TA,"[-0.04, -3.35, -17.49]","[-0.04, -3.35, -17.49]","[-0.04, -3.35, -17.49]","[-0.04, -3.35, -17.49]","[-0.04, -3.35, -17.49]","[-0.04, -3.35, -17.49]","[-0.04, -3.35, -17.49]","[-0.04, -3.35, -17.49]"
NISA.TA,"[1.5, -1.16, -0.03]","[1.5, -1.16, -0.03]","[1.5, -1.16, -0.03]","[1.5, -1.16, -0.03]","[1.5, -1.16, -0.03]","[1.5, -1.16, -0.03]","[1.5, -1.16, -0.03]","[1.5, -1.16, -0.03]"
NVMI.TA,"[0.34, -7.24, 11.96]","[0.34, -7.24, 11.96]","[0.34, -7.24, 11.96]","[0.34, -7.24, 11.96]","[0.34, -7.24, 11.96]","[0.34, -7.24, 11.96]","[0.34, -7.24, 11.96]","[None, None, None]"
NVLG.TA,"[0.92, -2.15, -1.84]","[0.92, -2.15, -1.84]","[0.92, -2.15, -1.84]","[0.92, -2.15, -1.84]","[0.92, -2.15, -1.84]","[0.92, -2.15, -1.84]","[0.92, -2.15, -1.84]","[None, None, None]"
NURI.TA,"[None, None, None]","[0.85, -13.46, -26.03]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
OPCE.TA,"[-3.18, 1.24, 6.12]","[-3.18, 1.24, 6.12]","[-3.18, 1.24, 6.12]","[-3.18, 1.24, 6.12]","[-3.18, 1.24, 6.12]","[-3.18, 1.24, 6.12]","[-3.18, 1.24, 6.12]","[-3.18, 1.24, 6.12]"
OPK.TA,"[3.42, 11.35, 13.78]","[3.42, 11.35, 13.78]","[3.42, 11.35, 13.78]","[3.42, 11.35, 13.78]","[3.42, 11.35, 13.78]","[3.42, 11.35, 13.78]","[3.42, 11.35, 13.78]","[3.42, 11.35, 13.78]"
ORAD.TA,"[-0.92, -0.94, 0.88]","[-0.92, -0.94, 0.88]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ORMP.TA,"[-0.53, -9.78, -8.81]","[-0.53, -9.78, -8.81]","[None, None, None]","[-0.53, -9.78, -8.81]","[None, None, None]","[-0.53, -9.78, -8.81]","[-0.53, -9.78, -8.81]","[None, None, None]"
ORA.TA,"[-0.26, 3.2, 10.22]","[-0.26, 3.2, 10.22]","[-0.26, 3.2, 10.22]","[-0.26, 3.2, 10.22]","[-0.26, 3.2, 10.22]","[-0.26, 3.2, 10.22]","[-0.26, 3.2, 10.22]","[-0.26, 3.2, 10.22]"
OVRS.TA,"[0.77, -1.15, -5.01]","[0.77, -1.15, -5.01]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PLRM.TA,"[0.39, 2.39, 14.89]","[0.39, 2.39, 14.89]","[0.39, 2.39, 14.89]","[0.39, 2.39, 14.89]","[0.39, 2.39, 14.89]","[0.39, 2.39, 14.89]","[0.39, 2.39, 14.89]","[None, None, None]"
PTNR.TA,"[-0.46, 6.94, -0.16]","[-0.46, 6.94, -0.16]","[-0.46, 6.94, -0.16]","[-0.46, 6.94, -0.16]","[-0.46, 6.94, -0.16]","[-0.46, 6.94, -0.16]","[-0.46, 6.94, -0.16]","[-0.46, 6.94, -0.16]"
PEN.TA,"[1.53, 0.92, 0.87]","[1.53, 0.92, 0.87]","[1.53, 0.92, 0.87]","[1.53, 0.92, 0.87]","[None, None, None]","[None, None, None]","[1.53, 0.92, 0.87]","[None, None, None]"
PERI.TA,"[0.24, -21.32, -33.02]","[0.24, -21.32, -33.02]","[0.24, -21.32, -33.02]","[0.24, -21.32, -33.02]","[0.24, -21.32, -33.02]","[0.24, -21.32, -33.02]","[0.24, -21.32, -33.02]","[None, None, None]"
PTCH.TA,"[None, None, None]","[-0.42, 1.36, -14.11]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PHTM.TA,"[-1.06, -5.79, 0.29]","[-1.06, -5.79, 0.29]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PLCR.TA,"[4949.91, 4631.44, -45.3]","[4949.91, 4631.44, -45.3]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PMVM.TA,"[2.87, 0.03, -31.25]","[2.87, 0.03, -31.25]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PRSK.TA,"[2.2, 1.61, 0.18]","[2.2, 1.61, 0.18]","[2.2, 1.61, 0.18]","[2.2, 1.61, 0.18]","[2.2, 1.61, 0.18]","[2.2, 1.61, 0.18]","[2.2, 1.61, 0.18]","[2.2, 1.61, 0.18]"
PRTC.TA,"[-1.3, -6.22, 3.3]","[-1.3, -6.22, 3.3]","[-1.3, -6.22, 3.3]","[-1.3, -6.22, 3.3]","[None, None, None]","[-1.3, -6.22, 3.3]","[-1.3, -6.22, 3.3]","[-1.3, -6.22, 3.3]"
PRPD.TA,"[None, None, None]","[1.66, 5.55, 7.47]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PULS.TA,"[0.9, -3.66, -2.9]","[0.9, -3.66, -2.9]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PPBT.TA,"[-5.02, -13.05, -28.63]","[-5.02, -13.05, -28.63]","[None, None, None]","[-5.02, -13.05, -28.63]","[None, None, None]","[-5.02, -13.05, -28.63]","[-5.02, -13.05, -28.63]","[None, None, None]"
QLTU.TA,"[-0.12, 17.48, 32.85]","[-0.12, 17.48, 32.85]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
QLRD.TA,"[0.08, -7.29, 0.65]","[0.08, -7.29, 0.65]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RANI.TA,"[0.79, 11.26, 2.25]","[0.79, 11.26, 2.25]","[0.79, 11.26, 2.25]","[0.79, 11.26, 2.25]","[0.79, 11.26, 2.25]","[0.79, 11.26, 2.25]","[0.79, 11.26, 2.25]","[0.79, 11.26, 2.25]"
RAVD.TA,"[11.26, 7.38, 1.78]","[11.26, 7.38, 1.78]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RVL.TA,"[-2.24, -15.83, -18.02]","[-2.24, -15.83, -18.02]","[-2.24, -15.83, -18.02]","[-2.24, -15.83, -18.02]","[-2.24, -15.83, -18.02]","[-2.24, -15.83, -18.02]","[-2.24, -15.83, -18.02]","[-2.24, -15.83, -18.02]"
RAYG-M.TA,"[None, None, None]","[-1.52, -10.57, -17.95]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RZR.TA,"[3.27, -16.84, -15.14]","[3.27, -16.84, -15.14]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RIT1.TA,"[0.03, -0.51, -3.16]","[0.03, -0.51, -3.16]","[0.03, -0.51, -3.16]","[0.03, -0.51, -3.16]","[0.03, -0.51, -3.16]","[0.03, -0.51, -3.16]","[0.03, -0.51, -3.16]","[0.03, -0.51, -3.16]"
REKA.TA,"[0.0, 7.01, -3.06]","[0.0, 7.01, -3.06]","[0.0, 7.01, -3.06]","[0.0, 7.01, -3.06]","[0.0, 7.01, -3.06]","[0.0, 7.01, -3.06]","[0.0, 7.01, -3.06]","[0.0, 7.01, -3.06]"
RTLS.TA,"[-1.99, -7.33, -9.66]","[-1.99, -7.33, -9.66]","[-1.99, -7.33, -9.66]","[-1.99, -7.33, -9.66]","[-1.99, -7.33, -9.66]","[-1.99, -7.33, -9.66]","[-1.99, -7.33, -9.66]","[-1.99, -7.33, -9.66]"
RIMO.TA,"[0.54, 0.8, -5.6]","[0.54, 0.8, -5.6]","[0.54, 0.8, -5.6]","[0.54, 0.8, -5.6]","[0.54, 0.8, -5.6]","[0.54, 0.8, -5.6]","[0.54, 0.8, -5.6]","[None, None, None]"
RSEL.TA,"[1.58, 6.42, -1.37]","[1.58, 6.42, -1.37]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SPNS.TA,"[0.03, 6.63, 6.12]","[0.03, 6.63, 6.12]","[0.03, 6.63, 6.12]","[0.03, 6.63, 6.12]","[0.03, 6.63, 6.12]","[0.03, 6.63, 6.12]","[0.03, 6.63, 6.12]","[0.03, 6.63, 6.12]"
SARN.TA,"[-1.59, -5.79, -7.26]","[-1.59, -5.79, -7.26]","[-1.59, -5.79, -7.26]","[-1.59, -5.79, -7.26]","[-1.59, -5.79, -7.26]","[-1.59, -5.79, -7.26]","[-1.59, -5.79, -7.26]","[-1.59, -5.79, -7.26]"
SVRE.TA,"[0.84, -32.03, -59.28]","[0.84, -32.03, -59.28]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SVRT.TA,"[-3.54, -15.53, -22.61]","[-3.54, -15.53, -22.61]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SCDX.TA,"[1.52, 11.53, 2.96]","[1.52, 11.53, 2.96]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SLARL.TA,"[-1.89, 1.7, -4.22]","[-1.89, 1.7, -4.22]","[-1.89, 1.7, -4.22]","[-1.89, 1.7, -4.22]","[-1.89, 1.7, -4.22]","[-1.89, 1.7, -4.22]","[-1.89, 1.7, -4.22]","[-1.89, 1.7, -4.22]"
SHGR.TA,"[-0.24, 0.99, -2.3]","[-0.24, 0.99, -2.3]","[-0.24, 0.99, -2.3]","[-0.24, 0.99, -2.3]","[-0.24, 0.99, -2.3]","[-0.24, 0.99, -2.3]","[-0.24, 0.99, -2.3]","[-0.24, 0.99, -2.3]"
SPEN.TA,"[-0.93, 4.28, -1.9]","[-0.93, 4.28, -1.9]","[-0.93, 4.28, -1.9]","[-0.93, 4.28, -1.9]","[-0.93, 4.28, -1.9]","[-0.93, 4.28, -1.9]","[-0.93, 4.28, -1.9]","[-0.93, 4.28, -1.9]"
SHOM.TA,"[5.28, 7.21, 2.26]","[5.28, 7.21, 2.26]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SAE.TA,"[-0.54, -0.09, 13.99]","[-0.54, -0.09, 13.99]","[-0.54, -0.09, 13.99]","[-0.54, -0.09, 13.99]","[-0.54, -0.09, 13.99]","[-0.54, -0.09, 13.99]","[-0.54, -0.09, 13.99]","[-0.54, -0.09, 13.99]"
SKLN.TA,"[-0.62, -7.37, -14.12]","[-0.62, -7.37, -14.12]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SONO.TA,"[-1.93, -1.41, -8.9]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SPDV.TA,"[-1.51, -2.22, -3.01]","[-1.51, -2.22, -3.01]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SPRG.TA,"[13.54, 5.5, -49.8]","[13.54, 5.5, -49.8]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SPNTC.TA,"[-0.81, -2.3, -10.64]","[-0.81, -2.3, -10.64]","[-0.81, -2.3, -10.64]","[-0.81, -2.3, -10.64]","[-0.81, -2.3, -10.64]","[-0.81, -2.3, -10.64]","[-0.81, -2.3, -10.64]","[-0.81, -2.3, -10.64]"
STG.TA,"[-1.48, -0.39, -5.87]","[-1.48, -0.39, -5.87]","[-1.48, -0.39, -5.87]","[-1.48, -0.39, -5.87]","[-1.48, -0.39, -5.87]","[-1.48, -0.39, -5.87]","[-1.48, -0.39, -5.87]","[-1.48, -0.39, -5.87]"
STRS.TA,"[0.63, -0.5, -8.22]","[0.63, -0.5, -8.22]","[0.63, -0.5, -8.22]","[0.63, -0.5, -8.22]","[0.63, -0.5, -8.22]","[0.63, -0.5, -8.22]","[0.63, -0.5, -8.22]","[0.63, -0.5, -8.22]"
TDRN.TA,"[-0.88, -8.14, -17.18]","[-0.88, -8.14, -17.18]","[-0.88, -8.14, -17.18]","[-0.88, -8.14, -17.18]","[-0.88, -8.14, -17.18]","[-0.88, -8.14, -17.18]","[-0.88, -8.14, -17.18]","[-0.88, -8.14, -17.18]"
TMRP.TA,"[-6.2, -6.9, -10.62]","[-6.2, -6.9, -10.62]","[-6.2, -6.9, -10.62]","[-6.2, -6.9, -10.62]","[-6.2, -6.9, -10.62]","[-6.2, -6.9, -10.62]","[-6.2, -6.9, -10.62]","[-6.2, -6.9, -10.62]"
TECT.TA,"[-2.04, -21.89, -30.49]","[-2.04, -21.89, -30.49]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TFRLF.TA,"[1.94, 2.25, 8.09]","[1.94, 2.25, 8.09]","[1.94, 2.25, 8.09]","[1.94, 2.25, 8.09]","[1.94, 2.25, 8.09]","[1.94, 2.25, 8.09]","[1.94, 2.25, 8.09]","[1.94, 2.25, 8.09]"
TRX.TA,"[-0.25, 1.66, 6.33]","[-0.25, 1.66, 6.33]","[-0.25, 1.66, 6.33]","[-0.25, 1.66, 6.33]","[-0.25, 1.66, 6.33]","[-0.25, 1.66, 6.33]","[-0.25, 1.66, 6.33]","[-0.25, 1.66, 6.33]"
TUZA.TA,"[0.99, -3.0, 3.18]","[0.99, -3.0, 3.18]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TIGI.TA,"[None, None, None]","[26.34, 7.2, 39.91]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TGTR.TA,"[-8.54, -26.31, -34.97]","[-8.54, -26.31, -34.97]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TNDO.TA,"[None, None, None]","[-0.01, -9.4, -15.47]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TSEM.TA,"[0.66, 2.37, 13.29]","[0.66, 2.37, 13.29]","[0.66, 2.37, 13.29]","[0.66, 2.37, 13.29]","[0.66, 2.37, 13.29]","[0.66, 2.37, 13.29]","[0.66, 2.37, 13.29]","[0.66, 2.37, 13.29]"
TRAN.TA,"[None, None, None]","[-5.46, -26.91, -24.37]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TURB.TA,"[None, None, None]","[-3.95, -4.13, 4.63]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
UMH.TA,"[4.7, 9.85, 23.83]","[4.7, 9.85, 23.83]","[4.7, 9.85, 23.83]","[4.7, 9.85, 23.83]","[4.7, 9.85, 23.83]","[4.7, 9.85, 23.83]","[4.7, 9.85, 23.83]","[4.7, 9.85, 23.83]"
UTRN.TA,"[4.78, 9.9, 2.26]","[4.78, 9.9, 2.26]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
VRDS.TA,"[-0.93, -5.74, 2.67]","[-0.93, -5.74, 2.67]","[-0.93, -5.74, 2.67]","[-0.93, -5.74, 2.67]","[-0.93, -5.74, 2.67]","[-0.93, -5.74, 2.67]","[-0.93, -5.74, 2.67]","[-0.93, -5.74, 2.67]"
VCTR.TA,"[0.48, 5.62, 2.31]","[0.48, 5.62, 2.31]","[0.48, 5.62, 2.31]","[0.48, 5.62, 2.31]","[0.48, 5.62, 2.31]","[0.48, 5.62, 2.31]","[0.48, 5.62, 2.31]","[0.48, 5.62, 2.31]"
VISN.TA,"[0.0, -52.52, -99.03]","[0.0, -52.52, -99.03]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
VTNA.TA,"[0.44, 1.79, 1.64]","[0.44, 1.79, 1.64]","[0.44, 1.79, 1.64]","[0.44, 1.79, 1.64]","[0.44, 1.79, 1.64]","[0.44, 1.79, 1.64]","[0.44, 1.79, 1.64]","[0.44, 1.79, 1.64]"
WILC.TA,"[1.09, 1.19, 6.51]","[1.09, 1.19, 6.51]","[1.09, 1.19, 6.51]","[1.09, 1.19, 6.51]","[1.09, 1.19, 6.51]","[1.09, 1.19, 6.51]","[1.09, 1.19, 6.51]","[None, None, None]"
XTLB.TA,"[2.93, 9.07, -5.98]","[2.93, 9.07, -5.98]","[None, None, None]","[2.93, 9.07, -5.98]","[None, None, None]","[2.93, 9.07, -5.98]","[2.93, 9.07, -5.98]","[None, None, None]"
YBOX.TA,"[0.89, 0.2, -3.44]","[0.89, 0.2, -3.44]","[0.89, 0.2, -3.44]","[0.89, 0.2, -3.44]","[0.89, 0.2, -3.44]","[0.89, 0.2, -3.44]","[0.89, 0.2, -3.44]","[0.89, 0.2, -3.44]"
ZNKL.TA,"[0.77, 6.39, 16.86]","[0.77, 6.39, 16.86]","[0.77, 6.39, 16.86]","[0.77, 6.39, 16.86]","[0.77, 6.39, 16.86]","[0.77, 6.39, 16.86]","[0.77, 6.39, 16.86]","[0.77, 6.39, 16.86]"
ZOOZ.TA,"[-5.32, -28.12, -39.5]","[-5.32, -28.12, -39.5]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ZUR.TA,"[0.53, 6.64, 1.81]","[0.53, 6.64, 1.81]","[0.53, 6.64, 1.81]","[0.53, 6.64, 1.81]","[0.53, 6.64, 1.81]","[0.53, 6.64, 1.81]","[0.53, 6.64, 1.81]","[None, None, None]"
