,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Long-Term Debt,Dividends Paid,Short-Term Debt,Number of Outstanding Shares
FIBI.TA,"[0.0, -4.85, 1.27]","[0.0, -4.85, 1.27]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -4.85, 1.27]","[0.0, -4.85, 1.27]","[0.0, -4.85, 1.27]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
FIBIH.TA,"[None, None, None]","[0.0, -7.17, 2.4]","[0.0, -7.17, 2.4]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -7.17, 2.4]","[0.0, -7.17, 2.4]","[0.0, -7.17, 2.4]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -7.17, 2.4]"
FORTY.TA,"[0.0, -12.57, -6.28]","[0.0, -12.57, -6.28]","[0.0, -12.57, -6.28]","[0.0, -12.57, -6.28]","[0.0, -12.57, -6.28]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -12.57, -6.28]","[0.0, -12.57, -6.28]","[0.0, -12.57, -6.28]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -12.57, -6.28]"
GSFI.TA,"[0.0, -4.72, 5.21]","[0.0, -4.72, 5.21]","[0.0, -4.72, 5.21]","[0.0, -4.72, 5.21]","[0.0, -4.72, 5.21]","[0.0, -4.72, 5.21]","[0.0, -4.72, 5.21]","[0.0, -4.72, 5.21]","[0.0, -4.72, 5.21]","[0.0, -4.72, 5.21]","[0.0, -4.72, 5.21]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GNRS.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -28.57, -4.45]","[0.0, -28.57, -4.45]","[0.0, -28.57, -4.45]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GLTL.TA,"[0.0, -8.75, 18.02]","[0.0, -8.75, 18.02]","[0.0, -8.75, 18.02]","[0.0, -8.75, 18.02]","[0.0, -8.75, 18.02]","[0.0, -8.75, 18.02]","[0.0, -8.75, 18.02]","[0.0, -8.75, 18.02]","[0.0, -8.75, 18.02]","[0.0, -8.75, 18.02]","[0.0, -8.75, 18.02]","[0.0, -8.75, 18.02]","[None, None, None]","[None, None, None]","[0.0, -8.75, 18.02]"
GOLF.TA,"[0.0, -8.1, -17.76]","[0.0, -8.1, -17.76]","[0.0, -8.1, -17.76]","[0.0, -8.1, -17.76]","[0.0, -8.1, -17.76]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -8.1, -17.76]","[0.0, -8.1, -17.76]","[0.0, -8.1, -17.76]","[0.0, -8.1, -17.76]","[None, None, None]","[0.0, -8.1, -17.76]","[None, None, None]"
HAMAT.TA,"[0.0, -11.99, -15.64]","[0.0, -11.99, -15.64]","[None, None, None]","[0.0, -11.99, -15.64]","[0.0, -11.99, -15.64]","[0.0, -11.99, -15.64]","[0.0, -11.99, -15.64]","[0.0, -11.99, -15.64]","[0.0, -11.99, -15.64]","[0.0, -11.99, -15.64]","[0.0, -11.99, -15.64]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HARL.TA,"[0.0, -9.77, 0.13]","[0.0, -9.77, 0.13]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -9.77, 0.13]","[0.0, -9.77, 0.13]","[0.0, -9.77, 0.13]","[0.0, -9.77, 0.13]","[0.0, -9.77, 0.13]","[0.0, -9.77, 0.13]","[None, None, None]","[0.0, -9.77, 0.13]","[None, None, None]"
HLAN.TA,"[0.0, -8.61, 2.54]","[0.0, -8.61, 2.54]","[None, None, None]","[0.0, -8.61, 2.54]","[0.0, -8.61, 2.54]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -8.61, 2.54]","[0.0, -8.61, 2.54]","[0.0, -8.61, 2.54]","[0.0, -8.61, 2.54]","[0.0, -8.61, 2.54]","[0.0, -8.61, 2.54]","[None, None, None]"
HIPR.TA,"[0.0, -6.77, 1.46]","[0.0, -6.77, 1.46]","[None, None, None]","[0.0, -6.77, 1.46]","[0.0, -6.77, 1.46]","[None, None, None]","[0.0, -6.77, 1.46]","[0.0, -6.77, 1.46]","[0.0, -6.77, 1.46]","[0.0, -6.77, 1.46]","[0.0, -6.77, 1.46]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HRON.TA,"[0.0, 3.25, 6.5]","[0.0, 3.25, 6.5]","[None, None, None]","[0.0, 3.25, 6.5]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 3.25, 6.5]","[0.0, 3.25, 6.5]","[0.0, 3.25, 6.5]","[None, None, None]","[0.0, 3.25, 6.5]","[0.0, 3.25, 6.5]","[None, None, None]"
HUMX.TA,"[0.0, -7.45, -16.37]","[0.0, -7.45, -16.37]","[None, None, None]","[0.0, -7.45, -16.37]","[0.0, -7.45, -16.37]","[None, None, None]","[0.0, -7.45, -16.37]","[0.0, -7.45, -16.37]","[0.0, -7.45, -16.37]","[0.0, -7.45, -16.37]","[0.0, -7.45, -16.37]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ICON.TA,"[0.0, -14.19, -13.35]","[0.0, -14.19, -13.35]","[None, None, None]","[0.0, -14.19, -13.35]","[0.0, -14.19, -13.35]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -14.19, -13.35]","[0.0, -14.19, -13.35]","[0.0, -14.19, -13.35]","[None, None, None]","[0.0, -14.19, -13.35]","[0.0, -14.19, -13.35]","[None, None, None]"
IDIN.TA,"[0.0, -9.38, 9.25]","[0.0, -9.38, 9.25]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -9.38, 9.25]","[0.0, -9.38, 9.25]","[0.0, -9.38, 9.25]","[None, None, None]","[0.0, -9.38, 9.25]","[None, None, None]","[None, None, None]"
ILX.TA,"[0.0, -3.85, -8.84]","[0.0, -3.85, -8.84]","[None, None, None]","[0.0, -3.85, -8.84]","[0.0, -3.85, -8.84]","[0.0, -3.85, -8.84]","[0.0, -3.85, -8.84]","[0.0, -3.85, -8.84]","[0.0, -3.85, -8.84]","[0.0, -3.85, -8.84]","[0.0, -3.85, -8.84]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
INRM.TA,"[0.0, -10.84, -8.15]","[0.0, -10.84, -8.15]","[0.0, -10.84, -8.15]","[0.0, -10.84, -8.15]","[0.0, -10.84, -8.15]","[0.0, -10.84, -8.15]","[0.0, -10.84, -8.15]","[0.0, -10.84, -8.15]","[0.0, -10.84, -8.15]","[0.0, -10.84, -8.15]","[0.0, -10.84, -8.15]","[None, None, None]","[0.0, -10.84, -8.15]","[None, None, None]","[None, None, None]"
ILDC.TA,"[0.0, -12.43, 11.63]","[0.0, -12.43, 11.63]","[0.0, -12.43, 11.63]","[0.0, -12.43, 11.63]","[None, None, None]","[0.0, -12.43, 11.63]","[0.0, -12.43, 11.63]","[0.0, -12.43, 11.63]","[0.0, -12.43, 11.63]","[0.0, -12.43, 11.63]","[0.0, -12.43, 11.63]","[0.0, -12.43, 11.63]","[None, None, None]","[0.0, -12.43, 11.63]","[None, None, None]"
ISRA.TA,"[0.0, -2.16, 9.72]","[0.0, -2.16, 9.72]","[0.0, -2.16, 9.72]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -2.16, 9.72]","[0.0, -2.16, 9.72]","[0.0, -2.16, 9.72]","[None, None, None]","[0.0, -2.16, 9.72]","[None, None, None]","[0.0, -2.16, 9.72]"
ISRO.TA,"[0.0, -2.98, -3.79]","[0.0, -2.98, -3.79]","[None, None, None]","[0.0, -2.98, -3.79]","[0.0, -2.98, -3.79]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -2.98, -3.79]","[None, None, None]","[0.0, -2.98, -3.79]","[None, None, None]","[0.0, -2.98, -3.79]","[None, None, None]","[None, None, None]"
JBNK.TA,"[None, None, None]","[0.0, -4.22, -2.54]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -4.22, -2.54]","[0.0, -4.22, -2.54]","[0.0, -4.22, -2.54]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KRDI.TA,"[0.0, -2.0, 1.02]","[0.0, -2.0, 1.02]","[0.0, -2.0, 1.02]","[0.0, -2.0, 1.02]","[0.0, -2.0, 1.02]","[0.0, -2.0, 1.02]","[0.0, -2.0, 1.02]","[0.0, -2.0, 1.02]","[0.0, -2.0, 1.02]","[0.0, -2.0, 1.02]","[0.0, -2.0, 1.02]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KEN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KRUR.TA,"[0.0, -1.83, -11.58]","[0.0, -1.83, -11.58]","[0.0, -1.83, -11.58]","[0.0, -1.83, -11.58]","[0.0, -1.83, -11.58]","[None, None, None]","[0.0, -1.83, -11.58]","[0.0, -1.83, -11.58]","[0.0, -1.83, -11.58]","[0.0, -1.83, -11.58]","[0.0, -1.83, -11.58]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KLIL.TA,"[0.0, -6.7, 3.84]","[0.0, -6.7, 3.84]","[0.0, -6.7, 3.84]","[0.0, -6.7, 3.84]","[0.0, -6.7, 3.84]","[None, None, None]","[0.0, -6.7, 3.84]","[0.0, -6.7, 3.84]","[0.0, -6.7, 3.84]","[0.0, -6.7, 3.84]","[0.0, -6.7, 3.84]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KNFM.TA,"[None, None, None]","[0.0, -8.36, -5.13]","[0.0, -8.36, -5.13]","[0.0, -8.36, -5.13]","[0.0, -8.36, -5.13]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -8.36, -5.13]","[0.0, -8.36, -5.13]","[0.0, -8.36, -5.13]","[None, None, None]","[0.0, -8.36, -5.13]","[None, None, None]","[0.0, -8.36, -5.13]"
