,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Long-Term Debt,Dividends Paid,Number of Outstanding Shares,Short-Term Debt
INCR.TA,"[-0.31, 30.44, 35.35]","[-0.31, 30.44, 35.35]","[-0.31, 30.44, 35.35]","[-0.31, 30.44, 35.35]","[-0.31, 30.44, 35.35]","[None, None, None]","[-0.31, 30.44, 35.35]","[-0.31, 30.44, 35.35]","[-0.31, 30.44, 35.35]","[-0.31, 30.44, 35.35]","[-0.31, 30.44, 35.35]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ISHI.TA,"[-0.83, -2.38, -7.72]","[-0.83, -2.38, -7.72]","[None, None, None]","[-0.83, -2.38, -7.72]","[-0.83, -2.38, -7.72]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.83, -2.38, -7.72]","[-0.83, -2.38, -7.72]","[-0.83, -2.38, -7.72]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ISRO.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
JBNK.TA,"[-0.3, 6.75, 15.65]","[-0.3, 6.75, 15.65]","[-0.3, 6.75, 15.65]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.3, 6.75, 15.65]","[-0.3, 6.75, 15.65]","[-0.3, 6.75, 15.65]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KAFR.TA,"[-0.39, -2.44, 11.53]","[-0.39, -2.44, 11.53]","[-0.39, -2.44, 11.53]","[-0.39, -2.44, 11.53]","[-0.39, -2.44, 11.53]","[None, None, None]","[-0.39, -2.44, 11.53]","[-0.39, -2.44, 11.53]","[-0.39, -2.44, 11.53]","[-0.39, -2.44, 11.53]","[-0.39, -2.44, 11.53]","[-0.39, -2.44, 11.53]","[-0.39, -2.44, 11.53]","[None, None, None]","[-0.39, -2.44, 11.53]"
KMDA.TA,"[-2.14, -5.4, -15.02]","[-2.14, -5.4, -15.02]","[-2.14, -5.4, -15.02]","[-2.14, -5.4, -15.02]","[-2.14, -5.4, -15.02]","[-2.14, -5.4, -15.02]","[-2.14, -5.4, -15.02]","[-2.14, -5.4, -15.02]","[-2.14, -5.4, -15.02]","[-2.14, -5.4, -15.02]","[-2.14, -5.4, -15.02]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KRDI.TA,"[0.42, -5.67, 14.75]","[0.42, -5.67, 14.75]","[None, None, None]","[0.42, -5.67, 14.75]","[0.42, -5.67, 14.75]","[None, None, None]","[None, None, None]","[None, None, None]","[0.42, -5.67, 14.75]","[0.42, -5.67, 14.75]","[0.42, -5.67, 14.75]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KEN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.87, 1.25, 13.7]","[None, None, None]","[None, None, None]"
KRUR.TA,"[-1.46, -4.63, 0.21]","[-1.46, -4.63, 0.21]","[None, None, None]","[-1.46, -4.63, 0.21]","[-1.46, -4.63, 0.21]","[None, None, None]","[-1.46, -4.63, 0.21]","[-1.46, -4.63, 0.21]","[-1.46, -4.63, 0.21]","[-1.46, -4.63, 0.21]","[-1.46, -4.63, 0.21]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LAHAV.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LSCO.TA,"[1.99, -4.65, 10.54]","[1.99, -4.65, 10.54]","[1.99, -4.65, 10.54]","[1.99, -4.65, 10.54]","[1.99, -4.65, 10.54]","[1.99, -4.65, 10.54]","[1.99, -4.65, 10.54]","[1.99, -4.65, 10.54]","[1.99, -4.65, 10.54]","[1.99, -4.65, 10.54]","[1.99, -4.65, 10.54]","[1.99, -4.65, 10.54]","[1.99, -4.65, 10.54]","[None, None, None]","[1.99, -4.65, 10.54]"
LEVI.TA,"[-3.45, -7.15, 24.36]","[-3.45, -7.15, 24.36]","[-3.45, -7.15, 24.36]","[-3.45, -7.15, 24.36]","[-3.45, -7.15, 24.36]","[None, None, None]","[-3.45, -7.15, 24.36]","[-3.45, -7.15, 24.36]","[-3.45, -7.15, 24.36]","[-3.45, -7.15, 24.36]","[-3.45, -7.15, 24.36]","[-3.45, -7.15, 24.36]","[-3.45, -7.15, 24.36]","[None, None, None]","[-3.45, -7.15, 24.36]"
LCTX.TA,"[-1.85, 33.76, 55.79]","[-1.85, 33.76, 55.79]","[-1.85, 33.76, 55.79]","[-1.85, 33.76, 55.79]","[-1.85, 33.76, 55.79]","[-1.85, 33.76, 55.79]","[-1.85, 33.76, 55.79]","[-1.85, 33.76, 55.79]","[-1.85, 33.76, 55.79]","[-1.85, 33.76, 55.79]","[-1.85, 33.76, 55.79]","[None, None, None]","[None, None, None]","[-1.85, 33.76, 55.79]","[None, None, None]"
LPSN.TA,"[-0.94, 8.82, -0.74]","[-0.94, 8.82, -0.74]","[-0.94, 8.82, -0.74]","[None, None, None]","[None, None, None]","[-0.94, 8.82, -0.74]","[-0.94, 8.82, -0.74]","[-0.94, 8.82, -0.74]","[-0.94, 8.82, -0.74]","[-0.94, 8.82, -0.74]","[-0.94, 8.82, -0.74]","[None, None, None]","[None, None, None]","[-0.94, 8.82, -0.74]","[None, None, None]"
LUZN.TA,"[None, None, None]","[1.54, 18.28, 48.54]","[1.54, 18.28, 48.54]","[None, None, None]","[1.54, 18.28, 48.54]","[None, None, None]","[None, None, None]","[None, None, None]","[1.54, 18.28, 48.54]","[1.54, 18.28, 48.54]","[1.54, 18.28, 48.54]","[None, None, None]","[None, None, None]","[None, None, None]","[1.54, 18.28, 48.54]"
MLTM.TA,"[2.01, 1.81, 20.62]","[2.01, 1.81, 20.62]","[2.01, 1.81, 20.62]","[2.01, 1.81, 20.62]","[2.01, 1.81, 20.62]","[None, None, None]","[2.01, 1.81, 20.62]","[2.01, 1.81, 20.62]","[2.01, 1.81, 20.62]","[2.01, 1.81, 20.62]","[2.01, 1.81, 20.62]","[None, None, None]","[None, None, None]","[2.01, 1.81, 20.62]","[None, None, None]"
MTRX.TA,"[-0.55, -2.12, 0.02]","[-0.55, -2.12, 0.02]","[-0.55, -2.12, 0.02]","[-0.55, -2.12, 0.02]","[-0.55, -2.12, 0.02]","[None, None, None]","[-0.55, -2.12, 0.02]","[-0.55, -2.12, 0.02]","[-0.55, -2.12, 0.02]","[-0.55, -2.12, 0.02]","[-0.55, -2.12, 0.02]","[None, None, None]","[-0.55, -2.12, 0.02]","[None, None, None]","[None, None, None]"
MGOR.TA,"[None, None, None]","[0.38, 2.53, 9.23]","[None, None, None]","[None, None, None]","[0.38, 2.53, 9.23]","[None, None, None]","[None, None, None]","[None, None, None]","[0.38, 2.53, 9.23]","[0.38, 2.53, 9.23]","[0.38, 2.53, 9.23]","[None, None, None]","[0.38, 2.53, 9.23]","[None, None, None]","[None, None, None]"
MLSR.TA,"[0.81, 4.73, 29.76]","[0.81, 4.73, 29.76]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.81, 4.73, 29.76]","[0.81, 4.73, 29.76]","[0.81, 4.73, 29.76]","[0.81, 4.73, 29.76]","[0.81, 4.73, 29.76]","[0.81, 4.73, 29.76]","[0.81, 4.73, 29.76]","[None, None, None]","[0.81, 4.73, 29.76]"
MNIN.TA,"[0.67, -3.05, 9.45]","[0.67, -3.05, 9.45]","[None, None, None]","[0.67, -3.05, 9.45]","[0.67, -3.05, 9.45]","[None, None, None]","[0.67, -3.05, 9.45]","[0.67, -3.05, 9.45]","[0.67, -3.05, 9.45]","[0.67, -3.05, 9.45]","[0.67, -3.05, 9.45]","[0.67, -3.05, 9.45]","[0.67, -3.05, 9.45]","[None, None, None]","[0.67, -3.05, 9.45]"
MMHD.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.24, 0.86, 27.69]","[None, None, None]","[None, None, None]","[1.24, 0.86, 27.69]","[None, None, None]","[None, None, None]","[None, None, None]"
MCRNT.TA,"[-2.85, 11.17, -6.56]","[-2.85, 11.17, -6.56]","[None, None, None]","[-2.85, 11.17, -6.56]","[-2.85, 11.17, -6.56]","[None, None, None]","[-2.85, 11.17, -6.56]","[-2.85, 11.17, -6.56]","[-2.85, 11.17, -6.56]","[-2.85, 11.17, -6.56]","[-2.85, 11.17, -6.56]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MGDL.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[2.45, 10.19, 34.61]","[2.45, 10.19, 34.61]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
