,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
PHOE.TA,"[None, None, None]","[0.0, 1.55, 6.94]","[None, None, None]","[None, None, None]","[0.0, 1.55, 6.94]","[0.0, 1.55, 6.94]","[0.0, 1.55, 6.94]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PLSN.TA,"[0.0, 5.91, -3.63]","[0.0, 5.91, -3.63]","[0.0, 5.91, -3.63]","[0.0, 5.91, -3.63]","[0.0, 5.91, -3.63]","[0.0, 5.91, -3.63]","[0.0, 5.91, -3.63]","[0.0, 5.91, -3.63]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 5.91, -3.63]","[0.0, 5.91, -3.63]","[0.0, 5.91, -3.63]","[None, None, None]"
PLCR.TA,"[0.0, -2.98, -2.55]","[0.0, -2.98, -2.55]","[0.0, -2.98, -2.55]","[0.0, -2.98, -2.55]","[0.0, -2.98, -2.55]","[0.0, -2.98, -2.55]","[0.0, -2.98, -2.55]","[0.0, -2.98, -2.55]","[None, None, None]","[0.0, -2.98, -2.55]","[0.0, -2.98, -2.55]","[0.0, -2.98, -2.55]","[0.0, -2.98, -2.55]","[0.0, -2.98, -2.55]","[None, None, None]"
PPIL.TA,"[0.0, 0.05, 2.61]","[0.0, 0.05, 2.61]","[0.0, 0.05, 2.61]","[0.0, 0.05, 2.61]","[0.0, 0.05, 2.61]","[0.0, 0.05, 2.61]","[0.0, 0.05, 2.61]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 0.05, 2.61]"
PLUR.TA,"[0.0, 3.16, -2.39]","[0.0, 3.16, -2.39]","[0.0, 3.16, -2.39]","[0.0, 3.16, -2.39]","[0.0, 3.16, -2.39]","[0.0, 3.16, -2.39]","[0.0, 3.16, -2.39]","[0.0, 3.16, -2.39]","[0.0, 3.16, -2.39]","[0.0, 3.16, -2.39]","[0.0, 3.16, -2.39]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 3.16, -2.39]"
POLI.TA,"[0.0, 6.52, 5.69]","[0.0, 6.52, 5.69]","[None, None, None]","[None, None, None]","[0.0, 6.52, 5.69]","[0.0, 6.52, 5.69]","[0.0, 6.52, 5.69]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
POLP.TA,"[0.0, -2.06, 4.39]","[0.0, -2.06, 4.39]","[None, None, None]","[0.0, -2.06, 4.39]","[0.0, -2.06, 4.39]","[0.0, -2.06, 4.39]","[0.0, -2.06, 4.39]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PRSK.TA,"[0.0, 8.02, 25.84]","[0.0, 8.02, 25.84]","[None, None, None]","[0.0, 8.02, 25.84]","[0.0, 8.02, 25.84]","[0.0, 8.02, 25.84]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PRTC.TA,"[0.0, -7.17, -3.59]","[0.0, -7.17, -3.59]","[0.0, -7.17, -3.59]","[None, None, None]","[0.0, -7.17, -3.59]","[0.0, -7.17, -3.59]","[0.0, -7.17, -3.59]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RMN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RMLI.TA,"[0.0, 5.41, 4.92]","[0.0, 5.41, 4.92]","[None, None, None]","[0.0, 5.41, 4.92]","[0.0, 5.41, 4.92]","[0.0, 5.41, 4.92]","[0.0, 5.41, 4.92]","[None, None, None]","[0.0, 5.41, 4.92]","[0.0, 5.41, 4.92]","[0.0, 5.41, 4.92]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RANI.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RPAC.TA,"[0.0, -1.72, 4.31]","[0.0, -1.72, 4.31]","[0.0, -1.72, 4.31]","[0.0, -1.72, 4.31]","[0.0, -1.72, 4.31]","[None, None, None]","[0.0, -1.72, 4.31]","[0.0, -1.72, 4.31]","[0.0, -1.72, 4.31]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -1.72, 4.31]"
RATI.TA,"[0.0, 11.33, 29.07]","[0.0, 11.33, 29.07]","[0.0, 11.33, 29.07]","[None, None, None]","[0.0, 11.33, 29.07]","[0.0, 11.33, 29.07]","[0.0, 11.33, 29.07]","[None, None, None]","[0.0, 11.33, 29.07]","[0.0, 11.33, 29.07]","[0.0, 11.33, 29.07]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RTPT.TA,"[None, None, None]","[0.0, -0.96, -18.26]","[0.0, -0.96, -18.26]","[None, None, None]","[0.0, -0.96, -18.26]","[0.0, -0.96, -18.26]","[0.0, -0.96, -18.26]","[None, None, None]","[0.0, -0.96, -18.26]","[0.0, -0.96, -18.26]","[0.0, -0.96, -18.26]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RAVD.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 6.28, 2.48]","[0.0, 6.28, 2.48]","[0.0, 6.28, 2.48]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 6.28, 2.48]","[None, None, None]","[None, None, None]"
RVL.TA,"[0.0, -0.18, -7.1]","[0.0, -0.18, -7.1]","[0.0, -0.18, -7.1]","[0.0, -0.18, -7.1]","[0.0, -0.18, -7.1]","[0.0, -0.18, -7.1]","[0.0, -0.18, -7.1]","[None, None, None]","[None, None, None]","[0.0, -0.18, -7.1]","[0.0, -0.18, -7.1]","[0.0, -0.18, -7.1]","[0.0, -0.18, -7.1]","[0.0, -0.18, -7.1]","[0.0, -0.18, -7.1]"
RZR.TA,"[0.0, -9.72, -18.87]","[0.0, -9.72, -18.87]","[None, None, None]","[0.0, -9.72, -18.87]","[0.0, -9.72, -18.87]","[0.0, -9.72, -18.87]","[0.0, -9.72, -18.87]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RIT1.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 3.5, 7.36]","[0.0, 3.5, 7.36]","[0.0, 3.5, 7.36]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 3.5, 7.36]","[None, None, None]"
REKA.TA,"[0.0, 3.56, 1.35]","[0.0, 3.56, 1.35]","[None, None, None]","[0.0, 3.56, 1.35]","[0.0, 3.56, 1.35]","[0.0, 3.56, 1.35]","[0.0, 3.56, 1.35]","[0.0, 3.56, 1.35]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RTLS.TA,"[0.0, 4.0, 13.16]","[0.0, 4.0, 13.16]","[None, None, None]","[0.0, 4.0, 13.16]","[0.0, 4.0, 13.16]","[0.0, 4.0, 13.16]","[0.0, 4.0, 13.16]","[0.0, 4.0, 13.16]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RIMO.TA,"[0.0, 2.6, 2.87]","[0.0, 2.6, 2.87]","[0.0, 2.6, 2.87]","[0.0, 2.6, 2.87]","[0.0, 2.6, 2.87]","[0.0, 2.6, 2.87]","[0.0, 2.6, 2.87]","[None, None, None]","[None, None, None]","[0.0, 2.6, 2.87]","[0.0, 2.6, 2.87]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 2.6, 2.87]"
RTEN.TA,"[0.0, 6.46, -9.16]","[0.0, 6.46, -9.16]","[None, None, None]","[0.0, 6.46, -9.16]","[0.0, 6.46, -9.16]","[0.0, 6.46, -9.16]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 6.46, -9.16]","[0.0, 6.46, -9.16]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SCOP.TA,"[0.0, 0.88, 6.59]","[0.0, 0.88, 6.59]","[0.0, 0.88, 6.59]","[0.0, 0.88, 6.59]","[0.0, 0.88, 6.59]","[0.0, 0.88, 6.59]","[0.0, 0.88, 6.59]","[0.0, 0.88, 6.59]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 0.88, 6.59]","[0.0, 0.88, 6.59]","[0.0, 0.88, 6.59]","[None, None, None]"
SLARL.TA,"[0.0, 5.57, 6.67]","[0.0, 5.57, 6.67]","[None, None, None]","[0.0, 5.57, 6.67]","[0.0, 5.57, 6.67]","[0.0, 5.57, 6.67]","[0.0, 5.57, 6.67]","[0.0, 5.57, 6.67]","[0.0, 5.57, 6.67]","[0.0, 5.57, 6.67]","[0.0, 5.57, 6.67]","[0.0, 5.57, 6.67]","[0.0, 5.57, 6.67]","[None, None, None]","[None, None, None]"
SHAN.TA,"[0.0, -3.47, -2.31]","[0.0, -3.47, -2.31]","[None, None, None]","[0.0, -3.47, -2.31]","[0.0, -3.47, -2.31]","[0.0, -3.47, -2.31]","[0.0, -3.47, -2.31]","[0.0, -3.47, -2.31]","[None, None, None]","[0.0, -3.47, -2.31]","[0.0, -3.47, -2.31]","[None, None, None]","[0.0, -3.47, -2.31]","[None, None, None]","[None, None, None]"
SPEN.TA,"[0.0, 1.75, 10.07]","[0.0, 1.75, 10.07]","[0.0, 1.75, 10.07]","[0.0, 1.75, 10.07]","[0.0, 1.75, 10.07]","[0.0, 1.75, 10.07]","[0.0, 1.75, 10.07]","[0.0, 1.75, 10.07]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 1.75, 10.07]","[0.0, 1.75, 10.07]","[0.0, 1.75, 10.07]","[None, None, None]"
SKBN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SHOM.TA,"[None, None, None]","[0.0, -1.26, 14.39]","[0.0, -1.26, 14.39]","[None, None, None]","[0.0, -1.26, 14.39]","[0.0, -1.26, 14.39]","[0.0, -1.26, 14.39]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -1.26, 14.39]","[None, None, None]","[None, None, None]","[0.0, -1.26, 14.39]","[None, None, None]"
SAE.TA,"[0.0, 1.85, 5.93]","[0.0, 1.85, 5.93]","[0.0, 1.85, 5.93]","[0.0, 1.85, 5.93]","[0.0, 1.85, 5.93]","[0.0, 1.85, 5.93]","[0.0, 1.85, 5.93]","[0.0, 1.85, 5.93]","[None, None, None]","[0.0, 1.85, 5.93]","[0.0, 1.85, 5.93]","[None, None, None]","[None, None, None]","[0.0, 1.85, 5.93]","[None, None, None]"
SKLN.TA,"[0.0, -6.54, 10.47]","[0.0, -6.54, 10.47]","[0.0, -6.54, 10.47]","[None, None, None]","[0.0, -6.54, 10.47]","[0.0, -6.54, 10.47]","[0.0, -6.54, 10.47]","[0.0, -6.54, 10.47]","[None, None, None]","[0.0, -6.54, 10.47]","[0.0, -6.54, 10.47]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SCC.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 5.47, -5.21]","[0.0, 5.47, -5.21]","[0.0, 5.47, -5.21]","[None, None, None]","[0.0, 5.47, -5.21]","[0.0, 5.47, -5.21]","[0.0, 5.47, -5.21]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SMT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 9.92, 13.86]","[None, None, None]","[0.0, 9.92, 13.86]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SNEL.TA,"[0.0, 2.17, 11.44]","[0.0, 2.17, 11.44]","[0.0, 2.17, 11.44]","[0.0, 2.17, 11.44]","[0.0, 2.17, 11.44]","[0.0, 2.17, 11.44]","[0.0, 2.17, 11.44]","[0.0, 2.17, 11.44]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 2.17, 11.44]"
TDRN.TA,"[0.0, 5.79, 15.41]","[0.0, 5.79, 15.41]","[0.0, 5.79, 15.41]","[0.0, 5.79, 15.41]","[0.0, 5.79, 15.41]","[0.0, 5.79, 15.41]","[0.0, 5.79, 15.41]","[0.0, 5.79, 15.41]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TMRP.TA,"[0.0, 2.93, 34.39]","[0.0, 2.93, 34.39]","[None, None, None]","[None, None, None]","[0.0, 2.93, 34.39]","[0.0, 2.93, 34.39]","[0.0, 2.93, 34.39]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 2.93, 34.39]","[0.0, 2.93, 34.39]"
TFRLF.TA,"[0.0, -6.64, -6.25]","[0.0, -6.64, -6.25]","[None, None, None]","[0.0, -6.64, -6.25]","[0.0, -6.64, -6.25]","[0.0, -6.64, -6.25]","[0.0, -6.64, -6.25]","[0.0, -6.64, -6.25]","[None, None, None]","[0.0, -6.64, -6.25]","[0.0, -6.64, -6.25]","[0.0, -6.64, -6.25]","[0.0, -6.64, -6.25]","[None, None, None]","[None, None, None]"
TRX.TA,"[0.0, 5.94, -25.19]","[0.0, 5.94, -25.19]","[0.0, 5.94, -25.19]","[0.0, 5.94, -25.19]","[0.0, 5.94, -25.19]","[0.0, 5.94, -25.19]","[None, None, None]","[0.0, 5.94, -25.19]","[None, None, None]","[0.0, 5.94, -25.19]","[0.0, 5.94, -25.19]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TEVA.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ILCO.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 6.67, 37.13]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TIGBUR.TA,"[0.0, 13.38, 1.99]","[0.0, 13.38, 1.99]","[0.0, 13.38, 1.99]","[0.0, 13.38, 1.99]","[0.0, 13.38, 1.99]","[0.0, 13.38, 1.99]","[None, None, None]","[0.0, 13.38, 1.99]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 13.38, 1.99]"
TGTR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 5.96, -2.74]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TOEN.TA,"[None, None, None]","[0.0, 2.17, 18.3]","[0.0, 2.17, 18.3]","[None, None, None]","[0.0, 2.17, 18.3]","[0.0, 2.17, 18.3]","[0.0, 2.17, 18.3]","[0.0, 2.17, 18.3]","[0.0, 2.17, 18.3]","[0.0, 2.17, 18.3]","[0.0, 2.17, 18.3]","[None, None, None]","[0.0, 2.17, 18.3]","[None, None, None]","[None, None, None]"
TOPS.TA,"[0.0, 0.63, 5.42]","[0.0, 0.63, 5.42]","[None, None, None]","[0.0, 0.63, 5.42]","[0.0, 0.63, 5.42]","[0.0, 0.63, 5.42]","[0.0, 0.63, 5.42]","[0.0, 0.63, 5.42]","[None, None, None]","[0.0, 0.63, 5.42]","[0.0, 0.63, 5.42]","[None, None, None]","[None, None, None]","[0.0, 0.63, 5.42]","[None, None, None]"
TSEM.TA,"[0.0, -3.7, 26.04]","[0.0, -3.7, 26.04]","[0.0, -3.7, 26.04]","[0.0, -3.7, 26.04]","[0.0, -3.7, 26.04]","[0.0, -3.7, 26.04]","[0.0, -3.7, 26.04]","[0.0, -3.7, 26.04]","[0.0, -3.7, 26.04]","[None, None, None]","[None, None, None]","[0.0, -3.7, 26.04]","[0.0, -3.7, 26.04]","[None, None, None]","[0.0, -3.7, 26.04]"
UNIT.TA,"[0.0, 1.45, -0.22]","[0.0, 1.45, -0.22]","[0.0, 1.45, -0.22]","[0.0, 1.45, -0.22]","[0.0, 1.45, -0.22]","[0.0, 1.45, -0.22]","[0.0, 1.45, -0.22]","[None, None, None]","[None, None, None]","[0.0, 1.45, -0.22]","[0.0, 1.45, -0.22]","[0.0, 1.45, -0.22]","[0.0, 1.45, -0.22]","[0.0, 1.45, -0.22]","[None, None, None]"
VRDS.TA,"[0.0, 7.85, 1.17]","[0.0, 7.85, 1.17]","[0.0, 7.85, 1.17]","[0.0, 7.85, 1.17]","[0.0, 7.85, 1.17]","[0.0, 7.85, 1.17]","[0.0, 7.85, 1.17]","[0.0, 7.85, 1.17]","[None, None, None]","[0.0, 7.85, 1.17]","[0.0, 7.85, 1.17]","[None, None, None]","[None, None, None]","[0.0, 7.85, 1.17]","[0.0, 7.85, 1.17]"
VCTR.TA,"[0.0, 1.05, -5.53]","[0.0, 1.05, -5.53]","[None, None, None]","[0.0, 1.05, -5.53]","[0.0, 1.05, -5.53]","[0.0, 1.05, -5.53]","[0.0, 1.05, -5.53]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
VILR.TA,"[0.0, 3.02, 8.79]","[0.0, 3.02, 8.79]","[None, None, None]","[0.0, 3.02, 8.79]","[0.0, 3.02, 8.79]","[0.0, 3.02, 8.79]","[0.0, 3.02, 8.79]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 3.02, 8.79]","[0.0, 3.02, 8.79]","[None, None, None]"
VTNA.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -7.92, 9.3]","[0.0, -7.92, 9.3]","[0.0, -7.92, 9.3]","[0.0, -7.92, 9.3]","[None, None, None]","[None, None, None]","[0.0, -7.92, 9.3]","[0.0, -7.92, 9.3]","[None, None, None]","[0.0, -7.92, 9.3]","[0.0, -7.92, 9.3]","[None, None, None]"
WATR.TA,"[0.0, 1.45, -9.33]","[0.0, 1.45, -9.33]","[None, None, None]","[0.0, 1.45, -9.33]","[0.0, 1.45, -9.33]","[0.0, 1.45, -9.33]","[0.0, 1.45, -9.33]","[0.0, 1.45, -9.33]","[0.0, 1.45, -9.33]","[0.0, 1.45, -9.33]","[0.0, 1.45, -9.33]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
WLFD.TA,"[0.0, -4.63, 4.32]","[0.0, -4.63, 4.32]","[None, None, None]","[0.0, -4.63, 4.32]","[0.0, -4.63, 4.32]","[0.0, -4.63, 4.32]","[0.0, -4.63, 4.32]","[0.0, -4.63, 4.32]","[None, None, None]","[0.0, -4.63, 4.32]","[0.0, -4.63, 4.32]","[None, None, None]","[None, None, None]","[0.0, -4.63, 4.32]","[0.0, -4.63, 4.32]"
WILC.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -1.36, -7.68]"
XTLB.TA,"[None, None, None]","[0.0, -8.17, -26.21]","[0.0, -8.17, -26.21]","[None, None, None]","[0.0, -8.17, -26.21]","[0.0, -8.17, -26.21]","[0.0, -8.17, -26.21]","[0.0, -8.17, -26.21]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -8.17, -26.21]"
YBOX.TA,"[0.0, 4.02, 21.53]","[0.0, 4.02, 21.53]","[0.0, 4.02, 21.53]","[0.0, 4.02, 21.53]","[0.0, 4.02, 21.53]","[0.0, 4.02, 21.53]","[0.0, 4.02, 21.53]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
