,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
ALBA.TA,"[1.42, 7.66, 21.89]","[1.42, 7.66, 21.89]","[1.42, 7.66, 21.89]","[1.42, 7.66, 21.89]","[1.42, 7.66, 21.89]","[1.42, 7.66, 21.89]","[1.42, 7.66, 21.89]","[1.42, 7.66, 21.89]"
ALLT.TA,"[0.64, 18.9, 60.01]","[0.64, 18.9, 60.01]","[0.64, 18.9, 60.01]","[0.64, 18.9, 60.01]","[0.64, 18.9, 60.01]","[0.64, 18.9, 60.01]","[0.64, 18.9, 60.01]","[0.64, 18.9, 60.01]"
ALMA.TA,"[-0.03, 16.69, 30.71]","[-0.03, 16.69, 30.71]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALHE.TA,"[-0.58, 6.58, 11.07]","[-0.58, 6.58, 11.07]","[-0.58, 6.58, 11.07]","[-0.58, 6.58, 11.07]","[-0.58, 6.58, 11.07]","[-0.58, 6.58, 11.07]","[-0.58, 6.58, 11.07]","[-0.58, 6.58, 11.07]"
ALRPR.TA,"[-0.79, 2.15, 14.67]","[-0.79, 2.15, 14.67]","[-0.79, 2.15, 14.67]","[-0.79, 2.15, 14.67]","[-0.79, 2.15, 14.67]","[-0.79, 2.15, 14.67]","[-0.79, 2.15, 14.67]","[-0.79, 2.15, 14.67]"
ALUMA.TA,"[None, None, None]","[1.54, -2.41, 21.82]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[0.97, 1.24, 6.64]","[0.97, 1.24, 6.64]","[0.97, 1.24, 6.64]","[0.97, 1.24, 6.64]","[0.97, 1.24, 6.64]","[0.97, 1.24, 6.64]","[0.97, 1.24, 6.64]","[None, None, None]"
AMOT.TA,"[-1.24, 7.15, 15.22]","[-1.24, 7.15, 15.22]","[-1.24, 7.15, 15.22]","[-1.24, 7.15, 15.22]","[-1.24, 7.15, 15.22]","[-1.24, 7.15, 15.22]","[-1.24, 7.15, 15.22]","[-1.24, 7.15, 15.22]"
APLP.TA,"[-0.77, -14.35, -10.32]","[-0.77, -14.35, -10.32]","[-0.77, -14.35, -10.32]","[-0.77, -14.35, -10.32]","[-0.77, -14.35, -10.32]","[-0.77, -14.35, -10.32]","[-0.77, -14.35, -10.32]","[None, None, None]"
ARD.TA,"[-0.41, 3.79, 3.72]","[-0.41, 3.79, 3.72]","[-0.41, 3.79, 3.72]","[-0.41, 3.79, 3.72]","[-0.41, 3.79, 3.72]","[-0.41, 3.79, 3.72]","[-0.41, 3.79, 3.72]","[-0.41, 3.79, 3.72]"
