,Earnings Per Share (EPS),Revenue,Net Income,Operating Income (EBIT),Total Assets,Long-Term Debt,Gross Profit,Number of Outstanding Shares
NXTM.TA,"[1.46, -1.7, 13.55]","[1.46, -1.7, 13.55]","[1.46, -1.7, 13.55]","[1.46, -1.7, 13.55]","[1.46, -1.7, 13.55]","[None, None, None]","[1.46, -1.7, 13.55]","[1.46, -1.7, 13.55]"
NICE.TA,"[0.34, 3.15, 23.27]","[0.34, 3.15, 23.27]","[0.34, 3.15, 23.27]","[0.34, 3.15, 23.27]","[0.34, 3.15, 23.27]","[0.34, 3.15, 23.27]","[0.34, 3.15, 23.27]","[0.34, 3.15, 23.27]"
NISA.TA,"[None, None, None]","[0.42, -5.75, 14.13]","[0.42, -5.75, 14.13]","[0.42, -5.75, 14.13]","[0.42, -5.75, 14.13]","[0.42, -5.75, 14.13]","[0.42, -5.75, 14.13]","[None, None, None]"
OPCE.TA,"[None, None, None]","[3.92, -1.75, 1.76]","[3.92, -1.75, 1.76]","[None, None, None]","[3.92, -1.75, 1.76]","[3.92, -1.75, 1.76]","[3.92, -1.75, 1.76]","[None, None, None]"
OVRS.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PLRM.TA,"[None, None, None]","[1.6, -6.31, 15.48]","[1.6, -6.31, 15.48]","[1.6, -6.31, 15.48]","[1.6, -6.31, 15.48]","[None, None, None]","[1.6, -6.31, 15.48]","[None, None, None]"
PERI.TA,"[1.21, -5.96, -15.13]","[1.21, -5.96, -15.13]","[1.21, -5.96, -15.13]","[1.21, -5.96, -15.13]","[1.21, -5.96, -15.13]","[None, None, None]","[None, None, None]","[1.21, -5.96, -15.13]"
PMVM.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PRSK.TA,"[3.98, -9.74, 9.4]","[3.98, -9.74, 9.4]","[3.98, -9.74, 9.4]","[3.98, -9.74, 9.4]","[3.98, -9.74, 9.4]","[None, None, None]","[3.98, -9.74, 9.4]","[None, None, None]"
PRTC.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.61, 5.71, 19.97]","[0.61, 5.71, 19.97]","[None, None, None]","[None, None, None]"
RANI.TA,"[3.25, -16.66, -5.51]","[None, None, None]","[3.25, -16.66, -5.51]","[3.25, -16.66, -5.51]","[3.25, -16.66, -5.51]","[3.25, -16.66, -5.51]","[None, None, None]","[None, None, None]"
RIT1.TA,"[1.09, -7.58, 1.24]","[None, None, None]","[1.09, -7.58, 1.24]","[None, None, None]","[1.09, -7.58, 1.24]","[1.09, -7.58, 1.24]","[None, None, None]","[1.09, -7.58, 1.24]"
RTLS.TA,"[-0.5, -3.13, 10.16]","[-0.5, -3.13, 10.16]","[-0.5, -3.13, 10.16]","[-0.5, -3.13, 10.16]","[-0.5, -3.13, 10.16]","[None, None, None]","[-0.5, -3.13, 10.16]","[None, None, None]"
RIMO.TA,"[1.35, -11.04, -1.83]","[1.35, -11.04, -1.83]","[1.35, -11.04, -1.83]","[1.35, -11.04, -1.83]","[1.35, -11.04, -1.83]","[None, None, None]","[1.35, -11.04, -1.83]","[1.35, -11.04, -1.83]"
SPNS.TA,"[0.47, -4.18, 3.47]","[0.47, -4.18, 3.47]","[0.47, -4.18, 3.47]","[0.47, -4.18, 3.47]","[0.47, -4.18, 3.47]","[0.47, -4.18, 3.47]","[0.47, -4.18, 3.47]","[0.47, -4.18, 3.47]"
SPEN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SHOM.TA,"[0.72, -10.01, -3.83]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SAE.TA,"[1.43, 4.71, 24.44]","[1.43, 4.71, 24.44]","[1.43, 4.71, 24.44]","[1.43, 4.71, 24.44]","[1.43, 4.71, 24.44]","[None, None, None]","[1.43, 4.71, 24.44]","[None, None, None]"
SKLN.TA,"[0.95, 0.35, 6.92]","[0.95, 0.35, 6.92]","[0.95, 0.35, 6.92]","[0.95, 0.35, 6.92]","[0.95, 0.35, 6.92]","[0.95, 0.35, 6.92]","[0.95, 0.35, 6.92]","[None, None, None]"
SOLR.TA,"[None, None, None]","[-0.14, -10.76, -3.15]","[-0.14, -10.76, -3.15]","[-0.14, -10.76, -3.15]","[-0.14, -10.76, -3.15]","[None, None, None]","[-0.14, -10.76, -3.15]","[None, None, None]"
TMRP.TA,"[0.64, -1.66, 23.0]","[0.64, -1.66, 23.0]","[0.64, -1.66, 23.0]","[0.64, -1.66, 23.0]","[0.64, -1.66, 23.0]","[0.64, -1.66, 23.0]","[None, None, None]","[0.64, -1.66, 23.0]"
TFRLF.TA,"[0.9, -10.55, 14.34]","[0.9, -10.55, 14.34]","[0.9, -10.55, 14.34]","[0.9, -10.55, 14.34]","[0.9, -10.55, 14.34]","[0.9, -10.55, 14.34]","[0.9, -10.55, 14.34]","[None, None, None]"
TRX.TA,"[2.79, -8.02, 1.58]","[2.79, -8.02, 1.58]","[2.79, -8.02, 1.58]","[2.79, -8.02, 1.58]","[2.79, -8.02, 1.58]","[2.79, -8.02, 1.58]","[2.79, -8.02, 1.58]","[None, None, None]"
TSEM.TA,"[0.68, -0.27, 13.24]","[0.68, -0.27, 13.24]","[0.68, -0.27, 13.24]","[0.68, -0.27, 13.24]","[0.68, -0.27, 13.24]","[0.68, -0.27, 13.24]","[0.68, -0.27, 13.24]","[0.68, -0.27, 13.24]"
UMH.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
VRDS.TA,"[-1.13, -9.4, -7.9]","[-1.13, -9.4, -7.9]","[-1.13, -9.4, -7.9]","[-1.13, -9.4, -7.9]","[-1.13, -9.4, -7.9]","[-1.13, -9.4, -7.9]","[-1.13, -9.4, -7.9]","[None, None, None]"
VCTR.TA,"[None, None, None]","[2.5, 2.29, 19.9]","[2.5, 2.29, 19.9]","[2.5, 2.29, 19.9]","[2.5, 2.29, 19.9]","[None, None, None]","[2.5, 2.29, 19.9]","[None, None, None]"
XTLB.TA,"[None, -5.56, 90.0]","[None, None, None]","[None, -5.56, 90.0]","[None, -5.56, 90.0]","[None, -5.56, 90.0]","[None, None, None]","[None, None, None]","[None, -5.56, 90.0]"
YBOX.TA,"[5.99, 8.1, 7.53]","[5.99, 8.1, 7.53]","[5.99, 8.1, 7.53]","[5.99, 8.1, 7.53]","[5.99, 8.1, 7.53]","[5.99, 8.1, 7.53]","[5.99, 8.1, 7.53]","[None, None, None]"
