,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Operating Income (EBIT),Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Number of Outstanding Shares,Dividends Paid
JBNK.TA,"[None, None, None]","[0.11, 12.17, 15.01]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.11, 12.17, 15.01]","[0.11, 12.17, 15.01]","[None, None, None]","[None, None, None]","[None, None, None]","[0.11, 12.17, 15.01]","[None, None, None]","[None, None, None]"
KAFR.TA,"[-0.63, 1.96, 4.93]","[-0.63, 1.96, 4.93]","[None, None, None]","[-0.63, 1.96, 4.93]","[None, None, None]","[-0.63, 1.96, 4.93]","[-0.63, 1.96, 4.93]","[-0.63, 1.96, 4.93]","[-0.63, 1.96, 4.93]","[-0.63, 1.96, 4.93]","[-0.63, 1.96, 4.93]","[-0.63, 1.96, 4.93]","[-0.63, 1.96, 4.93]","[None, None, None]","[None, None, None]"
KMDA.TA,"[0.81, 1.34, -3.62]","[0.81, 1.34, -3.62]","[0.81, 1.34, -3.62]","[0.81, 1.34, -3.62]","[0.81, 1.34, -3.62]","[0.81, 1.34, -3.62]","[0.81, 1.34, -3.62]","[0.81, 1.34, -3.62]","[0.81, 1.34, -3.62]","[0.81, 1.34, -3.62]","[0.81, 1.34, -3.62]","[0.81, 1.34, -3.62]","[0.81, 1.34, -3.62]","[None, None, None]","[None, None, None]"
KRDI.TA,"[0.52, 27.58, 14.06]","[0.52, 27.58, 14.06]","[None, None, None]","[0.52, 27.58, 14.06]","[None, None, None]","[None, None, None]","[None, None, None]","[0.52, 27.58, 14.06]","[0.52, 27.58, 14.06]","[None, None, None]","[None, None, None]","[None, None, None]","[0.52, 27.58, 14.06]","[None, None, None]","[None, None, None]"
KEN.TA,"[None, None, None]","[0.49, 0.57, 9.37]","[0.49, 0.57, 9.37]","[0.49, 0.57, 9.37]","[0.49, 0.57, 9.37]","[0.49, 0.57, 9.37]","[0.49, 0.57, 9.37]","[0.49, 0.57, 9.37]","[0.49, 0.57, 9.37]","[0.49, 0.57, 9.37]","[0.49, 0.57, 9.37]","[0.49, 0.57, 9.37]","[0.49, 0.57, 9.37]","[None, None, None]","[None, None, None]"
KRUR.TA,"[0.15, -5.7, 3.3]","[0.15, -5.7, 3.3]","[0.15, -5.7, 3.3]","[0.15, -5.7, 3.3]","[None, None, None]","[0.15, -5.7, 3.3]","[0.15, -5.7, 3.3]","[0.15, -5.7, 3.3]","[0.15, -5.7, 3.3]","[0.15, -5.7, 3.3]","[None, None, None]","[None, None, None]","[0.15, -5.7, 3.3]","[None, None, None]","[None, None, None]"
LAHAV.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LPHL.TA,"[0.16, 3.6, 9.87]","[None, None, None]","[0.16, 3.6, 9.87]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.16, 3.6, 9.87]","[0.16, 3.6, 9.87]","[None, None, None]","[None, None, None]","[None, None, None]","[0.16, 3.6, 9.87]","[None, None, None]","[None, None, None]"
LSCO.TA,"[-1.0, 7.82, 20.91]","[-1.0, 7.82, 20.91]","[-1.0, 7.82, 20.91]","[-1.0, 7.82, 20.91]","[None, None, None]","[-1.0, 7.82, 20.91]","[-1.0, 7.82, 20.91]","[-1.0, 7.82, 20.91]","[-1.0, 7.82, 20.91]","[-1.0, 7.82, 20.91]","[None, None, None]","[None, None, None]","[-1.0, 7.82, 20.91]","[None, None, None]","[None, None, None]"
LCTX.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LPSN.TA,"[1.14, 4.98, 2.92]","[1.14, 4.98, 2.92]","[1.14, 4.98, 2.92]","[None, None, None]","[1.14, 4.98, 2.92]","[1.14, 4.98, 2.92]","[1.14, 4.98, 2.92]","[1.14, 4.98, 2.92]","[1.14, 4.98, 2.92]","[None, None, None]","[None, None, None]","[None, None, None]","[1.14, 4.98, 2.92]","[1.14, 4.98, 2.92]","[None, None, None]"
LUZN.TA,"[None, None, None]","[0.85, 14.32, 32.17]","[0.85, 14.32, 32.17]","[None, None, None]","[0.85, 14.32, 32.17]","[0.85, 14.32, 32.17]","[0.85, 14.32, 32.17]","[0.85, 14.32, 32.17]","[0.85, 14.32, 32.17]","[None, None, None]","[0.85, 14.32, 32.17]","[None, None, None]","[0.85, 14.32, 32.17]","[None, None, None]","[None, None, None]"
