,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
ALBA.TA,"[-0.3, 9.74, 5.63]","[-0.3, 9.74, 5.63]","[-0.3, 9.74, 5.63]","[-0.3, 9.74, 5.63]","[-0.3, 9.74, 5.63]","[-0.3, 9.74, 5.63]","[-0.3, 9.74, 5.63]","[-0.3, 9.74, 5.63]"
ALLT.TA,"[-0.98, 22.91, 39.16]","[-0.98, 22.91, 39.16]","[-0.98, 22.91, 39.16]","[-0.98, 22.91, 39.16]","[-0.98, 22.91, 39.16]","[-0.98, 22.91, 39.16]","[-0.98, 22.91, 39.16]","[-0.98, 22.91, 39.16]"
ALMA.TA,"[0.32, -0.77, 4.52]","[0.32, -0.77, 4.52]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALHE.TA,"[0.1, 6.19, -0.49]","[0.1, 6.19, -0.49]","[0.1, 6.19, -0.49]","[0.1, 6.19, -0.49]","[0.1, 6.19, -0.49]","[0.1, 6.19, -0.49]","[0.1, 6.19, -0.49]","[0.1, 6.19, -0.49]"
ALRPR.TA,"[0.62, 6.89, 20.08]","[0.62, 6.89, 20.08]","[0.62, 6.89, 20.08]","[0.62, 6.89, 20.08]","[0.62, 6.89, 20.08]","[0.62, 6.89, 20.08]","[0.62, 6.89, 20.08]","[0.62, 6.89, 20.08]"
ALUMA.TA,"[None, None, None]","[-1.28, 5.84, 24.11]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[1.02, 3.6, 9.34]","[1.02, 3.6, 9.34]","[1.02, 3.6, 9.34]","[1.02, 3.6, 9.34]","[1.02, 3.6, 9.34]","[1.02, 3.6, 9.34]","[1.02, 3.6, 9.34]","[None, None, None]"
AMOT.TA,"[-0.55, 6.31, 7.54]","[-0.55, 6.31, 7.54]","[-0.55, 6.31, 7.54]","[-0.55, 6.31, 7.54]","[-0.55, 6.31, 7.54]","[-0.55, 6.31, 7.54]","[-0.55, 6.31, 7.54]","[-0.55, 6.31, 7.54]"
APLP.TA,"[-1.35, -18.45, -27.06]","[-1.35, -18.45, -27.06]","[-1.35, -18.45, -27.06]","[-1.35, -18.45, -27.06]","[-1.35, -18.45, -27.06]","[-1.35, -18.45, -27.06]","[-1.35, -18.45, -27.06]","[None, None, None]"
ARD.TA,"[1.4, 3.91, 1.67]","[1.4, 3.91, 1.67]","[1.4, 3.91, 1.67]","[1.4, 3.91, 1.67]","[1.4, 3.91, 1.67]","[1.4, 3.91, 1.67]","[1.4, 3.91, 1.67]","[1.4, 3.91, 1.67]"
ARF.TA,"[-0.08, 10.96, -4.83]","[-0.08, 10.96, -4.83]","[-0.08, 10.96, -4.83]","[-0.08, 10.96, -4.83]","[-0.08, 10.96, -4.83]","[-0.08, 10.96, -4.83]","[-0.08, 10.96, -4.83]","[-0.08, 10.96, -4.83]"
ASHG.TA,"[-0.62, 2.94, 1.29]","[-0.62, 2.94, 1.29]","[-0.62, 2.94, 1.29]","[-0.62, 2.94, 1.29]","[-0.62, 2.94, 1.29]","[-0.62, 2.94, 1.29]","[-0.62, 2.94, 1.29]","[-0.62, 2.94, 1.29]"
ASGR.TA,"[3.23, 6.3, 10.1]","[3.23, 6.3, 10.1]","[3.23, 6.3, 10.1]","[3.23, 6.3, 10.1]","[3.23, 6.3, 10.1]","[3.23, 6.3, 10.1]","[3.23, 6.3, 10.1]","[3.23, 6.3, 10.1]"
AUDC.TA,"[-1.1, -0.27, -4.46]","[-1.1, -0.27, -4.46]","[-1.1, -0.27, -4.46]","[-1.1, -0.27, -4.46]","[-1.1, -0.27, -4.46]","[-1.1, -0.27, -4.46]","[-1.1, -0.27, -4.46]","[None, None, None]"
AUSA-M.TA,"[None, None, None]","[0.0, -49.51, 4948.93]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMX.TA,"[-1.36, 23.93, 5.87]","[-1.36, 23.93, 5.87]","[-1.36, 23.93, 5.87]","[-1.36, 23.93, 5.87]","[-1.36, 23.93, 5.87]","[-1.36, 23.93, 5.87]","[-1.36, 23.93, 5.87]","[-1.36, 23.93, 5.87]"
AVGL.TA,"[-0.61, 3.01, 6.87]","[-0.61, 3.01, 6.87]","[-0.61, 3.01, 6.87]","[-0.61, 3.01, 6.87]","[-0.61, 3.01, 6.87]","[-0.61, 3.01, 6.87]","[-0.61, 3.01, 6.87]","[-0.61, 3.01, 6.87]"
AVIA.TA,"[0.41, 11.58, 13.92]","[0.41, 11.58, 13.92]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AILN.TA,"[-2.43, 6.04, -17.7]","[-2.43, 6.04, -17.7]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AZRG.TA,"[-0.68, 4.29, -0.44]","[-0.68, 4.29, -0.44]","[-0.68, 4.29, -0.44]","[-0.68, 4.29, -0.44]","[-0.68, 4.29, -0.44]","[-0.68, 4.29, -0.44]","[-0.68, 4.29, -0.44]","[-0.68, 4.29, -0.44]"
BCOM.TA,"[0.68, 13.37, 24.83]","[0.68, 13.37, 24.83]","[0.68, 13.37, 24.83]","[0.68, 13.37, 24.83]","[None, None, None]","[0.68, 13.37, 24.83]","[0.68, 13.37, 24.83]","[0.68, 13.37, 24.83]"
BIG.TA,"[-0.67, 6.26, 12.9]","[-0.67, 6.26, 12.9]","[-0.67, 6.26, 12.9]","[-0.67, 6.26, 12.9]","[-0.67, 6.26, 12.9]","[-0.67, 6.26, 12.9]","[-0.67, 6.26, 12.9]","[-0.67, 6.26, 12.9]"
BLSR.TA,"[-1.09, -2.54, 1.38]","[-1.09, -2.54, 1.38]","[-1.09, -2.54, 1.38]","[-1.09, -2.54, 1.38]","[-1.09, -2.54, 1.38]","[-1.09, -2.54, 1.38]","[-1.09, -2.54, 1.38]","[-1.09, -2.54, 1.38]"
BONS.TA,"[9.66, 16.44, 13.66]","[9.66, 16.44, 13.66]","[None, None, None]","[9.66, 16.44, 13.66]","[None, None, None]","[9.66, 16.44, 13.66]","[9.66, 16.44, 13.66]","[None, None, None]"
BWAY.TA,"[0.74, 9.53, -1.61]","[0.74, 9.53, -1.61]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CLAB.TA,"[3.28, 13.02, 9.26]","[3.28, 13.02, 9.26]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CAMT.TA,"[-1.95, 3.97, -14.24]","[-1.95, 3.97, -14.24]","[-1.95, 3.97, -14.24]","[-1.95, 3.97, -14.24]","[-1.95, 3.97, -14.24]","[-1.95, 3.97, -14.24]","[-1.95, 3.97, -14.24]","[-1.95, 3.97, -14.24]"
CPTP.TA,"[0.0, -3.93, 3.9]","[0.0, -3.93, 3.9]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CRSM.TA,"[-3.48, 6.87, 19.61]","[-3.48, 6.87, 19.61]","[-3.48, 6.87, 19.61]","[-3.48, 6.87, 19.61]","[-3.48, 6.87, 19.61]","[-3.48, 6.87, 19.61]","[-3.48, 6.87, 19.61]","[-3.48, 6.87, 19.61]"
CRSR.TA,"[0.29, 9.46, 10.19]","[0.29, 9.46, 10.19]","[0.29, 9.46, 10.19]","[0.29, 9.46, 10.19]","[0.29, 9.46, 10.19]","[0.29, 9.46, 10.19]","[0.29, 9.46, 10.19]","[0.29, 9.46, 10.19]"
CRML.TA,"[0.7, 2.02, 2.31]","[0.7, 2.02, 2.31]","[0.7, 2.02, 2.31]","[0.7, 2.02, 2.31]","[0.7, 2.02, 2.31]","[0.7, 2.02, 2.31]","[0.7, 2.02, 2.31]","[None, None, None]"
CRMT.TA,"[0.0, 9.61, 3.73]","[0.0, 9.61, 3.73]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CAST.TA,"[1.67, 6.1, 31.05]","[1.67, 6.1, 31.05]","[1.67, 6.1, 31.05]","[1.67, 6.1, 31.05]","[1.67, 6.1, 31.05]","[1.67, 6.1, 31.05]","[1.67, 6.1, 31.05]","[None, None, None]"
CEL.TA,"[6.23, 9.62, 14.29]","[6.23, 9.62, 14.29]","[6.23, 9.62, 14.29]","[6.23, 9.62, 14.29]","[6.23, 9.62, 14.29]","[6.23, 9.62, 14.29]","[6.23, 9.62, 14.29]","[6.23, 9.62, 14.29]"
CPIA.TA,"[None, None, None]","[2.43, 4.99, -8.19]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CFX.TA,"[0.71, 4.51, 14.12]","[0.71, 4.51, 14.12]","[0.71, 4.51, 14.12]","[0.71, 4.51, 14.12]","[0.71, 4.51, 14.12]","[0.71, 4.51, 14.12]","[0.71, 4.51, 14.12]","[0.71, 4.51, 14.12]"
CGEN.TA,"[0.64, 19.83, -8.52]","[0.64, 19.83, -8.52]","[0.64, 19.83, -8.52]","[0.64, 19.83, -8.52]","[0.64, 19.83, -8.52]","[0.64, 19.83, -8.52]","[0.64, 19.83, -8.52]","[None, None, None]"
DANH.TA,"[5.01, 2.42, -0.81]","[5.01, 2.42, -0.81]","[5.01, 2.42, -0.81]","[5.01, 2.42, -0.81]","[5.01, 2.42, -0.81]","[5.01, 2.42, -0.81]","[5.01, 2.42, -0.81]","[5.01, 2.42, -0.81]"
DLEKG.TA,"[-1.03, 5.66, 14.08]","[-1.03, 5.66, 14.08]","[-1.03, 5.66, 14.08]","[-1.03, 5.66, 14.08]","[-1.03, 5.66, 14.08]","[-1.03, 5.66, 14.08]","[-1.03, 5.66, 14.08]","[-1.03, 5.66, 14.08]"
DELG.TA,"[-0.18, -0.96, 2.19]","[-0.18, -0.96, 2.19]","[-0.18, -0.96, 2.19]","[-0.18, -0.96, 2.19]","[-0.18, -0.96, 2.19]","[-0.18, -0.96, 2.19]","[-0.18, -0.96, 2.19]","[-0.18, -0.96, 2.19]"
DIPL.TA,"[1.36, 5.18, 16.89]","[1.36, 5.18, 16.89]","[1.36, 5.18, 16.89]","[1.36, 5.18, 16.89]","[1.36, 5.18, 16.89]","[1.36, 5.18, 16.89]","[1.36, 5.18, 16.89]","[1.36, 5.18, 16.89]"
DISI.TA,"[0.45, 8.65, 16.16]","[0.45, 8.65, 16.16]","[0.45, 8.65, 16.16]","[0.45, 8.65, 16.16]","[0.45, 8.65, 16.16]","[0.45, 8.65, 16.16]","[0.45, 8.65, 16.16]","[0.45, 8.65, 16.16]"
DRSH.TA,"[1.16, 5.57, 13.23]","[1.16, 5.57, 13.23]","[1.16, 5.57, 13.23]","[1.16, 5.57, 13.23]","[None, None, None]","[1.16, 5.57, 13.23]","[1.16, 5.57, 13.23]","[1.16, 5.57, 13.23]"
ELAL.TA,"[2.44, 12.3, 31.69]","[2.44, 12.3, 31.69]","[2.44, 12.3, 31.69]","[2.44, 12.3, 31.69]","[2.44, 12.3, 31.69]","[2.44, 12.3, 31.69]","[2.44, 12.3, 31.69]","[2.44, 12.3, 31.69]"
EMITF-M.TA,"[-0.6, 12.13, 27.1]","[-0.6, 12.13, 27.1]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ESLT.TA,"[1.1, 14.12, 38.45]","[1.1, 14.12, 38.45]","[1.1, 14.12, 38.45]","[1.1, 14.12, 38.45]","[1.1, 14.12, 38.45]","[1.1, 14.12, 38.45]","[1.1, 14.12, 38.45]","[1.1, 14.12, 38.45]"
ELCO.TA,"[-0.76, 5.91, 13.04]","[-0.76, 5.91, 13.04]","[-0.76, 5.91, 13.04]","[-0.76, 5.91, 13.04]","[-0.76, 5.91, 13.04]","[-0.76, 5.91, 13.04]","[-0.76, 5.91, 13.04]","[-0.76, 5.91, 13.04]"
ECP.TA,"[1.28, 5.6, 18.06]","[1.28, 5.6, 18.06]","[1.28, 5.6, 18.06]","[1.28, 5.6, 18.06]","[1.28, 5.6, 18.06]","[1.28, 5.6, 18.06]","[1.28, 5.6, 18.06]","[1.28, 5.6, 18.06]"
ELCRE.TA,"[0.65, -0.93, 0.08]","[0.65, -0.93, 0.08]","[0.65, -0.93, 0.08]","[0.65, -0.93, 0.08]","[0.65, -0.93, 0.08]","[0.65, -0.93, 0.08]","[0.65, -0.93, 0.08]","[0.65, -0.93, 0.08]"
ELWS.TA,"[-1.53, 17.36, -18.75]","[-1.53, 17.36, -18.75]","[-1.53, 17.36, -18.75]","[-1.53, 17.36, -18.75]","[-1.53, 17.36, -18.75]","[-1.53, 17.36, -18.75]","[-1.53, 17.36, -18.75]","[None, None, None]"
ELLO.TA,"[1.62, 6.84, 12.3]","[1.62, 6.84, 12.3]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ELSPC.TA,"[1.64, 9.32, 5.57]","[1.64, 9.32, 5.57]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENOG.TA,"[1.01, -0.68, -3.82]","[1.01, -0.68, -3.82]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENLV.TA,"[6.03, -7.83, -18.02]","[6.03, -7.83, -18.02]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
EQTL.TA,"[-2.4, 2.86, 1.46]","[-2.4, 2.86, 1.46]","[-2.4, 2.86, 1.46]","[-2.4, 2.86, 1.46]","[-2.4, 2.86, 1.46]","[-2.4, 2.86, 1.46]","[-2.4, 2.86, 1.46]","[-2.4, 2.86, 1.46]"
FTAL.TA,"[-1.62, 3.67, 8.03]","[-1.62, 3.67, 8.03]","[-1.62, 3.67, 8.03]","[-1.62, 3.67, 8.03]","[-1.62, 3.67, 8.03]","[-1.62, 3.67, 8.03]","[-1.62, 3.67, 8.03]","[-1.62, 3.67, 8.03]"
FLYS.TA,"[-1.75, -9.8, -20.09]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
FBRT.TA,"[-2.0, 10.14, 17.67]","[-2.0, 10.14, 17.67]","[-2.0, 10.14, 17.67]","[-2.0, 10.14, 17.67]","[-2.0, 10.14, 17.67]","[-2.0, 10.14, 17.67]","[-2.0, 10.14, 17.67]","[None, None, None]"
FRSX.TA,"[-4.8, -19.38, 39.07]","[-4.8, -19.38, 39.07]","[-4.8, -19.38, 39.07]","[-4.8, -19.38, 39.07]","[-4.8, -19.38, 39.07]","[-4.8, -19.38, 39.07]","[-4.8, -19.38, 39.07]","[None, None, None]"
FORTY.TA,"[0.29, 8.33, 4.24]","[0.29, 8.33, 4.24]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GCT.TA,"[-0.66, 0.29, -9.12]","[-0.66, 0.29, -9.12]","[-0.66, 0.29, -9.12]","[-0.66, 0.29, -9.12]","[-0.66, 0.29, -9.12]","[-0.66, 0.29, -9.12]","[-0.66, 0.29, -9.12]","[-0.66, 0.29, -9.12]"
GVYM.TA,"[-0.57, 3.09, -3.71]","[-0.57, 3.09, -3.71]","[-0.57, 3.09, -3.71]","[-0.57, 3.09, -3.71]","[-0.57, 3.09, -3.71]","[-0.57, 3.09, -3.71]","[-0.57, 3.09, -3.71]","[-0.57, 3.09, -3.71]"
GEFR.TA,"[0.8, 3.9, -3.11]","[0.8, 3.9, -3.11]","[0.8, 3.9, -3.11]","[0.8, 3.9, -3.11]","[0.8, 3.9, -3.11]","[0.8, 3.9, -3.11]","[0.8, 3.9, -3.11]","[0.8, 3.9, -3.11]"
GNCL.TA,"[1.68, -5.68, -19.12]","[1.68, -5.68, -19.12]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GNRS.TA,"[0.62, 11.25, 13.88]","[0.62, 11.25, 13.88]","[0.62, 11.25, 13.88]","[0.62, 11.25, 13.88]","[0.62, 11.25, 13.88]","[0.62, 11.25, 13.88]","[0.62, 11.25, 13.88]","[0.62, 11.25, 13.88]"
GILT.TA,"[-0.47, 6.03, 7.45]","[-0.47, 6.03, 7.45]","[-0.47, 6.03, 7.45]","[-0.47, 6.03, 7.45]","[-0.47, 6.03, 7.45]","[-0.47, 6.03, 7.45]","[-0.47, 6.03, 7.45]","[-0.47, 6.03, 7.45]"
GLTL.TA,"[-0.77, 12.77, 13.59]","[-0.77, 12.77, 13.59]","[-0.77, 12.77, 13.59]","[-0.77, 12.77, 13.59]","[-0.77, 12.77, 13.59]","[-0.77, 12.77, 13.59]","[-0.77, 12.77, 13.59]","[-0.77, 12.77, 13.59]"
GKL.TA,"[7.28, 15.4, 10.54]","[7.28, 15.4, 10.54]","[7.28, 15.4, 10.54]","[7.28, 15.4, 10.54]","[7.28, 15.4, 10.54]","[7.28, 15.4, 10.54]","[7.28, 15.4, 10.54]","[7.28, 15.4, 10.54]"
GLRS.TA,"[0.47, 2.74, 13.94]","[0.47, 2.74, 13.94]","[0.47, 2.74, 13.94]","[0.47, 2.74, 13.94]","[0.47, 2.74, 13.94]","[0.47, 2.74, 13.94]","[0.47, 2.74, 13.94]","[0.47, 2.74, 13.94]"
GOHO.TA,"[-1.29, 4.42, 20.76]","[-1.29, 4.42, 20.76]","[-1.29, 4.42, 20.76]","[-1.29, 4.42, 20.76]","[-1.29, 4.42, 20.76]","[-1.29, 4.42, 20.76]","[-1.29, 4.42, 20.76]","[-1.29, 4.42, 20.76]"
GRAC.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
G107.TA,"[-0.71, 5.56, 11.08]","[-0.71, 5.56, 11.08]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HGG.TA,"[1.27, 13.2, 4.61]","[1.27, 13.2, 4.61]","[1.27, 13.2, 4.61]","[1.27, 13.2, 4.61]","[1.27, 13.2, 4.61]","[1.27, 13.2, 4.61]","[1.27, 13.2, 4.61]","[1.27, 13.2, 4.61]"
MSBI.TA,"[-1.5, -5.65, 3.53]","[-1.5, -5.65, 3.53]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HAMAT.TA,"[0.27, 1.8, 9.68]","[0.27, 1.8, 9.68]","[0.27, 1.8, 9.68]","[0.27, 1.8, 9.68]","[0.27, 1.8, 9.68]","[0.27, 1.8, 9.68]","[0.27, 1.8, 9.68]","[0.27, 1.8, 9.68]"
HICN.TA,"[0.8, -31.44, -48.85]","[0.8, -31.44, -48.85]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HLAN.TA,"[-0.17, 4.48, 8.39]","[-0.17, 4.48, 8.39]","[-0.17, 4.48, 8.39]","[-0.17, 4.48, 8.39]","[-0.17, 4.48, 8.39]","[-0.17, 4.48, 8.39]","[-0.17, 4.48, 8.39]","[-0.17, 4.48, 8.39]"
HIPR.TA,"[0.66, 11.14, 0.34]","[0.66, 11.14, 0.34]","[0.66, 11.14, 0.34]","[0.66, 11.14, 0.34]","[0.66, 11.14, 0.34]","[0.66, 11.14, 0.34]","[0.66, 11.14, 0.34]","[0.66, 11.14, 0.34]"
HIVE.TA,"[None, None, None]","[0.0, 0.0, 0.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HLMS.TA,"[0.83, 10.17, 10.76]","[0.83, 10.17, 10.76]","[0.83, 10.17, 10.76]","[0.83, 10.17, 10.76]","[0.83, 10.17, 10.76]","[0.83, 10.17, 10.76]","[0.83, 10.17, 10.76]","[0.83, 10.17, 10.76]"
HMGS.TA,"[-1.05, -32.39, 91.04]","[-1.05, -32.39, 91.04]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HUMX.TA,"[3.86, 0.38, -26.93]","[3.86, 0.38, -26.93]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
IDNT.TA,"[18.63, 17.85, -10.62]","[18.63, 17.85, -10.62]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
IDMO.TA,"[9.93, 19.9, -2.31]","[9.93, 19.9, -2.31]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ILX.TA,"[0.82, -0.4, 0.24]","[0.82, -0.4, 0.24]","[0.82, -0.4, 0.24]","[0.82, -0.4, 0.24]","[0.82, -0.4, 0.24]","[0.82, -0.4, 0.24]","[0.82, -0.4, 0.24]","[None, None, None]"
INRM.TA,"[0.01, 1.02, 10.05]","[0.01, 1.02, 10.05]","[0.01, 1.02, 10.05]","[0.01, 1.02, 10.05]","[0.01, 1.02, 10.05]","[0.01, 1.02, 10.05]","[0.01, 1.02, 10.05]","[0.01, 1.02, 10.05]"
INCR.TA,"[-0.0, -3.42, -13.4]","[-0.0, -3.42, -13.4]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ISHI.TA,"[1.74, 14.93, 38.18]","[1.74, 14.93, 38.18]","[1.74, 14.93, 38.18]","[1.74, 14.93, 38.18]","[1.74, 14.93, 38.18]","[1.74, 14.93, 38.18]","[1.74, 14.93, 38.18]","[1.74, 14.93, 38.18]"
ISRG.TA,"[2.96, 7.6, 17.23]","[2.96, 7.6, 17.23]","[2.96, 7.6, 17.23]","[2.96, 7.6, 17.23]","[2.96, 7.6, 17.23]","[2.96, 7.6, 17.23]","[2.96, 7.6, 17.23]","[2.96, 7.6, 17.23]"
ISRO.TA,"[0.06, 0.66, 2.64]","[0.06, 0.66, 2.64]","[0.06, 0.66, 2.64]","[0.06, 0.66, 2.64]","[0.06, 0.66, 2.64]","[0.06, 0.66, 2.64]","[0.06, 0.66, 2.64]","[0.06, 0.66, 2.64]"
ISTA.TA,"[0.53, 7.34, 5.29]","[0.53, 7.34, 5.29]","[0.53, 7.34, 5.29]","[0.53, 7.34, 5.29]","[0.53, 7.34, 5.29]","[0.53, 7.34, 5.29]","[0.53, 7.34, 5.29]","[0.53, 7.34, 5.29]"
JNGO.TA,"[None, None, None]","[0.03, 10.88, 11.67]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KAFR.TA,"[1.33, 3.68, 2.72]","[1.33, 3.68, 2.72]","[1.33, 3.68, 2.72]","[1.33, 3.68, 2.72]","[1.33, 3.68, 2.72]","[1.33, 3.68, 2.72]","[1.33, 3.68, 2.72]","[1.33, 3.68, 2.72]"
KEN.TA,"[-0.7, -4.93, 2.25]","[-0.7, -4.93, 2.25]","[-0.7, -4.93, 2.25]","[-0.7, -4.93, 2.25]","[-0.7, -4.93, 2.25]","[-0.7, -4.93, 2.25]","[-0.7, -4.93, 2.25]","[-0.7, -4.93, 2.25]"
KSTN.TA,"[0.65, 7.04, 15.69]","[0.65, 7.04, 15.69]","[0.65, 7.04, 15.69]","[0.65, 7.04, 15.69]","[0.65, 7.04, 15.69]","[0.65, 7.04, 15.69]","[0.65, 7.04, 15.69]","[0.65, 7.04, 15.69]"
KLIL.TA,"[6.75, 6.35, 5.63]","[6.75, 6.35, 5.63]","[6.75, 6.35, 5.63]","[6.75, 6.35, 5.63]","[6.75, 6.35, 5.63]","[6.75, 6.35, 5.63]","[6.75, 6.35, 5.63]","[None, None, None]"
LAHAV.TA,"[0.62, 1.82, 11.37]","[0.62, 1.82, 11.37]","[0.62, 1.82, 11.37]","[0.62, 1.82, 11.37]","[0.62, 1.82, 11.37]","[0.62, 1.82, 11.37]","[0.62, 1.82, 11.37]","[0.62, 1.82, 11.37]"
LSCO.TA,"[1.16, 0.62, 9.63]","[1.16, 0.62, 9.63]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LBRA.TA,"[0.59, 10.63, 48.88]","[0.59, 10.63, 48.88]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LCTX.TA,"[0.26, 6.29, -26.82]","[0.26, 6.29, -26.82]","[0.26, 6.29, -26.82]","[0.26, 6.29, -26.82]","[0.26, 6.29, -26.82]","[0.26, 6.29, -26.82]","[0.26, 6.29, -26.82]","[None, None, None]"
LPSN.TA,"[-10.81, -10.91, -37.6]","[-10.81, -10.91, -37.6]","[-10.81, -10.91, -37.6]","[-10.81, -10.91, -37.6]","[-10.81, -10.91, -37.6]","[-10.81, -10.91, -37.6]","[-10.81, -10.91, -37.6]","[-10.81, -10.91, -37.6]"
MGIC.TA,"[-0.63, 1.62, 2.34]","[-0.63, 1.62, 2.34]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
