,Revenue,Net Income,Earnings Per Share (EPS),Total Assets,Long-Term Debt,Gross Profit,Operating Income (EBIT),Number of Outstanding Shares
SPNS.TA,"[0.0, 6.33, 22.72]","[0.0, 6.33, 22.72]","[0.0, 6.33, 22.72]","[0.0, 6.33, 22.72]","[0.0, 6.33, 22.72]","[0.0, 6.33, 22.72]","[0.0, 6.33, 22.72]","[0.0, 6.33, 22.72]"
SPEN.TA,"[0.0, -3.14, -2.63]","[0.0, -3.14, -2.63]","[0.0, -3.14, -2.63]","[0.0, -3.14, -2.63]","[0.0, -3.14, -2.63]","[0.0, -3.14, -2.63]","[0.0, -3.14, -2.63]","[None, None, None]"
SHOM.TA,"[None, None, None]","[None, None, None]","[0.0, 0.14, -6.43]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SAE.TA,"[0.0, 0.35, -2.09]","[0.0, 0.35, -2.09]","[0.0, 0.35, -2.09]","[0.0, 0.35, -2.09]","[None, None, None]","[0.0, 0.35, -2.09]","[0.0, 0.35, -2.09]","[None, None, None]"
SKLN.TA,"[0.0, -3.2, 10.17]","[0.0, -3.2, 10.17]","[0.0, -3.2, 10.17]","[0.0, -3.2, 10.17]","[0.0, -3.2, 10.17]","[None, None, None]","[0.0, -3.2, 10.17]","[None, None, None]"
SOLR.TA,"[0.0, 0.69, 1.0]","[0.0, 0.69, 1.0]","[0.0, 0.69, 1.0]","[0.0, 0.69, 1.0]","[0.0, 0.69, 1.0]","[0.0, 0.69, 1.0]","[0.0, 0.69, 1.0]","[None, None, None]"
STRS.TA,"[0.0, -4.17, -6.24]","[0.0, -4.17, -6.24]","[0.0, -4.17, -6.24]","[0.0, -4.17, -6.24]","[0.0, -4.17, -6.24]","[0.0, -4.17, -6.24]","[0.0, -4.17, -6.24]","[None, None, None]"
TMRP.TA,"[None, None, None]","[0.0, -0.27, 13.26]","[0.0, -0.27, 13.26]","[0.0, -0.27, 13.26]","[0.0, -0.27, 13.26]","[None, None, None]","[0.0, -0.27, 13.26]","[0.0, -0.27, 13.26]"
TFRLF.TA,"[0.0, -0.69, 24.54]","[0.0, -0.69, 24.54]","[0.0, -0.69, 24.54]","[0.0, -0.69, 24.54]","[0.0, -0.69, 24.54]","[0.0, -0.69, 24.54]","[0.0, -0.69, 24.54]","[None, None, None]"
TRX.TA,"[0.0, -7.72, -37.56]","[0.0, -7.72, -37.56]","[0.0, -7.72, -37.56]","[0.0, -7.72, -37.56]","[0.0, -7.72, -37.56]","[0.0, -7.72, -37.56]","[0.0, -7.72, -37.56]","[None, None, None]"
TSEM.TA,"[0.0, 0.07, -6.7]","[0.0, 0.07, -6.7]","[0.0, 0.07, -6.7]","[0.0, 0.07, -6.7]","[0.0, 0.07, -6.7]","[0.0, 0.07, -6.7]","[0.0, 0.07, -6.7]","[0.0, 0.07, -6.7]"
VTNA.TA,"[0.0, -7.13, -14.38]","[0.0, -7.13, -14.38]","[0.0, -7.13, -14.38]","[0.0, -7.13, -14.38]","[None, None, None]","[0.0, -7.13, -14.38]","[None, None, None]","[None, None, None]"
WILC.TA,"[0.0, 4.49, -3.13]","[0.0, 4.49, -3.13]","[0.0, 4.49, -3.13]","[0.0, 4.49, -3.13]","[None, None, None]","[0.0, 4.49, -3.13]","[0.0, 4.49, -3.13]","[0.0, 4.49, -3.13]"
XTLB.TA,"[None, None, None]","[0.0, 2.41, -2.35]","[0.0, 2.41, -2.35]","[0.0, 2.41, -2.35]","[None, None, None]","[None, None, None]","[0.0, 2.41, -2.35]","[0.0, 2.41, -2.35]"
