,Revenue,Net Income,Earnings Per Share (EPS),Operating Income (EBIT),Total Assets,Total Liabilities,Shareholders’ Equity,Dividends Paid,Gross Profit,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Operating Cash Flow,Number of Outstanding Shares
PLUR.TA,"[None, None, None]","[0.0, -17.85, -25.62]","[0.0, -17.85, -25.62]","[0.0, -17.85, -25.62]","[0.0, -17.85, -25.62]","[0.0, -17.85, -25.62]","[0.0, -17.85, -25.62]","[None, None, None]","[None, None, None]","[0.0, -17.85, -25.62]","[0.0, -17.85, -25.62]","[None, None, None]","[0.0, -17.85, -25.62]","[None, None, None]","[0.0, -17.85, -25.62]"
POLI.TA,"[0.0, 2.53, 0.82]","[0.0, 2.53, 0.82]","[None, None, None]","[None, None, None]","[0.0, 2.53, 0.82]","[0.0, 2.53, 0.82]","[0.0, 2.53, 0.82]","[None, None, None]","[None, None, None]","[0.0, 2.53, 0.82]","[0.0, 2.53, 0.82]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PRSK.TA,"[0.0, -7.41, -14.67]","[0.0, -7.41, -14.67]","[0.0, -7.41, -14.67]","[None, None, None]","[0.0, -7.41, -14.67]","[0.0, -7.41, -14.67]","[0.0, -7.41, -14.67]","[None, None, None]","[0.0, -7.41, -14.67]","[None, None, None]","[None, None, None]","[0.0, -7.41, -14.67]","[0.0, -7.41, -14.67]","[None, None, None]","[None, None, None]"
PRTC.TA,"[0.0, 0.2, -10.78]","[None, None, None]","[0.0, 0.2, -10.78]","[None, None, None]","[0.0, 0.2, -10.78]","[0.0, 0.2, -10.78]","[0.0, 0.2, -10.78]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RMLI.TA,"[0.0, 2.64, 1.05]","[0.0, 2.64, 1.05]","[None, None, None]","[None, None, None]","[0.0, 2.64, 1.05]","[0.0, 2.64, 1.05]","[0.0, 2.64, 1.05]","[None, None, None]","[0.0, 2.64, 1.05]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RANI.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -0.88, -12.77]","[0.0, -0.88, -12.77]","[0.0, -0.88, -12.77]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RPAC.TA,"[0.0, 6.05, 8.75]","[0.0, 6.05, 8.75]","[0.0, 6.05, 8.75]","[0.0, 6.05, 8.75]","[0.0, 6.05, 8.75]","[0.0, 6.05, 8.75]","[0.0, 6.05, 8.75]","[None, None, None]","[0.0, 6.05, 8.75]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 6.05, 8.75]"
RATI.TA,"[0.0, 10.64, 9.17]","[0.0, 10.64, 9.17]","[0.0, 10.64, 9.17]","[0.0, 10.64, 9.17]","[0.0, 10.64, 9.17]","[0.0, 10.64, 9.17]","[0.0, 10.64, 9.17]","[None, None, None]","[None, None, None]","[0.0, 10.64, 9.17]","[0.0, 10.64, 9.17]","[None, None, None]","[None, None, None]","[0.0, 10.64, 9.17]","[None, None, None]"
RAVD.TA,"[0.0, -0.5, -18.46]","[0.0, -0.5, -18.46]","[None, None, None]","[None, None, None]","[0.0, -0.5, -18.46]","[0.0, -0.5, -18.46]","[0.0, -0.5, -18.46]","[None, None, None]","[0.0, -0.5, -18.46]","[None, None, None]","[None, None, None]","[0.0, -0.5, -18.46]","[0.0, -0.5, -18.46]","[None, None, None]","[None, None, None]"
RTLS.TA,"[0.0, 14.32, 1.65]","[0.0, 14.32, 1.65]","[0.0, 14.32, 1.65]","[0.0, 14.32, 1.65]","[0.0, 14.32, 1.65]","[0.0, 14.32, 1.65]","[0.0, 14.32, 1.65]","[0.0, 14.32, 1.65]","[0.0, 14.32, 1.65]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RIMO.TA,"[0.0, 2.78, 5.09]","[0.0, 2.78, 5.09]","[0.0, 2.78, 5.09]","[None, None, None]","[0.0, 2.78, 5.09]","[0.0, 2.78, 5.09]","[0.0, 2.78, 5.09]","[0.0, 2.78, 5.09]","[0.0, 2.78, 5.09]","[0.0, 2.78, 5.09]","[0.0, 2.78, 5.09]","[0.0, 2.78, 5.09]","[0.0, 2.78, 5.09]","[0.0, 2.78, 5.09]","[0.0, 2.78, 5.09]"
RTEN.TA,"[0.0, -5.76, -12.27]","[0.0, -5.76, -12.27]","[None, None, None]","[None, None, None]","[0.0, -5.76, -12.27]","[0.0, -5.76, -12.27]","[0.0, -5.76, -12.27]","[None, None, None]","[0.0, -5.76, -12.27]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SLARL.TA,"[0.0, 5.33, -8.25]","[0.0, 5.33, -8.25]","[None, None, None]","[0.0, 5.33, -8.25]","[0.0, 5.33, -8.25]","[0.0, 5.33, -8.25]","[0.0, 5.33, -8.25]","[None, None, None]","[0.0, 5.33, -8.25]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SPNTC.TA,"[0.0, 1.9, -15.47]","[0.0, 1.9, -15.47]","[0.0, 1.9, -15.47]","[0.0, 1.9, -15.47]","[0.0, 1.9, -15.47]","[None, None, None]","[0.0, 1.9, -15.47]","[None, None, None]","[0.0, 1.9, -15.47]","[0.0, 1.9, -15.47]","[0.0, 1.9, -15.47]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TMRP.TA,"[0.0, -0.59, 12.72]","[0.0, -0.59, 12.72]","[0.0, -0.59, 12.72]","[None, None, None]","[0.0, -0.59, 12.72]","[0.0, -0.59, 12.72]","[0.0, -0.59, 12.72]","[None, None, None]","[None, None, None]","[0.0, -0.59, 12.72]","[0.0, -0.59, 12.72]","[None, None, None]","[0.0, -0.59, 12.72]","[0.0, -0.59, 12.72]","[0.0, -0.59, 12.72]"
TFRLF.TA,"[0.0, -0.03, -4.6]","[0.0, -0.03, -4.6]","[0.0, -0.03, -4.6]","[0.0, -0.03, -4.6]","[0.0, -0.03, -4.6]","[0.0, -0.03, -4.6]","[0.0, -0.03, -4.6]","[None, None, None]","[0.0, -0.03, -4.6]","[0.0, -0.03, -4.6]","[0.0, -0.03, -4.6]","[0.0, -0.03, -4.6]","[0.0, -0.03, -4.6]","[0.0, -0.03, -4.6]","[None, None, None]"
TRX.TA,"[0.0, -0.2, 9.79]","[0.0, -0.2, 9.79]","[0.0, -0.2, 9.79]","[0.0, -0.2, 9.79]","[0.0, -0.2, 9.79]","[0.0, -0.2, 9.79]","[0.0, -0.2, 9.79]","[None, None, None]","[0.0, -0.2, 9.79]","[0.0, -0.2, 9.79]","[0.0, -0.2, 9.79]","[0.0, -0.2, 9.79]","[0.0, -0.2, 9.79]","[None, None, None]","[None, None, None]"
TEVA.TA,"[0.0, 9.71, -1.57]","[0.0, 9.71, -1.57]","[0.0, 9.71, -1.57]","[0.0, 9.71, -1.57]","[0.0, 9.71, -1.57]","[0.0, 9.71, -1.57]","[0.0, 9.71, -1.57]","[None, None, None]","[0.0, 9.71, -1.57]","[0.0, 9.71, -1.57]","[0.0, 9.71, -1.57]","[0.0, 9.71, -1.57]","[0.0, 9.71, -1.57]","[0.0, 9.71, -1.57]","[0.0, 9.71, -1.57]"
ILCO.TA,"[0.0, -0.42, -10.48]","[0.0, -0.42, -10.48]","[None, None, None]","[0.0, -0.42, -10.48]","[0.0, -0.42, -10.48]","[0.0, -0.42, -10.48]","[0.0, -0.42, -10.48]","[None, None, None]","[0.0, -0.42, -10.48]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TIGBUR.TA,"[0.0, -7.51, -9.35]","[0.0, -7.51, -9.35]","[0.0, -7.51, -9.35]","[None, None, None]","[0.0, -7.51, -9.35]","[0.0, -7.51, -9.35]","[0.0, -7.51, -9.35]","[0.0, -7.51, -9.35]","[0.0, -7.51, -9.35]","[0.0, -7.51, -9.35]","[0.0, -7.51, -9.35]","[0.0, -7.51, -9.35]","[0.0, -7.51, -9.35]","[0.0, -7.51, -9.35]","[0.0, -7.51, -9.35]"
VRDS.TA,"[0.0, 4.92, -5.98]","[0.0, 4.92, -5.98]","[0.0, 4.92, -5.98]","[0.0, 4.92, -5.98]","[0.0, 4.92, -5.98]","[0.0, 4.92, -5.98]","[0.0, 4.92, -5.98]","[None, None, None]","[0.0, 4.92, -5.98]","[0.0, 4.92, -5.98]","[0.0, 4.92, -5.98]","[None, None, None]","[None, None, None]","[0.0, 4.92, -5.98]","[None, None, None]"
VTNA.TA,"[None, None, None]","[0.0, -2.58, -8.92]","[None, None, None]","[None, None, None]","[0.0, -2.58, -8.92]","[0.0, -2.58, -8.92]","[0.0, -2.58, -8.92]","[0.0, -2.58, -8.92]","[0.0, -2.58, -8.92]","[0.0, -2.58, -8.92]","[0.0, -2.58, -8.92]","[0.0, -2.58, -8.92]","[0.0, -2.58, -8.92]","[0.0, -2.58, -8.92]","[None, None, None]"
WATR.TA,"[0.0, -4.74, -24.53]","[0.0, -4.74, -24.53]","[None, None, None]","[0.0, -4.74, -24.53]","[0.0, -4.74, -24.53]","[0.0, -4.74, -24.53]","[0.0, -4.74, -24.53]","[None, None, None]","[0.0, -4.74, -24.53]","[0.0, -4.74, -24.53]","[0.0, -4.74, -24.53]","[None, None, None]","[None, None, None]","[0.0, -4.74, -24.53]","[None, None, None]"
XTLB.TA,"[None, None, None]","[0.0, 0.0, -22.51]","[0.0, 0.0, -22.51]","[0.0, 0.0, -22.51]","[0.0, 0.0, -22.51]","[0.0, 0.0, -22.51]","[0.0, 0.0, -22.51]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 0.0, -22.51]"
ZUR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
