,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Number of Outstanding Shares,Dividends Paid
CLIS.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.9874, 0.9744, 0.8722]","[0.9874, 0.9744, 0.8722]","[None, None, None]","[None, None, None]","[0.9845, 0.9715, 0.8693]","[None, None, None]","[None, None, None]","[-0.9857, -0.9726, -0.8705]","[0.9857, 0.9726, 0.8705]","[None, None, None]","[None, None, None]"
CGEN.TA,"[None, None, None]","[0.0177, 0.0658, 0.1577]","[0.0599, 0.1079, 0.1998]","[None, None, None]","[0.9214, 0.9695, 0.9386]","[0.9913, 0.9606, 0.8687]","[None, None, None]","[None, None, None]","[0.9094, 0.9575, 0.9506]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9794, 0.9726, 0.8807]","[None, None, None]"
DANH.TA,"[-0.8289, -0.8321, -0.8449]","[0.9016, 0.9047, 0.9175]","[0.913, 0.9162, 0.929]","[None, None, None]","[1.0, 0.9968, 0.984]","[1.0, 0.9968, 0.984]","[1.0, 0.9968, 0.984]","[1.0, 0.9968, 0.984]","[1.0, 0.9968, 0.984]","[-0.5579, -0.5547, -0.5419]","[1.0, 0.9968, 0.984]","[1.0, 0.9968, 0.984]","[1.0, 0.9968, 0.984]","[None, None, None]","[None, None, None]"
DNYA.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.6612, -0.638, -0.5542]","[-0.859, -0.8357, -0.752]","[None, None, None]","[None, None, None]","[0.6824, 0.7057, 0.7894]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DLEA.TA,"[0.2226, 0.1907, 0.2293]","[-0.0871, -0.119, -0.0804]","[None, None, None]","[0.1596, 0.1277, 0.1663]","[0.9447, 0.9128, 0.9514]","[0.8839, 0.9159, 0.8773]","[0.4188, 0.4508, 0.4122]","[0.7979, 0.766, 0.8046]","[0.0308, -0.0012, 0.0375]","[0.1944, 0.1625, 0.2011]","[-0.5596, -0.5915, -0.5529]","[-1.0, -1.0, -1.0]","[0.3781, 0.41, 0.3714]","[None, None, None]","[0.4444, 0.4124, 0.4511]"
DLEKG.TA,"[None, None, None]","[-0.091, -0.2062, 0.0205]","[None, None, None]","[None, None, None]","[0.9869, 0.8716, 0.9016]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.976, 0.8607, 0.9125]","[None, None, None]"
DELG.TA,"[-0.0993, -0.0478, 0.3341]","[-0.8123, -0.7607, -0.3789]","[-0.7058, -0.6543, -0.2724]","[-0.1817, -0.1301, 0.2518]","[0.9185, 0.8669, 0.4851]","[0.5816, 0.53, 0.1481]","[None, None, None]","[None, None, None]","[0.8577, 0.8061, 0.4242]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DIPL.TA,"[-0.0637, -0.1088, -0.111]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.1332, -0.1783, -0.1805]","[0.8386, 0.7935, 0.7913]","[0.7245, 0.7696, 0.7718]","[None, None, None]","[None, None, None]","[0.5487, 0.5036, 0.5014]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DSCT.TA,"[None, None, None]","[-0.2923, -0.281, -0.1824]","[-0.2915, -0.2801, -0.1815]","[None, None, None]","[0.9918, 0.9969, 0.8983]","[0.994, 0.9946, 0.896]","[None, None, None]","[None, None, None]","[0.963, 0.9744, 0.927]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DISI.TA,"[None, None, None]","[-0.2271, -0.1577, -0.1932]","[None, None, None]","[None, None, None]","[0.7696, 0.8391, 0.8036]","[0.7484, 0.8178, 0.7823]","[0.9504, 0.9802, 0.9843]","[0.9999, 0.9305, 0.966]","[0.9879, 0.9427, 0.9781]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DRAL.TA,"[0.0239, 0.0162, -0.0675]","[0.1656, 0.1578, 0.0741]","[None, None, None]","[None, None, None]","[0.0387, 0.031, -0.0527]","[0.0318, 0.024, -0.0597]","[0.0243, 0.0165, -0.0672]","[None, None, None]","[0.0669, 0.0591, -0.0246]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ELAL.TA,"[0.0868, 0.0445, -0.017]","[None, None, None]","[None, None, None]","[0.1984, 0.156, 0.0945]","[0.9461, 0.9037, 0.8422]","[None, None, None]","[None, None, None]","[None, None, None]","[0.7091, 0.7514, 0.813]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ESLT.TA,"[0.8407, 0.8152, 0.8454]","[0.6031, 0.5776, 0.6078]","[0.6029, 0.5773, 0.6076]","[0.7996, 0.7741, 0.8043]","[0.9155, 0.89, 0.9203]","[0.4073, 0.4328, 0.4026]","[0.5962, 0.6217, 0.5915]","[0.6348, 0.6093, 0.6395]","[0.9642, 0.9387, 0.9689]","[0.6086, 0.5831, 0.6133]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9947, 0.9798, 0.99]","[-1.0, -1.0, -1.0]"
ELCO.TA,"[-0.1967, -0.1855, -0.0981]","[-0.2614, -0.2501, -0.1628]","[-0.0678, -0.0566, 0.0308]","[None, None, None]","[0.567, 0.5783, 0.6656]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.2816, -0.2704, -0.183]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.5005, 0.5118, 0.5991]"
ELTR.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ECP.TA,"[-0.3018, -0.3067, -0.2281]","[-0.7569, -0.7618, -0.6832]","[-0.6941, -0.6989, -0.6204]","[-0.3568, -0.3617, -0.2831]","[-0.696, -0.7009, -0.6223]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0703, 0.0655, 0.144]","[-0.9363, -0.9412, -0.8626]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9872, 0.9823, 0.9391]"
ELCP.TA,"[0.6008, 0.5682, 0.5935]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.255, 0.2224, 0.2477]","[0.2052, 0.1727, 0.1979]","[None, None, None]","[None, None, None]","[0.4143, 0.3817, 0.4069]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
ELCRE.TA,"[None, None, None]","[-1.0, -1.0, -0.7855]","[None, None, None]","[None, None, None]","[0.8755, 0.9328, 0.7788]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8399, 0.8972, 0.8144]","[None, None, None]","[-1.0, -1.0, -1.0]","[-0.5687, -0.626, -0.9144]","[-0.393, -0.3358, -0.0474]","[None, None, None]","[-0.9685, -0.9112, -0.6228]"
ELWS.TA,"[None, None, None]","[0.9788, 0.9922, 0.8754]","[-0.9788, -0.9922, -1.0]","[None, None, None]","[0.9788, 0.9922, 0.8754]","[0.9788, 0.9922, 0.8754]","[None, None, None]","[None, None, None]","[0.9788, 0.9922, 0.8754]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENOG.TA,"[-0.1332, -0.226, -0.1822]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENLT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENLV.TA,"[None, None, None]","[0.9891, 0.9467, 0.9981]","[0.9343, 0.8701, 0.9254]","[None, None, None]","[0.9523, 0.9835, 0.9613]","[0.8902, 0.9544, 0.8992]","[None, None, None]","[None, None, None]","[0.956, 0.9798, 0.965]","[0.9588, 0.977, 0.9678]","[-0.9242, -0.86, -0.9152]","[0.8348, 0.7706, 0.8259]","[0.9604, 0.9754, 0.9694]","[0.9288, 0.8646, 0.9198]","[None, None, None]"
EQTL.TA,"[-0.0253, 0.0012, 0.0391]","[0.4351, 0.4617, 0.4995]","[None, None, None]","[None, None, None]","[0.9843, 0.9577, 0.9199]","[0.0748, 0.0483, 0.0104]","[None, None, None]","[None, None, None]","[0.4256, 0.399, 0.3612]","[0.2419, 0.2685, 0.3063]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
EVGN.TA,"[0.6637, 0.4925, 0.3771]","[0.9621, 0.8668, 0.7514]","[0.9515, 0.7803, 0.6649]","[0.9562, 0.7851, 0.6696]","[0.8744, 0.9544, 0.839]","[0.4299, 0.601, 0.7164]","[None, None, None]","[None, None, None]","[0.8644, 0.9645, 0.849]","[0.7412, 0.9124, 0.9722]","[None, None, None]","[-0.2256, -0.3968, -0.5122]","[-0.035, 0.1361, 0.2516]","[0.9725, 0.8563, 0.7409]","[None, None, None]"
FTAL.TA,"[-0.1803, -0.2433, -0.2702]","[0.5815, 0.5185, 0.4916]","[None, None, None]","[None, None, None]","[0.9836, 0.9206, 0.8937]","[0.9834, 0.9204, 0.8936]","[None, None, None]","[0.997, 0.934, 0.9071]","[0.9845, 0.9214, 0.8946]","[0.0497, -0.0133, -0.0402]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
FRSX.TA,"[None, None, None]","[0.7539, 0.5252, 0.4575]","[-0.7431, -0.5144, -0.4466]","[None, None, None]","[0.9054, 0.8658, 0.7981]","[0.691, 0.9198, 0.9875]","[None, None, None]","[None, None, None]","[0.9271, 0.8442, 0.7764]","[0.8857, 0.657, 0.5893]","[-0.2435, -0.0148, 0.0529]","[0.1983, -0.0304, -0.0982]","[-0.0288, 0.1999, 0.2676]","[None, None, None]","[None, None, None]"
FORTY.TA,"[-0.0343, -0.0113, 0.0009]","[-0.0362, -0.0132, -0.0011]","[-0.0827, -0.0597, -0.0475]","[-0.1302, -0.1072, -0.095]","[0.933, 0.956, 0.9682]","[0.9018, 0.9248, 0.937]","[0.6892, 0.7122, 0.7244]","[0.9786, 0.9984, 0.9863]","[0.9572, 0.9802, 0.9924]","[-0.0726, -0.0496, -0.0374]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9915, 0.9855, 0.9733]","[None, None, None]"
FOX.TA,"[-0.2703, -0.2702, -0.2363]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.4848, -0.4847, -0.4508]","[0.8438, 0.844, 0.8779]","[0.9708, 0.9706, 0.9367]","[0.0553, 0.0555, 0.0893]","[0.7129, 0.7128, 0.6789]","[0.2601, 0.2602, 0.2941]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
GSFI.TA,"[-0.215, -0.2317, -0.1896]","[-0.2112, -0.2278, -0.1857]","[-0.391, -0.4077, -0.3656]","[-0.0258, -0.0424, -0.0003]","[0.9988, 0.9822, 0.9757]","[0.9685, 0.9519, 0.994]","[None, None, None]","[None, None, None]","[0.9995, 0.9839, 0.974]","[0.5245, 0.5079, 0.55]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GAGR.TA,"[-0.0904, -0.0596, -0.1265]","[0.6959, 0.7268, 0.6599]","[-1.0, -1.0, -1.0]","[-0.5639, -0.5331, -0.5999]","[0.9845, 0.9537, 0.9795]","[0.9873, 0.9818, 0.9513]","[0.9845, 0.9537, 0.9795]","[-1.0, -1.0, -1.0]","[0.938, 0.9071, 0.974]","[0.1788, 0.2096, 0.1428]","[-1.0, -1.0, -1.0]","[0.1184, 0.1492, 0.0824]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
