,Revenue,Net Income,Earnings Per Share (EPS),Operating Income (EBIT),Total Assets,Total Liabilities,Shareholders’ Equity,Dividends Paid,Gross Profit,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Operating Cash Flow,Number of Outstanding Shares
RAVD.TA,"[1.0, 0.995, 0.8154]","[1.0, 0.995, 0.8154]","[None, None, None]","[None, None, None]","[1.0, 0.995, 0.8154]","[1.0, 0.995, 0.8154]","[0.7822, 0.7871, 0.9668]","[None, None, None]","[1.0, 0.995, 0.8154]","[None, None, None]","[None, None, None]","[1.0, 0.995, 0.8154]","[1.0, 0.995, 0.8154]","[None, None, None]","[None, None, None]"
RTLS.TA,"[-0.2314, -0.0882, -0.2149]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9109, 0.9459, 0.9273]","[0.8702, 0.9866, 0.8867]","[0.962, 0.8948, 0.9785]","[1.0, 0.8568, 0.9835]","[-0.3181, -0.1749, -0.3016]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RIMO.TA,"[-1.0, -1.0, -1.0]","[1.0, 0.9722, 0.9491]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.5865, 0.6143, 0.6374]","[-1.0, -1.0, -1.0]","[1.0, 0.9722, 0.9491]","[0.9, 0.8722, 0.8492]","[-1.0, -1.0, -1.0]","[-0.2923, -0.3201, -0.3432]","[0.7357, 0.7079, 0.6849]","[-1.0, -1.0, -1.0]","[0.7398, 0.712, 0.6889]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]"
RTEN.TA,"[0.9768, 0.9192, 0.8541]","[1.0, 0.9424, 0.8773]","[None, None, None]","[None, None, None]","[0.9519, 0.8943, 0.8292]","[-1.0, -1.0, -1.0]","[0.6793, 0.6217, 0.5566]","[None, None, None]","[0.4562, 0.5139, 0.5789]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SLARL.TA,"[0.9603, 0.9864, 0.8778]","[0.0599, 0.0066, 0.1424]","[None, None, None]","[0.0819, 0.0286, 0.1644]","[0.3778, 0.3245, 0.4603]","[0.4245, 0.3713, 0.5071]","[0.0494, -0.0039, 0.1319]","[None, None, None]","[0.1653, 0.112, 0.2478]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SPNTC.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9262, 0.9452, 0.7715]","[None, None, None]","[0.9845, 0.9655, 0.8608]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TMRP.TA,"[1.0, 0.9941, 0.8728]","[0.2888, 0.2947, 0.1616]","[0.2889, 0.2948, 0.1617]","[None, None, None]","[0.9991, 0.9951, 0.8719]","[0.9916, 0.9858, 0.8812]","[0.9747, 0.9806, 0.8475]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.7474, 0.7533, 0.6202]","[None, None, None]","[0.9983, 0.9924, 0.8745]","[0.4835, 0.4776, 0.6107]","[1.0, 0.9941, 0.8728]"
TFRLF.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9454, 0.9457, 0.9913]","[0.0988, 0.0991, 0.1448]","[0.9275, 0.9278, 0.9734]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.332, 0.3324, 0.378]","[1.0, 0.9997, 0.954]","[1.0, 0.9997, 0.954]","[-1.0, -1.0, -1.0]","[None, None, None]"
TRX.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.1185, -0.1205, -0.0205]","[0.8387, 0.8367, 0.9366]","[0.7222, 0.7201, 0.8201]","[0.9745, 0.9725, 0.9275]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.081, 0.079, 0.1789]","[-0.2583, -0.2603, -0.1603]","[0.2, 0.202, 0.1021]","[0.9771, 0.9791, 0.8791]","[None, None, None]","[None, None, None]"
TEVA.TA,"[0.9659, 0.937, 0.9501]","[0.2437, 0.3408, 0.228]","[0.2442, 0.3413, 0.2284]","[0.669, 0.5719, 0.6847]","[0.9761, 0.879, 0.9918]","[0.9811, 0.884, 0.9969]","[0.9671, 0.87, 0.9829]","[None, None, None]","[0.969, 0.9339, 0.9532]","[-0.118, -0.0209, -0.1338]","[-1.0, -1.0, -1.0]","[0.8276, 0.7305, 0.8434]","[0.9771, 0.88, 0.9929]","[-1.0, -1.0, -1.0]","[0.9973, 0.9056, 0.9815]"
ILCO.TA,"[0.8594, 0.8552, 0.7546]","[0.6625, 0.6667, 0.7673]","[None, None, None]","[0.7373, 0.7331, 0.6324]","[0.984, 0.9881, 0.9112]","[0.9528, 0.957, 0.9424]","[0.9424, 0.9382, 0.8376]","[None, None, None]","[0.7647, 0.7605, 0.6598]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TIGBUR.TA,"[-0.0394, -0.1145, -0.1329]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.9653, 0.8902, 0.8718]","[0.966, 0.8909, 0.8725]","[0.9707, 0.9541, 0.9357]","[-0.0984, -0.1736, -0.192]","[-0.0318, -0.1069, -0.1253]","[0.4386, 0.3635, 0.345]","[-1.0, -1.0, -1.0]","[0.9789, 0.9038, 0.8853]","[0.973, 0.9519, 0.9335]","[0.7278, 0.6527, 0.6343]","[1.0, 0.9249, 0.9065]"
VRDS.TA,"[-0.0805, -0.0313, -0.1403]","[0.3484, 0.3976, 0.2886]","[0.6667, 0.7159, 0.6069]","[-0.208, -0.1589, -0.2678]","[1.0, 0.9508, 0.9402]","[1.0, 0.9508, 0.9402]","[1.0, 0.9508, 0.9402]","[None, None, None]","[-0.4517, -0.4026, -0.5115]","[0.014, -0.0351, 0.0738]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
VTNA.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.8449, 0.8191, 0.7558]","[0.815, 0.7892, 0.7258]","[0.8843, 0.8585, 0.7952]","[0.525, 0.5508, 0.6142]","[-0.3515, -0.3773, -0.4407]","[0.4059, 0.3801, 0.3167]","[-0.1787, -0.2045, -0.2678]","[0.6142, 0.5884, 0.525]","[0.9478, 0.9736, 0.963]","[0.3536, 0.3794, 0.4428]","[None, None, None]"
WATR.TA,"[0.9083, 0.9557, 0.8464]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.7999, 0.7524, 0.5546]","[0.9983, 0.9542, 0.7563]","[1.0, 0.9526, 0.7547]","[0.9995, 0.953, 0.7551]","[None, None, None]","[0.8915, 0.9389, 0.8632]","[1.0, 0.9526, 0.7547]","[1.0, 0.9526, 0.7547]","[None, None, None]","[None, None, None]","[1.0, 0.9526, 0.7547]","[None, None, None]"
XTLB.TA,"[None, None, None]","[0.4368, 0.4368, 0.6619]","[0.0, 0.0, 0.2251]","[0.1888, 0.1888, 0.4139]","[0.8695, 0.8695, 0.9054]","[0.2497, 0.2497, 0.4748]","[0.9519, 0.9519, 0.8229]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.0, 1.0, 0.7749]"
ZUR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
