,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
ALBA.TA,"[0.9998, 0.9967, 0.9535]","[0.9998, 0.9967, 0.9535]","[0.9426, 0.9461, 0.8964]","[0.9704, 0.9739, 0.9241]","[0.8925, 0.896, 0.8462]","[0.6878, 0.6913, 0.6416]","[0.9899, 0.9864, 0.9638]","[0.8116, 0.8081, 0.8579]"
ALLT.TA,"[0.9916, 0.9066, 0.8362]","[0.9916, 0.9066, 0.8362]","[0.9791, 0.9191, 0.8488]","[0.6713, 0.5695, 0.4992]","[0.9865, 0.9117, 0.8413]","[0.7812, 0.6794, 0.6091]","[0.9975, 0.9008, 0.8304]","[0.9904, 0.9078, 0.8375]"
ALMA.TA,"[0.9852, 0.8985, 0.981]","[0.9852, 0.8985, 0.981]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALHE.TA,"[0.9978, 0.9935, 0.9324]","[0.9978, 0.9935, 0.9324]","[0.9956, 0.9868, 0.9391]","[0.4136, 0.4048, 0.4789]","[0.9857, 0.9945, 0.9204]","[0.9486, 0.9574, 0.8833]","[0.9885, 0.9973, 0.9232]","[0.9937, 0.9849, 0.941]"
ALRPR.TA,"[0.9893, 0.9999, 0.9261]","[0.9893, 0.9999, 0.9261]","[0.7985, 0.8091, 0.7354]","[-1.0, -1.0, -1.0]","[0.6175, 0.6281, 0.5544]","[0.087, 0.0976, 0.0239]","[0.9761, 0.9867, 0.913]","[0.9823, 0.9928, 0.9191]"
ALUMA.TA,"[None, None, None]","[0.9743, 0.9229, 0.9944]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[0.999, 0.996, 0.9449]","[0.999, 0.996, 0.9449]","[0.7598, 0.7568, 0.8159]","[0.732, 0.7291, 0.7881]","[0.9239, 0.9209, 0.9799]","[0.8394, 0.8365, 0.8955]","[0.9477, 0.9448, 0.9962]","[None, None, None]"
AMOT.TA,"[0.989, 0.9668, 0.9483]","[0.989, 0.9668, 0.9483]","[0.9438, 0.9216, 0.9031]","[0.8775, 0.8552, 0.8368]","[0.9764, 0.9541, 0.9357]","[0.9825, 0.9603, 0.9418]","[0.9773, 0.9551, 0.9366]","[0.9736, 0.9514, 0.9329]"
APLP.TA,"[0.9893, 0.9278, 0.8987]","[0.9893, 0.9278, 0.8987]","[0.8418, 0.9247, 0.9538]","[0.9543, 0.9628, 0.9337]","[0.7895, 0.8725, 0.9015]","[0.95, 0.9671, 0.938]","[0.9296, 0.9875, 0.9585]","[None, None, None]"
ARD.TA,"[0.9763, 0.9822, 0.9669]","[0.9763, 0.9822, 0.9669]","[0.9855, 0.9914, 0.9761]","[0.941, 0.9351, 0.9504]","[0.9621, 0.9679, 0.9526]","[0.9506, 0.9565, 0.9412]","[0.999, 0.9951, 0.9896]","[0.9302, 0.9243, 0.9396]"
ARF.TA,"[0.9639, 0.926, 0.7714]","[0.9639, 0.926, 0.7714]","[0.8693, 0.8314, 0.6769]","[-0.4045, -0.4424, -0.597]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9543, 0.9164, 0.7618]","[0.9085, 0.9464, 0.899]"
ASHO.TA,"[0.9984, 0.9945, 0.6852]","[0.9984, 0.9945, 0.6852]","[0.9009, 0.9081, 0.5878]","[0.8975, 0.9047, 0.5844]","[0.881, 0.8882, 0.5679]","[0.872, 0.8792, 0.5589]","[0.9927, 0.9855, 0.6942]","[None, None, None]"
ASHG.TA,"[0.984, 0.9665, 0.9528]","[0.984, 0.9665, 0.9528]","[0.9733, 0.9238, 0.9956]","[0.8964, 0.9458, 0.8652]","[0.9131, 0.9625, 0.8819]","[0.826, 0.8755, 0.7948]","[0.983, 0.9676, 0.9518]","[0.9695, 0.981, 0.9383]"
ASGR.TA,"[0.9941, 0.9785, 0.8752]","[0.9941, 0.9785, 0.8752]","[0.9679, 0.9524, 0.849]","[-1.0, -1.0, -1.0]","[0.9087, 0.8931, 0.7897]","[0.8555, 0.84, 0.7366]","[0.9866, 0.9711, 0.8677]","[0.9783, 0.9939, 0.9027]"
AUDC.TA,"[0.9888, 0.9407, 0.8574]","[0.9888, 0.9407, 0.8574]","[0.985, 0.9369, 0.8536]","[0.177, 0.1289, 0.0456]","[0.9679, 0.9198, 0.8365]","[0.4844, 0.4363, 0.353]","[0.9922, 0.9597, 0.8763]","[None, None, None]"
AUSA-M.TA,"[None, None, None]","[1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AVGL.TA,"[0.9846, 0.9899, 0.9475]","[0.9846, 0.9899, 0.9475]","[0.9721, 0.9976, 0.96]","[-1.0, -1.0, -1.0]","[0.8847, 0.8592, 0.8168]","[0.635, 0.6094, 0.5671]","[0.9895, 0.985, 0.9426]","[0.9718, 0.9974, 0.9603]"
AVIA.TA,"[0.9929, 0.9621, 0.9773]","[0.9929, 0.9621, 0.9773]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AILN.TA,"[0.9898, 0.8998, 0.8551]","[0.9898, 0.8998, 0.8551]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AZRG.TA,"[0.9937, 0.9837, 0.9817]","[0.9937, 0.9837, 0.9817]","[0.951, 0.941, 0.939]","[0.3425, 0.3525, 0.3545]","[0.9562, 0.9462, 0.9442]","[0.9633, 0.9533, 0.9514]","[0.9887, 0.9987, 0.9994]","[0.9874, 0.9974, 0.9993]"
BCOM.TA,"[0.9847, 0.9709, 0.9427]","[0.9847, 0.9709, 0.9427]","[0.9568, 0.943, 0.9707]","[0.949, 0.9352, 0.9784]","[None, None, None]","[0.9734, 0.9596, 0.9541]","[0.9618, 0.948, 0.9656]","[0.9669, 0.9531, 0.9605]"
BIG.TA,"[0.9931, 0.9924, 0.9816]","[0.9931, 0.9924, 0.9816]","[0.9232, 0.9225, 0.9485]","[-0.1628, -0.1635, -0.1375]","[0.8959, 0.8952, 0.9212]","[0.8833, 0.8826, 0.9086]","[0.9707, 0.97, 0.9959]","[0.99, 0.9907, 0.9647]"
BOLT.TA,"[0.9773, 0.897, 0.9958]","[0.9773, 0.897, 0.9958]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BLITZ-M.TA,"[None, None, None]","[0.9517, 0.8313, 0.8657]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BLSR.TA,"[0.9923, 0.9325, 0.943]","[0.9923, 0.9325, 0.943]","[0.942, 0.9982, 0.9913]","[0.8419, 0.7821, 0.7926]","[0.9032, 0.963, 0.9526]","[0.9254, 0.9853, 0.9748]","[0.9999, 0.9401, 0.9506]","[0.9923, 0.9478, 0.9583]"
BONS.TA,"[0.9856, 0.9433, 0.8288]","[0.9856, 0.9433, 0.8288]","[None, None, None]","[0.8758, 0.8335, 0.719]","[None, None, None]","[0.8616, 0.8193, 0.7048]","[0.8385, 0.8808, 0.9952]","[None, None, None]"
BWAY.TA,"[0.9774, 0.9024, 0.7625]","[0.9774, 0.9024, 0.7625]","[0.8773, 0.9976, 0.8625]","[-1.0, -1.0, -1.0]","[0.871, 0.9912, 0.8689]","[-1.0, -1.0, -1.0]","[0.9699, 0.9099, 0.7699]","[None, None, None]"
BLGO.TA,"[0.9999, 0.9936, 0.9392]","[0.9999, 0.9936, 0.9392]","[0.4606, 0.4542, 0.5215]","[0.2547, 0.2484, 0.3156]","[None, None, None]","[-0.3171, -0.3234, -0.2561]","[0.9859, 0.9922, 0.9249]","[None, None, None]"
CLAB.TA,"[0.99, 0.8485, 0.8417]","[0.99, 0.8485, 0.8417]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CAMT.TA,"[0.9973, 0.9018, 0.9302]","[0.9973, 0.9018, 0.9302]","[0.9398, 0.8443, 0.9877]","[0.8697, 0.7742, 0.9422]","[0.8516, 0.7561, 0.9241]","[0.7785, 0.683, 0.851]","[0.978, 0.9265, 0.9055]","[0.9959, 0.9004, 0.9316]"
CPTP.TA,"[1.0, 0.9564, 0.9208]","[1.0, 0.9564, 0.9208]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CRSM.TA,"[0.9714, 0.9306, 0.9333]","[0.9714, 0.9306, 0.9333]","[0.8984, 0.8576, 0.8603]","[0.8881, 0.8473, 0.8501]","[0.9965, 0.9557, 0.9584]","[0.9494, 0.9903, 0.9875]","[0.9881, 0.9711, 0.9739]","[0.9144, 0.8735, 0.8763]"
CRSR.TA,"[0.9951, 0.952, 0.9831]","[0.9951, 0.952, 0.9831]","[0.1076, 0.0546, 0.0858]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9714, 0.9184, 0.9496]","[0.9803, 0.9668, 0.9979]"
CRML.TA,"[0.9927, 0.9966, 0.9333]","[0.9927, 0.9966, 0.9333]","[0.6828, 0.6721, 0.6088]","[-1.0, -1.0, -1.0]","[0.5519, 0.5412, 0.4779]","[-1.0, -1.0, -1.0]","[0.9907, 0.9986, 0.9352]","[-0.0073, 0.0034, 0.0667]"
CRMT.TA,"[1.0, 0.9962, 0.4131]","[1.0, 0.9962, 0.4131]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CAST.TA,"[0.9983, 0.9378, 0.809]","[0.9983, 0.9378, 0.809]","[0.7613, 0.8252, 0.954]","[-1.0, -1.0, -1.0]","[0.5741, 0.638, 0.7668]","[-1.0, -1.0, -1.0]","[0.9814, 0.9547, 0.8259]","[0.2876, 0.2237, 0.0949]"
CEL.TA,"[0.9899, 0.9498, 0.9397]","[0.9899, 0.9498, 0.9397]","[0.9725, 0.9121, 0.9021]","[-1.0, -1.0, -1.0]","[0.9307, 0.9911, 0.9989]","[0.5766, 0.6369, 0.647]","[0.9923, 0.9474, 0.9373]","[0.9879, 0.9517, 0.9417]"
CPIA.TA,"[None, None, None]","[0.9965, 0.969, 0.9471]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CBI.TA,"[0.9898, 0.7844, 0.993]","[0.9898, 0.7844, 0.993]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CLIS.TA,"[0.9957, 0.9648, 0.9695]","[0.9957, 0.9648, 0.9695]","[0.5791, 0.5396, 0.6053]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.9968, 0.9637, 0.9706]","[None, None, None]"
CFX.TA,"[0.995, 0.8969, 0.8963]","[0.995, 0.8969, 0.8963]","[0.9872, 0.9147, 0.9141]","[-0.3796, -0.2815, -0.2809]","[0.993, 0.8948, 0.8942]","[0.9927, 0.9091, 0.9086]","[0.9979, 0.9039, 0.9034]","[0.4248, 0.3266, 0.3261]"
CGEN.TA,"[0.9931, 0.8841, 0.8586]","[0.9931, 0.8841, 0.8586]","[-0.6121, -0.7349, -0.7604]","[0.2991, 0.1762, 0.1507]","[-1.0, -1.0, -1.0]","[0.4087, 0.2859, 0.2604]","[0.962, 0.9152, 0.8897]","[None, None, None]"
DANH.TA,"[1.0, 0.985, 0.9851]","[1.0, 0.985, 0.9851]","[0.8162, 0.8312, 0.8311]","[-1.0, -1.0, -1.0]","[0.6689, 0.6839, 0.6838]","[-1.0, -1.0, -1.0]","[0.9989, 0.9839, 0.984]","[0.8924, 0.8774, 0.8775]"
DNYA.TA,"[0.9722, 0.989, 0.9101]","[0.9722, 0.989, 0.9101]","[0.9499, 0.9668, 0.8879]","[0.9893, 0.9938, 0.9272]","[0.9929, 0.9902, 0.9309]","[0.9905, 0.9926, 0.9285]","[0.988, 0.9711, 0.95]","[None, None, None]"
DLEKG.TA,"[0.9996, 0.9598, 0.9227]","[0.9996, 0.9598, 0.9227]","[0.8531, 0.8937, 0.9308]","[0.5803, 0.5397, 0.5026]","[0.771, 0.8115, 0.8487]","[0.743, 0.7836, 0.8207]","[0.9881, 0.9475, 0.9104]","[0.9002, 0.9408, 0.9779]"
DLTI.TA,"[0.9787, 0.9574, 0.9875]","[0.9787, 0.9574, 0.9875]","[0.9684, 0.947, 0.9979]","[0.9414, 0.92, 0.9751]","[0.8988, 0.8774, 0.9325]","[0.8537, 0.8324, 0.8874]","[0.9678, 0.9464, 0.9985]","[None, None, None]"
DELG.TA,"[0.9901, 0.9561, 0.9802]","[0.9901, 0.9561, 0.9802]","[0.9641, 0.9981, 0.974]","[0.1443, 0.1783, 0.1543]","[0.9737, 0.9923, 0.9836]","[0.7173, 0.7513, 0.7272]","[0.9962, 0.9698, 0.9939]","[0.9795, 0.9455, 0.9696]"
DIPL.TA,"[0.9996, 0.9917, 0.9561]","[0.9996, 0.9917, 0.9561]","[0.9612, 0.9524, 0.9169]","[-1.0, -1.0, -1.0]","[0.9606, 0.9519, 0.9163]","[0.721, 0.7122, 0.6766]","[0.9939, 0.9852, 0.9496]","[0.9162, 0.925, 0.9606]"
DISI.TA,"[0.9663, 0.9216, 0.9931]","[0.9663, 0.9216, 0.9931]","[0.558, 0.5133, 0.5986]","[0.8029, 0.8476, 0.7624]","[0.6202, 0.5754, 0.6607]","[0.587, 0.5423, 0.6276]","[0.748, 0.7033, 0.7886]","[0.8913, 0.8466, 0.9318]"
DRSH.TA,"[0.9949, 0.9748, 0.9658]","[0.9949, 0.9748, 0.9658]","[0.999, 0.979, 0.9699]","[0.5594, 0.5794, 0.5885]","[None, None, None]","[0.9927, 0.9727, 0.9636]","[0.9589, 0.979, 0.988]","[0.9027, 0.9227, 0.9318]"
ELAL.TA,"[0.9815, 0.9046, 0.8655]","[0.9815, 0.9046, 0.8655]","[0.8719, 0.758, 0.7188]","[0.7524, 0.6385, 0.5994]","[0.7569, 0.643, 0.6039]","[0.7629, 0.649, 0.6098]","[0.8992, 0.9869, 0.9478]","[0.9651, 0.8512, 0.8121]"
ESLT.TA,"[0.9997, 0.9996, 0.9748]","[0.9997, 0.9996, 0.9748]","[0.9532, 0.9531, 0.9284]","[0.936, 0.9359, 0.9111]","[0.9582, 0.9581, 0.9333]","[0.8942, 0.8941, 0.8693]","[0.9741, 0.9741, 0.9493]","[0.8086, 0.8086, 0.8334]"
ELCO.TA,"[0.9714, 0.9642, 0.8955]","[0.9714, 0.9642, 0.8955]","[0.9678, 0.9605, 0.8918]","[0.737, 0.7442, 0.8129]","[0.9938, 0.9866, 0.9178]","[0.8322, 0.8394, 0.9082]","[0.9495, 0.9423, 0.8735]","[0.9214, 0.9141, 0.8454]"
ELDAV-M.TA,"[0.9866, 0.9779, 0.8934]","[0.9866, 0.9779, 0.8934]","[0.9669, 0.9756, 0.9399]","[0.5117, 0.5204, 0.6049]","[0.8873, 0.8961, 0.9806]","[0.918, 0.9268, 0.9887]","[0.6606, 0.6694, 0.7539]","[0.6729, 0.6817, 0.7662]"
ECP.TA,"[0.9851, 0.9741, 0.9274]","[0.9851, 0.9741, 0.9274]","[0.981, 0.97, 0.9232]","[0.0206, 0.0316, 0.0783]","[0.9794, 0.9684, 0.9217]","[0.8915, 0.9025, 0.9493]","[0.9608, 0.9498, 0.9031]","[0.9896, 0.9994, 0.9527]"
ELCRE.TA,"[0.9675, 0.9701, 0.9545]","[0.9675, 0.9701, 0.9545]","[-0.0705, -0.1329, -0.1486]","[0.8157, 0.7533, 0.7376]","[0.0053, -0.0571, -0.0727]","[0.2133, 0.1509, 0.1353]","[0.9738, 0.9114, 0.8958]","[0.9452, 0.8828, 0.8672]"
ELWS.TA,"[0.9497, 0.9165, 0.9686]","[0.9497, 0.9165, 0.9686]","[0.8267, 0.9605, 0.9084]","[0.911, 0.9552, 0.9927]","[0.8488, 0.9826, 0.9305]","[0.9824, 0.8837, 0.9359]","[0.6999, 0.8337, 0.7816]","[None, None, None]"
ELLO.TA,"[0.9958, 0.9996, 0.8737]","[0.9958, 0.9996, 0.8737]","[0.6439, 0.6393, 0.5134]","[-0.5989, -0.6035, -0.7294]","[-1.0, -1.0, -1.0]","[0.0637, 0.0592, -0.0668]","[0.9478, 0.9523, 0.9217]","[0.9466, 0.9511, 0.923]"
ELSPC.TA,"[0.9953, 0.9144, 0.9953]","[0.9953, 0.9144, 0.9953]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENOG.TA,"[0.9801, 0.969, 0.9451]","[0.9801, 0.969, 0.9451]","[0.6074, 0.6185, 0.5326]","[0.0881, 0.077, 0.1629]","[0.7642, 0.7753, 0.6894]","[0.8426, 0.8537, 0.7678]","[0.2369, 0.248, 0.1621]","[0.807, 0.8181, 0.7322]"
ENLV.TA,"[0.9676, 0.7217, 0.7329]","[0.9676, 0.7217, 0.7329]","[None, None, None]","[0.7802, 0.4695, 0.4807]","[None, None, None]","[0.7883, 0.4776, 0.4888]","[0.9951, 0.6942, 0.7053]","[None, None, None]"
EPIT.TA,"[0.9986, 0.9428, -0.0508]","[0.9986, 0.9428, -0.0508]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
EQTL.TA,"[0.9969, 0.95, 0.9912]","[0.9969, 0.95, 0.9912]","[0.9889, 0.9358, 0.9947]","[0.4128, 0.4659, 0.4071]","[0.9247, 0.9778, 0.919]","[0.9009, 0.9539, 0.8951]","[0.9843, 0.9626, 0.9785]","[0.9688, 0.9781, 0.9631]"
EVGN.TA,"[0.9987, 0.8429, 0.6194]","[0.9987, 0.8429, 0.6194]","[0.2168, 0.3752, 0.5987]","[0.5959, 0.7543, 0.9778]","[0.0958, 0.2543, 0.4778]","[0.5053, 0.6637, 0.8872]","[0.8744, 0.9671, 0.7437]","[0.9966, 0.8382, 0.6147]"
FTAL.TA,"[0.9852, 0.9882, 0.9227]","[0.9852, 0.9882, 0.9227]","[0.5683, 0.5713, 0.5058]","[-0.783, -0.78, -0.8455]","[0.2448, 0.2478, 0.1823]","[-1.0, -1.0, -1.0]","[0.956, 0.959, 0.8936]","[0.9707, 0.9737, 0.9083]"
FLYS.TA,"[0.9824, 0.8745, 0.9633]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
FBRT.TA,"[0.9988, 0.9669, 0.8806]","[0.9988, 0.9669, 0.8806]","[0.7541, 0.7884, 0.8747]","[0.6192, 0.6535, 0.7397]","[0.6392, 0.6735, 0.7598]","[0.6128, 0.6471, 0.7334]","[0.9547, 0.989, 0.9248]","[None, None, None]"
FRSX.TA,"[0.9911, 0.9959, 0.8288]","[0.9911, 0.9959, 0.8288]","[0.791, 0.7781, 0.611]","[-0.074, -0.061, 0.1061]","[0.7402, 0.7273, 0.5602]","[0.8908, 0.9037, 0.9292]","[0.8215, 0.8344, 0.9985]","[None, None, None]"
FORTY.TA,"[0.9935, 0.9934, 0.9816]","[0.9935, 0.9934, 0.9816]","[0.9625, 0.9494, 0.9744]","[0.8956, 0.9087, 0.8837]","[0.9799, 0.993, 0.9681]","[0.9543, 0.9674, 0.9424]","[0.9689, 0.9558, 0.9808]","[0.9696, 0.9564, 0.9814]"
GCT.TA,"[0.9877, 0.931, 0.8837]","[0.9877, 0.931, 0.8837]","[0.9659, 0.9774, 0.9301]","[-0.6341, -0.5774, -0.5301]","[0.944, 0.9993, 0.952]","[0.8725, 0.9292, 0.9765]","[0.9955, 0.9388, 0.8915]","[0.9774, 0.9207, 0.8734]"
GVYM.TA,"[0.9882, 0.9768, 0.9466]","[0.9882, 0.9768, 0.9466]","[0.9796, 0.9854, 0.9552]","[-1.0, -1.0, -1.0]","[0.9752, 0.9899, 0.9596]","[0.9762, 0.9888, 0.9586]","[0.9768, 0.9882, 0.958]","[0.9197, 0.8847, 0.8545]"
GEFR.TA,"[0.9757, 0.8533, 0.8822]","[0.9757, 0.8533, 0.8822]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GNCL.TA,"[0.9932, 0.8211, 0.7034]","[0.9932, 0.8211, 0.7034]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GNRS.TA,"[0.9988, 0.9595, 0.9982]","[0.9988, 0.9595, 0.9982]","[0.4447, 0.4864, 0.4477]","[0.0611, 0.1028, 0.064]","[0.2382, 0.2799, 0.2412]","[0.4004, 0.4421, 0.4034]","[0.9956, 0.9626, 0.9986]","[0.9864, 0.9719, 0.9894]"
GILT.TA,"[0.9991, 0.9688, 0.9648]","[0.9991, 0.9688, 0.9648]","[0.9936, 0.9615, 0.9575]","[0.2614, 0.2935, 0.2975]","[0.9463, 0.9785, 0.9824]","[0.5168, 0.549, 0.5529]","[0.9777, 0.9902, 0.9863]","[0.9991, 0.9688, 0.9648]"
GLTL.TA,"[0.9972, 0.9761, 0.9524]","[0.9972, 0.9761, 0.9524]","[0.8324, 0.8535, 0.7819]","[-1.0, -1.0, -1.0]","[0.6383, 0.6594, 0.5878]","[-1.0, -1.0, -1.0]","[0.7192, 0.7404, 0.6688]","[0.5325, 0.5114, 0.583]"
GKL.TA,"[0.9981, 0.9246, 0.9406]","[0.9981, 0.9246, 0.9406]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GLRS.TA,"[0.9861, 0.9725, 0.9882]","[0.9861, 0.9725, 0.9882]","[0.9928, 0.9936, 0.9907]","[0.9059, 0.9195, 0.9038]","[0.9783, 0.9647, 0.9804]","[0.9591, 0.9727, 0.957]","[0.8758, 0.8894, 0.8737]","[0.9207, 0.9071, 0.9228]"
GOHO.TA,"[0.9551, 0.853, 0.9932]","[0.9551, 0.853, 0.9932]","[0.718, 0.6159, 0.7561]","[0.0825, -0.0197, 0.1206]","[0.3954, 0.2933, 0.4335]","[-0.1556, -0.2578, -0.1175]","[0.9489, 0.8468, 0.9871]","[0.4836, 0.3815, 0.5217]"
GRAC.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
G107.TA,"[0.9793, 0.9518, 0.7736]","[0.9793, 0.9518, 0.7736]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HGG.TA,"[0.9588, 0.9934, 0.963]","[0.9588, 0.9934, 0.963]","[0.7094, 0.6748, 0.6311]","[0.6729, 0.6384, 0.5947]","[0.3077, 0.2731, 0.2294]","[0.5372, 0.5026, 0.459]","[0.9814, 0.9469, 0.9032]","[0.8197, 0.8542, 0.8979]"
MSBI.TA,"[0.9933, 0.9518, 0.8444]","[0.9933, 0.9518, 0.8444]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HAMAT.TA,"[0.9884, 0.9772, 0.9949]","[0.9884, 0.9772, 0.9949]","[0.9729, 0.9926, 0.9794]","[-0.6194, -0.6539, -0.6259]","[0.9864, 0.952, 0.98]","[0.0247, -0.0098, 0.0182]","[0.9833, 0.9823, 0.9897]","[0.8724, 0.838, 0.8659]"
HICN.TA,"[0.9593, 0.9145, 0.9145]","[0.9593, 0.9145, 0.9145]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HLAN.TA,"[0.9876, 0.9621, 0.9025]","[0.9876, 0.9621, 0.9025]","[0.9575, 0.9829, 0.9574]","[0.9722, 0.9467, 0.8871]","[0.9815, 0.956, 0.8964]","[0.9645, 0.939, 0.8794]","[0.9097, 0.8842, 0.8246]","[0.9876, 0.9621, 0.9025]"
HIPR.TA,"[0.9949, 0.9281, 0.8663]","[0.9949, 0.9281, 0.8663]","[0.7164, 0.7832, 0.845]","[0.5789, 0.6457, 0.7074]","[0.7521, 0.8189, 0.8806]","[0.6524, 0.7193, 0.781]","[0.9998, 0.9334, 0.8717]","[0.8674, 0.9342, 0.9959]"
HIVE.TA,"[None, None, None]","[1.0, 1.0, 1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HLMS.TA,"[0.9796, 0.976, 0.9773]","[0.9796, 0.976, 0.9773]","[0.9298, 0.9263, 0.9275]","[0.6927, 0.6962, 0.695]","[0.8474, 0.8439, 0.8451]","[0.816, 0.8124, 0.8137]","[0.9584, 0.9549, 0.9561]","[0.6567, 0.6532, 0.6544]"
HMGS.TA,"[0.985, 0.8306, 0.538]","[0.985, 0.8306, 0.538]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
