,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Long-Term Debt,Dividends Paid,Short-Term Debt,Number of Outstanding Shares
ILX.TA,"[0.9684, 0.9298, 0.88]","[0.836, 0.8745, 0.9244]","[None, None, None]","[0.9625, 0.9239, 0.8741]","[0.7241, 0.7627, 0.8125]","[0.6122, 0.6507, 0.7006]","[0.2151, 0.2536, 0.3035]","[-0.0804, -0.0419, 0.008]","[0.6405, 0.6791, 0.7289]","[0.6193, 0.6578, 0.7077]","[0.9983, 0.9632, 0.9133]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
INRM.TA,"[0.0032, 0.1117, 0.0847]","[0.0036, 0.112, 0.0851]","[0.6818, 0.5734, 0.6003]","[0.0033, 0.1117, 0.0848]","[0.0036, 0.112, 0.085]","[0.0009, 0.1094, 0.0824]","[0.0046, -0.1038, -0.0769]","[-0.0001, -0.1086, -0.0816]","[0.0011, 0.1095, 0.0825]","[0.0011, 0.1096, 0.0826]","[0.001, 0.1095, 0.0825]","[None, None, None]","[0.0013, 0.1097, 0.0827]","[None, None, None]","[None, None, None]"
ILDC.TA,"[0.2857, 0.1615, 0.402]","[-1.0, -1.0, -1.0]","[0.4225, 0.2983, 0.5388]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[1.0, 0.8757, 0.8837]","[0.0979, -0.0264, 0.2142]","[0.8581, 0.7338, 0.9743]","[0.8902, 0.9856, 0.7739]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
ISRA.TA,"[0.4971, 0.4755, 0.5943]","[0.5598, 0.5382, 0.6569]","[0.5559, 0.5343, 0.6531]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9649, 0.9433, 0.938]","[0.9864, 0.9648, 0.9164]","[0.9362, 0.9146, 0.9666]","[None, None, None]","[1.0, 0.9784, 0.9028]","[None, None, None]","[-1.0, -1.0, -1.0]"
ISRO.TA,"[0.3602, 0.3304, 0.3223]","[-0.1532, -0.183, -0.1911]","[None, None, None]","[0.2665, 0.2367, 0.2286]","[-0.079, -0.1088, -0.1169]","[None, None, None]","[None, None, None]","[None, None, None]","[0.974, 0.9442, 0.9362]","[None, None, None]","[0.9557, 0.9856, 0.9936]","[None, None, None]","[1.0, 0.9702, 0.9621]","[None, None, None]","[None, None, None]"
JBNK.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KRDI.TA,"[0.0304, 0.0504, 0.0202]","[-0.0288, -0.0089, -0.0391]","[-1.0, -1.0, -1.0]","[0.0209, 0.0409, 0.0107]","[-0.0273, -0.0073, -0.0375]","[-0.2443, -0.2643, -0.2341]","[-0.0886, -0.1086, -0.0784]","[-0.3561, -0.3362, -0.3663]","[0.0993, 0.1193, 0.0891]","[0.3472, 0.3672, 0.337]","[-0.08, -0.06, -0.0902]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KEN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KRUR.TA,"[0.8815, 0.8999, 0.9973]","[0.8859, 0.8675, 0.7701]","[0.8978, 0.8794, 0.7819]","[0.8711, 0.8894, 0.9869]","[0.9772, 0.9588, 0.8614]","[None, None, None]","[0.7177, 0.6993, 0.6019]","[0.7752, 0.7568, 0.6594]","[0.9235, 0.9051, 0.8077]","[0.0258, 0.0441, 0.1416]","[0.9503, 0.9319, 0.8344]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KLIL.TA,"[0.5056, 0.4386, 0.544]","[0.0912, 0.0242, 0.1296]","[0.0904, 0.0234, 0.1288]","[0.401, 0.3339, 0.4394]","[0.8149, 0.882, 0.7765]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9946, 0.9275, 0.967]","[0.2821, 0.3491, 0.2436]","[0.9842, 0.9171, 0.9774]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
