,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
PTNR.TA,"[0.9604, 0.9169, 0.9555]","[-0.7083, -0.6648, -0.7923]","[-0.744, -0.7005, -0.828]","[0.9775, 0.934, 0.9385]","[0.994, 0.9505, 0.922]","[0.3911, 0.4346, 0.3071]","[-0.5368, -0.4934, -0.6209]","[0.9811, 0.9377, 0.9348]","[0.974, 0.9305, 0.942]","[0.9952, 0.9517, 0.9208]","[0.9214, 0.878, 0.9945]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9936, 0.9501, 0.9224]"
PAYT.TA,"[0.4161, 0.4366, 0.5612]","[-0.836, -0.8154, -0.6908]","[-0.4208, -0.4003, -0.2756]","[0.4875, 0.508, 0.6326]","[-0.5754, -0.5549, -0.4302]","[-0.4881, -0.5086, -0.6333]","[None, None, None]","[0.8458, 0.8663, 0.991]","[0.7845, 0.805, 0.9297]","[0.8546, 0.8751, 0.9997]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PAZ.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[0.0136, 0.08, 0.1316]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.9772, 0.9108, 0.8592]","[0.9947, 0.9388, 0.8873]","[0.9145, 0.8481, 0.7966]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9938, 0.9274, 0.8759]","[None, None, None]"
PLSN.TA,"[0.4683, 0.5309, 0.5533]","[0.3714, 0.434, 0.4564]","[0.3545, 0.4171, 0.4395]","[0.4656, 0.5282, 0.5506]","[0.3675, 0.4301, 0.4525]","[0.449, 0.3864, 0.364]","[0.3695, 0.3069, 0.2845]","[0.9971, 0.9403, 0.9179]","[0.9942, 0.9316, 0.9092]","[0.9953, 0.9421, 0.9197]","[None, None, None]","[None, None, None]","[0.748, 0.8105, 0.833]","[0.9943, 0.9432, 0.9207]","[None, None, None]"
PLUR.TA,"[0.9952, 0.9299, 0.8528]","[0.4395, 0.5144, 0.5914]","[0.5069, 0.5817, 0.6588]","[-0.0038, 0.0711, 0.1482]","[0.4497, 0.5245, 0.6016]","[0.9415, 0.8667, 0.7896]","[0.1006, 0.0258, -0.0513]","[0.9212, 0.996, 0.9269]","[0.9212, 0.996, 0.9269]","[0.8858, 0.9606, 0.9623]","[0.5149, 0.5897, 0.6668]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9779, 0.9473, 0.8702]"
POLI.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.7419, -0.736, -0.7337]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RMN.TA,"[None, None, None]","[-0.0274, -0.0204, -0.5729]","[0.7432, 0.7502, 0.1978]","[-0.0272, -0.0202, -0.5727]","[-0.0272, -0.0202, -0.5727]","[-0.0272, -0.0202, -0.5727]","[0.0305, 0.0235, 0.5759]","[-0.0272, -0.0202, -0.5727]","[-0.0279, -0.0209, -0.5734]","[-0.0272, -0.0202, -0.5727]","[-0.0243, -0.0173, -0.5697]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RAVD.TA,"[-1.0, -1.0, -1.0]","[0.8077, 0.7447, 0.6932]","[None, None, None]","[-0.5564, -0.4934, -0.4419]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.3984, -0.3354, -0.2839]","[0.982, 0.955, 0.9035]","[0.1653, 0.2283, 0.2798]","[0.9668, 0.9703, 0.9187]","[None, None, None]","[0.9562, 0.8932, 0.8417]","[0.6436, 0.5806, 0.5291]","[None, None, None]","[None, None, None]"
RVL.TA,"[0.9684, 0.9212, 0.7322]","[0.9694, 0.9202, 0.7312]","[0.9694, 0.9202, 0.7312]","[0.9694, 0.9202, 0.7312]","[None, None, None]","[0.4099, 0.5203, 0.7092]","[0.3434, 0.4539, 0.6428]","[0.9694, 0.9202, 0.7312]","[0.1744, 0.2848, 0.4737]","[None, None, None]","[0.519, 0.6295, 0.8184]","[0.9694, 0.9202, 0.7312]","[None, None, None]","[None, None, None]","[0.9694, 0.9202, 0.7312]"
RIT1.TA,"[0.5423, 0.5432, 0.6047]","[0.0039, 0.0047, 0.0662]","[0.9047, 0.9038, 0.8423]","[None, None, None]","[None, None, None]","[None, None, None]","[0.1951, 0.1942, 0.1327]","[0.9624, 0.9633, 0.9752]","[0.9939, 0.9948, 0.9437]","[0.9607, 0.9598, 0.8983]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.9279, 0.927, 0.8655]","[None, None, None]","[0.9635, 0.9626, 0.9011]"
RIMO.TA,"[0.6217, 0.648, 0.8917]","[0.8656, 0.8919, 0.8644]","[0.9338, 0.9601, 0.7962]","[0.8893, 0.863, 0.6193]","[0.9565, 0.9828, 0.7735]","[0.992, 0.9817, 0.738]","[0.992, 0.9817, 0.738]","[0.992, 0.9817, 0.738]","[-1.0, -1.0, -0.7811]","[0.9365, 0.9102, 0.6665]","[None, None, None]","[None, None, None]","[None, None, None]","[0.2186, 0.2449, 0.4886]","[0.994, 0.9797, 0.736]"
SPNS.TA,"[-0.0046, 0.0087, 0.0147]","[-0.0046, 0.0086, 0.0146]","[0.9944, 0.9924, 0.9864]","[-0.0046, 0.0087, 0.0147]","[-0.0046, 0.0086, 0.0146]","[0.0109, -0.0024, -0.0084]","[-0.0046, 0.0087, 0.0147]","[-0.0046, 0.0087, 0.0147]","[None, None, None]","[-0.0045, 0.0087, 0.0147]","[-0.0048, 0.0085, 0.0145]","[-0.0046, 0.0086, 0.0146]","[-0.0046, 0.0086, 0.0146]","[-0.0045, 0.0087, 0.0147]","[-0.0046, 0.0087, 0.0147]"
SCOP.TA,"[0.9099, 0.8841, 0.9953]","[0.4091, 0.3833, 0.4945]","[-1.0, -1.0, -1.0]","[0.8748, 0.849, 0.9602]","[0.6621, 0.6363, 0.7475]","[0.6402, 0.6661, 0.5548]","[0.961, 0.9352, 0.9536]","[0.9833, 0.9909, 0.8979]","[0.9714, 0.9972, 0.886]","[0.9857, 0.9599, 0.9289]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SHAN.TA,"[0.7416, 0.7477, 0.7799]","[0.9975, 0.9964, 0.9642]","[0.9975, 0.9964, 0.9642]","[0.5922, 0.5861, 0.5539]","[0.819, 0.8129, 0.7807]","[0.9049, 0.8988, 0.8666]","[0.4054, 0.3993, 0.3671]","[0.9897, 0.9836, 0.9514]","[0.6447, 0.6386, 0.6064]","[0.9558, 0.9619, 0.9941]","[0.6506, 0.6567, 0.6889]","[None, None, None]","[None, None, None]","[0.0025, -0.0036, -0.0358]","[None, None, None]"
SPEN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SHOM.TA,"[0.9611, 0.9483, 0.7639]","[0.9611, 0.9483, 0.7639]","[0.9611, 0.9483, 0.7639]","[None, None, None]","[0.634, 0.6213, 0.4369]","[-1.0, -1.0, -1.0]","[-0.0681, -0.0808, -0.2652]","[0.9309, 0.9181, 0.7337]","[0.8893, 0.9021, 0.9136]","[0.9704, 0.9832, 0.8325]","[None, None, None]","[None, None, None]","[0.2006, 0.1879, 0.0035]","[None, None, None]","[None, None, None]"
SAE.TA,"[0.4602, 0.4813, 0.5108]","[0.4209, 0.442, 0.4715]","[0.414, 0.4351, 0.4646]","[0.4683, 0.4895, 0.5189]","[-1.0, -1.0, -1.0]","[0.8577, 0.8789, 0.9084]","[-0.1831, -0.2043, -0.2337]","[0.9274, 0.9485, 0.978]","[0.9328, 0.9539, 0.9834]","[0.9419, 0.9631, 0.9926]","[None, None, None]","[None, None, None]","[0.9865, 0.9923, 0.9629]","[0.9915, 0.9874, 0.9579]","[None, None, None]"
SKLN.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.861, 0.835, 0.6587]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
SMT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9501, 0.8997, 0.8343]","[0.938, 0.8876, 0.8464]","[0.8472, 0.7968, 0.9373]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SNCM.TA,"[0.709, 0.7632, 0.8637]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.3971, 0.4513, 0.5518]","[0.2355, 0.2897, 0.3903]","[-0.699, -0.6448, -0.5443]","[-1.0, -1.0, -1.0]","[0.952, 0.8978, 0.7972]","[0.3806, 0.3264, 0.2259]","[0.9753, 0.9705, 0.87]","[None, None, None]","[None, None, None]","[0.9136, 0.8594, 0.7589]","[None, None, None]","[0.9892, 0.935, 0.8345]"
TMRP.TA,"[0.2601, 0.3083, 0.4296]","[-0.0787, -0.0305, 0.0908]","[-0.0856, -0.0373, 0.084]","[None, None, None]","[0.8562, 0.9045, 0.9743]","[0.3475, 0.2992, 0.178]","[0.134, 0.0857, -0.0355]","[0.9938, 0.9455, 0.8243]","[0.962, 0.9138, 0.7925]","[0.8744, 0.9226, 0.9561]","[None, None, None]","[0.9536, 0.9981, 0.8769]","[0.9665, 0.9182, 0.797]","[None, None, None]","[0.9834, 0.9683, 0.8471]"
TFRLF.TA,"[None, None, None]","[0.5108, 0.4778, 0.803]","[0.5193, 0.4863, 0.7945]","[-1.0, -1.0, -0.3407]","[0.2416, 0.2086, 0.9277]","[-0.6592, -0.6262, -1.0]","[0.2005, 0.1675, 0.8866]","[0.9401, 0.9071, 0.3737]","[0.7806, 0.7476, 0.5332]","[0.9625, 0.9295, 0.3514]","[None, None, None]","[0.8427, 0.8097, 0.4711]","[0.8329, 0.8659, 0.1467]","[None, None, None]","[None, None, None]"
TEVA.TA,"[0.9976, 0.9192, 0.8384]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9671, 0.8887, 0.8079]","[-1.0, -1.0, -1.0]","[0.7398, 0.6613, 0.5805]","[0.268, 0.1896, 0.1088]","[0.8868, 0.9653, 0.954]","[0.6721, 0.7505, 0.8313]","[0.6749, 0.7533, 0.8341]","[0.8931, 0.8147, 0.7339]","[0.7405, 0.6621, 0.5813]","[0.9376, 0.9839, 0.9031]","[None, None, None]","[0.9787, 0.9428, 0.862]"
ILCO.TA,"[0.5652, 0.5588, 0.9622]","[0.8455, 0.8519, 0.4485]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.968, 0.9743, 0.571]","[0.9656, 0.972, 0.5686]","[0.9725, 0.9789, 0.5755]","[None, None, None]","[None, None, None]","[0.7201, 0.7138, 0.8829]","[None, None, None]","[None, None, None]"
TTAM.TA,"[0.5146, 0.5115, 0.8354]","[0.4254, 0.4222, 0.9246]","[0.4298, 0.4266, 0.9203]","[0.4956, 0.4924, 0.8544]","[0.488, 0.4849, 0.862]","[None, None, None]","[None, None, None]","[0.9801, 0.977, 0.3699]","[0.9864, 0.9832, 0.3636]","[0.6268, 0.6237, 0.7232]","[None, None, None]","[None, None, None]","[None, None, None]","[0.6239, 0.627, -0.0261]","[None, None, None]"
TSEM.TA,"[0.9997, 0.9051, 0.8854]","[0.799, 0.7043, 0.6846]","[0.7768, 0.6822, 0.6625]","[0.9208, 0.8261, 0.8065]","[0.8667, 0.7721, 0.7524]","[None, None, None]","[None, None, None]","[0.9885, 0.8938, 0.8742]","[0.9296, 0.835, 0.8153]","[0.9856, 0.9198, 0.9001]","[0.9711, 0.9343, 0.9146]","[0.9125, 0.9929, 0.9732]","[0.9577, 0.9476, 0.928]","[None, None, None]","[0.9865, 0.9188, 0.8992]"
VCTR.TA,"[0.5224, 0.475, 0.4863]","[0.5731, 0.5257, 0.5371]","[0.5666, 0.5193, 0.5306]","[0.5191, 0.4717, 0.483]","[None, None, None]","[0.8189, 0.7716, 0.7829]","[-1.0, -1.0, -1.0]","[0.9706, 0.9821, 0.9934]","[0.9971, 0.9497, 0.9611]","[0.904, 0.9513, 0.94]","[0.3806, 0.3333, 0.3446]","[None, None, None]","[None, None, None]","[0.5093, 0.5566, 0.5453]","[None, None, None]"
VTNA.TA,"[0.0777, 0.0203, 0.1314]","[0.9461, 0.8887, 0.9997]","[-0.0239, 0.0335, -0.0775]","[0.5941, 0.5367, 0.6477]","[None, None, None]","[0.8445, 0.9019, 0.7909]","[0.9834, 0.926, 0.963]","[0.9579, 0.9847, 0.9043]","[0.8072, 0.8646, 0.7536]","[0.9549, 0.9877, 0.9012]","[0.9931, 0.9357, 0.9533]","[0.8877, 0.9451, 0.834]","[0.258, 0.3155, 0.2044]","[0.9544, 0.9881, 0.9008]","[None, None, None]"
WILC.TA,"[None, 0.9929, 0.93]","[None, 0.6261, 0.7032]","[None, 0.6494, 0.7266]","[None, 0.7939, 0.7168]","[None, 0.7616, 0.6845]","[None, None, None]","[None, None, None]","[None, 0.9416, 0.9813]","[None, 0.9498, 0.9731]","[None, 0.94, 0.9829]","[None, 0.882, 0.9591]","[None, None, None]","[None, None, None]","[None, None, None]","[None, 0.9823, 0.9052]"
XTLB.TA,"[None, None, None]","[-0.4688, -0.5983, -0.8771]","[0.0174, -0.1122, -0.391]","[None, None, None]","[0.5596, 0.43, 0.1512]","[None, None, None]","[None, None, None]","[0.9321, 0.8026, 0.5237]","[0.9555, 0.826, 0.5472]","[0.9314, 0.8019, 0.523]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9826, 0.8878, 0.609]"
