,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
MDTR.TA,"[0.4985, 0.4583, 0.5794]","[-0.0106, 0.0296, -0.0915]","[None, None, None]","[0.5493, 0.5091, 0.6302]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.7478, 0.7076, 0.8286]","[0.998, 0.9577, 0.9212]","[0.9911, 0.9508, 0.9281]","[0.9797, 0.98, 0.8989]","[None, None, None]","[None, None, None]","[0.9009, 0.8606, 0.9817]","[None, None, None]","[None, None, None]"
MGOR.TA,"[None, None, None]","[0.6603, 0.6897, 0.7765]","[None, None, None]","[None, None, None]","[0.6079, 0.6373, 0.7241]","[None, None, None]","[None, None, None]","[0.9448, 0.9741, 0.9391]","[0.5625, 0.5919, 0.6787]","[0.9272, 0.9565, 0.9567]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MLSR.TA,"[0.8, 0.8146, 0.9545]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[0.412, 0.4266, 0.5665]","[-0.1786, -0.164, -0.0241]","[0.9914, 0.994, 0.8541]","[0.9563, 0.9417, 0.8018]","[0.9713, 0.9859, 0.8742]","[None, None, None]","[None, None, None]","[0.9932, 0.9922, 0.8523]","[0.966, 0.9514, 0.8115]","[None, None, None]"
MNIN.TA,"[0.4924, 0.5205, 0.7218]","[0.7387, 0.7668, 0.9681]","[None, None, None]","[0.4559, 0.484, 0.6853]","[0.3039, 0.332, 0.5333]","[0.9218, 0.8937, 0.6924]","[0.5798, 0.5517, 0.3504]","[0.9852, 0.9571, 0.7558]","[0.9783, 0.9502, 0.7489]","[0.9951, 0.967, 0.7657]","[0.9158, 0.9438, 0.8549]","[0.2217, 0.2498, 0.4511]","[0.8482, 0.8763, 0.9224]","[None, None, None]","[None, None, None]"
MMHD.TA,"[0.7104, 0.6198, 0.4843]","[0.9804, 0.9289, 0.7934]","[-0.0486, 0.0421, 0.1776]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.0414, -0.132, -0.2675]","[-0.0164, -0.107, -0.2426]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MCRNT.TA,"[0.1882, 0.1918, 0.2056]","[0.8002, 0.7965, 0.7828]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.9586, 0.9622, 0.976]","[0.2104, 0.214, 0.2278]","[0.225, 0.2214, 0.2076]","[0.7502, 0.7466, 0.7328]","[0.9866, 0.9903, 0.9959]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9959, 0.9923, 0.9785]","[None, None, None]","[None, None, None]","[None, None, None]"
MGDL.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.0085, -0.1496, -0.3769]","[-0.0096, -0.1507, -0.378]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MLD.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MSHR.TA,"[0.8743, 0.8148, 0.691]","[0.4999, 0.4404, 0.3166]","[None, None, None]","[0.4271, 0.4865, 0.6103]","[-0.6695, -0.729, -0.8528]","[0.6001, 0.5407, 0.4168]","[0.7892, 0.7298, 0.606]","[0.9859, 0.9264, 0.8026]","[0.9853, 0.9259, 0.8021]","[0.9872, 0.9277, 0.8039]","[0.801, 0.7416, 0.6178]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MZTF.TA,"[None, None, None]","[0.481, 0.448, 0.4752]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8684, 0.9014, 0.8743]","[0.9955, 0.9625, 0.9897]","[0.9615, 0.9945, 0.9674]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MYDS.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9459, 0.9529, 0.7488]","[0.9604, 0.9674, 0.7344]","[0.9272, 0.9343, 0.7675]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
