,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
ALBA.TA,"[0.9921, 0.9347, 0.9881]","[0.9921, 0.9347, 0.9881]","[0.2513, 0.178, 0.2314]","[0.4766, 0.4034, 0.4568]","[0.252, 0.1787, 0.2321]","[0.2804, 0.2072, 0.2606]","[0.9956, 0.9224, 0.9758]","[0.836, 0.7628, 0.8162]"
ALLT.TA,"[0.9902, 0.9926, 0.8212]","[0.9902, 0.9926, 0.8212]","[0.2448, 0.2424, 0.0562]","[0.0302, 0.0326, 0.2187]","[0.2963, 0.2939, 0.1078]","[0.0325, 0.0349, 0.221]","[0.9743, 0.9719, 0.7858]","[0.989, 0.9914, 0.8225]"
ALMA.TA,"[0.9877, 0.9503, 0.955]","[0.9877, 0.9503, 0.955]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALHE.TA,"[0.9767, 0.9134, 0.9213]","[0.9767, 0.9134, 0.9213]","[0.2531, 0.363, 0.3551]","[0.1653, 0.0554, 0.0633]","[0.258, 0.3679, 0.36]","[0.2583, 0.3682, 0.3603]","[0.9696, 0.9205, 0.9284]","[0.9837, 0.9064, 0.9143]"
ALRPR.TA,"[0.9697, 0.9942, 0.9647]","[0.9697, 0.9942, 0.9647]","[0.1728, 0.2089, 0.1678]","[-0.0095, -0.0455, -0.0044]","[0.0894, 0.1255, 0.0844]","[0.0864, 0.1224, 0.0813]","[0.9504, 0.9865, 0.9454]","[0.9192, 0.9553, 0.9142]"
ALUMA.TA,"[None, None, None]","[0.9853, 0.9587, 0.8953]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[0.9943, 0.9866, 0.8975]","[0.9943, 0.9866, 0.8975]","[0.2291, 0.21, 0.1209]","[0.5172, 0.498, 0.4089]","[0.266, 0.2468, 0.1577]","[0.2962, 0.2771, 0.188]","[0.9994, 0.9814, 0.8923]","[None, None, None]"
AMOT.TA,"[0.9998, 0.928, 0.8719]","[0.9998, 0.928, 0.8719]","[0.2516, 0.3238, 0.3799]","[0.2183, 0.2905, 0.3466]","[0.2574, 0.3296, 0.3857]","[0.2546, 0.3268, 0.383]","[0.9862, 0.914, 0.8578]","[0.9593, 0.8871, 0.831]"
APLP.TA,"[0.9667, 0.9017, 0.9194]","[0.9667, 0.9017, 0.9194]","[0.3525, 0.4841, 0.4664]","[0.3166, 0.1851, 0.2028]","[0.3373, 0.4689, 0.4512]","[0.3173, 0.1858, 0.2035]","[0.9417, 0.8101, 0.8278]","[None, None, None]"
ARD.TA,"[0.9892, 0.9978, 0.9079]","[0.9892, 0.9978, 0.9079]","[0.2827, 0.2697, 0.364]","[0.2632, 0.2503, 0.3446]","[0.2746, 0.2616, 0.3559]","[0.2868, 0.2739, 0.3682]","[0.94, 0.953, 0.8587]","[0.7071, 0.72, 0.6257]"
ARF.TA,"[0.9939, 0.9812, 0.8533]","[0.9939, 0.9812, 0.8533]","[0.204, 0.229, 0.3568]","[-0.1699, -0.145, -0.0171]","[-0.0292, -0.0042, 0.1237]","[-0.0732, -0.0482, 0.0797]","[0.9764, 0.9986, 0.8707]","[0.9788, 0.9962, 0.8684]"
ASHG.TA,"[0.989, 0.9582, 0.87]","[0.989, 0.9582, 0.87]","[0.2201, 0.2729, 0.3611]","[0.1696, 0.2225, 0.3106]","[0.2135, 0.2664, 0.3545]","[0.1915, 0.2444, 0.3325]","[0.9795, 0.9676, 0.8795]","[0.9844, 0.9627, 0.8746]"
ASGR.TA,"[0.9672, 0.9217, 0.9276]","[0.9672, 0.9217, 0.9276]","[0.2385, 0.3495, 0.3437]","[0.0444, -0.0666, -0.0608]","[0.2022, 0.3133, 0.3074]","[0.1938, 0.3049, 0.299]","[0.9843, 0.9046, 0.9105]","[0.956, 0.8449, 0.8508]"
AUDC.TA,"[0.9998, 0.918, 0.9504]","[0.9998, 0.918, 0.9504]","[0.2456, 0.3278, 0.2954]","[0.237, 0.3192, 0.2868]","[0.244, 0.3262, 0.2938]","[0.2272, 0.3094, 0.277]","[0.9957, 0.9221, 0.9545]","[None, None, None]"
AUSA-M.TA,"[None, None, None]","[1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AVGL.TA,"[0.9781, 0.9423, 0.884]","[0.9781, 0.9423, 0.884]","[0.2501, 0.3297, 0.388]","[0.0532, 0.1328, 0.1911]","[0.2177, 0.2973, 0.3556]","[0.1905, 0.2701, 0.3284]","[0.9862, 0.9343, 0.8759]","[0.9695, 0.9509, 0.8926]"
AVIA.TA,"[0.9876, 0.8604, 0.8807]","[0.9876, 0.8604, 0.8807]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AILN.TA,"[0.9141, 0.9051, 0.819]","[0.9141, 0.9051, 0.819]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AZRG.TA,"[0.973, 0.9794, 0.9736]","[0.973, 0.9794, 0.9736]","[0.2275, 0.2751, 0.2809]","[0.1816, 0.2291, 0.2349]","[0.2353, 0.2829, 0.2887]","[0.2417, 0.2892, 0.295]","[0.9678, 0.9847, 0.9789]","[0.997, 0.9555, 0.9496]"
BCOM.TA,"[0.9876, 0.9642, 0.891]","[0.9876, 0.9642, 0.891]","[0.2353, 0.2836, 0.3567]","[0.2871, 0.3353, 0.4085]","[None, None, None]","[0.2202, 0.2684, 0.3416]","[0.9116, 0.8633, 0.7902]","[0.8718, 0.8235, 0.7504]"
BIG.TA,"[0.9806, 0.9737, 0.9909]","[0.9806, 0.9737, 0.9909]","[0.2265, 0.2722, 0.255]","[0.137, 0.1827, 0.1654]","[0.2544, 0.3001, 0.2828]","[0.2579, 0.3036, 0.2863]","[0.9902, 0.9641, 0.9813]","[0.9847, 0.9696, 0.9869]"
BLSR.TA,"[0.9496, 0.9455, 0.956]","[0.9496, 0.9455, 0.956]","[0.2298, 0.2257, 0.2362]","[0.1601, 0.156, 0.1665]","[0.2262, 0.2221, 0.2326]","[0.2248, 0.2208, 0.2313]","[0.9614, 0.9573, 0.9678]","[0.9527, 0.9486, 0.9592]"
BONS.TA,"[0.9951, 0.9814, 0.9466]","[0.9951, 0.9814, 0.9466]","[None, None, None]","[0.2728, 0.2964, 0.3312]","[None, None, None]","[0.2714, 0.2949, 0.3298]","[0.8705, 0.8469, 0.8121]","[None, None, None]"
BWAY.TA,"[0.993, 0.9915, 0.9893]","[0.993, 0.9915, 0.9893]","[0.2792, 0.2947, 0.2969]","[-0.0195, -0.035, -0.0372]","[0.2832, 0.2987, 0.3009]","[-0.0118, -0.0273, -0.0295]","[0.9725, 0.957, 0.9548]","[None, None, None]"
CLAB.TA,"[0.9911, 0.834, 0.8962]","[0.9911, 0.834, 0.8962]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CAMT.TA,"[0.9998, 0.9102, 0.6329]","[0.9998, 0.9102, 0.6329]","[0.3078, 0.2178, -0.0595]","[0.3155, 0.2256, -0.0517]","[0.3031, 0.2131, -0.0642]","[0.3248, 0.2349, -0.0424]","[0.9635, 0.9466, 0.6692]","[0.9985, 0.9116, 0.6343]"
CPTP.TA,"[1.0, 0.9137, 0.8959]","[1.0, 0.9137, 0.8959]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CRSM.TA,"[0.9788, 0.97, 0.934]","[0.9788, 0.97, 0.934]","[0.2985, 0.2898, 0.2537]","[0.3063, 0.2976, 0.2615]","[0.2715, 0.2628, 0.2267]","[0.2865, 0.2778, 0.2417]","[0.9886, 0.9798, 0.9438]","[0.9458, 0.9546, 0.9906]"
CRSR.TA,"[0.9466, 0.9123, 0.9758]","[0.9466, 0.9123, 0.9758]","[0.1765, 0.3176, 0.2541]","[0.4303, 0.5714, 0.5079]","[0.1817, 0.3227, 0.2592]","[0.1489, 0.29, 0.2265]","[0.9689, 0.89, 0.9536]","[0.855, 0.7139, 0.7774]"
CRML.TA,"[0.9809, 0.9637, 0.9365]","[0.9809, 0.9637, 0.9365]","[0.1666, 0.1494, 0.2492]","[0.08, 0.0629, 0.1627]","[0.1633, 0.1462, 0.246]","[0.0411, 0.0239, 0.1238]","[0.9391, 0.9562, 0.8564]","[0.4252, 0.408, 0.5079]"
CRMT.TA,"[0.9821, 0.9468, 0.9588]","[0.9821, 0.9468, 0.9588]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CAST.TA,"[0.9658, 0.9153, 0.7705]","[0.9658, 0.9153, 0.7705]","[0.2122, 0.1616, 0.0168]","[0.0578, 0.0073, -0.1376]","[0.2004, 0.1499, 0.0051]","[0.1935, 0.143, -0.0018]","[0.9389, 0.8884, 0.7436]","[0.6538, 0.6033, 0.4585]"
CEL.TA,"[0.9733, 0.9871, 0.9451]","[0.9733, 0.9871, 0.9451]","[0.2332, 0.247, 0.3148]","[0.0256, 0.0393, 0.1071]","[0.2263, 0.2401, 0.3079]","[0.1959, 0.2096, 0.2774]","[0.9833, 0.997, 0.9352]","[0.8497, 0.8634, 0.9312]"
CPIA.TA,"[None, None, None]","[0.9961, 0.9139, 0.8279]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CFX.TA,"[0.9871, 0.9804, 0.8762]","[0.9871, 0.9804, 0.8762]","[0.2304, 0.2628, 0.1195]","[0.0093, -0.0232, 0.1202]","[0.2448, 0.2772, 0.1339]","[-0.3428, -0.3753, -0.2319]","[0.9604, 0.9928, 0.8495]","[0.5409, 0.5085, 0.6518]"
CGEN.TA,"[0.9903, 0.8991, 0.9736]","[0.9903, 0.8991, 0.9736]","[0.0667, -0.0244, 0.0501]","[0.3972, 0.4884, 0.4139]","[0.0048, -0.0864, -0.0119]","[0.6634, 0.7545, 0.68]","[0.9274, 0.8362, 0.9107]","[None, None, None]"
DANH.TA,"[0.9931, 0.9846, -1.0]","[0.9931, 0.9846, -1.0]","[0.1998, 0.2221, -1.0]","[-0.0356, -0.0134, -1.0]","[0.1643, 0.1866, -1.0]","[0.0074, 0.0297, -1.0]","[0.9765, 0.9543, -1.0]","[0.7699, 0.7922, -1.0]"
DLEKG.TA,"[0.9897, 0.9465, 0.9289]","[0.9897, 0.9465, 0.9289]","[0.2294, 0.2933, 0.3108]","[0.1585, 0.2224, 0.2399]","[0.1996, 0.2635, 0.281]","[0.2, 0.2639, 0.2814]","[0.9908, 0.9269, 0.9094]","[0.9866, 0.9495, 0.932]"
DELG.TA,"[0.9921, 0.9772, 0.9766]","[0.9921, 0.9772, 0.9766]","[0.2348, 0.2198, 0.2661]","[0.1227, 0.1077, 0.154]","[0.2426, 0.2276, 0.2739]","[0.1935, 0.1786, 0.2248]","[0.9904, 0.9946, 0.9591]","[0.955, 0.94, 0.9863]"
DIPL.TA,"[0.9762, 0.9411, 0.9827]","[0.9762, 0.9411, 0.9827]","[0.2223, 0.1871, 0.2288]","[0.029, -0.0062, 0.0355]","[0.2168, 0.1816, 0.2233]","[0.1753, 0.1402, 0.1818]","[0.9788, 0.9436, 0.9853]","[0.9321, 0.8969, 0.9386]"
DISI.TA,"[0.9294, 0.9003, 0.9304]","[0.9294, 0.9003, 0.9304]","[0.2282, 0.1992, 0.3684]","[-0.0039, 0.0252, -0.1441]","[0.2434, 0.2143, 0.3836]","[0.2608, 0.2317, 0.401]","[0.9455, 0.9164, 0.9143]","[0.9385, 0.9095, 0.9213]"
DRSH.TA,"[0.9821, 0.9875, 0.9805]","[0.9821, 0.9875, 0.9805]","[0.2418, 0.2723, 0.2402]","[0.1726, 0.203, 0.171]","[None, None, None]","[0.2544, 0.2849, 0.2528]","[0.9828, 0.9867, 0.9812]","[0.8392, 0.8697, 0.8376]"
ELAL.TA,"[0.9941, 0.9126, 0.8623]","[0.9941, 0.9126, 0.8623]","[0.2889, 0.2075, 0.1572]","[0.6983, 0.6169, 0.5666]","[0.415, 0.3336, 0.2833]","[0.4658, 0.3844, 0.334]","[0.8923, 0.9737, 0.976]","[0.9435, 0.8621, 0.8118]"
EMITF-M.TA,"[0.9421, 0.991, 0.9725]","[0.9421, 0.991, 0.9725]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ESLT.TA,"[0.9992, 0.98, 0.9205]","[0.9992, 0.98, 0.9205]","[0.2609, 0.2801, 0.3396]","[0.3433, 0.3625, 0.422]","[0.2531, 0.2723, 0.3318]","[0.2915, 0.3106, 0.3702]","[0.946, 0.9268, 0.8673]","[0.9688, 0.988, 0.9525]"
ELCO.TA,"[0.995, 0.9093, 0.9122]","[0.995, 0.9093, 0.9122]","[0.2573, 0.353, 0.3501]","[0.1487, 0.0529, 0.0559]","[0.2681, 0.3638, 0.3609]","[0.3427, 0.4385, 0.4356]","[0.9694, 0.8736, 0.8766]","[0.9754, 0.8796, 0.8826]"
ECP.TA,"[0.9807, 0.9849, 0.9855]","[0.9807, 0.9849, 0.9855]","[0.2518, 0.256, 0.2567]","[-0.1646, -0.1688, -0.1694]","[0.2628, 0.267, 0.2676]","[0.5688, 0.573, 0.5736]","[0.8879, 0.8837, 0.8831]","[0.8838, 0.8796, 0.879]"
ELCRE.TA,"[0.9992, 0.9211, 0.8883]","[0.9992, 0.9211, 0.8883]","[0.1217, 0.042, 0.0091]","[0.3608, 0.2812, 0.2483]","[0.1284, 0.0488, 0.0159]","[0.1425, 0.0628, 0.03]","[0.9915, 0.9289, 0.896]","[0.538, 0.6176, 0.6505]"
ELWS.TA,"[0.9962, 0.8652, 0.6682]","[0.9962, 0.8652, 0.6682]","[0.3869, 0.2559, 0.0589]","[0.253, 0.384, 0.5809]","[0.6926, 0.5617, 0.3647]","[0.2334, 0.3644, 0.5613]","[0.9164, 0.9527, 0.7557]","[None, None, None]"
ELLO.TA,"[0.9661, 0.9776, 0.9231]","[0.9661, 0.9776, 0.9231]","[0.1349, 0.1464, 0.2457]","[-1.0, -1.0, -1.0]","[-0.0715, -0.06, 0.0392]","[-1.0, -1.0, -1.0]","[0.9458, 0.9343, 0.8351]","[0.9258, 0.9143, 0.815]"
ELSPC.TA,"[0.9788, 0.9791, 0.911]","[0.9788, 0.9791, 0.911]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENOG.TA,"[0.9838, 0.9858, 0.993]","[0.9838, 0.9858, 0.993]","[0.1714, 0.2018, 0.1946]","[0.4159, 0.4463, 0.4391]","[0.196, 0.2264, 0.2191]","[0.2132, 0.2436, 0.2364]","[0.5529, 0.5833, 0.576]","[0.8084, 0.8388, 0.8316]"
ENLV.TA,"[0.9393, 0.7494, 0.9251]","[0.9393, 0.7494, 0.9251]","[None, None, None]","[0.2031, -0.1082, 0.0676]","[None, None, None]","[0.2178, -0.0935, 0.0822]","[0.7823, 0.9065, 0.9178]","[None, None, None]"
EQTL.TA,"[0.9651, 0.9044, 0.984]","[0.9651, 0.9044, 0.984]","[0.2365, 0.367, 0.2874]","[0.7138, 0.8443, 0.7647]","[0.2386, 0.3691, 0.2895]","[0.2408, 0.3712, 0.2917]","[0.9801, 0.8894, 0.969]","[0.9246, 0.9449, 0.9755]"
EVGN.TA,"[0.9864, 0.9126, 0.8806]","[0.9864, 0.9126, 0.8806]","[0.7293, 0.8303, 0.8623]","[0.1754, 0.0743, 0.0424]","[0.9692, 0.9298, 0.8978]","[0.1678, 0.0667, 0.0347]","[0.9018, 0.9971, 0.9652]","[0.984, 0.915, 0.883]"
FTAL.TA,"[0.9704, 0.9977, 0.9937]","[0.9704, 0.9977, 0.9937]","[0.1728, 0.2047, 0.2087]","[-1.0, -1.0, -1.0]","[0.1503, 0.1822, 0.1863]","[0.0486, 0.0805, 0.0846]","[0.9888, 0.9794, 0.9753]","[0.9408, 0.9727, 0.9767]"
FLYS.TA,"[0.9775, 0.7196, 0.6955]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
FBRT.TA,"[0.992, 0.9575, 0.9028]","[0.992, 0.9575, 0.9028]","[0.3049, 0.2704, 0.2157]","[0.3415, 0.307, 0.2522]","[0.3513, 0.3168, 0.2621]","[0.3625, 0.328, 0.2733]","[0.9236, 0.9581, 0.9872]","[None, None, None]"
FRSX.TA,"[1.0, 0.863, 0.9481]","[1.0, 0.863, 0.9481]","[0.2032, 0.0662, 0.2551]","[0.0834, 0.2205, 0.0316]","[0.1893, 0.0522, 0.2411]","[0.1786, 0.3156, 0.1267]","[0.9613, 0.8243, 0.9868]","[None, None, None]"
FORTY.TA,"[0.9823, 0.9619, 0.9468]","[0.9823, 0.9619, 0.9468]","[0.2488, 0.3046, 0.2133]","[0.2504, 0.3062, 0.2149]","[0.2374, 0.2932, 0.2019]","[0.2438, 0.2996, 0.2083]","[0.9808, 0.9634, 0.9452]","[0.8132, 0.869, 0.7777]"
GCT.TA,"[0.9684, 0.9448, 0.8485]","[0.9684, 0.9448, 0.8485]","[0.2161, 0.3029, 0.3993]","[0.4547, 0.3679, 0.2716]","[0.2143, 0.3011, 0.3975]","[0.2121, 0.2989, 0.3953]","[0.9591, 0.9541, 0.8578]","[0.9045, 0.8177, 0.7213]"
GVYM.TA,"[0.9962, 0.969, 0.9123]","[0.9962, 0.969, 0.9123]","[0.2538, 0.2886, 0.3453]","[0.1336, 0.1684, 0.2251]","[0.2535, 0.2883, 0.3451]","[0.2555, 0.2902, 0.347]","[0.9848, 0.95, 0.8932]","[0.9796, 0.9449, 0.8881]"
GEFR.TA,"[0.9535, 0.9088, 0.9979]","[0.9535, 0.9088, 0.9979]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GNCL.TA,"[0.9677, 0.8075, 0.7521]","[0.9677, 0.8075, 0.7521]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GNRS.TA,"[0.9643, 0.9673, 0.8954]","[0.9643, 0.9673, 0.8954]","[0.151, 0.2195, 0.2914]","[0.1547, 0.2232, 0.295]","[0.1797, 0.2481, 0.32]","[0.162, 0.2305, 0.3024]","[0.9917, 0.9233, 0.8514]","[0.9663, 0.8978, 0.8259]"
GILT.TA,"[0.9779, 0.9984, 0.8693]","[0.9779, 0.9984, 0.8693]","[0.2639, 0.2875, 0.4166]","[0.1891, 0.2128, 0.3419]","[0.2453, 0.2689, 0.398]","[0.2583, 0.2819, 0.411]","[0.976, 0.9997, 0.8712]","[0.9779, 0.9984, 0.8693]"
GLTL.TA,"[0.9394, 0.9917, 0.8283]","[0.9394, 0.9917, 0.8283]","[0.2201, 0.2724, 0.109]","[-0.5851, -0.5328, -0.6962]","[0.1875, 0.2398, 0.0765]","[0.1134, 0.1657, 0.0023]","[0.916, 0.9683, 0.8049]","[0.6198, 0.6721, 0.5087]"
GKL.TA,"[0.9981, 0.953, 0.9886]","[0.9981, 0.953, 0.9886]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GLRS.TA,"[0.987, 0.9994, 0.9682]","[0.987, 0.9994, 0.9682]","[0.2828, 0.2951, 0.3276]","[0.2734, 0.2857, 0.3182]","[0.2866, 0.2989, 0.3314]","[0.31, 0.3223, 0.3548]","[0.7909, 0.8032, 0.8357]","[0.9389, 0.9513, 0.9837]"
GOHO.TA,"[0.9849, 0.7887, 0.904]","[0.9849, 0.7887, 0.904]","[0.2345, 0.0081, 0.1235]","[0.4119, 0.1855, 0.3008]","[0.328, 0.1016, 0.2169]","[0.8152, 0.9584, 0.9262]","[0.9854, 0.759, 0.8743]","[0.9836, 0.79, 0.9053]"
GRAC.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
G107.TA,"[0.9929, 0.8263, 0.729]","[0.9929, 0.8263, 0.729]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HGG.TA,"[0.9135, 0.9696, 0.9594]","[0.9135, 0.9696, 0.9594]","[0.0611, 0.1171, 0.1069]","[-0.0713, -0.0152, -0.0255]","[0.0534, 0.1095, 0.0993]","[0.0364, 0.0925, 0.0823]","[0.8839, 0.9399, 0.9297]","[0.9148, 0.9708, 0.9606]"
MSBI.TA,"[0.9985, 0.9827, 0.9467]","[0.9985, 0.9827, 0.9467]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HLAN.TA,"[0.9898, 0.9785, 0.9763]","[0.9898, 0.9785, 0.9763]","[0.2638, 0.2954, 0.2502]","[0.2574, 0.2891, 0.2439]","[0.2568, 0.2884, 0.2432]","[0.2617, 0.2934, 0.2482]","[0.9735, 0.9948, 0.96]","[0.7898, 0.8215, 0.7763]"
HIPR.TA,"[0.9945, 0.9699, 0.8649]","[0.9945, 0.9699, 0.8649]","[0.2951, 0.3307, 0.1655]","[0.3458, 0.3813, 0.2161]","[0.2823, 0.3178, 0.1526]","[0.3191, 0.3547, 0.1895]","[0.9912, 0.9733, 0.8615]","[0.9369, 0.9724, 0.8073]"
HIVE.TA,"[None, None, None]","[1.0, 1.0, 1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HLMS.TA,"[0.995, 0.9778, 0.9716]","[0.995, 0.9778, 0.9716]","[0.2479, 0.2307, 0.2245]","[0.3623, 0.3451, 0.3389]","[0.2396, 0.2223, 0.2162]","[0.2391, 0.2219, 0.2157]","[0.98, 0.9972, 0.9966]","[0.91, 0.8928, 0.8866]"
HMGS.TA,"[0.9935, 0.9418, 0.732]","[0.9935, 0.9418, 0.732]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HUMX.TA,"[0.9915, 0.7565, 0.514]","[0.9915, 0.7565, 0.514]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ICON.TA,"[0.9833, 0.9645, 0.9179]","[0.9833, 0.9645, 0.9179]","[0.2513, 0.3035, 0.3501]","[0.2604, 0.3126, 0.3592]","[0.2417, 0.2939, 0.3406]","[0.2398, 0.292, 0.3386]","[0.9067, 0.8545, 0.8078]","[None, None, None]"
IDNT.TA,"[0.9301, 0.8585, 0.6443]","[0.9301, 0.8585, 0.6443]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
IDMO.TA,"[0.9566, 0.9662, 0.9221]","[0.9566, 0.9662, 0.9221]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ILX.TA,"[0.9659, 0.9708, 0.9653]","[0.9659, 0.9708, 0.9653]","[0.2277, 0.2326, 0.2272]","[0.2395, 0.2444, 0.2389]","[0.2166, 0.2215, 0.216]","[0.1918, 0.1967, 0.1913]","[0.9495, 0.9544, 0.9489]","[0.6315, 0.6364, 0.6309]"
INRM.TA,"[0.9918, 0.9379, 0.965]","[0.9918, 0.9379, 0.965]","[0.1598, 0.1059, 0.203]","[0.1135, 0.0597, 0.1568]","[0.1193, 0.0655, 0.1626]","[-0.0688, -0.1227, -0.0255]","[0.8487, 0.9026, 0.8055]","[0.933, 0.8791, 0.9762]"
INCR.TA,"[0.9855, 0.9979, 0.5673]","[0.9855, 0.9979, 0.5673]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ISHI.TA,"[0.9867, 0.9352, 0.8502]","[0.9867, 0.9352, 0.8502]","[0.1628, 0.2408, 0.3258]","[0.103, 0.1811, 0.2661]","[0.1405, 0.2186, 0.3036]","[0.0387, 0.1168, 0.2017]","[0.9676, 0.9543, 0.8694]","[0.9425, 0.9794, 0.8944]"
ISRG.TA,"[0.9934, 0.9649, 0.9319]","[0.9934, 0.9649, 0.9319]","[0.1593, 0.1308, 0.2339]","[-0.1772, -0.2057, -0.1025]","[0.1563, 0.1279, 0.231]","[-0.0261, -0.0545, 0.0486]","[0.8665, 0.8949, 0.7918]","[0.6694, 0.6979, 0.5947]"
ISRO.TA,"[0.997, 0.9838, 0.9243]","[0.997, 0.9838, 0.9243]","[0.1766, 0.1958, 0.1039]","[0.116, 0.1351, 0.0433]","[0.1122, 0.1313, 0.0395]","[0.1238, 0.1429, 0.0511]","[0.9895, 0.9704, 0.9378]","[0.992, 0.9728, 0.9353]"
