,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
NXFR.TA,"[0.2837, 0.2397, 0.255]","[-1.0, -1.0, -1.0]","[0.6447, 0.6888, 0.6734]","[-1.0, -1.0, -1.0]","[0.2609, 0.2168, 0.2322]","[0.6315, 0.5874, 0.6028]","[-0.326, -0.37, -0.3546]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NICE.TA,"[0.0039, 0.103, 0.092]","[0.0042, 0.1033, 0.0923]","[-1.0, -1.0, -1.0]","[0.0039, 0.103, 0.0921]","[0.0011, 0.1001, 0.0892]","[0.0018, 0.1008, 0.0899]","[0.001, 0.1001, 0.0891]","[0.0041, 0.1032, 0.0922]","[0.0045, 0.1035, 0.0926]","[0.0081, -0.091, -0.0801]","[0.0191, -0.08, -0.0691]","[0.0019, 0.101, 0.0901]","[0.001, 0.1001, 0.0891]","[None, None, None]","[0.001, 0.1001, 0.0891]"
NISA.TA,"[0.0009, -0.0368, 0.1387]","[0.0006, -0.0371, 0.1384]","[0.2764, 0.2387, 0.4141]","[0.0008, -0.0369, 0.1385]","[0.001, -0.0367, 0.1387]","[0.0006, -0.0371, 0.1384]","[0.0007, -0.037, 0.1384]","[0.0006, -0.0371, 0.1383]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0006, -0.0371, 0.1384]","[None, None, None]","[None, None, None]"
NOFR.TA,"[0.3187, 0.3718, 0.3948]","[-0.0149, 0.0383, 0.0612]","[None, None, None]","[0.991, 0.9558, 0.9329]","[-0.0479, 0.0053, 0.0282]","[-1.0, -1.0, -1.0]","[0.9998, 0.9471, 0.9241]","[0.4728, 0.4197, 0.3967]","[None, None, None]","[None, None, None]","[None, None, None]","[1.0, 0.9468, 0.9238]","[-0.6173, -0.5641, -0.5411]","[None, None, None]","[None, None, None]"
OPCE.TA,"[0.7888, 0.8643, 0.887]","[-0.5069, -0.5823, -0.6051]","[None, None, None]","[0.699, 0.7744, 0.7972]","[0.5039, 0.4285, 0.4057]","[0.3847, 0.3093, 0.2865]","[0.7009, 0.7763, 0.7991]","[None, None, None]","[0.0412, -0.0342, -0.057]","[0.0147, 0.0901, 0.1129]","[0.0752, 0.1506, 0.1734]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
OPK.TA,"[0.9598, 0.7465, 0.9832]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.9926, 0.7941, 0.9693]","[0.904, 0.6907, 0.9273]","[0.9544, 0.8323, 0.9311]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9999, 0.7868, 0.9766]"
ORAD.TA,"[0.0014, -0.0102, 0.039]","[0.0013, -0.0102, 0.039]","[0.75, 0.7616, 0.7124]","[0.0014, -0.0102, 0.039]","[0.0009, -0.0107, 0.0385]","[0.001, -0.0106, 0.0386]","[0.001, -0.0105, 0.0387]","[0.0013, -0.0103, 0.0389]","[0.1531, 0.1415, 0.1907]","[-0.0015, 0.0101, -0.0391]","[0.0016, 0.0132, -0.036]","[0.0011, -0.0105, 0.0387]","[None, None, None]","[None, None, None]","[None, None, None]"
ORMP.TA,"[0.6619, 0.513, 0.3144]","[0.5453, 0.6942, 0.8927]","[0.6316, 0.7805, 0.979]","[None, None, None]","[0.4098, 0.2609, 0.0623]","[-1.0, -1.0, -1.0]","[0.3161, 0.1672, -0.0314]","[0.5593, 0.7082, 0.9067]","[None, None, None]","[-1.0, -1.0, -1.0]","[-0.1494, -0.2984, -0.4969]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9327, 0.9184, 0.7198]"
ORBI.TA,"[0.9515, 0.9594, 0.9362]","[0.4218, 0.4297, 0.5341]","[None, None, None]","[0.8593, 0.8671, 0.9716]","[0.746, 0.7539, 0.8583]","[0.781, 0.7889, 0.8933]","[0.7806, 0.7884, 0.8929]","[0.7652, 0.773, 0.8775]","[None, None, None]","[0.5232, 0.531, 0.6355]","[-0.4145, -0.4066, -0.3022]","[0.2637, 0.2715, 0.376]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.4417, 0.4338, 0.3294]"
ORIN.TA,"[0.5727, 0.5479, 0.5617]","[0.3088, 0.3336, 0.3198]","[None, None, None]","[None, None, None]","[0.8, 0.7752, 0.789]","[0.8303, 0.8552, 0.8413]","[0.192, 0.2168, 0.203]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.9391, -0.964, -0.9502]","[None, None, None]","[None, None, None]"
ORON.TA,"[0.001, 0.0371, 0.0454]","[0.0041, 0.0402, 0.0485]","[0.3659, 0.402, 0.4103]","[0.0075, 0.0436, 0.0519]","[0.0011, 0.0372, 0.0455]","[0.0053, 0.0414, 0.0497]","[0.001, 0.0371, 0.0454]","[0.0024, 0.0386, 0.0468]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.001, 0.0371, 0.0454]","[None, None, None]"
OVRS.TA,"[0.62, 0.5994, 0.6167]","[0.164, 0.1434, 0.1606]","[-1.0, -1.0, -1.0]","[0.5838, 0.5633, 0.5805]","[0.9387, 0.9182, 0.9354]","[0.7938, 0.8144, 0.7972]","[0.9707, 0.9502, 0.9674]","[None, None, None]","[0.8146, 0.7941, 0.8113]","[0.2409, 0.2615, 0.2442]","[-1.0, -1.0, -1.0]","[0.8199, 0.8405, 0.8232]","[0.9786, 0.9992, 0.9819]","[-1.0, -1.0, -1.0]","[None, None, None]"
PLRM.TA,"[0.0013, -0.0437, 0.0827]","[0.0013, -0.0437, 0.0826]","[0.7314, 0.7764, 0.65]","[0.0013, -0.0437, 0.0827]","[0.001, -0.044, 0.0824]","[None, None, None]","[0.0012, -0.0438, 0.0825]","[0.0013, -0.0437, 0.0827]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.001, -0.044, 0.0824]","[None, None, None]"
PAZ.TA,"[0.5616, 0.6958, 0.7105]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.5033, 0.6375, 0.6522]","[0.885, 0.9808, 0.9661]","[0.8615, 0.9958, 0.9896]","[0.9455, 0.9203, 0.9056]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PCBT.TA,"[0.0611, 0.1054, 0.0356]","[-0.005, 0.0393, -0.0306]","[0.0, 0.0443, -0.0255]","[0.0409, 0.0852, 0.0154]","[0.136, 0.1803, 0.1105]","[0.1034, 0.1477, 0.0779]","[0.1561, 0.2004, 0.1305]","[0.0267, 0.0709, 0.0011]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PERI.TA,"[0.6945, 0.8737, 0.8283]","[0.3336, 0.5128, 0.4675]","[0.4286, 0.6077, 0.5624]","[None, None, None]","[0.3674, 0.5465, 0.5012]","[0.4828, 0.6619, 0.6166]","[0.2992, 0.4783, 0.433]","[0.3205, 0.4997, 0.4544]","[-0.0343, 0.1448, 0.0995]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9344, 0.8865, 0.9318]"
PTX.TA,"[0.5308, 0.5446, 0.704]","[None, None, None]","[None, None, None]","[None, None, None]","[0.001, -0.0128, -0.1721]","[0.0009, -0.0128, -0.1722]","[0.0012, -0.0126, -0.172]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0055, -0.0083, -0.1677]","[0.0009, -0.0128, -0.1722]","[None, None, None]","[None, None, None]"
PHOE.TA,"[None, None, None]","[0.004, -0.0115, -0.0655]","[None, None, None]","[None, None, None]","[0.001, -0.0144, -0.0684]","[0.001, -0.0145, -0.0684]","[0.0047, -0.0107, -0.0647]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PLSN.TA,"[0.7025, 0.7616, 0.6663]","[0.9559, 0.8968, 0.9922]","[0.9354, 0.8763, 0.9716]","[0.7189, 0.778, 0.6827]","[0.001, -0.0581, 0.0372]","[0.001, -0.0581, 0.0373]","[0.001, -0.0581, 0.0372]","[0.8564, 0.7973, 0.8926]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0012, -0.0579, 0.0375]","[0.0007, -0.0584, 0.0369]","[1.0, 0.9409, 0.9637]","[None, None, None]"
PLCR.TA,"[0.0011, 0.0309, 0.0266]","[0.0005, -0.0292, -0.0249]","[-0.1695, -0.1397, -0.144]","[0.001, 0.0308, 0.0265]","[0.0011, 0.0308, 0.0265]","[0.0011, 0.0309, 0.0266]","[0.001, 0.0308, 0.0265]","[0.0003, 0.0301, 0.0258]","[None, None, None]","[-0.0002, 0.0296, 0.0253]","[0.0007, -0.0291, -0.0248]","[0.0034, 0.0332, 0.0289]","[0.0035, 0.0333, 0.029]","[-0.001, -0.0308, -0.0265]","[None, None, None]"
PPIL.TA,"[0.6401, 0.6406, 0.6663]","[0.903, 0.9025, 0.8769]","[0.9412, 0.9417, 0.9673]","[0.6994, 0.6999, 0.7255]","[0.9789, 0.9794, 0.995]","[0.1166, 0.1171, 0.1427]","[0.9959, 0.9954, 0.9698]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.0, 0.9995, 0.9739]"
PLUR.TA,"[0.0, -0.0316, 0.0239]","[0.5873, 0.5557, 0.6112]","[0.6489, 0.6173, 0.6728]","[0.9545, 0.9861, 0.9306]","[0.8186, 0.8501, 0.7947]","[0.9566, 0.9882, 0.9327]","[0.8388, 0.8072, 0.8627]","[0.5952, 0.5637, 0.6191]","[0.5497, 0.5182, 0.5736]","[0.6026, 0.6341, 0.5786]","[0.3401, 0.3717, 0.3162]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8857, 0.8542, 0.9096]"
POLI.TA,"[0.0002, -0.0651, -0.0567]","[-0.024, 0.0413, 0.0329]","[None, None, None]","[None, None, None]","[0.0, -0.0652, -0.0568]","[0.0, -0.0652, -0.0568]","[0.0037, -0.0615, -0.0532]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
POLP.TA,"[0.0013, 0.0219, -0.0426]","[0.0011, 0.0217, -0.0428]","[None, None, None]","[0.0013, 0.0218, -0.0426]","[0.001, 0.0216, -0.0428]","[0.001, 0.0216, -0.0429]","[0.001, 0.0216, -0.0429]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PRSK.TA,"[0.0008, -0.0793, -0.2576]","[0.0014, -0.0787, -0.257]","[None, None, None]","[0.0009, -0.0792, -0.2575]","[0.0012, -0.079, -0.2573]","[0.0024, -0.0777, -0.256]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PRTC.TA,"[0.014, 0.0857, 0.0499]","[0.0034, 0.075, 0.0393]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.0014, 0.0731, 0.0373]","[0.0023, 0.074, 0.0382]","[0.0012, 0.0729, 0.0371]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
