,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Long-Term Debt,Dividends Paid,Number of Outstanding Shares,Short-Term Debt
ISHI.TA,"[0.012, 0.0275, 0.0809]","[0.0126, 0.0281, 0.0814]","[None, None, None]","[0.0119, 0.0274, 0.0807]","[0.0125, 0.028, 0.0813]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0093, 0.0248, 0.0782]","[0.0094, 0.0248, 0.0782]","[0.0093, 0.0248, 0.0782]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ISRO.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
JBNK.TA,"[0.3487, 0.4192, 0.5083]","[0.5118, 0.5822, 0.6713]","[0.5178, 0.5883, 0.6773]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9939, 0.9357, 0.8466]","[0.9947, 0.9348, 0.8458]","[0.9688, 0.9607, 0.8717]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KAFR.TA,"[0.0053, 0.0258, -0.114]","[0.0051, 0.0256, -0.1142]","[0.5516, 0.5311, 0.6709]","[0.0053, 0.0258, -0.114]","[0.0052, 0.0257, -0.1141]","[None, None, None]","[-0.0032, -0.0237, 0.1161]","[0.0015, -0.019, 0.1208]","[0.0049, 0.0254, -0.1143]","[0.0049, 0.0254, -0.1144]","[0.005, 0.0255, -0.1142]","[0.0045, 0.025, -0.1147]","[0.0053, 0.0258, -0.114]","[None, None, None]","[0.0045, 0.025, -0.1148]"
KMDA.TA,"[0.6689, 0.6363, 0.5401]","[0.8762, 0.8435, 0.7473]","[0.8929, 0.8603, 0.7641]","[0.7055, 0.6728, 0.5766]","[0.8189, 0.7863, 0.6901]","[-1.0, -1.0, -1.0]","[0.6691, 0.6365, 0.5403]","[0.9956, 0.9629, 0.8667]","[0.9577, 0.925, 0.8288]","[0.8719, 0.8393, 0.7431]","[0.9678, 0.9352, 0.839]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KRDI.TA,"[-1.0, -1.0, -1.0]","[0.6983, 0.7591, 0.555]","[None, None, None]","[-0.7111, -0.772, -0.5678]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[0.7429, 0.682, 0.8862]","[0.9304, 0.8696, 0.9263]","[0.7343, 0.6735, 0.8776]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KEN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8146, 0.8208, 0.6963]","[None, None, None]","[None, None, None]"
KRUR.TA,"[0.0159, 0.0476, -0.0008]","[0.0159, 0.0477, -0.0008]","[None, None, None]","[0.0159, 0.0476, -0.0008]","[0.0169, 0.0487, 0.0002]","[None, None, None]","[-0.0136, -0.0453, 0.0031]","[-0.014, -0.0458, 0.0027]","[0.0156, 0.0473, -0.0011]","[0.0178, 0.0495, 0.0011]","[0.0146, 0.0464, -0.002]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LAHAV.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LSCO.TA,"[0.6537, 0.5872, 0.7391]","[0.1582, 0.0917, 0.2436]","[0.2927, 0.2262, 0.3781]","[0.6864, 0.6199, 0.7718]","[0.9099, 0.8435, 0.9953]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9828, 0.9164, 0.9318]","[0.9734, 0.9069, 0.9412]","[0.9963, 0.9373, 0.9109]","[0.5988, 0.6653, 0.5134]","[0.9801, 0.9535, 0.8946]","[None, None, None]","[0.8802, 0.9466, 0.7948]"
LEVI.TA,"[0.0771, 0.0401, 0.3553]","[0.4237, 0.3867, 0.7018]","[0.5815, 0.6185, 0.3034]","[0.9584, 0.9953, 0.6802]","[0.0878, 0.0508, 0.3659]","[None, None, None]","[0.9689, 0.9319, 0.7529]","[-0.2118, -0.1748, -0.4899]","[0.9549, 0.9179, 0.767]","[0.9871, 0.976, 0.7089]","[0.6153, 0.5784, 0.8935]","[0.2841, 0.3211, 0.006]","[0.4655, 0.4285, 0.7436]","[None, None, None]","[0.4464, 0.4834, 0.1683]"
LCTX.TA,"[-1.0, -0.8603, -0.64]","[-0.643, -0.9991, -1.0]","[-0.7815, -1.0, -1.0]","[-1.0, -0.7349, -0.5146]","[-1.0, -1.0, -1.0]","[0.6188, 0.2627, 0.0424]","[0.9072, 0.7367, 0.5164]","[0.7893, 0.8546, 0.6343]","[0.9344, 0.7095, 0.4892]","[0.988, 0.6559, 0.4356]","[0.9267, 0.7172, 0.4969]","[None, None, None]","[None, None, None]","[0.9812, 0.6628, 0.4425]","[None, None, None]"
LPSN.TA,"[0.0133, -0.0844, 0.0113]","[-0.0066, 0.091, -0.0046]","[-0.8009, -0.8986, -0.8029]","[None, None, None]","[None, None, None]","[0.0103, -0.0873, 0.0083]","[-0.0081, 0.0895, -0.0062]","[0.0376, -0.06, 0.0356]","[0.0113, -0.0863, 0.0093]","[0.0113, -0.0864, 0.0093]","[0.0114, -0.0862, 0.0095]","[None, None, None]","[None, None, None]","[0.9991, 0.9033, 0.999]","[None, None, None]"
LUZN.TA,"[None, None, None]","[0.2201, 0.3874, 0.6901]","[0.2203, 0.3877, 0.6903]","[None, None, None]","[0.6385, 0.8059, 0.8915]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9864, 0.8462, 0.5436]","[0.3848, 0.2174, -0.0853]","[0.9899, 0.8226, 0.5199]","[None, None, None]","[None, None, None]","[None, None, None]","[0.843, 0.9897, 0.687]"
MLTM.TA,"[0.592, 0.59, 0.7781]","[0.54, 0.538, 0.7261]","[0.1284, 0.1305, -0.0576]","[0.6128, 0.6108, 0.7989]","[0.5209, 0.5189, 0.707]","[None, None, None]","[0.8249, 0.827, 0.6389]","[-0.1912, -0.1891, -0.3772]","[0.8932, 0.8911, 0.9207]","[0.8458, 0.8479, 0.6598]","[0.9853, 0.9873, 0.7992]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
MTRX.TA,"[0.6211, 0.6053, 0.6268]","[0.5249, 0.5091, 0.5306]","[0.5314, 0.5156, 0.5371]","[0.59, 0.5742, 0.5957]","[0.5988, 0.5831, 0.6045]","[None, None, None]","[0.8633, 0.8791, 0.8576]","[-0.0125, 0.0033, -0.0182]","[0.9522, 0.9364, 0.9579]","[0.1881, 0.1724, 0.1938]","[0.9279, 0.9121, 0.9336]","[None, None, None]","[0.663, 0.6473, 0.6687]","[None, None, None]","[None, None, None]"
MGOR.TA,"[None, None, None]","[0.8395, 0.861, 0.928]","[None, None, None]","[None, None, None]","[0.6948, 0.7163, 0.7833]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9141, 0.9356, 0.9974]","[0.8878, 0.8663, 0.7993]","[0.9878, 0.9907, 0.9237]","[None, None, None]","[0.3295, 0.3081, 0.241]","[None, None, None]","[None, None, None]"
MLSR.TA,"[0.144, 0.1049, -0.1455]","[-0.3904, -0.4295, -0.6799]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.5055, 0.4663, 0.216]","[0.1235, 0.0844, -0.1659]","[0.787, 0.8261, 0.9236]","[0.3738, 0.413, 0.6633]","[0.9848, 0.9456, 0.6953]","[0.957, 0.9179, 0.6676]","[-0.9919, -0.9527, -0.7024]","[None, None, None]","[0.0765, 0.0373, -0.213]"
MNIN.TA,"[0.6399, 0.6026, 0.7277]","[0.2248, 0.1876, 0.3126]","[None, None, None]","[0.6078, 0.5706, 0.6956]","[0.5055, 0.4682, 0.5932]","[None, None, None]","[0.8925, 0.9298, 0.8048]","[0.3795, 0.4168, 0.2918]","[0.9702, 0.9925, 0.8825]","[0.9239, 0.9611, 0.8361]","[0.9637, 0.9265, 0.9485]","[0.9241, 0.9614, 0.8363]","[-1.0, -0.9695, -1.0]","[None, None, None]","[0.7246, 0.7619, 0.6369]"
MMHD.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]"
MCRNT.TA,"[0.2449, 0.1047, 0.282]","[0.8854, 0.7453, 0.9226]","[None, None, None]","[-0.38, -0.5202, -0.3428]","[0.8654, 0.7252, 0.9025]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.2192, 0.3593, 0.182]","[0.8155, 0.6754, 0.8527]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MGDL.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MLD.TA,"[0.6872, -0.1724, 0.2311]","[-1.0, -1.0, -1.0]","[-0.6207, -1.0, -1.0]","[0.5852, -0.0704, 0.3331]","[-1.0, -1.0, -1.0]","[0.25, 0.2648, 0.6682]","[-1.0, -1.0, -1.0]","[0.6444, -0.1296, 0.2739]","[1.0, -0.4852, -0.0817]","[0.6246, -0.8606, -0.4571]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]"
MZTF.TA,"[None, None, None]","[0.0026, -0.058, -0.1763]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0663, 0.0056, -0.1126]","[0.0811, 0.0204, -0.0978]","[-0.0051, -0.0658, -0.184]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MYDS.TA,"[None, None, None]","[0.0041, 0.0089, 0.2588]","[-1.0, -1.0, -1.0]","[None, None, None]","[-0.0073, -0.0122, -0.262]","[0.0112, 0.016, 0.2659]","[-0.0071, -0.0119, -0.2618]","[0.0131, 0.0179, 0.2678]","[-0.0091, -0.0139, -0.2637]","[-0.009, -0.0139, -0.2637]","[-0.0087, -0.0136, -0.2634]","[-0.0087, -0.0136, -0.2634]","[None, None, None]","[None, None, None]","[-0.0092, -0.0141, -0.2639]"
NFTA.TA,"[0.6531, 0.6648, 0.7481]","[0.0222, 0.0105, -0.0727]","[None, None, None]","[0.6644, 0.6761, 0.7594]","[0.9479, 0.9596, 0.9572]","[None, None, None]","[None, None, None]","[-0.8341, -0.8458, -0.9291]","[0.953, 0.9647, 0.952]","[0.7871, 0.7988, 0.8821]","[0.8921, 0.8804, 0.7971]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]"
NVPT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NTO.TA,"[0.7178, 0.7533, 0.793]","[0.8313, 0.8669, 0.9065]","[0.7231, 0.6876, 0.6479]","[0.7244, 0.76, 0.7996]","[0.7543, 0.7898, 0.8295]","[None, None, None]","[-0.0353, -0.0708, -0.1105]","[0.3512, 0.3156, 0.276]","[0.9492, 0.9136, 0.874]","[0.8178, 0.7823, 0.7426]","[0.9889, 0.9755, 0.9359]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9248, 0.9603, 1.0]"
NTML.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.992, 0.9679, 0.9399]","[0.3768, 0.3528, 0.3248]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NXTM.TA,"[-0.026, 0.0017, -0.3633]","[-0.0259, 0.0018, -0.3632]","[None, None, None]","[-0.026, 0.0017, -0.3633]","[-0.026, 0.0017, -0.3633]","[None, None, None]","[0.0282, 0.0006, 0.3655]","[-0.0248, 0.0028, -0.3621]","[-0.0263, 0.0014, -0.3636]","[-0.0266, 0.0011, -0.3639]","[-0.0257, 0.0019, -0.363]","[-0.0263, 0.0013, -0.3636]","[-0.0264, 0.0012, -0.3637]","[0.9726, 0.9998, 0.6353]","[None, None, None]"
OPK.TA,"[-1.0, -1.0, -1.0]","[0.7362, 0.9987, 0.7735]","[0.7758, 0.9591, 0.8131]","[-1.0, -1.0, -1.0]","[-0.6049, -0.3397, -0.5676]","[-1.0, -1.0, -1.0]","[0.392, 0.1268, 0.3547]","[0.838, 0.8968, 0.8753]","[0.9829, 0.752, 0.9798]","[0.9536, 0.7813, 0.9909]","[0.9964, 0.7385, 0.9663]","[0.0822, 0.3473, 0.1195]","[None, None, None]","[0.9741, 0.709, 0.9368]","[0.081, 0.3461, 0.1183]"
ORMP.TA,"[0.6501, 0.9853, 0.3451]","[0.6624, 0.3272, -0.3423]","[0.7415, 0.4063, -0.2632]","[None, None, None]","[0.669, 0.3339, -0.3357]","[0.768, 0.4328, -0.2367]","[-0.7442, -0.4091, 0.2605]","[0.9195, 0.7453, 0.0758]","[0.9813, 0.6461, -0.0235]","[-1.0, -1.0, -1.0]","[0.9781, 0.6429, -0.0266]","[0.927, 0.5918, -0.0777]","[None, None, None]","[0.9326, 0.7322, 0.0627]","[None, None, None]"
ORBI.TA,"[0.5734, 0.6948, 0.8728]","[0.3822, 0.5036, 0.6816]","[None, None, None]","[0.4906, 0.612, 0.79]","[0.2819, 0.4033, 0.5813]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.8941, 0.7727, 0.5947]","[0.919, 0.9596, 0.7816]","[0.8181, 0.9395, 0.8825]","[0.9535, 0.9251, 0.7471]","[-0.0098, -0.1312, -0.3092]","[None, None, None]","[None, None, None]","[None, None, None]"
ORIN.TA,"[-0.0017, 0.0004, -0.1442]","[-0.0023, -0.0001, -0.1447]","[0.9632, 0.961, 0.8944]","[-0.0017, 0.0005, -0.1441]","[-0.0015, 0.0006, -0.1439]","[None, None, None]","[0.007, 0.0049, 0.1495]","[-0.0153, -0.0174, 0.1271]","[-0.0019, 0.0002, -0.1443]","[-0.0014, 0.0007, -0.1438]","[-0.0014, 0.0007, -0.1439]","[None, None, None]","[None, None, None]","[0.9848, 0.987, 0.8424]","[None, None, None]"
ORA.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[0.895, 0.8572, 0.9415]","[0.9991, 0.7513, 0.8356]","[0.7451, 0.9929, 0.9086]","[0.9773, 0.7295, 0.8139]","[None, None, None]","[0.9875, 0.7648, 0.8491]","[0.9473, 0.8049, 0.8892]"
OVRS.TA,"[0.0075, -0.0437, -0.2216]","[0.0072, -0.044, -0.2218]","[0.9128, 0.964, 0.8582]","[0.0074, -0.0438, -0.2217]","[None, None, None]","[None, None, None]","[-0.0048, 0.0464, 0.2242]","[-0.0049, 0.0463, 0.2242]","[0.0072, -0.044, -0.2219]","[0.0071, -0.0441, -0.222]","[0.0071, -0.0441, -0.2219]","[0.0073, -0.0438, -0.2217]","[None, None, None]","[None, None, None]","[0.0069, -0.0443, -0.2222]"
PLRM.TA,"[0.702, 0.7169, 0.742]","[0.6828, 0.6977, 0.7229]","[0.6865, 0.7014, 0.7266]","[0.6721, 0.6871, 0.7122]","[0.6565, 0.6714, 0.6966]","[None, None, None]","[0.2933, 0.2784, 0.2532]","[0.0189, 0.0338, 0.059]","[0.9762, 0.9911, 0.9837]","[0.3895, 0.3746, 0.3494]","[0.9549, 0.9698, 0.995]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PTNR.TA,"[0.0103, 0.0611, -0.1029]","[-0.0097, -0.0605, 0.1035]","[-1.0, -1.0, -1.0]","[0.0106, 0.0613, -0.1026]","[0.0111, 0.0619, -0.1021]","[0.0101, 0.0609, -0.1031]","[-0.0052, -0.056, 0.108]","[0.0004, -0.0503, 0.1136]","[0.0073, 0.0581, -0.1059]","[0.0073, 0.0581, -0.1059]","[0.0073, 0.0581, -0.1059]","[0.0073, 0.058, -0.1059]","[None, None, None]","[None, None, None]","[0.0073, 0.0581, -0.1059]"
PAYT.TA,"[0.5658, 0.5613, 0.5801]","[0.5308, 0.5264, 0.5451]","[0.5285, 0.524, 0.5427]","[0.5646, 0.5601, 0.5788]","[0.4779, 0.4734, 0.4921]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.8866, 0.8911, 0.8723]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PAZ.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[0.9164, 0.9629, 0.9766]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[0.95, 0.9965, 0.9898]","[0.8824, 0.8359, 0.8222]","[0.8284, 0.8749, 0.8886]","[None, None, None]","[0.992, 0.9455, 0.9319]","[None, None, None]","[None, None, None]"
PHOE.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-0.4437, -0.3654, -0.1076]","[-1.0, -1.0, -1.0]","[0.3152, 0.2369, -0.0209]","[None, None, None]","[None, None, None]","[None, None, None]"
PLSN.TA,"[0.0083, -0.0617, -0.017]","[0.0083, -0.0618, -0.017]","[0.7039, 0.7739, 0.7292]","[0.0083, -0.0617, -0.017]","[0.0082, -0.0618, -0.0171]","[None, None, None]","[-0.0056, 0.0644, 0.0197]","[-0.0057, 0.0643, 0.0196]","[0.008, -0.062, -0.0173]","[0.0076, -0.0624, -0.0177]","[0.008, -0.0621, -0.0173]","[0.0079, -0.0621, -0.0174]","[0.493, 0.5631, 0.5183]","[None, None, None]","[None, None, None]"
PLUR.TA,"[0.9922, 0.9673, 0.6488]","[0.6206, 0.6456, 0.9641]","[0.7578, 0.7827, 0.8988]","[-1.0, -1.0, -1.0]","[0.6016, 0.6265, 0.9451]","[0.6924, 0.7173, 0.9641]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.8545, -0.8794, -1.0]","[0.3547, 0.3796, 0.6982]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.4356, 0.4106, 0.0921]","[None, None, None]"
POLI.TA,"[-0.0055, -0.0728, -0.1897]","[0.0163, -0.051, -0.1678]","[0.2086, 0.2759, 0.3928]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.0106, -0.0779, -0.1947]","[-0.0108, -0.0781, -0.195]","[-0.0072, -0.0745, -0.1913]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PRTC.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[0.858, 0.7581, 0.603]","[-1.0, -1.0, -1.0]","[0.9746, 0.9256, 0.7705]","[0.9123, 0.8125, 0.6574]","[0.9468, 0.9533, 0.7982]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]"
RMLI.TA,"[0.0117, 0.0468, 0.046]","[0.0115, 0.0465, 0.0457]","[None, None, None]","[0.0117, 0.0467, 0.0459]","[0.0115, 0.0465, 0.0457]","[0.0103, 0.0453, 0.0445]","[-0.0045, -0.0396, -0.0388]","[0.0123, 0.0473, 0.0465]","[0.0088, 0.0439, 0.0431]","[0.0083, 0.0434, 0.0425]","[0.009, 0.044, 0.0432]","[None, None, None]","[0.0107, 0.0458, 0.045]","[None, None, None]","[0.0079, 0.043, 0.0422]"
RAVD.TA,"[0.3058, 0.3011, 0.1752]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.6391, 0.6437, 0.7697]","[-0.3236, -0.3282, -0.4541]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9255, 0.9209, 0.795]","[0.7068, 0.7115, 0.8374]","[0.9507, 0.9461, 0.8202]","[0.7541, 0.7588, 0.8847]","[None, None, None]","[None, None, None]","[0.8179, 0.8133, 0.6874]"
RVL.TA,"[0.9102, 0.8587, 0.655]","[0.9887, 0.9372, 0.7335]","[0.9696, 0.9181, 0.7144]","[0.9607, 0.9092, 0.7055]","[0.671, 0.7225, 0.9262]","[None, None, None]","[0.7571, 0.7056, 0.5019]","[0.6567, 0.6052, 0.4015]","[0.9835, 0.9651, 0.7614]","[0.6607, 0.6093, 0.4056]","[0.9835, 0.9651, 0.7614]","[-0.2208, -0.1693, 0.0344]","[None, None, None]","[0.9675, 0.9811, 0.7774]","[0.8026, 0.7511, 0.5475]"
RIT1.TA,"[0.0049, 0.0121, -0.1095]","[None, None, None]","[-0.0836, -0.0908, 0.0308]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0045, 0.0117, -0.1099]","[0.0046, 0.0118, -0.1098]","[0.0046, 0.0117, -0.1098]","[None, None, None]","[None, None, None]","[0.0045, 0.0117, -0.1099]","[None, None, None]"
REKA.TA,"[0.6367, 0.6346, 0.6228]","[-1.0, -1.0, -1.0]","[0.7932, 0.791, 0.7793]","[0.718, 0.7158, 0.7041]","[0.7746, 0.7724, 0.7607]","[None, None, None]","[0.5246, 0.5224, 0.5106]","[-1.0, -1.0, -1.0]","[0.8679, 0.8657, 0.854]","[0.8418, 0.8396, 0.8279]","[0.9978, 0.9957, 0.9839]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RIMO.TA,"[0.0063, 0.0139, -0.0926]","[0.0062, 0.0138, -0.0926]","[0.7045, 0.6969, 0.8034]","[0.0063, 0.0139, -0.0926]","[0.0063, 0.0139, -0.0926]","[None, None, None]","[-0.0047, -0.0124, 0.0941]","[-0.0032, -0.0108, 0.0957]","[0.0059, 0.0135, -0.0929]","[0.0054, 0.013, -0.0935]","[0.0059, 0.0135, -0.0929]","[None, None, None]","[0.0061, 0.0137, -0.0927]","[0.0059, 0.0135, -0.0929]","[None, None, None]"
SPNS.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -0.9988, -1.0]","[0.6947, 0.6996, 0.6805]","[0.6436, 0.6387, 0.6578]","[0.4758, 0.4807, 0.4616]","[0.993, 0.998, 0.9789]","[0.993, 0.9979, 0.9788]","[0.9818, 0.9867, 0.9676]","[0.993, 0.9979, 0.9788]"
SCOP.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.5331, 0.5826, 0.7182]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SHAN.TA,"[0.0014, -0.039, -0.0375]","[-0.0005, -0.0409, -0.0394]","[None, None, None]","[0.0013, -0.0392, -0.0376]","[0.0011, -0.0394, -0.0378]","[None, None, None]","[0.0047, 0.0452, 0.0436]","[0.002, -0.0385, -0.0369]","[-0.0013, -0.0418, -0.0402]","[-0.0011, -0.0416, -0.04]","[-0.0013, -0.0418, -0.0403]","[None, None, None]","[None, None, None]","[0.9892, 0.9703, 0.9718]","[None, None, None]"
SPEN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SKBN.TA,"[0.6308, 0.6623, 0.7411]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.4809, 0.5124, 0.5911]","[0.6023, 0.5708, 0.492]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9675, 0.9991, 0.9222]","[0.9721, 0.9963, 0.9176]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.6885, 0.72, 0.7987]","[None, None, None]","[None, None, None]"
SKLN.TA,"[0.7735, 0.6877, 0.9927]","[0.8705, 0.9562, 0.6513]","[0.8045, 0.8903, 0.5854]","[None, None, None]","[0.8273, 0.7415, 0.9536]","[0.647, 0.7327, 0.4278]","[0.2605, 0.3462, 0.0413]","[0.6748, 0.7606, 0.4557]","[0.9951, 0.9093, 0.7858]","[0.9708, 0.9435, 0.7516]","[0.9654, 0.8796, 0.8155]","[0.1485, 0.0628, 0.3677]","[None, None, None]","[None, None, None]","[0.4542, 0.54, 0.2351]"
SMT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SNCM.TA,"[0.0146, -0.0256, -0.094]","[0.0134, -0.0268, -0.0952]","[-0.2613, -0.2211, -0.1527]","[0.0143, -0.0259, -0.0943]","[0.014, -0.0262, -0.0946]","[None, None, None]","[0.0107, -0.0295, -0.0978]","[-0.0131, 0.0271, 0.0955]","[0.0124, -0.0278, -0.0962]","[0.0127, -0.0274, -0.0958]","[0.0123, -0.0279, -0.0963]","[0.0123, -0.0279, -0.0962]","[None, None, None]","[0.9887, 0.9711, 0.9027]","[None, None, None]"
TMRP.TA,"[0.0545, 0.2664, 0.5081]","[-0.5866, -0.3747, -0.1331]","[0.3096, 0.5216, 0.7632]","[None, None, None]","[None, None, None]","[None, None, None]","[0.5587, 0.3468, 0.1052]","[None, None, None]","[0.9562, 0.7443, 0.5026]","[0.967, 0.8211, 0.5795]","[0.8499, 0.9381, 0.6965]","[0.9839, 0.8042, 0.5625]","[None, None, None]","[0.979, 0.8091, 0.5674]","[None, None, None]"
TFRLF.TA,"[-0.0099, 0.0042, -0.6935]","[-0.0095, 0.0046, -0.6931]","[0.2018, 0.1878, 0.8854]","[-0.0098, 0.0042, -0.6934]","[-0.0095, 0.0045, -0.6931]","[None, None, None]","[0.0125, -0.0015, 0.6961]","[-0.0104, 0.0036, -0.694]","[-0.0103, 0.0038, -0.6938]","[-0.0103, 0.0038, -0.6938]","[-0.0103, 0.0038, -0.6938]","[-0.0102, 0.0038, -0.6938]","[None, None, None]","[None, None, None]","[-0.0104, 0.0037, -0.6939]"
