,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Earnings Per Share (EPS),Dividends Paid,Number of Outstanding Shares,Short-Term Debt,Long-Term Debt
GNCL.TA,"[0.1472, 0.274, 0.522]","[-1.0, -1.0, -1.0]","[0.2766, 0.4034, 0.6513]","[None, None, None]","[0.3341, 0.2073, -0.0407]","[0.0475, -0.0793, -0.3273]","[-0.4551, -0.3283, -0.0803]","[0.6233, 0.4965, 0.2486]","[0.9292, 0.8024, 0.5544]","[0.5511, 0.4243, 0.1763]","[0.2727, 0.3995, 0.6475]","[None, None, None]","[0.9858, 0.8874, 0.6395]","[None, None, None]","[None, None, None]"
GNRS.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[1.0, 0.9676, 0.9448]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]"
GILT.TA,"[0.2349, 0.2661, 0.226]","[0.9455, 0.9144, 0.9544]","[0.2288, 0.26, 0.2199]","[-0.4041, -0.3729, -0.413]","[None, None, None]","[0.1984, 0.1673, 0.2073]","[None, None, None]","[0.9451, 0.9763, 0.9362]","[0.7837, 0.8148, 0.7748]","[0.9438, 0.9126, 0.9527]","[0.8, 0.7688, 0.8089]","[None, None, None]","[0.9973, 0.9662, 0.9938]","[None, None, None]","[None, None, None]"
GRIN.TA,"[0.2635, 0.2964, 0.3263]","[0.1831, 0.2161, 0.2459]","[0.2426, 0.2756, 0.3054]","[0.1927, 0.2257, 0.2555]","[0.1811, 0.2141, 0.2439]","[0.3439, 0.311, 0.2811]","[0.029, -0.004, -0.0338]","[0.9587, 0.9257, 0.8959]","[0.5779, 0.6108, 0.6407]","[0.9795, 0.9466, 0.9167]","[1.0, 0.967, 0.9372]","[-0.8333, -0.8004, -0.7705]","[None, None, None]","[0.2028, 0.2358, 0.2657]","[0.8559, 0.8888, 0.9187]"
GOLD.TA,"[1.0, 0.9732, 0.9983]","[1.0, 0.9732, 0.9983]","[1.0, 0.9732, 0.9983]","[None, None, None]","[None, None, None]","[-0.1038, -0.077, -0.1021]","[0.0997, 0.0729, 0.098]","[0.9863, 0.9596, 0.9846]","[0.965, 0.9383, 0.9633]","[0.9939, 0.9672, 0.9922]","[1.0, 0.9732, 0.9983]","[1.0, 0.9732, 0.9982]","[None, None, None]","[None, None, None]","[None, None, None]"
G107.TA,"[1.0, 0.9654, 0.8596]","[1.0, 0.9654, 0.8596]","[1.0, 0.9654, 0.8596]","[1.0, 0.9654, 0.8596]","[None, None, None]","[1.0, 0.9654, 0.8596]","[1.0, 0.9654, 0.8596]","[1.0, 0.9654, 0.8596]","[0.8918, 0.9264, 0.9679]","[1.0, 0.9654, 0.8596]","[1.0, 0.9654, 0.8596]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HLAN.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.2757, 0.2974, 0.3054]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]"
HUMX.TA,"[1.0, 0.908, 0.5388]","[1.0, 0.908, 0.5388]","[1.0, 0.908, 0.5388]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.7244, 0.8165, 0.8144]","[0.9118, 0.9962, 0.6271]","[0.7024, 0.7944, 0.8364]","[-1.0, -0.908, -0.5388]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ICL.TA,"[0.761, 0.7289, 0.8273]","[-0.3216, -0.3537, -0.2553]","[0.5473, 0.5151, 0.6135]","[0.0434, 0.0112, 0.1096]","[0.9448, 0.9769, 0.8785]","[-1.0, -1.0, -1.0]","[0.3007, 0.3328, 0.2344]","[0.9473, 0.9151, 0.9864]","[0.9995, 0.9674, 0.9342]","[0.8772, 0.845, 0.9434]","[-0.3333, -0.3655, -0.2671]","[None, None, None]","[0.9984, 0.9663, 0.9353]","[0.8769, 0.9091, 0.8107]","[0.986, 0.9818, 0.9198]"
ICON.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.2951, 0.1374, 0.4202]","[-0.9991, -1.0, -0.8739]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
