,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
AZRM.TA,"[0.9966, 0.9784, 0.7924]","[0.9966, 0.9784, 0.7924]","[0.9966, 0.9784, 0.7924]","[0.9966, 0.9784, 0.7924]","[0.9966, 0.9784, 0.7924]","[0.9966, 0.9784, 0.7924]","[None, None, None]","[0.8527, 0.8345, 0.9363]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AZRG.TA,"[None, None, None]","[0.6057, 0.6879, 0.7813]","[0.6085, 0.6907, 0.7841]","[None, None, None]","[0.8614, 0.9436, 0.963]","[None, None, None]","[None, None, None]","[0.9728, 0.945, 0.8516]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9878, 0.93, 0.8366]","[0.9878, 0.93, 0.8366]"
BEZQ.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0109, -0.006, -0.2241]","[0.0109, -0.0059, -0.2241]","[None, None, None]","[0.0099, -0.007, -0.2251]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BIG.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BKRY.TA,"[0.9861, 0.9405, 0.9729]","[0.9861, 0.9405, 0.9729]","[0.9861, 0.9405, 0.9729]","[0.9861, 0.9405, 0.9729]","[0.9861, 0.9405, 0.9729]","[0.7792, 0.7058, 0.7382]","[None, None, None]","[0.9861, 0.9405, 0.9729]","[0.9861, 0.9405, 0.9729]","[0.9335, 0.8601, 0.8925]","[0.8016, 0.8749, 0.8426]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]"
BIOV.TA,"[0.5899, 0.6012, 0.5794]","[0.724, 0.7354, 0.7135]","[0.7157, 0.727, 0.7052]","[0.4573, 0.4687, 0.4468]","[0.7913, 0.7799, 0.8018]","[0.4108, 0.3994, 0.4213]","[None, None, None]","[0.9762, 0.9649, 0.9868]","[None, None, None]","[0.2285, 0.2171, 0.239]","[0.5601, 0.5715, 0.5496]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]"
BOLT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BOTI.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.5908, 0.6872, 0.5705]","[0.9872, 0.9165, 0.1742]","[None, None, None]","[0.9872, 0.9165, 0.1742]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BONS.TA,"[None, None, None]","[0.9927, 0.9902, 0.9587]","[0.9927, 0.9902, 0.9587]","[None, None, None]","[0.9927, 0.9902, 0.9587]","[0.9927, 0.9902, 0.9587]","[None, None, None]","[0.9927, 0.9902, 0.9587]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.9927, 0.9902, 0.9587]","[None, None, None]","[None, None, None]","[None, None, None]"
BCNV-M.TA,"[None, None, None]","[0.9914, 0.9771, 0.7893]","[0.9914, 0.9771, 0.7893]","[None, None, None]","[0.9914, 0.9771, 0.7893]","[0.9914, 0.9771, 0.7893]","[None, None, None]","[0.9914, 0.9771, 0.7893]","[None, None, None]","[0.9914, 0.9771, 0.7893]","[-0.6144, -0.5829, -0.3951]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]"
BULL-M.TA,"[None, None, None]","[0.1598, 0.1499, 0.2467]","[1.0, 0.9901, 0.9131]","[None, None, None]","[0.3504, 0.3406, 0.4373]","[-0.627, -0.6369, -0.5401]","[0.432, 0.4222, 0.5189]","[0.9544, 0.9446, 0.9587]","[None, None, None]","[1.0, 0.9901, 0.9131]","[1.0, 0.9901, 0.9131]","[1.0, 0.9901, 0.9131]","[0.8731, 0.8829, 0.7862]","[None, None, None]","[1.0, 0.9901, 0.9131]"
CISY.TA,"[0.1163, 0.1151, 0.2036]","[0.6217, 0.6205, 0.709]","[0.9971, 0.9959, 0.9156]","[0.2843, 0.2831, 0.3716]","[0.9971, 0.9959, 0.9156]","[0.6856, 0.6868, 0.5983]","[0.6384, 0.6372, 0.7257]","[0.9971, 0.9959, 0.9156]","[0.6153, 0.6141, 0.7026]","[0.9972, 0.9983, 0.9098]","[0.5904, 0.5916, 0.503]","[0.3876, 0.3864, 0.4749]","[0.7324, 0.7312, 0.8197]","[-0.9971, -0.9959, -1.0]","[0.9968, 0.9956, 0.9158]"
