,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
NICE.TA,"[0.9386, 0.9876, 0.9564]","[0.9503, 0.9993, 0.9447]","[0.9692, 0.9818, 0.9258]","[0.9353, 0.9843, 0.9597]","[0.9979, 0.9531, 0.897]","[0.9819, 0.9329, 0.8768]","[0.9446, 0.8956, 0.8395]","[0.9858, 0.9652, 0.9091]","[0.989, 0.94, 0.884]","[0.7427, 0.7917, 0.8478]","[0.3117, 0.3607, 0.4167]","[0.1817, 0.2307, 0.2868]","[0.9907, 0.9417, 0.8857]","[None, None, None]","[0.9949, 0.9459, 0.8898]"
NISA.TA,"[0.9974, 0.992, 0.8506]","[0.9974, 0.992, 0.8506]","[0.9974, 0.992, 0.8506]","[0.9974, 0.992, 0.8506]","[0.9454, 0.9401, 0.7986]","[0.9713, 0.966, 0.8245]","[0.2224, 0.2171, 0.0756]","[0.3236, 0.3183, 0.1768]","[0.9974, 0.992, 0.8506]","[0.9974, 0.992, 0.8506]","[None, None, None]","[None, None, None]","[0.3825, 0.3772, 0.2357]","[None, None, None]","[None, None, None]"
NOFR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
NSTR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NVLG.TA,"[0.1816, 0.1836, 0.1722]","[0.9933, 0.9953, 0.9839]","[0.9933, 0.9953, 0.9839]","[0.2549, 0.2569, 0.2455]","[0.9933, 0.9953, 0.9839]","[0.9933, 0.9953, 0.9839]","[0.9933, 0.9953, 0.9839]","[0.9933, 0.9953, 0.9839]","[None, None, None]","[0.3723, 0.3743, 0.3628]","[0.9933, 0.9953, 0.9839]","[0.9933, 0.9953, 0.9839]","[0.9933, 0.9953, 0.9839]","[None, None, None]","[0.9933, 0.9953, 0.9839]"
OPCE.TA,"[-0.2314, -0.187, -0.1587]","[-1.0, -1.0, -1.0]","[None, None, None]","[-0.286, -0.2416, -0.2132]","[0.9965, 0.9591, 0.9307]","[0.9965, 0.9591, 0.9307]","[None, None, None]","[0.9965, 0.9591, 0.9307]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
OPK.TA,"[0.8682, 0.8996, 0.7622]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.9944, 0.9741, 0.8885]","[0.9562, 0.9876, 0.8503]","[None, None, None]","[0.9907, 0.9593, 0.9034]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9964, 0.965, 0.8977]"
ORAD.TA,"[0.4749, 0.4682, 0.4985]","[0.1196, 0.1129, 0.1433]","[0.0016, -0.0051, 0.0253]","[0.4839, 0.4772, 0.5076]","[0.9881, 0.9814, 0.9882]","[None, None, None]","[None, None, None]","[0.9312, 0.9245, 0.9549]","[0.3651, 0.3584, 0.3887]","[0.8889, 0.8823, 0.9126]","[0.9581, 0.9515, 0.9818]","[0.9317, 0.9384, 0.908]","[None, None, None]","[None, None, None]","[None, None, None]"
ORMP.TA,"[0.4824, 0.5217, 0.6038]","[0.4563, 0.4171, 0.3349]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.6855, 0.7248, 0.8069]","[0.9338, 0.8946, 0.8124]","[None, None, None]","[0.5915, 0.6308, 0.7129]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.1508, 0.1901, 0.2722]","[None, None, None]","[None, None, None]","[0.912, 0.9513, 0.9666]"
ORIN.TA,"[0.9488, 0.949, 0.989]","[0.2726, 0.2728, 0.3128]","[None, None, None]","[0.7419, 0.7417, 0.7018]","[0.9387, 0.9389, 0.9789]","[0.9092, 0.9094, 0.9493]","[0.6246, 0.6248, 0.6647]","[0.911, 0.9112, 0.9511]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.6081, 0.6079, 0.568]","[None, None, None]","[None, None, None]"
ORA.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.8657, 0.8905, 0.8805]","[0.7214, 0.7462, 0.7362]","[-1.0, -1.0, -1.0]","[0.9972, 0.9724, 0.9824]","[-1.0, -1.0, -1.0]","[0.5425, 0.5673, 0.5573]","[-0.0109, -0.0357, -0.0258]","[-1.0, -1.0, -1.0]","[0.5552, 0.5304, 0.5404]","[-1.0, -1.0, -1.0]","[0.9928, 0.9679, 0.9779]"
ORON.TA,"[0.9886, 0.9501, 0.9713]","[0.98, 0.9814, 0.94]","[0.9886, 0.9501, 0.9713]","[0.9886, 0.9501, 0.9713]","[0.9886, 0.9501, 0.9713]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.9886, 0.9501, 0.9713]","[None, None, None]","[0.9894, 0.9508, 0.9706]","[0.9886, 0.9501, 0.9713]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -0.9713]","[None, None, None]"
OVRS.TA,"[0.4728, 0.4388, 0.3937]","[0.4041, 0.3701, 0.3249]","[0.5465, 0.5805, 0.6256]","[0.488, 0.454, 0.4089]","[0.9986, 0.9647, 0.9195]","[0.9179, 0.8839, 0.8387]","[0.9599, 0.9259, 0.8808]","[0.9811, 0.9471, 0.9019]","[None, None, None]","[0.3787, 0.3447, 0.2996]","[0.4146, 0.4485, 0.4937]","[0.1079, 0.0739, 0.0288]","[0.6758, 0.6418, 0.5967]","[None, None, None]","[None, None, None]"
PLRM.TA,"[0.5384, 0.6222, 0.7332]","[0.5667, 0.6505, 0.7615]","[None, None, None]","[0.5852, 0.6691, 0.78]","[0.8827, 0.9665, 0.9226]","[None, None, None]","[None, None, None]","[0.9518, 0.9643, 0.8534]","[0.5598, 0.6436, 0.7545]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9977, 0.9185, 0.8075]","[None, None, None]"
PTNR.TA,"[0.9985, 0.9962, 0.6556]","[-0.6717, -0.6665, -0.3259]","[-0.605, -0.5998, -0.2592]","[0.4006, 0.4058, 0.7464]","[0.9993, 0.9955, 0.6549]","[0.9901, 0.9849, 0.6442]","[0.995, 0.9998, 0.6592]","[0.9789, 0.9841, 0.6753]","[0.3616, 0.3668, 0.7075]","[0.7436, 0.7488, 0.9106]","[0.2582, 0.253, -0.0876]","[0.7733, 0.7681, 0.4275]","[0.995, 0.9998, 0.6592]","[None, None, None]","[0.9944, 0.9996, 0.6597]"
PAZ.TA,"[0.3825, 0.4541, 0.3519]","[None, None, None]","[None, None, None]","[0.3509, 0.4226, 0.3203]","[0.9678, 0.9605, 0.9373]","[0.9679, 0.9604, 0.9373]","[None, None, None]","[0.9677, 0.9606, 0.9371]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PERI.TA,"[0.8786, 0.8926, 0.9628]","[0.4822, 0.711, 0.5664]","[0.5082, 0.737, 0.5924]","[None, None, None]","[0.9341, 0.8371, 0.9817]","[0.9395, 0.8317, 0.9763]","[None, None, None]","[0.9309, 0.8403, 0.9849]","[0.5837, 0.8125, 0.6679]","[0.9891, 0.7602, 0.9048]","[-0.764, -0.5352, -0.6797]","[0.5108, 0.282, 0.4265]","[None, None, None]","[None, None, None]","[0.9608, 0.8104, 0.955]"
PTCH.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, 0.9507, 0.8811]","[None, 0.3006, 0.231]","[None, None, None]","[None, -0.1506, -0.081]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PTX.TA,"[0.3366, 0.3451, 0.2525]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9663, 0.9748, 0.8822]","[0.8797, 0.8882, 0.7956]","[0.8532, 0.8448, 0.9374]","[0.8683, 0.8598, 0.9524]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9863, 0.9948, 0.9022]","[None, None, None]","[None, None, None]"
PHOE.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.6369, 0.6766, 0.7851]","[0.6425, 0.6822, 0.7907]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PLSN.TA,"[0.464, 0.4821, 0.5872]","[0.5799, 0.598, 0.7032]","[0.5714, 0.5895, 0.6947]","[0.5052, 0.5233, 0.6285]","[0.9746, 0.9565, 0.8513]","[0.9517, 0.9336, 0.8284]","[0.8649, 0.8468, 0.7416]","[0.9165, 0.8985, 0.7933]","[0.5847, 0.6028, 0.7079]","[None, None, None]","[None, None, None]","[None, None, None]","[0.7686, 0.7867, 0.8919]","[0.9881, 0.9938, 0.8887]","[None, None, None]"
PLCR.TA,"[0.9901, 0.9842, 0.9989]","[-0.3052, -0.3309, -0.3162]","[0.9771, 0.9514, 0.9661]","[0.9901, 0.9842, 0.9989]","[0.9901, 0.9842, 0.9989]","[0.9901, 0.9842, 0.9989]","[0.9901, 0.9842, 0.9989]","[0.9901, 0.9842, 0.9989]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9901, 0.9842, 0.9989]","[-0.9901, -1.0, -1.0]","[None, None, None]"
PPIL.TA,"[0.4689, 0.4598, 0.4132]","[0.2219, 0.2128, 0.1662]","[0.4545, 0.4455, 0.3989]","[0.4713, 0.4622, 0.4156]","[0.9704, 0.9795, 0.9739]","[0.4576, 0.4667, 0.5133]","[0.9463, 0.9554, 0.998]","[0.99, 0.9809, 0.9343]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8933, 0.9024, 0.949]","[None, None, None]","[1.0, 0.9909, 0.9443]"
PLUR.TA,"[0.992, 0.9339, 0.6393]","[0.3146, 0.3887, 0.6833]","[0.3944, 0.4686, 0.7631]","[0.992, 0.9339, 0.6393]","[0.4931, 0.419, 0.1244]","[0.985, 0.9408, 0.6462]","[None, None, None]","[0.3522, 0.278, -0.0166]","[0.3398, 0.4139, 0.7085]","[0.4679, 0.542, 0.8366]","[-1.0, -0.9582, -0.6636]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.7797, 0.7055, 0.4109]"
POLI.TA,"[0.5726, 0.5951, 0.6553]","[0.7615, 0.784, 0.8442]","[None, None, None]","[None, None, None]","[0.8715, 0.849, 0.7888]","[0.8712, 0.8487, 0.7885]","[None, None, None]","[0.9999, 0.9774, 0.9172]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
POLP.TA,"[0.5222, 0.5725, 0.7648]","[0.5708, 0.6211, 0.8134]","[0.5783, 0.6286, 0.8209]","[None, None, None]","[0.9712, 0.9784, 0.7862]","[0.933, 0.9833, 0.8244]","[0.7734, 0.8237, 0.984]","[0.991, 0.9587, 0.7664]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.2517, 0.3021, 0.4943]","[None, None, None]"
PRSK.TA,"[0.9982, 0.9769, 0.815]","[0.9982, 0.9769, 0.815]","[0.9982, 0.9769, 0.815]","[0.9982, 0.9769, 0.815]","[0.9982, 0.9769, 0.815]","[0.4438, 0.4189, 0.2571]","[0.9982, 0.9769, 0.815]","[None, None, None]","[0.9982, 0.9769, 0.815]","[None, None, None]","[None, None, None]","[None, None, None]","[0.6612, 0.686, 0.8479]","[None, None, None]","[None, None, None]"
PRTC.TA,"[0.7163, 0.7677, 0.5504]","[0.4354, 0.4867, 0.2695]","[0.4204, 0.4718, 0.2545]","[None, None, None]","[0.9989, 0.9476, 0.8351]","[0.9989, 0.9476, 0.8351]","[None, None, None]","[0.9989, 0.9476, 0.8351]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PPBT.TA,"[None, None, None]","[0.3102, 0.3142, 0.2056]","[0.3409, 0.3449, 0.2363]","[None, None, None]","[0.9607, 0.9567, 0.9347]","[0.9722, 0.9682, 0.9232]","[0.9981, 0.9941, 0.8973]","[0.9643, 0.9603, 0.9311]","[0.3126, 0.3166, 0.208]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9287, 0.9247, 0.9667]","[None, None, None]","[0.9986, 0.9975, 0.894]"
RMN.TA,"[0.4033, 0.4232, 0.5738]","[0.8287, 0.8486, 0.9992]","[None, None, None]","[0.4828, 0.5027, 0.6533]","[0.641, 0.6609, 0.8115]","[None, None, None]","[0.631, 0.6509, 0.8015]","[0.7433, 0.7632, 0.9138]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.9221, -0.9022, -0.7516]","[0.9156, 0.9355, 0.9139]","[None, None, None]"
RMLI.TA,"[0.2555, 0.2472, 0.1988]","[0.2447, 0.2365, 0.1881]","[None, None, None]","[0.2579, 0.2496, 0.2012]","[0.9745, 0.9828, 0.9688]","[0.9683, 0.9766, 0.975]","[None, None, None]","[0.9872, 0.9789, 0.9305]","[None, None, None]","[0.3661, 0.3743, 0.4227]","[0.2268, 0.2186, 0.1702]","[0.4987, 0.4905, 0.4421]","[None, None, None]","[None, None, None]","[None, None, None]"
RPAC.TA,"[0.4068, 0.4487, 0.4624]","[None, None, None]","[0.537, 0.579, 0.5927]","[0.2844, 0.3264, 0.34]","[0.7282, 0.7702, 0.7839]","[None, None, None]","[None, None, None]","[0.789, 0.747, 0.7334]","[0.1647, 0.2067, 0.2203]","[0.7764, 0.8183, 0.832]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9904, 0.9677, 0.954]"
RATI.TA,"[0.4484, 0.4743, 0.555]","[0.8461, 0.872, 0.9527]","[0.8548, 0.8806, 0.9613]","[None, None, None]","[0.9645, 0.9386, 0.8579]","[0.9478, 0.9219, 0.8412]","[None, None, None]","[0.9673, 0.9931, 0.9262]","[None, None, None]","[0.9494, 0.9235, 0.8428]","[0.9726, 0.9468, 0.8661]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RTPT.TA,"[None, None, None]","[0.9947, 0.8774, 0.6789]","[0.9947, 0.8774, 0.6789]","[None, None, None]","[0.975, 0.9077, 0.7092]","[0.292, 0.4093, 0.6078]","[None, None, None]","[0.9971, 0.8798, 0.6813]","[None, None, None]","[0.922, 0.9607, 0.7622]","[0.9983, 0.8844, 0.6859]","[0.9947, 0.8774, 0.6789]","[None, None, None]","[None, None, None]","[None, None, None]"
RAVD.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9911, 0.9705, 0.9767]","[0.8488, 0.8694, 0.8631]","[0.9911, 0.9705, 0.9767]","[0.9911, 0.9705, 0.9767]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8344, 0.8551, 0.8488]","[None, None, None]","[None, None, None]"
RVL.TA,"[0.9995, 0.9538, 0.8385]","[0.9995, 0.9538, 0.8385]","[0.9995, 0.9538, 0.8385]","[0.9995, 0.9538, 0.8385]","[0.9995, 0.9538, 0.8385]","[0.4449, 0.3982, 0.2829]","[None, None, None]","[0.9995, 0.9538, 0.8385]","[None, None, None]","[0.3548, 0.308, 0.1928]","[0.4052, 0.452, 0.5672]","[0.4376, 0.4843, 0.5996]","[None, None, None]","[0.9995, 0.9538, 0.8385]","[0.9075, 0.9542, 0.9305]"
RZR.TA,"[0.7337, 0.6548, 0.4007]","[None, None, None]","[None, None, None]","[0.7871, 0.866, 0.8799]","[0.9944, 0.9155, 0.6614]","[0.9944, 0.9155, 0.6614]","[None, None, None]","[0.9944, 0.9155, 0.6614]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RIT1.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9932, 0.9659, 0.8485]","[None, None, None]","[None, None, None]","[0.987, 0.9857, 0.8683]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
REKA.TA,"[0.7148, 0.6628, 0.7478]","[0.3053, 0.2533, 0.3383]","[None, None, None]","[0.6655, 0.6135, 0.6985]","[1.0, 0.948, 0.967]","[0.6538, 0.6018, 0.6868]","[1.0, 0.948, 0.967]","[1.0, 0.948, 0.967]","[0.423, 0.371, 0.4561]","[None, None, None]","[None, None, None]","[None, None, None]","[1.0, 0.948, 0.967]","[None, None, None]","[None, None, None]"
RTEN.TA,"[0.416, 0.4199, 0.1792]","[0.4072, 0.4111, 0.1704]","[None, None, None]","[0.4202, 0.4241, 0.1834]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.0, 0.996, 0.7633]","[-0.3697, -0.3657, -0.6064]","[-0.1723, -0.1762, 0.0645]","[None, None, None]","[None, None, None]","[None, None, None]"
SPNS.TA,"[0.9595, 0.978, 0.9176]","[0.7124, 0.7749, 0.8353]","[0.726, 0.7885, 0.8489]","[0.9532, 0.9843, 0.9238]","[0.9814, 0.9561, 0.8956]","[0.9975, 0.9349, 0.8745]","[None, None, None]","[0.964, 0.9735, 0.913]","[0.7594, 0.8219, 0.8824]","[0.388, 0.3255, 0.265]","[-1.0, -1.0, -1.0]","[0.9855, 0.923, 0.8626]","[0.9889, 0.9486, 0.8882]","[-0.9892, -1.0, -1.0]","[0.988, 0.9495, 0.889]"
SCOP.TA,"[0.9764, 0.9822, 0.8224]","[0.9924, 0.9866, 0.8536]","[0.9981, 0.9961, 0.8442]","[0.9858, 0.98, 0.8603]","[0.9747, 0.9805, 0.8208]","[0.9751, 0.9809, 0.8212]","[None, None, None]","[0.9736, 0.9794, 0.8197]","[0.9881, 0.9823, 0.8579]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0088, 0.0031, 0.1628]","[None, None, None]"
SLARL.TA,"[0.4251, 0.4785, 0.576]","[0.4247, 0.3713, 0.2739]","[None, None, None]","[None, None, None]","[0.2884, 0.235, 0.1376]","[0.3238, 0.2704, 0.173]","[0.6456, 0.699, 0.7965]","[0.0186, -0.0348, -0.1322]","[0.2923, 0.2389, 0.1415]","[-0.8169, -0.7635, -0.6661]","[0.0778, 0.1312, 0.2286]","[-1.0, -1.0, -1.0]","[0.0611, 0.0077, -0.0898]","[None, None, None]","[None, None, None]"
SHGR.TA,"[0.8413, 0.8127, 0.8403]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.6752, 0.6466, 0.6741]","[0.5346, 0.5632, 0.5356]","[0.8159, 0.8445, 0.8169]","[None, None, None]","[0.9644, 0.9358, 0.9634]","[0.2348, 0.2062, 0.2338]","[0.6849, 0.6563, 0.6839]","[-1.0, -1.0, -1.0]","[0.7273, 0.6987, 0.7262]","[None, None, None]","[0.982, 0.9534, 0.981]","[None, None, None]"
SPEN.TA,"[0.9905, 0.9814, 0.9593]","[0.6244, 0.6152, 0.6746]","[0.9905, 0.9814, 0.9593]","[0.9905, 0.9814, 0.9593]","[0.9439, 0.9347, 0.9941]","[0.9905, 0.9814, 0.9593]","[None, None, None]","[0.9929, 0.9837, 0.9569]","[0.9905, 0.9814, 0.9593]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SKBN.TA,"[0.4903, 0.4336, 0.4693]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.4352, 0.3784, 0.4141]","[0.9851, 0.9283, 0.964]","[None, None, None]","[None, None, None]","[0.9547, 0.8979, 0.9336]","[0.0532, -0.0035, 0.0322]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SHOM.TA,"[None, None, None]","[0.9913, 0.9917, 0.9802]","[0.9913, 0.9917, 0.9802]","[None, None, None]","[0.9328, 0.9158, 0.9439]","[0.9417, 0.9247, 0.9528]","[None, None, None]","[0.897, 0.88, 0.9081]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -0.9917, -1.0]","[None, None, None]"
SAE.TA,"[0.0042, 0.0013, 0.0047]","[0.0041, 0.0012, 0.0046]","[0.6359, 0.6388, 0.6353]","[0.0042, 0.0013, 0.0047]","[0.0038, 0.0009, 0.0043]","[0.0038, 0.0009, 0.0043]","[None, None, None]","[0.0037, 0.0008, 0.0043]","[0.0042, 0.0013, 0.0047]","[0.0049, 0.002, 0.0054]","[-0.0011, 0.0018, -0.0017]","[0.0032, 0.0003, 0.0038]","[None, None, None]","[0.0037, 0.0008, 0.0042]","[None, None, None]"
SKLN.TA,"[0.0027, 0.0823, -0.0649]","[0.0148, 0.0944, -0.0528]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.002, 0.0816, -0.0657]","[0.0019, 0.0815, -0.0657]","[None, None, None]","[0.0022, 0.0818, -0.0654]","[None, None, None]","[None, None, None]","[0.0012, -0.0784, 0.0689]","[0.0057, -0.0739, 0.0733]","[None, None, None]","[None, None, None]","[None, None, None]"
STRS.TA,"[0.4456, 0.4356, 0.4847]","[None, None, None]","[0.3731, 0.363, 0.4121]","[None, None, None]","[0.9473, 0.9372, 0.9864]","[None, None, None]","[None, None, None]","[None, None, None]","[0.3946, 0.3846, 0.4337]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SMT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.0047, -0.0044, -0.1557]","[None, None, None]","[None, None, None]","[-0.0045, -0.0042, -0.1555]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TDRN.TA,"[0.4046, 0.4302, 0.4903]","[0.42, 0.4457, 0.5058]","[0.4686, 0.4943, 0.5544]","[0.4419, 0.4675, 0.5276]","[0.8259, 0.8003, 0.7402]","[0.9747, 0.9997, 0.9396]","[None, None, None]","[0.9693, 0.9437, 0.8836]","[0.4231, 0.4487, 0.5088]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TMRP.TA,"[0.1993, 0.2264, 0.3966]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.979, 0.9519, 0.7817]","[0.9554, 0.9283, 0.7581]","[0.7939, 0.7668, 0.5965]","[0.9488, 0.9759, 0.8539]","[None, None, None]","[0.2392, 0.2664, 0.4366]","[0.6131, 0.6402, 0.8104]","[0.0491, 0.022, -0.1482]","[0.9674, 0.9403, 0.7701]","[0.9986, 0.9743, 0.804]","[0.9986, 0.9743, 0.804]"
TAYA.TA,"[0.5246, 0.545, 0.57]","[-0.4442, -0.4238, -0.3988]","[None, None, None]","[None, None, None]","[0.9462, 0.9667, 0.9917]","[0.9256, 0.946, 0.971]","[None, None, None]","[0.9412, 0.9616, 0.9866]","[None, None, None]","[0.9286, 0.949, 0.974]","[-0.5207, -0.5411, -0.5661]","[0.4256, 0.4052, 0.3802]","[None, None, None]","[None, None, None]","[0.9881, 0.9677, 0.9427]"
TFRLF.TA,"[0.5713, 0.5997, 0.6251]","[0.9983, 0.9733, 0.9479]","[0.9983, 0.9733, 0.9479]","[0.887, 0.9154, 0.9408]","[0.9046, 0.933, 0.9584]","[None, None, None]","[None, None, None]","[0.7672, 0.7388, 0.7135]","[None, None, None]","[0.3372, 0.3088, 0.2834]","[0.2997, 0.2714, 0.246]","[-1.0, -1.0, -0.9982]","[None, None, None]","[None, None, None]","[None, None, None]"
ILCO.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.0031, -0.1002, -0.1794]","[None, None, None]","[None, None, None]","[-0.0032, -0.1003, -0.1795]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TIGBUR.TA,"[0.2886, 0.3231, 0.5993]","[0.7955, 0.761, 0.4848]","[0.811, 0.7765, 0.5003]","[0.4943, 0.5288, 0.805]","[0.9873, 0.9782, 0.702]","[0.8536, 0.8881, 0.8357]","[0.6723, 0.6378, 0.3616]","[0.9761, 0.9894, 0.7132]","[0.9865, 0.979, 0.7028]","[0.336, 0.3015, 0.0253]","[-0.749, -0.7145, -0.4383]","[0.212, 0.2465, 0.5227]","[0.0686, 0.0341, -0.2421]","[-1.0, -1.0, -1.0]","[0.9952, 0.9703, 0.6941]"
TOEN.TA,"[0.0292, 0.0393, 0.0476]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.9972, 0.987, 0.9787]","[0.9305, 0.9406, 0.9489]","[None, None, None]","[0.9668, 0.9769, 0.9852]","[None, None, None]","[-0.1651, -0.1549, -0.1467]","[-0.4918, -0.502, -0.5103]","[0.3132, 0.303, 0.2947]","[None, None, None]","[None, None, None]","[None, None, None]"
TOPS.TA,"[0.9986, 0.9823, 0.8981]","[0.9986, 0.9823, 0.8981]","[0.9986, 0.9823, 0.8981]","[0.9986, 0.9823, 0.8981]","[0.9098, 0.9288, 0.9869]","[None, None, None]","[0.9986, 0.9823, 0.8981]","[0.948, 0.9671, 0.9487]","[0.9986, 0.9823, 0.8981]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9986, 0.9823, 0.8981]","[0.9986, 0.9823, 0.8981]","[None, None, None]"
TSEM.TA,"[0.5467, 0.56, 0.3787]","[0.6319, 0.6451, 0.4639]","[0.6557, 0.6689, 0.4877]","[0.5932, 0.6064, 0.4252]","[0.9882, 0.975, 0.8438]","[0.9699, 0.9832, 0.8019]","[0.9859, 0.9726, 0.8461]","[0.9713, 0.958, 0.8607]","[0.663, 0.6762, 0.495]","[0.5934, 0.6067, 0.4254]","[None, None, None]","[None, None, None]","[0.9064, 0.9196, 0.7384]","[None, None, None]","[0.9976, 0.9844, 0.8344]"
UNIT.TA,"[0.2568, 0.2788, 0.2961]","[0.9937, 0.9843, 0.967]","[0.9937, 0.9843, 0.967]","[0.3417, 0.3637, 0.381]","[0.9717, 0.9937, 0.989]","[0.9607, 0.9387, 0.9214]","[None, None, None]","[0.9968, 0.9748, 0.9575]","[None, None, None]","[-0.3303, -0.3083, -0.291]","[0.7567, 0.7347, 0.7173]","[0.3353, 0.3133, 0.2959]","[None, None, None]","[0.9937, 0.9843, 0.967]","[None, None, None]"
VRDS.TA,"[0.1234, 0.1423, 0.0914]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.04, -0.0211, -0.072]","[0.9963, 0.9849, 0.9642]","[0.9963, 0.9849, 0.9642]","[None, None, None]","[0.9963, 0.9849, 0.9642]","[-0.1007, -0.0819, -0.1328]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.9963, -1.0, -0.9642]","[0.9963, 0.9849, 0.9642]"
VCTR.TA,"[0.513, 0.525, 0.4942]","[0.5871, 0.5992, 0.5683]","[None, None, None]","[0.5135, 0.5255, 0.4947]","[0.9977, 0.9856, 0.9836]","[0.976, 0.964, 0.9948]","[None, None, None]","[0.9803, 0.9924, 0.9616]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9861, 0.974, 0.9952]","[None, None, None]"
