,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Dividends Paid,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares,Earnings Per Share (EPS)
ISRG.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[1.0, 0.9312, 0.6719]"
ISRA.TA,"[0.0038, 0.063, 0.1444]","[-0.0601, -0.0009, 0.0805]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9658, 0.975, 0.8937]","[0.9249, 0.9841, 0.9345]","[0.9845, 0.9252, 0.8439]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.9435, 0.9972, 0.9159]","[0.9185, 0.9778, 0.9409]","[1.0, 0.9408, 0.8594]","[-0.0541, 0.0052, 0.0865]"
ISRO.TA,"[0.0026, 0.0709, 0.028]","[0.0713, 0.1396, 0.0967]","[0.0056, 0.0739, 0.031]","[0.022, 0.0903, 0.0474]","[0.0016, -0.0667, -0.0238]","[0.0212, -0.0471, -0.0042]","[0.001, 0.0693, 0.0264]","[0.001, 0.0693, 0.0264]","[0.001, 0.0693, 0.0264]","[None, None, None]","[None, None, None]","[0.0148, 0.083, 0.0402]","[0.0079, 0.0762, 0.0333]","[None, None, None]","[-1.0, -1.0, -1.0]"
JBNK.TA,"[None, None, None]","[0.0473, 0.0116, -0.0879]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.1421, 0.1064, 0.0069]","[0.1501, 0.1144, 0.0149]","[0.0241, -0.0116, -0.1111]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KMDA.TA,"[-0.2215, -0.2554, -0.1172]","[-0.0017, -0.0355, 0.1026]","[-0.2215, -0.2554, -0.1172]","[-1.0, -1.0, -1.0]","[0.0412, 0.0751, -0.0631]","[-1.0, -0.9984, -1.0]","[0.9924, 0.9737, 0.8881]","[0.4638, 0.4977, 0.3595]","[0.9889, 0.955, 0.9069]","[None, None, None]","[-0.6314, -0.6652, -0.5271]","[1.0, 0.9661, 0.8957]","[0.9063, 0.9401, 0.802]","[None, None, None]","[0.0, -0.0339, 0.1043]"
KRDI.TA,"[-1.0, -1.0, -1.0]","[0.8357, 0.8444, 0.8314]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-0.5301, -0.5388, -0.5258]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KEN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KLIL.TA,"[0.1888, 0.1497, 0.2527]","[0.6405, 0.6014, 0.7044]","[0.1525, 0.1134, 0.2164]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.999, 0.9599, 0.9371]","[-1.0, -1.0, -1.0]","[0.993, 0.9539, 0.9431]","[None, None, None]","[0.5569, 0.5178, 0.6208]","[None, None, None]","[None, None, None]","[None, None, None]","[0.6431, 0.604, 0.707]"
KNFM.TA,"[None, None, None]","[0.6907, 0.6485, 0.4768]","[1.0, 0.9577, 0.7861]","[0.4503, 0.4926, 0.6642]","[None, None, None]","[None, None, None]","[1.0, 0.9577, 0.7861]","[0.4556, 0.4134, 0.2417]","[0.9628, 0.9206, 0.7489]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.0, 0.9577, 0.7861]","[1.0, 0.9577, 0.7861]"
LPHL.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.1585, -0.1169, -0.1409]"
LEOF.TA,"[None, None, None]","[0.4676, 0.4224, 0.3293]","[-1.0, -1.0, -1.0]","[0.3226, 0.3678, 0.4609]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[1.0, 0.9548, 0.8617]","[1.0, 0.9548, 0.8617]","[0.967, 0.9219, 0.8288]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9962, 0.9586, 0.8655]","[None, None, None]","[0.5, 0.5452, 0.6383]"
LEVI.TA,"[0.2244, 0.252, 0.2015]","[0.3603, 0.3879, 0.3374]","[0.0008, 0.0284, -0.0221]","[None, None, None]","[0.05, 0.0224, 0.0729]","[0.4567, 0.4843, 0.4338]","[0.979, 0.9514, 0.9982]","[None, None, None]","[0.9727, 0.9451, 0.9956]","[0.001, 0.0286, -0.0219]","[None, None, None]","[0.001, 0.0286, -0.0219]","[0.001, 0.0286, -0.0219]","[None, None, None]","[1.0, 0.9724, 0.9771]"
LBRA.TA,"[-0.104, -0.0376, -0.1181]","[0.5541, 0.4877, 0.5682]","[None, None, None]","[None, None, None]","[0.5285, 0.4621, 0.5426]","[0.9869, 0.9205, 0.999]","[0.9758, 0.9578, 0.9617]","[0.9731, 0.9605, 0.959]","[0.9856, 0.9192, 0.9997]","[None, None, None]","[-0.8065, -0.7401, -0.8206]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LCTX.TA,"[0.6484, 0.634, 0.5826]","[0.8186, 0.8329, 0.8844]","[0.6334, 0.6191, 0.5676]","[0.7564, 0.7421, 0.6906]","[-0.242, -0.2563, -0.3078]","[-1.0, -1.0, -1.0]","[0.9866, 0.9991, 0.9476]","[0.9149, 0.9292, 0.9807]","[0.9675, 0.9532, 0.9017]","[None, None, None]","[0.4424, 0.4568, 0.5082]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[1.0, 0.9857, 0.9342]"
LPSN.TA,"[0.9058, 0.8319, 0.8956]","[-0.6212, -0.5473, -0.611]","[None, None, None]","[-0.1122, -0.0382, -0.1019]","[-1.0, -1.0, -1.0]","[0.9999, 0.926, 0.9897]","[0.9381, 0.8642, 0.9279]","[0.9055, 0.8315, 0.8952]","[0.6132, 0.6872, 0.6235]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.999, 0.9271, 0.9908]","[0.9851, 0.9409, 0.9954]","[-0.6087, -0.5348, -0.5984]"
MLTM.TA,"[-0.0021, -0.0638, -0.0343]","[0.6163, 0.6781, 0.6485]","[0.9368, 0.9985, 0.969]","[0.8586, 0.9203, 0.8908]","[-0.1993, -0.1375, -0.1671]","[None, None, None]","[0.9978, 0.9404, 0.97]","[None, None, None]","[0.9896, 0.9486, 0.9782]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.0, 0.9383, 0.9678]","[0.5778, 0.6395, 0.6099]"
MTRX.TA,"[0.0034, -0.0097, 0.0963]","[0.0386, 0.0255, 0.1315]","[0.019, 0.0058, 0.1119]","[0.0375, 0.0244, 0.1304]","[0.7872, 0.8003, 0.6943]","[-1.0, -1.0, -1.0]","[0.9727, 0.9858, 0.8798]","[-0.8288, -0.8419, -0.7359]","[0.9093, 0.8962, 0.9978]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MTRN.TA,"[0.6093, 0.5784, 0.6594]","[0.9505, 0.9196, 0.9994]","[0.7249, 0.6939, 0.7749]","[0.8901, 0.8591, 0.9401]","[0.716, 0.7469, 0.666]","[0.1411, 0.172, 0.0911]","[0.9203, 0.9512, 0.8703]","[0.8242, 0.8552, 0.7742]","[0.87, 0.8391, 0.9201]","[1.0, 0.9691, 0.95]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MDTR.TA,"[-0.0111, -0.0037, 0.1028]","[0.2658, 0.2733, 0.3797]","[0.0963, 0.1037, 0.2102]","[0.525, 0.5324, 0.6389]","[0.716, 0.7086, 0.6021]","[0.8613, 0.8538, 0.7473]","[0.9977, 0.9949, 0.8884]","[0.9885, 0.981, 0.8746]","[0.9581, 0.9655, 0.928]","[1.0, 0.9926, 0.8861]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.1622, -0.1547, -0.0483]"
MLSR.TA,"[None, None, None]","[-0.8941, -0.8574, -0.8673]","[-0.052, -0.0152, -0.0251]","[-0.4138, -0.377, -0.3869]","[0.6833, 0.6465, 0.6564]","[0.2245, 0.1878, 0.1977]","[0.8296, 0.8664, 0.8565]","[0.2095, 0.2462, 0.2363]","[0.8371, 0.8738, 0.864]","[None, None, None]","[None, None, None]","[None, None, None]","[0.7591, 0.7959, 0.786]","[0.9999, 0.9633, 0.9732]","[None, None, None]"
MNIN.TA,"[0.0019, 0.0795, 0.0763]","[0.0017, 0.0794, 0.0761]","[0.0019, 0.0796, 0.0763]","[0.0017, 0.0794, 0.0761]","[0.0017, -0.076, -0.0727]","[0.0014, -0.0762, -0.073]","[0.001, 0.0787, 0.0754]","[0.001, 0.0786, 0.0754]","[0.001, 0.0787, 0.0754]","[0.001, 0.0787, 0.0754]","[0.0017, 0.0793, 0.0761]","[0.0024, 0.08, 0.0768]","[0.0009, 0.0786, 0.0753]","[None, None, None]","[0.3548, 0.2772, 0.2805]"
MNIF.TA,"[1.0, 0.9903, 0.9052]","[0.3263, 0.3361, 0.2315]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.263, 0.2727, 0.1682]","[1.0, 0.9903, 0.9052]","[1.0, 0.9903, 0.9052]","[0.9257, 0.9354, 0.8309]","[-0.1176, -0.1079, -0.2124]","[None, None, None]","[1.0, 0.9903, 0.9052]","[1.0, 0.9903, 0.9052]","[1.0, 0.9903, 0.9052]","[0.3247, 0.3344, 0.2299]"
MNRT.TA,"[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.3874, 0.3967, 0.4039]","[0.8846, 0.8939, 0.9011]","[0.8517, 0.861, 0.8682]","[0.9866, 0.9773, 0.9701]","[1.0, 0.9907, 0.9835]","[None, None, None]","[None, None, None]","[0.9869, 0.9776, 0.9704]","[None, None, None]","[-1.0, -1.0, -1.0]"
MMHD.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.0, 0.0126, 0.1042]","[0.0014, 0.014, 0.1056]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.0002, -0.0128, -0.1044]","[0.0, -0.0126, -0.1042]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]"
MCLL.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MGDL.TA,"[0.2664, 0.2689, 0.3812]","[0.9974, 0.9949, 0.8827]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9992, 0.9983, 0.8861]","[0.9992, 0.9983, 0.8861]","[0.9991, 0.9966, 0.8844]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
