,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Dividends Paid,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares,Earnings Per Share (EPS)
SCC.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
STRS.TA,"[-0.1583, -0.1406, -0.1712]","[-0.1041, -0.0864, -0.117]","[-0.1086, -0.0909, -0.1215]","[-0.2005, -0.1828, -0.2134]","[-0.4188, -0.4366, -0.4059]","[-0.0283, -0.0106, -0.0412]","[0.8899, 0.9076, 0.877]","[-1.0, -1.0, -1.0]","[0.941, 0.9587, 0.9281]","[None, None, None]","[None, None, None]","[0.5945, 0.6122, 0.5816]","[0.8364, 0.8541, 0.8235]","[None, None, None]","[0.6261, 0.6084, 0.639]"
SMT.TA,"[0.5928, 0.5686, 0.4838]","[-0.1748, -0.199, -0.2839]","[1.0, 0.9758, 0.891]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9965, 0.9723, 0.8874]","[0.9965, 0.9794, 0.8945]","[0.001, -0.0232, -0.108]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.9995, 0.9764, 0.8915]","[None, None, None]"
SNFL.TA,"[0.9975, 0.8946, 0.8621]","[-1.0, -0.9865, -0.954]","[1.0, 0.8971, 0.8646]","[0.7251, 0.6223, 0.5897]","[0.5184, 0.6213, 0.6538]","[1.0, 0.8971, 0.8646]","[0.9558, 0.9413, 0.9088]","[0.8453, 0.9482, 0.9808]","[0.7656, 0.8685, 0.901]","[None, None, None]","[1.0, 0.8971, 0.8646]","[0.4452, 0.548, 0.5806]","[0.997, 0.8942, 0.8616]","[None, None, None]","[-0.875, -0.7721, -0.7396]"
SNCM.TA,"[0.811, 0.823, 0.9526]","[0.5741, 0.5862, 0.7158]","[0.6143, 0.6264, 0.756]","[0.271, 0.283, 0.4126]","[0.4221, 0.4101, 0.2805]","[-0.321, -0.3331, -0.4627]","[0.8988, 0.9108, 0.9596]","[0.9839, 0.9719, 0.8423]","[0.9783, 0.9663, 0.8367]","[1.0, 0.988, 0.8584]","[None, None, None]","[0.2436, 0.2556, 0.3852]","[0.9686, 0.9806, 0.8898]","[1.0, 0.988, 0.8584]","[0.54, 0.552, 0.6816]"
SNEL.TA,"[0.042, -0.0916, 0.0336]","[-0.0777, -0.2113, -0.0861]","[0.0066, -0.127, -0.0018]","[-0.2728, -0.4064, -0.2811]","[-0.2834, -0.1497, -0.275]","[None, None, None]","[0.9975, 0.8689, 0.9941]","[-0.7224, -0.8561, -0.7308]","[0.9513, 0.8176, 0.9429]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TMRP.TA,"[None, None, None]","[-0.1455, 0.0303, 0.1367]","[None, None, None]","[0.0289, 0.2047, 0.3111]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9845, 0.8397, 0.7332]","[0.992, 0.8322, 0.7258]","[0.9664, 0.8578, 0.7513]","[1.0, 0.8242, 0.7178]","[None, None, None]","[None, None, None]","[0.9661, 0.8581, 0.7516]","[1.0, 0.8242, 0.7178]","[0.6579, 0.4821, 0.3757]"
TRA.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[1.0, 0.943, 0.8554]"
TFRLF.TA,"[-0.1907, -0.1968, -0.0034]","[-0.6012, -0.6073, -0.4139]","[-0.0727, -0.0788, 0.1146]","[-0.2478, -0.2539, -0.0605]","[-1.0, -1.0, -1.0]","[-0.4391, -0.4452, -0.2518]","[0.9803, 0.9742, 0.8323]","[-1.0, -1.0, -1.0]","[0.9459, 0.9398, 0.8668]","[None, None, None]","[0.5645, 0.5584, 0.7518]","[0.7965, 0.8026, 0.6092]","[0.9631, 0.9692, 0.7758]","[None, None, None]","[-0.6, -0.6061, -0.4127]"
TRLT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TRX.TA,"[-0.1069, -0.0088, -0.1858]","[0.0782, 0.1763, -0.0007]","[-0.2049, -0.1068, -0.2838]","[-0.4433, -0.3452, -0.5222]","[-1.0, -1.0, -1.0]","[-0.1092, -0.2074, -0.0304]","[0.981, 0.8829, 0.9401]","[0.2338, 0.332, 0.155]","[0.9798, 0.9221, 0.9009]","[None, None, None]","[-1.0, -1.0, -1.0]","[1.0, 0.9019, 0.9211]","[0.7685, 0.8666, 0.6896]","[None, None, None]","[0.2222, 0.3203, 0.1433]"
TEVA.TA,"[0.9407, 0.9773, 0.927]","[-1.0, -1.0, -1.0]","[0.8647, 0.9013, 0.997]","[-1.0, -1.0, -1.0]","[0.3315, 0.3681, 0.4637]","[0.9221, 0.8855, 0.7899]","[0.9917, 0.9551, 0.8595]","[0.5517, 0.5883, 0.6839]","[0.9807, 0.9441, 0.8484]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.0645, 0.1011, 0.1967]","[0.9507, 0.9141, 0.8184]","[0.9955, 0.9679, 0.8723]","[-1.0, -1.0, -1.0]"
ILCO.TA,"[0.8742, 0.8499, 0.9541]","[0.5983, 0.574, 0.6782]","[None, None, None]","[0.1518, 0.1276, 0.2317]","[None, None, None]","[None, None, None]","[0.9619, 0.9377, 0.9582]","[0.9179, 0.8937, 0.9978]","[-0.3848, -0.3605, -0.4647]","[None, None, None]","[None, None, None]","[0.2934, 0.2691, 0.3733]","[0.9102, 0.8859, 0.9901]","[None, None, None]","[None, None, None]"
TTAM.TA,"[0.8931, 0.8834, 0.8735]","[0.4896, 0.4799, 0.47]","[0.8952, 0.8855, 0.8756]","[0.6632, 0.6535, 0.6435]","[0.5845, 0.5943, 0.6042]","[-1.0, -1.0, -1.0]","[0.999, 0.9893, 0.9794]","[0.9253, 0.935, 0.945]","[0.7395, 0.7298, 0.7199]","[0.4025, 0.3928, 0.3829]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.3333, 0.3236, 0.3137]"
TOEN.TA,"[0.0094, 0.0562, 0.213]","[-0.4385, -0.3917, -0.2349]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[1.0, 0.9532, 0.7964]","[0.8878, 0.841, 0.6842]","[0.3276, 0.3744, 0.5312]","[0.9807, 0.9725, 0.8158]","[None, None, None]","[-0.6242, -0.5774, -0.4206]","[0.3701, 0.4169, 0.5737]","[0.945, 0.8982, 0.7414]","[None, None, None]","[-0.25, -0.2032, -0.0464]"
TOPS.TA,"[0.0042, 0.1115, 0.123]","[0.004, 0.1114, 0.1228]","[0.0043, 0.1117, 0.1231]","[0.0035, 0.1109, 0.1223]","[0.0411, -0.0663, -0.0777]","[0.0021, -0.1053, -0.1168]","[0.001, 0.1084, 0.1199]","[0.0009, 0.1083, 0.1198]","[0.0011, 0.1085, 0.1199]","[None, None, None]","[None, None, None]","[0.001, 0.1084, 0.1199]","[0.001, 0.1084, 0.1199]","[None, None, None]","[-1.0, -1.0, -1.0]"
TRPZ.TA,"[0.0093, 0.0898, -0.1632]","[0.1646, 0.2451, -0.0079]","[0.0511, 0.1316, -0.1214]","[0.1488, 0.2293, -0.0237]","[0.7612, 0.6807, 0.9337]","[0.3913, 0.3108, 0.5638]","[0.9786, 0.8981, 0.8489]","[0.4784, 0.5589, 0.3059]","[0.9746, 0.9449, 0.8021]","[1.0, 0.9195, 0.8275]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.3333, 0.4138, 0.1608]"
WATR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
WILC.TA,"[0.8534, 0.8648, 0.97]","[0.4537, 0.4651, 0.5704]","[0.6525, 0.6639, 0.7692]","[0.0769, 0.0883, 0.1936]","[0.8013, 0.7899, 0.6846]","[-1.0, -1.0, -1.0]","[0.9481, 0.9595, 0.9352]","[0.5795, 0.5909, 0.6962]","[0.9905, 0.9791, 0.8738]","[None, None, None]","[-0.0461, -0.0575, -0.1628]","[None, None, None]","[None, None, None]","[1.0, 0.9886, 0.8833]","[0.5128, 0.5242, 0.6295]"
