Ticker,MSE,MAE,MAPE,R2
GLRS.TA,959352.2841,680.150463,0.012876955,0.908235376
GOTO.TA,3116.226448,21.38989743,0.053288491,-8.081605702
GRIN.TA,1706.327097,32.91176967,0.024402373,0.954400014
GOLD.TA,53905.21791,154.3895222,0.00880464,0.989900117
GOHO.TA,4691.231025,51.03606851,0.022415018,0.870222662
GOLF.TA,18.57315287,3.229266568,0.00507396,0.996242675
GRAC.TA,2188.389155,39.20674122,0.024168137,0.454720384
G107.TA,21.51988472,2.629139876,0.048170082,0.254969419
GUID.TA,1119.687953,18.16298558,1.176241519,0.980396111
HDST-M.TA,207.9516811,7.279826193,0.165480317,-1.149970647
HGG.TA,351.4492703,14.76053941,0.006598466,0.997618575
HGGE.TA,193.2200997,9.723780398,0.014035949,0.942849921
HMAM.TA,12.90657732,2.186304566,0.005568269,0.953678102
MSBI.TA,1.095381534,0.674703639,0.005382458,0.991983472
HAMAT.TA,577.0985191,16.7636949,0.010200348,0.990176805
HARL.TA,97197.32374,200.3932709,0.034860161,0.896636307
HICN.TA,14128.49221,57.47031499,1.196344833,-12.94665115
HLAN.TA,58975.01074,211.1091663,0.009509281,0.971686211
HIPR.TA,686.7147505,24.64550753,0.013401565,0.943372795
HRON.TA,9447305.896,2165.045675,0.009090699,0.965214979
HIVE.TA,0.047163313,0.186557235,0.191364823,-0.824171397
HOD.TA,1097.516208,25.94762707,0.005616724,0.997241947
HLMS.TA,115.914929,8.365538311,0.013718265,0.96165683
HMGS.TA,17883.05145,66.6935196,0.413232427,-3.133515606
HUMX.TA,45.08862747,5.096352675,0.157436776,-2.732772734
IARG.TA,51.94899593,5.419256863,0.065876633,0.431931993
ICL.TA,112.3418127,8.014728199,0.004451315,0.998329848
ICON.TA,211.2000999,13.65225967,0.030696928,-0.370383752
IDNT.TA,2026.893495,31.18007755,0.082957593,0.873114933
IDIN.TA,114534.8778,233.6489569,0.015281929,0.956425854
IDMO.TA,606.4012115,11.55229391,0.028503435,0.41591296
IES.TA,30088.99432,142.6004957,0.005939329,0.994521279
INTO.TA,5915.901414,58.68705706,0.125408498,0.909309647
ILDR.TA,65.55699668,5.071605526,0.00646183,0.971053213
ILX.TA,2128.392892,31.77063086,0.004440878,0.99421276
ISI.TA,140.6124761,10.07288631,0.007335016,0.977396947
IMCO.TA,15585.54288,92.79336478,0.024309877,0.929336184
IMED.TA,308020.5036,357.1434536,8.427502255,-1746.976612
INRM.TA,57.18363294,5.729974345,0.003526822,0.998790285
ININ.TA,84.93952105,5.274709603,0.020666894,0.574332944
INCR.TA,53.02820711,4.358860424,0.007427163,0.988746759
INTR.TA,68782.21042,199.2272936,0.030369328,0.201958197
IGLD.TA,774108399.4,13396.46257,26.12361379,-105619.102
ISCN.TA,603.6844322,21.74043748,0.014580065,0.946865874
ILDC.TA,117.9032586,8.677799587,0.002537972,0.997244456
ISOP.TA,3.02008826,0.810193888,0.007928762,0.991505939
ISHI.TA,7380.939943,57.19870707,0.005536135,0.998275978
ISRG.TA,5.389937062,2.028680929,0.009690029,0.907574444
ISRA.TA,28.71240709,4.750144008,0.024070538,0.935235584
ISRS.TA,145062.8212,310.9470223,0.003727842,0.996497281
ISRO.TA,8360.438533,66.6531339,0.008065236,0.973658756
ISTA.TA,8238.52059,72.71667256,0.007986278,0.988433422
JCFN.TA,2118.316854,23.59413189,0.010086155,0.897712563
JBNK.TA,884.3843421,22.26473293,0.012909015,0.985145608
JNGO.TA,1369.246342,32.90342759,0.091772043,-3.644665946
KDST.TA,2701.937351,30.0495827,0.024798543,0.984353137
KAFR.TA,489.7358518,16.3891094,0.005727288,0.995396537
KMDA.TA,307.58458,12.6683378,0.005203756,0.995589638
KRDI.TA,36.51389482,5.208910024,0.016363994,0.977060521
KARE.TA,75.35251308,3.219276814,0.005733006,0.98191563
KEN.TA,3754.611231,46.86103451,0.004224629,0.99243154
KRUR.TA,1422.398307,25.4417109,0.00336477,0.997194674
KSTN.TA,37.43553404,4.460293288,0.006516751,0.987626483
KLIL.TA,10528.49875,78.01577681,0.003309591,0.998814617
KNFM.TA,2340.773571,39.37008147,0.025596014,0.939708381
LHIS.TA,24880.93808,131.4054612,0.187582809,0.779405144
LAHAV.TA,39.07010535,5.263530467,0.010527957,0.992844921
LPHL.TA,0.87498935,0.706216863,0.006394984,0.90147287
LSCO.TA,8.988848335,2.007510989,0.005508096,0.995701214
LUMI.TA,11193.26178,86.92762252,0.019488377,0.95114475
LEOF.TA,73.80234947,5.078603433,0.014972776,0.9862527
LEVI.TA,132406.3649,275.0155777,0.007317856,0.996861056
LVPR.TA,294609.3433,125.4597262,0.764886535,0.860197414
LBRA.TA,954.066006,24.08573776,0.022418991,0.757003936
LCTX.TA,30.69871484,3.646667062,0.01575621,0.991645997
LPSN.TA,4257.159122,46.47820728,0.111014622,0.235487033
LODZ.TA,61968.55921,234.4497229,0.133591969,0.847149384
LUDN.TA,321.4496672,13.78057535,0.006617751,0.995573874
LUZN.TA,9.387334189,1.966139819,0.007068901,0.962577621
LURO.TA,4182.855681,56.83117805,0.025400599,-2.731327714
MGIC.TA,1823.675725,21.76821506,0.004893962,0.958119896
MLTM.TA,23809.47207,128.038067,0.015263649,0.988573268
MSLA.TA,71.63078746,5.859570439,0.004489449,0.894855863
MSVT.TA,1745.200453,16.35667747,0.137717178,-4.27315952
