,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Number of Outstanding Shares,Dividends Paid
LPHL.TA,297.02,,806.38,,-4.35,2.2,,,-63.92,,,,,,
LSCO.TA,,,,,10.4,7.56,,,16.86,,,,,,
LEOF.TA,263.0,-67.66,0.0,685.3,0.0,0.0,,,0.0,,,,,,
LCTX.TA,,,,,,,,,,,,,,,
LPSN.TA,10.86,0.36,0.0,,-0.07,-0.31,,1.62,0.64,0.37,21.34,-114.63,141.16,1.7,
MLTM.TA,98.93,74.38,74.78,91.84,0.0,0.0,27.22,3.08,2.22,,,,,0.0,
MTRX.TA,96.0,99.28,2.6,102.18,0.53,-18.45,26.05,-10.56,1.02,100.55,,-372.97,-24.1,,290.63
MAXO.TA,83.71,68.4,62.5,85.77,-7.48,-32.52,91.57,-14.96,-27.37,77.51,,,,,
MTRN.TA,118.96,120.7,120.0,119.81,5.12,-13.84,-14.36,-0.38,20.3,122.54,,,,,0.16
MDPR.TA,,,,,,,,,,,,,,0.78,
MNIN.TA,101.27,98.57,98.98,100.86,-0.07,-3.04,-4.37,-10.82,3.53,90.63,4.17,-228.98,-123.7,,0.0
MNRT.TA,,122.68,100.0,,10.93,-2.56,,0.14,1.83,,87.63,-41.92,1566.59,,200.0
MGRT.TA,,162.37,160.0,,11.81,,,,5.67,,,,,,
MCRNT.TA,224.75,-53.34,,7719.35,125.51,13.66,-100.0,,307.51,,,,,,
MLD.TA,139.81,29.37,,115.16,-40.83,-39.16,,,-38.57,7.7,,,,,
MZTF.TA,,-99.9,,,-91.91,-91.22,,-29.58,-99.53,,-99.94,184.11,-104.24,,
MLRN.TA,,138.71,140.91,,21.79,,,,4.81,,,,,0.0,392.31
MDIN.TA,152.44,175.38,156.62,,179.04,32.13,,,,138.12,,,,,
NXTM.TA,110.55,76.45,,89.79,-0.78,14.7,,,,,,,,0.0,
NXFR.TA,0.0,0.0,345.24,0.0,-1.52,21.49,,,-13.45,0.0,,,,,
NICE.TA,0.22,-14.96,-14.1,-0.53,-0.41,-5.57,,0.47,2.95,-3.75,-50.44,1.55,-86.37,-0.32,
NISA.TA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-221.19,,
NSTR.TA,,,,,,,,,,,,,,,
NVLG.TA,-44.8,0.0,0.0,-42.48,0.0,0.0,-99.61,-99.69,0.0,,-56.28,0.0,0.0,0.0,
OPCE.TA,,,,,-66.55,-58.03,,,-85.79,,,,,,
OPK.TA,-18.86,-152.09,-160.0,,-3.89,-17.49,,,2.72,-85.45,,,,0.96,
ORAD.TA,91.63,38.36,0.0,86.96,-8.26,,,,2.26,52.43,26.79,-283.33,-356.52,,
ORMP.TA,98.66,-82.73,273.91,,50.49,-4.26,,,75.25,,-52.81,-276.06,4339.08,18.81,
ORIN.TA,213.32,-28.51,,300.2,3.38,4.78,23.93,3.93,-5.43,,,,,,
