,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Earnings Per Share (EPS),Dividends Paid,Number of Outstanding Shares,Short-Term Debt,Long-Term Debt
RTEN.TA,-51.71,0.0,0.0,0.0,,,,0.0,-82.38,-68.67,8.42,,,,
SCOP.TA,30871.06,34375.28,31699.77,34619.37,,-89430.64,30193.31,107086.42,131325.02,103195.86,-65.73,44720.51,,631769.88,75609.48
SLARL.TA,41088.17,772900.28,287707.11,581848.22,43404.41,-422453.22,88699.37,277544.01,157845.61,2551117.4,,,,59519.87,347411.38
SPEN.TA,23584.78,,25312.6,16972.28,,,,104969.55,114145.26,101877.8,-79.51,99900.0,,39317.63,55682.43
SHOM.TA,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0
SKLN.TA,-76.39,-97.7,,-74.74,,-111.53,96.82,-3.24,-6.12,-0.51,-95.68,,,,
SOLR.TA,-65.87,,-99.05,,-166.35,-14726.0,1106.94,-24.44,8.22,-69.03,,,,,34.68
TDRN.TA,34822.72,27652.88,28621.6,28202.68,,,,163020.53,80581.04,99900.0,-71.59,,,,
TMRP.TA,0.0,-55.04,,,,,,0.02,-0.88,2.47,,,0.0,,
TFRLF.TA,-79.71,-77.98,-77.25,-79.42,,86.87,201.17,15.07,155.21,-68.53,,,,0.0,-25.46
TRX.TA,26505.45,-30839.42,25743.96,-844172.16,,-1234628.98,44181.95,117477.26,116830.95,,71.79,,,1007761.32,
TEVA.TA,-76.94,-328.3,-77.09,-141.55,-106.14,-89.43,100.09,-1.27,44.91,-9.09,-326.32,,0.0,45.65,-3.59
ILCO.TA,36204.82,363536.36,60989.3,75255.05,,,,107289.28,100125.68,,,,,,
TIGBUR.TA,26770.59,28878.94,28742.55,,,,,108064.14,90703.4,,41.18,,-0.0,,
TSEM.TA,-72.08,-64.0,-68.09,-62.28,-67.46,67.41,60.32,1.74,-0.55,2.62,-64.75,,2.09,-6.8,-17.57
VRDS.TA,26001.36,39319.85,22355.33,15323.3,,-14798.52,-16770.08,110629.14,99900.0,127352.36,-49.15,,,,
VTNA.TA,,-92.65,-71.82,,,0.0,-8761.55,-11.41,-16.91,-2.95,-92.83,60.0,,,-12.45
WATR.TA,0.0,-117.18,0.0,0.0,9.6,-61.39,30.93,-2.04,-3.86,2.21,,,,,-22.42
WLFD.TA,-74.01,-68.53,-75.24,-81.08,,245.67,98.01,1.64,149.26,-12.29,-68.53,,0.0,,
WILC.TA,,,,,,,,,,,,,0.0,,
XTLB.TA,,16.32,,75.85,,,,0.05,-26.28,9.58,0.0,,2.43,,
