,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
KAFR.TA,52.96,51.03,18.87,53.25,58.81,-21.06,77.93,-3.12,-5.58,1.44,,22.07,25.12,50.0,
KMDA.TA,53.17,78.29,75.0,65.43,88.5,-8.38,-1.5,0.12,-2.26,4.1,-40.6,,,,
KRDI.TA,-34.28,40.71,0.0,-43.42,34.26,-92.46,-15.14,-11.68,-4.12,-12.53,3.5,-13.48,,,-100.0
KEN.TA,,,,,,,,,,,,,,,
KRUR.TA,219.6,257.01,,218.72,70.86,-125.47,0.0,-1.29,856.74,2.31,,,,,
KLIL.TA,-42.22,-15.43,,-41.42,-36.95,,,2.97,,2.07,,,,,
KNFM.TA,,-277.01,,,60.86,,,,,214.96,,,,,
LAHAV.TA,,,,,,,,,,,,,,,
LUMI.TA,,,,,,,,,,,,,,,
LEVI.TA,0.0,-59.13,0.0,0.0,-59.49,0.0,204.18,0.0,0.0,0.0,,0.0,199.36,0.0,
LCTX.TA,-26.7,-19.17,-25.0,50.8,-5.05,1.49,4981.34,-8.02,-10.29,-7.69,-52.32,,,,0.11
LPSN.TA,3.5,-107.82,-107.14,,160.49,-40.83,65.43,1.96,8.31,-14.43,,,1.5,,1.22
LUZN.TA,,,,,,,,,,,,,,,
MLTM.TA,48.22,82.12,83.39,59.04,73.44,3.64,-301.81,-1.19,43.95,4.01,,,,,0.0
MTRX.TA,53.29,53.43,52.0,54.54,54.42,,,2.41,0.39,2.01,,78.5,-13.34,44.98,
MTRN.TA,149.95,178.12,119.12,145.53,180.45,,,21.32,16.15,-5.34,,,0.07,292.86,
MDTR.TA,51.24,-99.97,,46.16,,209.83,26.32,1.3,1.99,-0.93,,,11.01,,
MGOR.TA,,34.35,,,39.59,,,5.9,44.13,7.66,,,,,
MLSR.TA,23.4,339.56,,,,62.2,121.26,4.26,-0.97,6.27,,,4.08,0.0,
MNIN.TA,51.14,26.5,,54.79,69.99,-7.45,-41.64,-1.11,-1.79,-0.11,8.8,78.21,15.55,,
MMHD.TA,-24.72,6.19,109.09,,,,,-99.9,-97.41,-241600.0,,,,,
MCRNT.TA,76.97,-24.2,,1692.86,-0.07,74.75,-81.71,-29.19,-2.88,-221.8,-468.07,-4.62,,,
MGDL.TA,,,,,,,,-96.51,-96.61,,,,,,
MLD.TA,,,,,,,,99900.0,105325.79,,,,,,
MSHR.TA,-12.21,-49.65,,57.65,-166.59,-39.63,-20.72,-1.05,-1.11,-0.92,-19.54,,,,
MZTF.TA,,-46.03,,,,,,19.03,5.43,9.72,,,,,
MYDS.TA,,,,,,,,8.11,6.66,9.97,,,,,
NFTA.TA,53.76,1104.95,93.71,52.58,150.36,,,-0.95,-9.21,8.25,,,-87.89,,
NVPT.TA,,-6036.36,,,-3082.46,,,102.53,51.08,4774.71,,455.86,,,
NTO.TA,-99.85,-99.86,30.82,-99.84,-99.82,-12.0,99.52,-99.9,-99.9,-99.9,-75.86,,,-99.9,
NTML.TA,,,,,,,,7.73,144.29,,,,,,
NXTM.TA,60.88,119.63,191.67,65.53,,-810.31,277.79,18.34,110.2,6.91,,,,,0.08
NISA.TA,-4.68,-31.88,,16.3,33.77,-259.65,-412.82,-7.0,82.87,-11.7,52.05,49.11,57.19,,
NSTR.TA,,-90.0,-92.27,,,-99.85,100.01,-99.9,-99.9,-99.47,175.0,,,,
OPCE.TA,69.33,84.35,315.38,67.8,,-26.63,15.81,3.8,4.16,-3.49,,,-32.5,,
OPK.TA,42.12,-29.62,-20.0,84.33,-46.36,,,2.05,1.65,2.23,,-94.13,,,0.02
ORMP.TA,50.52,-36.66,-25.71,,-35.17,-191.84,857.84,54.46,-19.79,112.01,-50.67,,-8.43,,10.49
ORBI.TA,53.8,96.19,74.36,70.78,118.94,72.46,-10.77,3.72,-30.58,4.62,-114.99,-99.54,-99.35,,
ORIN.TA,57.46,91.55,92.31,57.32,20.39,-19.04,66.0,2.1,-1.01,4.1,-58.25,15.41,-38.44,,0.0
ORA.TA,-9.12,-31.97,-31.11,-17.37,7.51,,,3.0,4.79,0.79,,-41.6,-57.05,,100368.23
PLRM.TA,-99.85,-99.83,68.96,-99.84,-99.83,-194500.0,-165896.94,-99.9,-99.85,-99.89,,,,-99.85,
PTNR.TA,3.36,-171.43,-175.0,1.65,0.0,-61.49,-154.29,1.28,2.0,-0.12,7.25,,,,0.04
PAYT.TA,57.05,182.25,140.74,49.91,156.2,-150.15,,14.08,20.21,13.2,,,,,
PAZ.TA,,,,99.26,-214.34,,-2147.8,-1.66,1.14,-7.93,,,,0.0,
PLSN.TA,52.6,62.29,63.98,52.87,62.68,-55.68,-63.62,-0.28,-1.16,-0.1,,,24.63,0.0,
PLUR.TA,0.0,-55.57,-48.84,-99.9,-54.55,6.32,90.41,-7.4,-7.4,-10.94,-48.04,,,,-1.74
POLI.TA,61346.85,18446.81,177.42,,,,,329156.35,2467478.1,28392.36,,,,,
RMN.TA,,-99.92,-22.86,-99.9,-99.9,-99.9,99.77,-99.9,-99.97,-99.9,-99.61,,,,
RAVD.TA,468.11,-19.76,,155.11,415.33,-441.03,139.31,1.27,82.94,2.8,,-4.91,-36.17,,
RVL.TA,0.1,0.0,0.0,0.0,,55.95,62.6,0.0,79.5,,45.04,0.0,,,0.0
RIT1.TA,50.0,103.85,-5.3,,,,-76.26,7.99,4.84,0.3,,1285.08,-2.98,,0.58
