,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
LAHAV.TA,0.0,0.0,3.43,-51.59,-0.87,6.6,3.58,2.96
LSCO.TA,0.0,0.0,,,,,,
LBRA.TA,0.0,0.0,,,,,,
LCTX.TA,0.0,0.0,168.39,47.33,174.27,34.55,-6.04,
LPSN.TA,0.0,0.0,-7.05,-167.73,-15.28,17.92,-1.67,0.35
MGIC.TA,0.0,0.0,4.93,-7.53,2.16,-0.59,-0.13,-0.59
MTLF.TA,,0.0,,,,,,
MTRX.TA,0.0,0.0,6.46,-7.34,1.62,-2.76,4.2,-13.77
MAXO.TA,0.0,0.0,17.73,21.27,16.73,24.41,4.18,-23.76
MTRN.TA,0.0,0.0,-47.18,-146.11,-50.78,-105.55,-5.61,-10.29
MEDN.TA,0.0,0.0,-28.87,35.34,34.08,28.2,30.61,2047.64
MLSR.TA,0.0,0.0,6.26,-13.37,1.59,2.25,0.81,-15.55
MNIN.TA,0.0,0.0,23.96,71.27,20.15,52.22,5.42,-7.36
MCRNT.TA,0.0,0.0,,,,,,
MLD.TA,,0.0,,,,,,
MZTF.TA,0.0,0.0,-0.99,-1.86,,,2.32,
MLRN.TA,0.0,0.0,,,,,,
NFTA.TA,0.0,0.0,12.42,-14.42,20.56,24.51,3.65,-0.22
NYAX.TA,0.0,0.0,6.3,122.97,9.78,55.49,2.9,-59.63
NTGR.TA,0.0,0.0,68.53,93.78,98.34,338.78,0.62,-5.54
NTNB.TA,,0.0,,,,,,
NXTG.TA,0.0,0.0,,,,,,
NXTM.TA,0.0,0.0,27.66,482.62,37.77,79.02,3.17,-0.91
NXFR.TA,0.0,0.0,,,,,,
NXGN.TA,0.0,0.0,,,,,,
NISA.TA,0.0,0.0,-0.26,-98.47,-11.38,-20.07,-0.75,5.04
NVMI.TA,0.0,0.0,14.1,13.59,9.48,7.92,6.93,
NVLG.TA,0.0,0.0,8.82,-10.37,2.01,4.72,11.84,
NURI.TA,,0.0,,,,,,
OPCE.TA,0.0,0.0,30.61,606.25,86.49,188.37,4.02,-0.65
OPK.TA,0.0,0.0,-4.7,341.53,-22.31,-73.95,13.95,138.05
ORAD.TA,0.0,0.0,,,,,,
ORMP.TA,0.0,0.0,,-312.97,,1.47,-10.39,
ORA.TA,0.0,0.0,-0.55,-0.72,-4.11,-3.7,1.52,1.73
OVRS.TA,0.0,0.0,,,,,,
PLRM.TA,0.0,0.0,-0.82,-5.22,-1.47,-4.79,8.37,
PTNR.TA,0.0,0.0,3.4,49.12,12.26,36.25,3.62,0.0
PEN.TA,0.0,0.0,16.4,36.9,,,-0.87,
PERI.TA,0.0,0.0,-5.97,134.05,-6.13,37.18,-4.76,
PTCH.TA,,0.0,,,,,,
PHTM.TA,0.0,0.0,,,,,,
PLCR.TA,0.0,0.0,,,,,,
PMVM.TA,0.0,0.0,,,,,,
PRSK.TA,0.0,0.0,10.75,-48.21,-17.98,-19.91,2.55,0.89
PRTC.TA,0.0,0.0,1.03,-2.18,,-40.35,4.35,1.21
PRPD.TA,,0.0,,,,,,
PULS.TA,0.0,0.0,,,,,,
PPBT.TA,0.0,0.0,,72.43,,34.49,-2.66,
QLTU.TA,0.0,0.0,,,,,,
QLRD.TA,0.0,0.0,,,,,,
RANI.TA,0.0,0.0,51.02,147800.0,4.72,58.94,4.77,-3.04
RAVD.TA,0.0,0.0,,,,,,
RVL.TA,0.0,0.0,4.59,-18.39,6.93,29.87,-1.92,21.84
RAYG-M.TA,,0.0,,,,,,
RZR.TA,0.0,0.0,,,,,,
RIT1.TA,0.0,0.0,6.15,-73.02,5.64,5.98,2.38,-2.6
REKA.TA,0.0,0.0,26.93,-138.94,17.21,16.44,0.56,-1.74
RTLS.TA,0.0,0.0,4.1,51.76,6.87,17.94,4.35,-7.14
RIMO.TA,0.0,0.0,-2.08,-24.36,-14.95,-20.13,-4.22,
RSEL.TA,0.0,0.0,,,,,,
SPNS.TA,0.0,0.0,0.16,-1.51,0.32,-0.63,2.36,0.05
SARN.TA,0.0,0.0,11.05,-4.14,5.74,17.06,1384.51,-4.9
SVRE.TA,0.0,0.0,,,,,,
SVRT.TA,0.0,0.0,,,,,,
SCDX.TA,0.0,0.0,,,,,,
SLARL.TA,0.0,0.0,1.4,241.86,2.42,2.47,1.53,1.27
SHGR.TA,0.0,0.0,11.57,278.03,10.45,40.03,2.24,-7.74
SPEN.TA,0.0,0.0,15.33,33.33,27.95,55.7,0.4,4.68
SHOM.TA,0.0,0.0,,,,,,
SAE.TA,0.0,0.0,2.6,43.64,2.64,1.53,4.86,-0.84
SKLN.TA,0.0,0.0,,,,,,
SONO.TA,0.0,,,,,,,
SPDV.TA,0.0,0.0,,,,,,
SPRG.TA,0.0,0.0,,,,,,
SPNTC.TA,0.0,0.0,-0.26,-52.81,-11.38,-21.09,-1.49,5.04
STG.TA,0.0,0.0,1.75,9.74,1.31,1.02,0.95,-8.87
STRS.TA,0.0,0.0,10.11,20.73,12.01,50.91,2.41,-0.06
TDRN.TA,0.0,0.0,34.58,6153.56,41.98,127.46,1.14,79.09
TMRP.TA,0.0,0.0,14.61,47.63,25.54,26.36,-0.84,-4.53
TECT.TA,0.0,0.0,,,,,,
TFRLF.TA,0.0,0.0,-2.66,-3.23,7.66,0.49,-0.92,
TLSY.TA,0.0,0.0,-12.13,-37.52,-9.05,-35.41,-8.79,-12.5
TRX.TA,0.0,0.0,-6.46,-53.81,-7.77,-30.82,10.02,-14.29
TUZA.TA,0.0,0.0,,,,,,
TIGI.TA,,0.0,,,,,,
TGTR.TA,0.0,0.0,,,,,,
TNDO.TA,,0.0,,,,,,
TSEM.TA,0.0,0.0,5.5,2.25,7.06,14.08,3.3,3.87
TRAN.TA,,0.0,,,,,,
TURB.TA,,0.0,,,,,,
UMH.TA,0.0,0.0,0.57,147.45,-1.68,6.71,4.18,-8.06
UTRN.TA,0.0,0.0,,,,,,
VRDS.TA,0.0,0.0,12.28,191.79,15.92,27.46,1.47,-6.66
VCTR.TA,0.0,0.0,7.53,64.86,7.67,24.61,1.57,-31.57
VISN.TA,0.0,0.0,,,,,,
VTNA.TA,0.0,0.0,-18.96,-62.93,-5.83,-6.81,7.29,4.48
WILC.TA,0.0,0.0,4.19,203.05,-8.63,82.26,2.75,
XTLB.TA,0.0,0.0,,21.45,,-81.47,286.99,
YBOX.TA,0.0,0.0,38.82,-43.98,55.22,30.05,0.99,75.78
ZNKL.TA,0.0,0.0,29.87,50.22,31.4,42.25,8.86,-73.16
ZOOZ.TA,0.0,0.0,,,,,,
ZUR.TA,0.0,0.0,9.88,17678.85,7.51,8.87,1.63,
