,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
KSTN.TA,,,,,44.1,18.06,100.54,53.55,,,,,7.83,,-99.9
KLIL.TA,39.47,30.01,,34.02,0.0,29.63,,-1.49,28.39,96.1,13.52,50.66,,,
LAHAV.TA,,,,,21.68,7.77,0.0,28.8,,,,,0.0,,
LPHL.TA,99900.0,99900.0,0.0,,99900.0,99900.0,,99900.0,99900.0,,,,,,
LSCO.TA,,,,,-9.42,-7.03,-41.95,-14.43,,,,,-25.49,-200.0,
LEOF.TA,32.31,-118.07,-100.0,-23.27,0.0,0.0,,0.0,,,,,,,
LEVI.TA,,0.0,0.0,,0.0,0.0,0.0,36.89,0.0,0.0,0.0,0.0,-5.14,,
LCTX.TA,,,,,,,,,,,,,,,
LPSN.TA,-1.09,-55.34,-51.61,,2.41,3.16,,0.16,-53.03,16.42,-147.37,44.7,1.62,,1.07
LUZN.TA,,,,,,,,,,,,,,,
MGIC.TA,53.38,49.01,48.39,51.79,-0.94,,24.0,-1.17,48.39,21.79,-30.84,-200.53,11.88,-311.46,
MLTM.TA,42.29,23.49,23.38,41.06,-5.15,-18.43,,-0.73,,,,,,,0.0
MTRX.TA,47.24,43.65,,47.23,3.46,-5.34,30.61,0.59,45.68,-38.18,-25.17,144.27,-3.15,,
MAXO.TA,53.75,46.11,46.15,53.18,3.03,-63.11,44.57,13.15,49.0,,-819.58,,2103.86,0.0,
MTRN.TA,33.89,21.28,19.32,31.8,2.12,20.15,26.15,-6.72,20.51,,,,266.04,66.4,
MDPR.TA,-10.76,-5.14,0.0,,50.14,,,18.22,,0.0,0.0,0.0,,,
MNIN.TA,51.96,-10.24,-15.78,51.87,0.42,8.52,121.76,-3.72,49.39,,,,-1.64,0.0,
MNRT.TA,,,,,-0.73,27.82,,-1.34,,,,,,90.0,
MGRT.TA,,,,,,,,,,,,,,,
MCRNT.TA,66.07,178.52,171.64,80.12,1.58,-54.58,,22.64,,,,,,,
MLD.TA,48.58,-48.19,0.0,48.83,-8.86,-0.04,,-26.3,167.29,455.82,-1738.0,-2904.0,,,
MVNE.TA,,56.31,,,,,,2.99,,,,,,,
MZTF.TA,,,,,-98.73,,,,,,,,,,
MLRN.TA,,73.65,75.47,,24.35,73.77,,2.91,,,,,,-25.0,0.0
MDIN.TA,72.09,35.33,32.88,,6.87,9.67,,10.98,83.01,,-54.81,858.79,,,
NFTA.TA,75.1,-179.09,,,-6.97,-4.56,,-10.05,,,,,,,
NVPT.TA,50.24,41.88,,53.05,29.12,-13.05,,164.31,62.22,,,,,,
NYAX.TA,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.91,,
NXTM.TA,50.0,50.02,,53.39,0.78,,,,,,-524.66,93.5,,,
NXFR.TA,48.42,0.0,-59.36,0.0,-11.3,-1.0,,-18.79,0.0,,,,,,
NICE.TA,7.54,6.37,4.48,7.87,1.6,-0.42,-4.15,2.81,0.3,27.12,70.23,83.22,0.47,,0.89
NISA.TA,0.0,0.0,0.0,0.0,5.19,2.6,77.5,67.38,0.0,0.0,,,61.49,,
NOFR.TA,,,,,99900.0,,99900.0,99877.09,,,,,99900.0,,
NSTR.TA,,,,,,,,,,,,,,,
NVLG.TA,81.17,0.0,0.0,73.84,0.0,0.0,0.0,0.0,,62.11,0.0,0.0,0.0,,0.0
OPCE.TA,122.8,-416.46,,128.25,0.0,0.0,,0.0,,,,,,,
OPK.TA,-12.79,277.16,233.33,,-0.17,-3.99,,1.32,575.0,,,,,,0.75
ORAD.TA,52.67,88.2,100.0,51.77,1.35,,,7.04,63.66,11.27,4.35,-6.67,,,
ORMP.TA,50.86,-55.27,-242.5,,30.55,-7.52,,39.95,,,350.26,84.02,,,7.9
ORIN.TA,5.83,73.44,,-25.1,6.84,9.79,38.25,9.61,,,,,-38.48,,
ORA.TA,221.37,254.09,234.78,263.18,14.16,28.59,385.43,0.45,300.07,46.48,-100.36,462.94,-43.75,251.01,0.01
ORON.TA,0.0,-3.13,0.0,0.0,0.0,14805.22,,379.49,0.0,,-0.07,0.0,6746.25,200.0,
OVRS.TA,51.92,58.79,-46.15,50.4,-0.67,7.41,3.21,1.09,,61.33,-59.35,88.41,31.62,,
PLRM.TA,45.93,43.1,,41.25,11.5,,,4.59,43.8,,,,,0.0,
PTNR.TA,-0.36,166.67,160.0,59.44,-0.43,-1.5,0.0,1.61,63.33,25.14,-74.68,-23.17,0.0,,0.06
PAZ.TA,60.6,,,63.76,2.07,2.06,,2.08,,,,,,,
PERI.TA,10.33,49.96,47.37,,4.77,4.24,,5.1,39.81,-2.91,174.58,-50.74,,,2.1
PTCH.TA,,,,,0.33,65.34,,-119.66,,,,,,,
PTX.TA,64.97,,,,2.0,10.67,-16.04,-14.53,,,,,0.01,,
PHOE.TA,,178750.0,,,37.18,36.62,,507.53,,,,,,,
