,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Long-Term Debt,Dividends Paid,Number of Outstanding Shares,Short-Term Debt
ORIN.TA,-99.86,-99.91,4.0,-99.85,-99.84,,99.61,101.84,-99.88,-99.83,-99.83,,,-1.2,
ORA.TA,343.73,445.32,432.26,411.34,314.06,,,,10.45,-0.14,25.44,-2.32,,1.21,5.22
OVRS.TA,-99.87,-99.89,8.11,-99.88,,,99.87,99.87,-99.9,-99.91,-99.9,-99.88,,,-99.93
PLRM.TA,31.58,33.5,33.13,34.57,36.13,,-68.89,99.89,4.16,-59.27,6.29,,,,
PTNR.TA,-99.6,100.34,400.0,-99.57,-99.52,-99.62,99.89,99.33,-99.9,-99.9,-99.9,-99.9,,,-99.9
PAYT.TA,42.42,45.92,46.15,42.54,51.21,,2499.39,,-12.34,483.58,,,,,
PAZ.TA,,,,9.15,305.14,,,,5.8,-10.97,17.96,,0.0,,
PHOE.TA,,,,,,,,,3444.3,146.32,230614.26,-66.53,,,
PLSN.TA,-99.87,-99.87,28.91,-99.87,-99.88,,99.87,99.88,-99.9,-99.93,-99.9,-99.91,50.0,,
PLUR.TA,0.0,-38.71,-25.0,104445.45,-40.62,-31.54,-368.73,435.73,184.67,-65.3,295.94,,,55.67,
POLI.TA,-99.46,-97.27,80.23,,,,,,-99.96,-99.99,-99.62,,,,
PRTC.TA,331.44,365.75,235.14,,,,-13.05,-284.58,3.7,-7.61,6.48,,,,8331.29
RMLI.TA,-99.61,-99.63,,-99.62,-99.63,-99.76,99.67,-99.56,-99.9,-99.95,-99.89,,-99.71,,-99.99
RAVD.TA,-69.94,-1422.82,,35.58,-132.87,,-1665.45,-5246.95,-7.96,28.8,-5.44,24.08,,,-18.72
RVL.TA,-10.63,-2.78,-4.69,-5.59,31.24,,-25.95,-35.99,0.0,-35.58,0.0,120.43,,1.6,-21.39
RIT1.TA,-99.86,,108.0,,,,,,-99.9,-99.9,-99.9,,,-99.9,
