,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
ISTA.TA,,436.14,-60.21,104.69,14.36,-32.71,14.72,,,-190.44,4788.87,,,,
JBNK.TA,,39.44,325.0,,4.54,4.7,2.28,,,,,,22.62,5608.61,
KAFR.TA,21.46,-30.55,,10.87,0.0,,,12.26,,,,,,,
KMDA.TA,43.6,-179.17,-183.33,27.79,47.17,306.26,-2.64,-126.71,,-275.97,1775.05,4959.62,,,
KRDI.TA,,,,,8792.54,4889.72,426.82,,,,,,,,
KARE.TA,37.42,140.48,136.84,40.88,14.17,16.59,12.11,71.78,,,,,,0.0,
KRUR.TA,9.63,13.81,14.2,10.07,0.32,43.13,-16.37,6.62,,26.81,-126.29,,,,
KLIL.TA,42.26,37.82,,42.24,10.3,-67.22,3.6,38.37,,45.33,-263.58,,,,
LAHAV.TA,,,,,1.53,175.07,-72.55,,,,,,291.73,,
LPHL.TA,-99.89,-99.86,-10.33,,-99.9,-99.9,-99.84,-99.88,-99.57,90.34,-99.88,,,-99.95,
LSCO.TA,-99.89,99.94,-194.74,-99.94,-99.88,-99.88,-99.88,-100.14,-99.93,99.92,-99.91,-99.78,-95.12,,
LEOF.TA,48.5,-50.19,,23.86,39.41,37.83,47.03,,,,1561.1,,,,
LEVI.TA,45.79,403.65,408.83,,24.58,27.06,25.84,256.63,-78.68,-969.07,-99.0,0.0,12.22,-0.01,
LCTX.TA,36.81,-205.53,-188.89,49.41,33.03,619.67,-23.99,-134.64,-33.2,-1.48,2.65,,,,-2.41
LUZN.TA,,-1015.65,-1014.29,,-1.88,13.98,-9.15,,,34.82,,-98.52,0.0,,
MTRX.TA,-99.86,-99.86,,-99.86,-99.89,-99.71,-99.89,-99.86,,,-100.47,,,,
MTRN.TA,-99.89,-99.9,-2.86,-99.89,-99.89,-99.89,-99.9,-99.91,,,,,,-99.84,
MDPR.TA,43.97,59.1,63.64,,1.2,,,,,86.19,-48.43,,,,
MLSR.TA,,,,,,,,,,,,,,,
MNIN.TA,41.27,63.46,60.9,35.73,17.41,-2.59,6.36,27.87,,,,22.07,230.93,0.0,
MNRT.TA,,,,,7.84,6.53,8.93,,,,,,,22.81,
MCMN.TA,,1014.56,,,24.22,0.71,23.82,,-6034.11,-217.39,6314.81,,-30.73,,1274.93
MCRNT.TA,9.33,-60.22,,5.57,-6.22,9.61,-5.37,-56.57,,,,0.0,,,
MLD.TA,37.23,33.44,,37.8,85.46,-30.7,624.7,,,,,,,,
MVNE.TA,19.64,55.43,,-32.88,18.19,32.8,,,,,,,,,
MZTF.TA,,,,,8499.44,,,,,,,,,,
MLRN.TA,,41.33,34.41,,41.46,,82.95,,,,,,,,2.62
MDIN.TA,35.91,6.71,,,6.89,26.68,-38.66,112.52,,-721.02,500.13,,,,
NFTA.TA,-99.86,100.12,,,-99.9,-99.91,-99.9,,,,,,,,
NVPT.TA,40.19,-76.38,,-20.74,5.08,133.62,,-56.02,,,,,,,
NYAX.TA,51.22,-307.18,-225.4,29.54,132.88,5.08,953.32,-985.3,1687.45,-159.34,1344.46,-100.0,-84.67,,
NTO.TA,-99.86,-99.87,-27.96,-99.87,-99.9,-99.87,-99.91,-99.87,,-99.96,99.89,-99.9,,-100.0,
NXTM.TA,-99.86,-99.86,37.3,-99.86,-99.88,,-99.89,-99.86,,100.0,98.46,,,100.1,
NXFR.TA,71.63,260.98,-35.53,1052.63,73.91,36.85,132.6,246.17,,-1535.06,893.98,,,,
NICE.TA,-99.61,-99.58,325.71,-99.61,-99.89,-99.82,-99.9,-99.59,-99.55,99.19,98.09,-99.81,-99.9,,-99.9
NISA.TA,-99.91,-99.94,-72.36,-99.92,-99.9,-99.94,-99.93,-99.94,,,,,-99.94,,
NOFR.TA,68.13,101.49,,0.9,104.79,667.69,0.02,-52.72,,,,0.0,161.73,,
OPCE.TA,21.12,-150.69,,30.1,-49.61,-61.53,29.91,,-95.88,98.53,92.48,,,,
OPK.TA,4.02,-357.14,-375.0,,-0.74,9.6,-4.56,-266.93,,,,,,,-0.01
ORAD.TA,-99.86,-99.87,25.0,-99.86,-99.91,-99.9,-99.9,-99.87,-84.69,100.15,99.84,-99.89,,,
ORMP.TA,33.81,-45.47,-36.84,,59.02,931.4,68.39,-44.07,,-549.82,114.94,,,,-6.73
ORBI.TA,4.85,57.82,,14.07,25.4,21.9,21.94,23.48,,47.68,141.45,73.63,275.67,,-55.83
ORIN.TA,42.73,-69.12,,,20.0,-16.97,-80.8,,,,,,193.91,,
ORON.TA,-99.9,-99.59,-63.41,-99.25,-99.89,-99.47,-99.9,-99.76,,,,,,-99.9,
OVRS.TA,38.0,83.6,428.57,41.62,6.13,-20.62,2.93,,18.54,-75.91,-639.06,-18.01,-2.14,887.23,
PLRM.TA,-99.87,-99.87,26.86,-99.87,-99.9,,-99.88,-99.87,,,,,,-99.9,
PAZ.TA,43.84,487.93,,49.67,11.5,13.85,5.45,,,,,,,,
PCBT.TA,-93.89,-100.5,-100.0,-95.91,-86.4,-89.66,-84.39,-97.33,,,,,,,
PERI.TA,30.55,66.64,57.14,,63.26,51.72,70.08,67.95,103.43,-940.97,15941.81,,,,6.56
PTX.TA,46.92,,,,-99.9,-99.91,-99.88,,,,,-99.45,-99.91,,
PHOE.TA,,-99.6,,,-99.9,-99.9,-99.53,,,,,,,,
PLSN.TA,29.75,-4.41,-6.46,28.11,-99.9,-99.9,-99.9,-14.36,,,,-99.88,-99.93,0.0,
PLCR.TA,-99.89,99.95,-116.95,-99.9,-99.89,-99.89,-99.9,-99.97,,-100.02,99.93,-99.66,-99.65,100.1,
PPIL.TA,35.99,-9.7,5.88,30.06,2.11,88.34,-0.41,,,,,,,,0.0
