,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
NFTA.TA,0.0,0.0,2.59,-68.67,-12.44,-21.81,-2.0,-18.65
NYAX.TA,0.0,0.0,22.08,39.21,23.59,145.97,7.63,16.42
NTGR.TA,0.0,0.0,-15.75,-70.68,-14.52,13.27,9.56,38.19
NTNB.TA,,0.0,,,,,,
NXTG.TA,0.0,0.0,,,,,,
NXTM.TA,0.0,0.0,2.63,-155.31,3.76,7.22,-6.04,-17.76
NXFR.TA,0.0,0.0,,,,,,
NXGN.TA,0.0,0.0,,,,,,
NICE.TA,0.0,0.0,0.77,8.85,0.68,6.08,0.1,0.09
NISA.TA,0.0,0.0,-12.92,-70.9,-33.08,-56.89,2.94,0.54
NVMI.TA,0.0,0.0,10.62,22.47,11.17,22.56,4.83,
NVLG.TA,0.0,0.0,-2.3,10.42,-9.85,-17.48,1.74,
NURI.TA,,0.0,,,,,,
OPCE.TA,0.0,0.0,5.49,-188.89,-17.16,760.0,2.82,0.43
OPK.TA,0.0,0.0,4.89,87.41,22.78,13.71,0.3,-45.1
ORAD.TA,0.0,0.0,,,,,,
ORMP.TA,0.0,0.0,,499.74,,-5.84,-9.54,
ORA.TA,0.0,0.0,-5.0,-42.36,-22.11,-28.75,-0.18,-0.64
OVRS.TA,0.0,0.0,,,,,,
PLRM.TA,0.0,0.0,13.75,15.95,15.07,20.78,1.53,
PTNR.TA,0.0,0.0,-2.6,3.64,4.95,1.27,-4.56,-16.4
PEN.TA,0.0,0.0,10.95,9.98,,,18.07,
PERI.TA,0.0,0.0,-31.13,-152.76,-21.05,-152.59,-6.89,
PTCH.TA,,0.0,,,,,,
PHTM.TA,0.0,0.0,,,,,,
PLCR.TA,0.0,0.0,,,,,,
PMVM.TA,0.0,0.0,,,,,,
PRSK.TA,0.0,0.0,25.79,2085.67,14.91,25.44,4.15,-10.06
PRTC.TA,0.0,0.0,-1.02,17.63,,58.99,-1.82,-1.55
PRPD.TA,,0.0,,,,,,
PULS.TA,0.0,0.0,,,,,,
PPBT.TA,0.0,0.0,,36.07,,27.09,-9.53,
QLTU.TA,0.0,0.0,,,,,,
QLRD.TA,0.0,0.0,,,,,,
RANI.TA,0.0,0.0,44.56,99.76,13.9,-7.52,2.83,-2.88
RAVD.TA,0.0,0.0,,,,,,
RVL.TA,0.0,0.0,-0.78,827.37,0.24,56.01,-1.71,-14.33
RAYG-M.TA,,0.0,,,,,,
RZR.TA,0.0,0.0,,,,,,
RIT1.TA,0.0,0.0,7.21,-27.09,8.92,10.4,0.86,7.78
REKA.TA,0.0,0.0,-23.4,899.92,-40.63,-264.48,-6.44,-36.22
RTLS.TA,0.0,0.0,37.17,49.37,35.39,39.86,7.68,-6.67
RIMO.TA,0.0,0.0,-0.89,22.61,9.99,14.47,4.73,
RSEL.TA,0.0,0.0,,,,,,
SPNS.TA,0.0,0.0,1.9,7.24,4.42,6.63,-2.38,0.06
SARN.TA,0.0,0.0,8.77,39.01,15.2,46.09,-93.28,-4.6
SVRE.TA,0.0,0.0,,,,,,
SVRT.TA,0.0,0.0,,,,,,
SCDX.TA,0.0,0.0,,,,,,
SLARL.TA,0.0,0.0,3.23,-65.6,1.72,1.67,0.28,1.4
SHGR.TA,0.0,0.0,-4.22,-77.05,-15.28,-31.01,2.0,-9.07
SPEN.TA,0.0,0.0,5.89,-61.29,18.38,31.67,1.03,-4.28
SHOM.TA,0.0,0.0,,,,,,
SAE.TA,0.0,0.0,5.55,87.5,10.81,58.79,-0.26,0.4
SKLN.TA,0.0,0.0,,,,,,
SONO.TA,0.0,,,,,,,
SPDV.TA,0.0,0.0,,,,,,
SPRG.TA,0.0,0.0,,,,,,
SPNTC.TA,0.0,0.0,-12.92,-69.04,-33.08,-54.58,3.13,0.54
STG.TA,0.0,0.0,2.13,-7.56,4.32,4.75,2.72,-15.28
STRS.TA,0.0,0.0,-1.45,60.78,3.19,32.53,0.14,-12.04
TDRN.TA,0.0,0.0,19.62,-94.5,27.46,37.65,6.38,-14.84
TMRP.TA,0.0,0.0,-12.08,-33.12,-27.47,-27.09,1.61,0.18
TECT.TA,0.0,0.0,,,,,,
TFRLF.TA,0.0,0.0,3.82,4.88,-4.54,-7.82,5.94,-100.0
TRX.TA,0.0,0.0,6.84,62.53,12.64,111.1,-1.62,-12.5
TUZA.TA,0.0,0.0,,,,,,
TIGI.TA,,0.0,,,,,,
TGTR.TA,0.0,0.0,,,,,,
TNDO.TA,,0.0,,,,,,
TSEM.TA,0.0,0.0,7.32,19.74,19.72,43.82,-0.5,-16.47
TRAN.TA,,0.0,,,,,,
TURB.TA,,0.0,,,,,,
UMH.TA,0.0,0.0,4.59,429.29,7.24,18.86,1.75,-0.4
UTRN.TA,0.0,0.0,,,,,,
VRDS.TA,0.0,0.0,-3.25,79.9,79.34,373.03,-0.35,4.26
VCTR.TA,0.0,0.0,4.45,-15.0,4.54,-1.2,-0.28,0.29
VISN.TA,0.0,0.0,,,,,,
VTNA.TA,0.0,0.0,43.96,151.84,25.21,34.45,3.23,6.88
WILC.TA,0.0,0.0,7.81,-63.09,32.53,-17.05,4.82,
XTLB.TA,0.0,0.0,,-245.15,,-140.57,-18.1,
YBOX.TA,0.0,0.0,-4.74,-38.97,-18.96,-36.81,2.23,1.79
ZNKL.TA,0.0,0.0,3.7,-2.35,4.9,-1.53,-0.33,-35.91
ZOOZ.TA,0.0,0.0,,,,,,
ZUR.TA,0.0,0.0,3.48,-100.2,6.42,12.45,2.52,
