Date,Ticker,Forecast,Days_Ahead
2025-01-18,HMAM.TA,[1.8767],19
2025-01-19,HMAM.TA,[3.2004502],20
2025-01-20,HMAM.TA,[-1.9128015],21
2025-01-21,HMAM.TA,[0.6030659],22
2025-01-22,HMAM.TA,[1.0674506],23
2025-01-23,HMAM.TA,[0.35225767],24
2025-01-24,HMAM.TA,[0.24299505],25
2025-01-25,HMAM.TA,[-0.4981983],26
2025-01-26,HMAM.TA,[-0.850698],27
2025-01-27,HMAM.TA,[-2.4446034],28
2025-01-28,HMAM.TA,[-2.300714],29
2025-01-29,HMAM.TA,[-5.0410476],30
2024-12-31,MSBI.TA,[121.663345],1
2025-01-01,MSBI.TA,[120.57007],2
2025-01-02,MSBI.TA,[121.26071],3
2025-01-03,MSBI.TA,[117.7779],4
2025-01-04,MSBI.TA,[117.11614],5
2025-01-05,MSBI.TA,[114.5386],6
2025-01-06,MSBI.TA,[111.89201],7
2025-01-07,MSBI.TA,[109.85497],8
2025-01-08,MSBI.TA,[111.289085],9
2025-01-09,MSBI.TA,[110.048805],10
2025-01-10,MSBI.TA,[110.50842],11
2025-01-11,MSBI.TA,[112.28948],12
2025-01-12,MSBI.TA,[113.59844],13
2025-01-13,MSBI.TA,[111.17695],14
2025-01-14,MSBI.TA,[108.43895],15
2025-01-15,MSBI.TA,[110.47363],16
2025-01-16,MSBI.TA,[111.110825],17
2025-01-17,MSBI.TA,[111.70345],18
2025-01-18,MSBI.TA,[113.00863],19
2025-01-19,MSBI.TA,[112.48783],20
2025-01-20,MSBI.TA,[111.86694],21
2025-01-21,MSBI.TA,[113.15056],22
2025-01-22,MSBI.TA,[111.86616],23
2025-01-23,MSBI.TA,[111.32477],24
2025-01-24,MSBI.TA,[112.4512],25
2025-01-25,MSBI.TA,[113.84492],26
2025-01-26,MSBI.TA,[112.39352],27
2025-01-27,MSBI.TA,[114.070335],28
2025-01-28,MSBI.TA,[118.5026],29
2025-01-29,MSBI.TA,[119.4896],30
2024-12-31,HAMAT.TA,[1689.4854],1
2025-01-01,HAMAT.TA,[1654.1781],2
2025-01-02,HAMAT.TA,[1621.0001],3
2025-01-03,HAMAT.TA,[1544.0927],4
2025-01-04,HAMAT.TA,[1648.7682],5
2025-01-05,HAMAT.TA,[1592.441],6
2025-01-06,HAMAT.TA,[1528.65],7
2025-01-07,HAMAT.TA,[1586.4065],8
2025-01-08,HAMAT.TA,[1574.5273],9
2025-01-09,HAMAT.TA,[1502.2458],10
2025-01-10,HAMAT.TA,[1538.9865],11
2025-01-11,HAMAT.TA,[1440.0475],12
2025-01-12,HAMAT.TA,[1491.8112],13
2025-01-13,HAMAT.TA,[1494.4457],14
2025-01-14,HAMAT.TA,[1563.2018],15
2025-01-15,HAMAT.TA,[1591.2526],16
2025-01-16,HAMAT.TA,[1617.2194],17
2025-01-17,HAMAT.TA,[1500.5479],18
2025-01-18,HAMAT.TA,[1502.2969],19
2025-01-19,HAMAT.TA,[1460.6746],20
2025-01-20,HAMAT.TA,[1376.8479],21
2025-01-21,HAMAT.TA,[1411.9764],22
2025-01-22,HAMAT.TA,[1428.0282],23
2025-01-23,HAMAT.TA,[1404.6212],24
2025-01-24,HAMAT.TA,[1334.8871],25
2025-01-25,HAMAT.TA,[1435.8296],26
2025-01-26,HAMAT.TA,[1390.3816],27
2025-01-27,HAMAT.TA,[1370.8868],28
2025-01-28,HAMAT.TA,[1376.6522],29
2025-01-29,HAMAT.TA,[1354.7579],30
2024-12-31,HARL.TA,[4730.3135],1
2025-01-01,HARL.TA,[4747.562],2
2025-01-02,HARL.TA,[4717.017],3
2025-01-03,HARL.TA,[4642.128],4
2025-01-04,HARL.TA,[4697.3647],5
2025-01-05,HARL.TA,[4764.5566],6
2025-01-06,HARL.TA,[4711.953],7
2025-01-07,HARL.TA,[4701.1978],8
2025-01-08,HARL.TA,[4773.76],9
2025-01-09,HARL.TA,[4638.366],10
2025-01-10,HARL.TA,[4655.883],11
2025-01-11,HARL.TA,[4654.0093],12
2025-01-12,HARL.TA,[4694.197],13
2025-01-13,HARL.TA,[4588.804],14
2025-01-14,HARL.TA,[4537.483],15
2025-01-15,HARL.TA,[4511.631],16
2025-01-16,HARL.TA,[4441.132],17
2025-01-17,HARL.TA,[4555.6475],18
2025-01-18,HARL.TA,[4666.513],19
2025-01-19,HARL.TA,[4729.1025],20
2025-01-20,HARL.TA,[4841.0938],21
2025-01-21,HARL.TA,[4813.4526],22
2025-01-22,HARL.TA,[4858.2095],23
2025-01-23,HARL.TA,[4856.9062],24
2025-01-24,HARL.TA,[4918.418],25
2025-01-25,HARL.TA,[4934.222],26
2025-01-26,HARL.TA,[4945.1216],27
2025-01-27,HARL.TA,[4867.972],28
2025-01-28,HARL.TA,[4939.4614],29
2025-01-29,HARL.TA,[4809.6167],30
2024-12-31,HICN.TA,[180.30661],1
2025-01-01,HICN.TA,[164.163],2
2025-01-02,HICN.TA,[123.79817],3
2025-01-03,HICN.TA,[113.92451],4
2025-01-04,HICN.TA,[-10.873731],5
2025-01-05,HICN.TA,[-14.248597],6
2025-01-06,HICN.TA,[-12.019574],7
2025-01-07,HICN.TA,[-13.821965],8
2025-01-08,HICN.TA,[-13.459084],9
2025-01-09,HICN.TA,[-9.679082],10
2025-01-10,HICN.TA,[-12.397841],11
2025-01-11,HICN.TA,[-10.800701],12
2025-01-12,HICN.TA,[-15.318032],13
2025-01-13,HICN.TA,[-18.26277],14
2025-01-14,HICN.TA,[-18.661001],15
2025-01-15,HICN.TA,[-21.226938],16
2025-01-16,HICN.TA,[-20.826393],17
2025-01-17,HICN.TA,[-8.925098],18
2025-01-18,HICN.TA,[-2.2402716],19
2025-01-19,HICN.TA,[-1.6489284],20
2025-01-20,HICN.TA,[-1.2388273],21
2025-01-21,HICN.TA,[-2.8388941],22
2025-01-22,HICN.TA,[-3.8160615],23
2025-01-23,HICN.TA,[-5.3036656],24
2025-01-24,HICN.TA,[-5.2215066],25
2025-01-25,HICN.TA,[-7.5969343],26
2025-01-26,HICN.TA,[-6.8219843],27
2025-01-27,HICN.TA,[-8.488192],28
2025-01-28,HICN.TA,[-7.982454],29
2025-01-29,HICN.TA,[-6.6035304],30
2024-12-31,HLAN.TA,[21687.44],1
2025-01-01,HLAN.TA,[21314.176],2
2025-01-02,HLAN.TA,[21717.752],3
2025-01-03,HLAN.TA,[20970.635],4
2025-01-04,HLAN.TA,[20474.326],5
2025-01-05,HLAN.TA,[20014.682],6
2025-01-06,HLAN.TA,[19684.512],7
2025-01-07,HLAN.TA,[19850.684],8
2025-01-08,HLAN.TA,[19162.848],9
2025-01-09,HLAN.TA,[19007.566],10
2025-01-10,HLAN.TA,[18844.072],11
2025-01-11,HLAN.TA,[18657.568],12
2025-01-12,HLAN.TA,[18196.611],13
2025-01-13,HLAN.TA,[18403.217],14
2025-01-14,HLAN.TA,[18253.867],15
2025-01-15,HLAN.TA,[17927.348],16
2025-01-16,HLAN.TA,[18424.29],17
2025-01-17,HLAN.TA,[18380.229],18
2025-01-18,HLAN.TA,[18738.176],19
2025-01-19,HLAN.TA,[19332.68],20
2025-01-20,HLAN.TA,[18741.434],21
2025-01-21,HLAN.TA,[17995.555],22
2025-01-22,HLAN.TA,[17731.402],23
2025-01-23,HLAN.TA,[17627.871],24
2025-01-24,HLAN.TA,[17820.18],25
2025-01-25,HLAN.TA,[17863.691],26
2025-01-26,HLAN.TA,[18112.713],27
2025-01-27,HLAN.TA,[18363.38],28
2025-01-28,HLAN.TA,[18429.99],29
2025-01-29,HLAN.TA,[17912.424],30
2024-12-31,HIPR.TA,[1685.441],1
2025-01-01,HIPR.TA,[1660.5287],2
2025-01-02,HIPR.TA,[1674.6678],3
2025-01-03,HIPR.TA,[1683.5952],4
2025-01-04,HIPR.TA,[1654.2987],5
2025-01-05,HIPR.TA,[1783.2446],6
2025-01-06,HIPR.TA,[1808.5541],7
2025-01-07,HIPR.TA,[1845.514],8
2025-01-08,HIPR.TA,[1842.4408],9
2025-01-09,HIPR.TA,[1802.1118],10
2025-01-10,HIPR.TA,[1829.4086],11
2025-01-11,HIPR.TA,[1826.4688],12
2025-01-12,HIPR.TA,[1866.8171],13
2025-01-13,HIPR.TA,[1884.153],14
2025-01-14,HIPR.TA,[1906.2878],15
2025-01-15,HIPR.TA,[1926.3715],16
2025-01-16,HIPR.TA,[1947.7295],17
2025-01-17,HIPR.TA,[1998.1952],18
2025-01-18,HIPR.TA,[2022.1785],19
2025-01-19,HIPR.TA,[2044.2938],20
2025-01-20,HIPR.TA,[1962.3319],21
2025-01-21,HIPR.TA,[1938.6804],22
2025-01-22,HIPR.TA,[1927.8347],23
2025-01-23,HIPR.TA,[1900.8557],24
2025-01-24,HIPR.TA,[1883.5094],25
2025-01-25,HIPR.TA,[1948.4073],26
2025-01-26,HIPR.TA,[1941.5946],27
2025-01-27,HIPR.TA,[1985.5111],28
2025-01-28,HIPR.TA,[1998.2898],29
2025-01-29,HIPR.TA,[2056.816],30
2024-12-31,HRON.TA,[246327.94],1
2025-01-01,HRON.TA,[240338.03],2
2025-01-02,HRON.TA,[246105.03],3
2025-01-03,HRON.TA,[249799.16],4
2025-01-04,HRON.TA,[264065.4],5
2025-01-05,HRON.TA,[257300.05],6
2025-01-06,HRON.TA,[256586.48],7
2025-01-07,HRON.TA,[254917.77],8
2025-01-08,HRON.TA,[255594.22],9
2025-01-09,HRON.TA,[247022.36],10
2025-01-10,HRON.TA,[247684.62],11
2025-01-11,HRON.TA,[241503.98],12
2025-01-12,HRON.TA,[240995.73],13
2025-01-13,HRON.TA,[251190.62],14
2025-01-14,HRON.TA,[265051.84],15
2025-01-15,HRON.TA,[273705.84],16
2025-01-16,HRON.TA,[278281.56],17
2025-01-17,HRON.TA,[280175.9],18
2025-01-18,HRON.TA,[275693.03],19
2025-01-19,HRON.TA,[272557.38],20
2025-01-20,HRON.TA,[272695.62],21
2025-01-21,HRON.TA,[271067.28],22
2025-01-22,HRON.TA,[271205.22],23
2025-01-23,HRON.TA,[268559.7],24
2025-01-24,HRON.TA,[256941.6],25
2025-01-25,HRON.TA,[259676.44],26
2025-01-26,HRON.TA,[273566.8],27
2025-01-27,HRON.TA,[269177.56],28
2025-01-28,HRON.TA,[269888.34],29
2025-01-29,HRON.TA,[263999.53],30
2023-10-20,HIVE.TA,[1.0668309],1
2023-10-21,HIVE.TA,[1.0358046],2
2023-10-22,HIVE.TA,[1.5829586],3
2023-10-23,HIVE.TA,[1.2829913],4
2023-10-24,HIVE.TA,[1.1670746],5
2023-10-25,HIVE.TA,[1.198593],6
2023-10-26,HIVE.TA,[1.0058337],7
2023-10-27,HIVE.TA,[0.50185764],8
2023-10-28,HIVE.TA,[0.44716704],9
2023-10-29,HIVE.TA,[0.61246085],10
2023-10-30,HIVE.TA,[0.6342524],11
2023-10-31,HIVE.TA,[0.72303617],12
2023-11-01,HIVE.TA,[0.99495023],13
2023-11-02,HIVE.TA,[1.0725849],14
2023-11-03,HIVE.TA,[0.8318518],15
2023-11-04,HIVE.TA,[1.0276724],16
2023-11-05,HIVE.TA,[1.2376872],17
2023-11-06,HIVE.TA,[1.4168314],18
2023-11-07,HIVE.TA,[0.8390813],19
2023-11-08,HIVE.TA,[0.6480893],20
2023-11-09,HIVE.TA,[0.7683647],21
